key,l1,l2,f,E11,am_log_likelihood,am_odds_ratio_disc,am_p1_given2,am_p2_given1,am_p1_given2_simple,am_p2_given1_simple,f1,f2,N,Fyy(O11),Fyn(O12),Fny(O21),Fnn(O22),Fy_(R1),Fn_(R2),F_y(C1),F_n(C2),E12,E21,E22,t_score,dice,mutual_information,deltaP_min,deltaP_max,deltaP_abs_max,deltaP_mean,unexpected_f,unexpected_ratio,conservative_log_ratio,conservative_log_ratio_001,conservative_log_ratio_01,conservative_log_ratio_05,conservative_log_ratio_nc,conservative_log_ratio_dv,f_sqrt,f1_sqrt,f2_sqrt
NEG~most,NEGATED,most,19204,314029.126,-525721.0234,-1.2766677,-0.04595243,-0.097182915,0.002697029,0.006051018,3173681,7120428,71961373,19204.0,3154477.0,7101224.0,61686468.0,3173681.0,68787692.0,7120428.0,64840945.0,2859651.87418735,6806398.87418735,61981293.12581265,-2127.4954,0.003731066,-1.2135782,-0.097182915,-0.04595243,0.097182915,-0.07156768,-294825.126,-15.352277,-4.0358653,-4.0330014,-4.0371423,-4.0402226,-4.0633817,-4.0473747,138.57849761056005,1781.4828093473145,2668.413011510774
COM~just,COMPLEMENT,just,543355,571567.402,-24671.8623,-0.34201485,-0.047578156,-0.009299626,0.9087146,0.007899015,68787692,597938,71961373,543355.0,68244337.0,54583.0,3119098.0,68787692.0,3173681.0,597938.0,71363435.0,68216124.59842893,26370.598428938,3147310.401571062,-38.273502,0.015661888,-0.021983784,-0.047578156,-0.009299626,0.047578156,-0.02843889,-28212.402000000002,-0.051922597,-1.0869677,-1.0851516,-1.087777,-1.0897276,-1.1043245,-1.094248,737.1261764447115,8293.834577564228,773.2645084316233
COM~half,COMPLEMENT,half,24405,25754.745,-1225.2444,-0.35323018,-0.050115064,-0.000444915,0.9058011,0.0003547873,68787692,26943,71961373,24405.0,68763287.0,2538.0,3171143.0,68787692.0,3173681.0,26943.0,71934430.0,68761937.25536004,1188.255360039,3172492.744639961,-8.63997,0.000709297,-0.023378436,-0.050115064,-0.000444915,0.050115064,-0.02527999,-1349.744999999999,-0.055306084,-1.005,-0.9963476,-1.0088524,-1.0181274,-1.0871377,-1.0395743,156.2209973083004,8293.834577564228,164.14323013758442
COM~criminally,COMPLEMENT,criminally,8423,8927.126,-485.1679,-0.37265947,-0.05398775,-0.0001661746,0.9019167,0.0001224492,68787692,9339,71961373,8423.0,68779269.0,916.0,3172765.0,68787692.0,3173681.0,9339.0,71952034.0,68778764.87383763,411.873837635,3173269.126162365,-5.4929523,0.000244865,-0.025244871,-0.05398775,-0.0001661746,0.05398775,-0.027076961,-504.1260000000002,-0.05985112,-0.954366,-0.93961585,-0.96092814,-0.9767137,-1.0935773,-1.0131426,91.7769034125689,8293.834577564228,96.6385016440135
COM~legally,COMPLEMENT,legally,28913,30709.161,-1777.3684,-0.38208234,-0.055934858,-0.0005920668,0.8999876,0.0004203223,68787692,32126,71961373,28913.0,68758779.0,3213.0,3170468.0,68787692.0,3173681.0,32126.0,71929247.0,68756982.83894506,1416.838945055,3172264.161054946,-10.563277,0.000840252,-0.026174797,-0.055934858,-0.0005920668,0.055934858,-0.028263463,-1796.161,-0.062122956,-1.1191466,-1.1114622,-1.1225685,-1.1308084,-1.1921716,-1.1498682,170.03823099526764,8293.834577564228,179.23727290940352
COM~wholly,COMPLEMENT,wholly,35612,37867.877,-2264.6271,-0.387108,-0.056976385,-0.0007436025,0.8989524,0.0005177089,68787692,39615,71961373,35612.0,68752080.0,4003.0,3169678.0,68787692.0,3173681.0,39615.0,71921758.0,68749824.12304078,1747.123040787,3171933.876959212,-11.954109,0.001034822,-0.026674593,-0.056976385,-0.0007436025,0.056976385,-0.028859993,-2255.8770000000004,-0.063345976,-1.1513143,-1.1444467,-1.1543728,-1.1617384,-1.2166296,-1.1787808,188.7114198982139,8293.834577564228,199.03517277104567
COM~universally,COMPLEMENT,universally,11532,12301.444,-801.6729,-0.4004279,-0.05980121,-0.0002536311,0.8961069,0.0001676463,68787692,12869,71961373,11532.0,68776160.0,1337.0,3172344.0,68787692.0,3173681.0,12869.0,71948504.0,68775390.5558857,567.555885697,3173113.444114303,-7.1651416,0.00033523,-0.028051464,-0.05980121,-0.0002536311,0.05980121,-0.03002742,-769.4439999999995,-0.06672251,-1.095869,-1.0837423,-1.1012659,-1.1142536,-1.2106266,-1.1442533,107.38715006927039,8293.834577564228,113.44161493913951
COM~too,COMPLEMENT,too,2667071,2845458.136,-197292.1979,-0.4282258,-0.06251291,-0.058801576,0.8959704,0.038772505,68787692,2976740,71961373,2667071.0,66120621.0,309669.0,2864012.0,68787692.0,3173681.0,2976740.0,68984633.0,65942233.86395137,131281.863951373,3042399.136048627,-109.23109,0.07432849,-0.028117623,-0.06251291,-0.058801576,0.06251291,-0.060657244,-178387.13599999994,-0.06688503,-1.3164519,-1.3156872,-1.3167927,-1.3176143,-1.3237685,-1.3195192,1633.1169584570482,8293.834577564228,1725.3231581358896
COM~particularly,COMPLEMENT,particularly,456207,489165.219,-36699.738,-0.42606893,-0.06486626,-0.010863985,0.8914924,0.006632102,68787692,511734,71961373,456207.0,68331485.0,55527.0,3118154.0,68787692.0,3173681.0,511734.0,71449639.0,68298526.78107168,22568.781071673,3151112.218928327,-48.795837,0.013166256,-0.030293625,-0.06486626,-0.010863985,0.06486626,-0.037865125,-32958.21899999998,-0.072244,-1.3638813,-1.3620639,-1.3646913,-1.3666432,-1.3812517,-1.3711671,675.4309735272732,8293.834577564228,715.3558555013022
COM~strictly,COMPLEMENT,strictly,32076,34516.501,-2792.7107,-0.43579215,-0.06762097,-0.0008044598,0.8883104,0.0004663043,68787692,36109,71961373,32076.0,68755616.0,4033.0,3169648.0,68787692.0,3173681.0,36109.0,71925264.0,68753175.49945424,1592.499454242,3172088.500545758,-13.62664,0.000932119,-0.031846553,-0.06762097,-0.0008044598,0.06762097,-0.034212716,-2440.5009999999966,-0.07608496,-1.3126963,-1.3058176,-1.3157599,-1.3231379,-1.3781278,-1.3402095,179.0977386791916,8293.834577564228,190.02368273454758
