key,f,dP1,LRC,P1,G2,l1,l2,f1,f2,N,exp_f,unexp_f,unexp_r,dP2,P2,deltaP_max,deltaP_mean,odds_r_disc,t,MI,dataset
[_mirror_] that~great,292,0.12869969,3.841141,0.13600373,1174.937255859375,that,great,4538,2147,583470,16.69852,275.3014831542969,0.9428133,0.06114135,0.06434552,0.12869969,0.09492052,1.3308679,16.1108,1.2427049,mirror
[_direct_] that~great,11055,0.21807438,3.486417,0.24276961,32446.714573,that,great,166680,45537,6347362,1195.7892,9859.2107635,0.8918327,0.060745697,0.066324696,0.21807438,0.13941005,1.1025056,93.76975,0.9659041,direct
[_direct_] that~uncommon,802,0.22502792,3.313905,0.25117445,2369.256484,that,uncommon,166680,3193,6347362,83.84731,718.1526883,0.8954522,0.004424765,0.004811615,0.22502792,0.11472634,1.0968529,25.358852,0.98068523,direct
[_direct_] that~hard,9964,0.19452617,3.2932475,0.21939404,27114.657916,that,hard,166680,45416,6347362,1192.6118,8771.3881906,0.8803079,0.05404328,0.05977922,0.19452617,0.12428473,1.0422322,87.87219,0.9219346,direct
[_mirror_] that~simple,487,0.05721369,2.7710729,0.06424802,1267.9454345703125,that,simple,4538,7580,583470,58.954258,428.0457458496094,0.87894404,0.095064126,0.107315995,0.095064126,0.076138906,0.98677236,19.396605,0.9170138,mirror
[_mirror_] that~easy,464,0.051678326,2.6255217,0.05875649,1130.06982421875,that,easy,4538,7897,583470,61.419758,402.5802307128906,0.8676298,0.089408524,0.102247685,0.089408524,0.07054342,0.9427339,18.689318,0.8782099,mirror
[_direct_] that~big,6280,0.1216587,2.5703075,0.14710017,12159.273981,that,big,166680,42692,6347362,1121.0803,5158.9196898,0.821484,0.031785727,0.037676986,0.1216587,0.07672221,0.82000834,65.09969,0.7483229,direct
[_direct_] that~bad,16609,0.11456823,2.512588,0.13866602,31136.227121,that,bad,166680,119777,6347362,3145.3115,13463.6885525,0.8106261,0.08295402,0.09964603,0.11456823,0.09876113,0.81423724,104.47018,0.72267985,direct
[_direct_] that~stupid,824,0.12377466,2.4089677,0.14992721,1604.72879,that,stupid,166680,5496,6347362,144.32347,679.6765346,0.82485014,0.004187701,0.0049436046,0.12377466,0.06398118,0.8176169,23.677654,0.75659025,direct
[_direct_] that~simple,6252,0.10717926,2.397436,0.1326431,10949.818791,that,simple,166680,47134,6347362,1237.7261,5014.2739778,0.80202717,0.03089452,0.037508998,0.10717926,0.06903689,0.767389,63.415962,0.7033945,direct
