adv,adj,sent_id,adv_index,sent_text
especially,exhilarating,nyt_eng_19940726_0211_6,20,"There 's less lifting of alternate feet than wagging of tail feathers , which can be amusing without being especially exhilarating ."
tiresomely,crude,nyt_eng_19940726_0209_24,9,"They can get funky , but without being tiresomely crude ."
