adv,adj,sent_id,adv_index,sent_text
still,excited,nyt_eng_19940721_0308_7,12,The lucky few who spotted the bird over the weekend are still excited .
as,diligent,nyt_eng_19940718_0384_23,11,But she said that too few of her friends were as diligent as she .
really,qualified,nyt_eng_19940710_0134_24,17,"-LBQ-  Only a few of the former ambassadors , maybe a dozen or so , were really qualified ,  -RDQ-  the official said ."
