key,f,dP1,LRC,P1,G2,l1,l2,f1,f2,N,exp_f,unexp_f,unexp_r,odds_r_disc,t,MI,dP2,P2,adv,adv_total,adj,adj_total
NEGany~yet_clear,10406,0.5005326,8.655879,0.9997118,14392.1059827,NEGATED,yet_clear,3173681,10409,6347362,5204.5,5201.5,0.49985585,3.4746625,50.990196,0.3009048,0.0032778971,0.0032788424,yet,53881,clear,84227
NEGany~yet_ready,7501,0.5000583,8.063504,0.999467,10344.7104148,NEGATED,yet_ready,3173681,7505,6347362,3752.5,3748.5,0.49973336,3.2229626,43.281063,0.30079848,0.0023622413,0.0023635016,yet,53881,ready,29583
NEGany~that_hard,9948,0.4992781,7.6830506,0.99849445,13602.2844311,NEGATED,that_hard,3173681,9963,6347362,4981.5,4966.5,0.4992461,2.8087873,49.794636,0.30037564,0.0031298043,0.0031345305,that,166676,hard,45061
NEGany~immediately_clear,24416,0.49898484,7.552246,0.99705976,33058.1012302,NEGATED,immediately_clear,3173681,24488,6347362,12244.0,12172.0,0.49852556,2.5306897,77.89771,0.2997512,0.0076705883,0.007693275,immediately,58040,clear,84227
NEGany~exactly_sure,8794,0.4988763,7.4560847,0.9981839,11991.4849642,NEGATED,exactly_sure,3173681,8810,6347362,4405.0,4389.0,0.49909028,2.72793,46.802856,0.30024055,0.0027658734,0.002770915,exactly,44503,sure,134139
NEGany~that_different,6534,0.49852857,7.180149,0.99801433,8895.034185,NEGATED,that_different,3173681,6547,6347362,3273.5,3260.5,0.4990052,2.685772,40.336166,0.3001668,0.0020547118,0.002058808,that,166676,different,80643
NEGany~that_great,11032,0.49788556,7.1750584,0.9970176,14908.7461974,NEGATED,that_great,3173681,11065,6347362,5532.5,5499.5,0.49850434,2.519137,52.35957,0.29973283,0.0034656918,0.0034760898,that,166676,great,45359
NEGany~that_difficult,5560,0.49846298,7.0631013,0.9980255,7568.9193759,NEGATED,that_difficult,3173681,5571,6347362,2785.5,2774.5,0.4990108,2.685176,37.208942,0.30017164,0.0017484429,0.0017519089,that,166676,difficult,61490
NEGany~yet_complete,2174,0.49971145,6.702635,0.9995402,2998.5653023,NEGATED,yet_complete,3173681,2175,6347362,1087.5,1086.5,0.49977002,3.1615655,23.302362,0.30083027,0.00068469386,0.000685009,yet,53881,complete,8415
NEGany~yet_available,7430,0.49642858,6.660334,0.9958451,9949.93187,NEGATED,yet_available,3173681,7461,6347362,3730.5,3699.5,0.49791387,2.3737211,42.918903,0.29922178,0.002331362,0.00234113,yet,53881,available,82956
NEGany~that_big,6244,0.49586707,6.468518,0.995377,8332.600799,NEGATED,that_big,3173681,6273,6347362,3136.5,3107.5,0.49767777,2.3265269,39.325993,0.2990176,0.0019582938,0.0019674315,that,166676,big,42912
NEGany~exactly_clear,1746,0.4995651,6.3847256,0.9994276,2405.4053736,NEGATED,exactly_clear,3173681,1747,6347362,873.5,872.5,0.49971363,3.0663161,20.880617,0.30078134,0.00054983475,0.0005501498,exactly,44503,clear,84227
NEGany~necessarily_bad,2059,0.49870712,6.312076,0.9985451,2814.012607,NEGATED,necessarily_bad,3173681,2062,6347362,1031.0,1028.0,0.49927148,2.7699752,22.655046,0.3003977,0.00064782816,0.00064877345,necessarily,42886,bad,119509
NEGany~necessarily_indicative,1389,0.50010943,6.285246,1.0,1925.8668905,NEGATED,necessarily_indicative,3173681,1389,6347362,694.5,694.5,0.5,3.4440787,18.634645,0.30103,0.00043766212,0.00043766212,necessarily,42886,indicative,2313
NEGany~necessarily_true,3232,0.49624753,6.161008,0.99599385,4330.6927167,NEGATED,necessarily_true,3173681,3245,6347362,1622.5,1609.5,0.49798885,2.3796456,28.311007,0.29928663,0.0010142796,0.0010183759,necessarily,42886,true,34967
