key,f,dP1,LRC,P1,G2,l1,l2,f1,f2,N,exp_f,unexp_f,unexp_r,odds_r_disc,t,MI,dP2,P2,adv,adv_total,adj,adj_total
NEGany~yet_sure,1977,0.49813628,6.133282,0.99798083,2689.2301845,NEGATED,yet_sure,3173681,1981,6347362,990.5,986.5,0.49898836,2.6431742,22.186754,0.30015218,0.0006216756,0.00062293594,yet,53881,sure,134139
NEGany~necessarily_better,1887,0.49803308,6.0656457,0.9978847,2564.7813451,NEGATED,necessarily_better,3173681,1891,6347362,945.5,941.5,0.4989401,2.6229322,21.673765,0.30011037,0.0005933173,0.0005945777,necessarily,42886,better,50827
NEGany~exactly_new,1371,0.49937907,6.0336614,0.99927115,1885.8443045,NEGATED,exactly_new,3173681,1372,6347362,686.0,685.0,0.4996353,2.961292,18.500006,0.30071333,0.0004316754,0.00043199048,exactly,44503,new,21538
NEGany~that_surprising,1133,0.5000893,5.9892654,1.0,1570.873787,NEGATED,that_surprising,3173681,1133,6347362,566.5,566.5,0.5,3.3556066,16.830032,0.30103,0.0003569987,0.0003569987,that,166676,surprising,18776
NEGany~that_unusual,977,0.50007695,5.773744,1.0,1354.559996,NEGATED,that_unusual,3173681,977,6347362,488.5,488.5,0.5,3.2912805,15.6285,0.30103,0.00030784443,0.00030784443,that,166676,unusual,7412
NEGany~terribly_surprising,949,0.50007474,5.731407,1.0,1315.7352558,NEGATED,terribly_surprising,3173681,949,6347362,474.5,474.5,0.5,3.2786548,15.402922,0.30103,0.00029902186,0.00029902186,terribly,19802,surprising,18776
NEGany~necessarily_easy,909,0.5000716,5.6686854,1.0,1260.27177,NEGATED,necessarily_easy,3173681,909,6347362,454.5,454.5,0.5,3.259957,15.074814,0.30103,0.0002864182,0.0002864182,necessarily,42886,easy,108923
NEGany~exactly_easy,1066,0.4991467,5.667656,0.9990628,1463.4105307,NEGATED,exactly_easy,3173681,1067,6347362,533.5,532.5,0.49953097,2.8520153,16.309513,0.3006228,0.0003355725,0.00033588757,exactly,44503,easy,108923
NEGany~yet_certain,866,0.50006825,5.5980725,1.0,1200.6490852,NEGATED,yet_certain,3173681,866,6347362,433.0,433.0,0.5,3.238917,14.713939,0.30103,0.00027286925,0.00027286925,yet,53881,certain,11334
NEGany~that_exciting,805,0.5000634,5.4915733,1.0,1116.0690672,NEGATED,that_exciting,3173681,805,6347362,402.5,402.5,0.5,3.2072058,14.186261,0.30103,0.00025364867,0.00025364867,that,166676,exciting,20233
NEGany~that_uncommon,802,0.5000632,5.4861274,1.0,1111.9094245,NEGATED,that_uncommon,3173681,802,6347362,401.0,401.0,0.5,3.2055848,14.159802,0.30103,0.0002527034,0.0002527034,that,166676,uncommon,3165
NEGany~yet_able,1315,0.49631533,5.435034,0.9962121,1764.4384495,NEGATED,yet_able,3173681,1320,6347362,660.0,655.0,0.49809885,2.3789074,18.062523,0.29938182,0.0004127699,0.00041434536,yet,53881,able,23355
NEGany~immediately_possible,1000,0.4980826,5.402291,0.998004,1360.3614611,NEGATED,immediately_possible,3173681,1002,6347362,501.0,499.0,0.499,2.6024137,15.779765,0.3001623,0.00031446136,0.00031509154,immediately,58040,possible,30446
NEGany~immediately_available,21078,0.48305646,5.3381653,0.981422,25869.8520752,NEGATED,immediately_available,3173681,21477,6347362,10738.5,10339.5,0.49053517,1.7251623,71.21719,0.29288578,0.0065157777,0.006641499,immediately,58040,available,82956
NEGany~exactly_cheap,691,0.5000544,5.268644,1.0,958.0046368,NEGATED,exactly_cheap,3173681,691,6347362,345.5,345.5,0.5,3.1409168,13.143439,0.30103,0.00021772824,0.00021772824,exactly,44503,cheap,6591
NEGany~that_impressed,681,0.50005364,5.24734,1.0,944.1395313,NEGATED,that_impressed,3173681,681,6347362,340.5,340.5,0.5,3.134589,13.047988,0.30103,0.00021457733,0.00021457733,that,166676,impressed,12138
NEGany~yet_final,640,0.5000504,5.1565514,1.0,887.2929284,NEGATED,yet_final,3173681,640,6347362,320.0,320.0,0.5,3.1076367,12.649111,0.30103,0.00020165858,0.00020165858,yet,53881,final,1213
NEGany~necessarily_related,741,0.4987106,5.1371055,0.9986523,1013.4993479,NEGATED,necessarily_related,3173681,742,6347362,371.0,370.0,0.49932525,2.6941211,13.59229,0.3004443,0.00023316772,0.00023348282,necessarily,42886,related,14260
NEGany~necessarily_new,482,0.50003797,4.740939,1.0,668.2304865,NEGATED,necessarily_new,3173681,482,6347362,241.0,241.0,0.5,2.9845934,10.977249,0.30103,0.00015187412,0.00015187412,necessarily,42886,new,21538
NEGany~yet_public,467,0.5000368,4.694473,1.0,647.4338282,NEGATED,yet_public,3173681,467,6347362,233.5,233.5,0.5,2.9708755,10.805092,0.30103,0.00014714774,0.00014714774,yet,53881,public,2656
NEGany~any_happier,828,0.4928705,4.6645985,0.9928058,1085.1055445,NEGATED,any_happier,3173681,834,6347362,417.0,411.0,0.4963768,2.1054916,14.283237,0.29789427,0.00025900523,0.0002608958,any,16238,happier,2004
NEGany~particularly_new,747,0.4934095,4.6086597,0.99335104,982.4804434,NEGATED,particularly_new,3173681,752,6347362,376.0,371.0,0.4966533,2.1333501,13.574181,0.29813275,0.00023379791,0.00023537337,particularly,76162,new,21538
NEGany~exactly_surprising,440,0.5000347,4.6068654,1.0,610.0000219,NEGATED,exactly_surprising,3173681,440,6347362,220.0,220.0,0.5,2.9450362,10.488089,0.30103,0.00013864027,0.00013864027,exactly,44503,surprising,18776
NEGany~particularly_religious,485,0.4979805,4.5154057,0.9979424,659.4056101,NEGATED,particularly_religious,3173681,486,6347362,243.0,242.0,0.49896908,2.5101643,10.988654,0.30013546,0.0001525043,0.0001528194,particularly,76162,religious,3507
NEGany~yet_dead,401,0.5000316,4.470123,1.0,555.9293739,NEGATED,yet_dead,3173681,401,6347362,200.5,200.5,0.5,2.9047704,10.012492,0.30103,0.0001263517,0.0001263517,yet,53881,dead,6348
NEGany~any_easier,1594,0.48104623,4.424653,0.98092306,1946.2333911,NEGATED,any_easier,3173681,1625,6347362,812.5,781.5,0.49027604,1.7045279,19.574236,0.29266495,0.00049248803,0.0005022559,any,16238,easier,12877
NEGmir~particularly_new,404,0.49787647,4.3480887,0.9975309,547.7224731445312,NEGMIR,particularly_new,291735,405,583470,202.5,201.5,0.49876237,2.4314277,10.025,0.29995635,0.0013813906,0.0013848183,particularly,10029,new,4300
NEGany~inherently_wrong,1639,0.47688413,4.251408,0.97675806,1956.0987964,NEGATED,inherently_wrong,3173681,1678,6347362,839.0,800.0,0.4881025,1.6183333,19.760618,0.290817,0.00050414645,0.000516435,inherently,8614,wrong,21332
NEGany~necessarily_surprising,340,0.50002676,4.226298,1.0,471.358296,NEGATED,necessarily_surprising,3173681,340,6347362,170.0,170.0,0.5,2.8331935,9.219544,0.30103,0.00010713112,0.00010713112,necessarily,42886,surprising,18776
NEGmir~ever_easy,368,0.49760467,4.2102056,0.99728996,497.9547119140625,NEGMIR,ever_easy,291735,369,583470,184.5,183.5,0.4986413,2.390893,9.5655985,0.29985145,0.001257991,0.0012614188,ever,4786,easy,7749
NEGany~terribly_interested,486,0.4898546,3.975449,0.9898167,624.8880121,NEGATED,terribly_interested,3173681,491,6347362,245.5,240.5,0.49485597,1.9467859,10.909302,0.29658478,0.00015155903,0.00015313448,terribly,19802,interested,34543
NEGany~necessarily_enough,279,0.500022,3.9327407,1.0,386.7883908,NEGATED,necessarily_enough,3173681,279,6347362,139.5,139.5,0.5,2.7474499,8.351646,0.30103,8.7910536e-05,8.7910536e-05,necessarily,42886,enough,27603
NEGany~particularly_surprising,1069,0.47455785,3.9307194,0.97447586,1260.2412315,NEGATED,particularly_surprising,3173681,1097,6347362,548.5,520.5,0.48690364,1.5744784,15.91959,0.28980106,0.00032801027,0.00033683283,particularly,76162,surprising,18776
NEGany~terribly_different,366,0.4945939,3.925345,0.9945652,485.3283466,NEGATED,terribly_different,3173681,368,6347362,184.0,182.0,0.49726775,2.1661837,9.513292,0.29866326,0.00011469332,0.0001153235,terribly,19802,different,80643
NEGmir~ever_good,299,0.49692217,3.902262,0.99666667,402.6363525390625,NEGMIR,ever_good,291735,300,583470,150.0,149.0,0.49832776,2.3007493,8.616893,0.29957992,0.001021475,0.0010249027,ever,4786,good,13423
NEGany~immediately_obvious,2238,0.46275014,3.8840876,0.9625806,2481.4717641,NEGATED,immediately_obvious,3173681,2325,6347362,1162.5,1075.5,0.480563,1.4082435,22.734236,0.28446713,0.00067776185,0.00070517487,immediately,58040,obvious,22651
NEGany~inherently_bad,794,0.47789365,3.8663137,0.9778325,953.039271,NEGATED,inherently_bad,3173681,812,6347362,406.0,388.0,0.48866498,1.6330284,13.769605,0.29129446,0.00024451103,0.00025018267,inherently,8614,bad,119509
NEGany~exactly_subtle,263,0.50002074,3.8447247,1.0,364.6063147,NEGATED,exactly_subtle,3173681,263,6347362,131.5,131.5,0.5,2.7218466,8.108638,0.30103,8.2869075e-05,8.2869075e-05,exactly,44503,subtle,5299
NEGany~exactly_fair,260,0.5000205,3.827607,1.0,360.4471844,NEGATED,exactly_fair,3173681,260,6347362,130.0,130.0,0.5,2.7168734,8.062258,0.30103,8.19238e-05,8.19238e-05,exactly,44503,fair,6964
NEGany~any_younger,255,0.5000201,3.798619,1.0,353.5153069,NEGATED,any_younger,3173681,255,6347362,127.5,127.5,0.5,2.7084558,7.9843597,0.30103,8.034834e-05,8.034834e-05,any,16238,younger,1784
NEGmir~inherently_wrong,1513,0.46433106,3.7779183,0.9630808,1684.9879150390625,NEGMIR,inherently_wrong,291735,1571,583470,785.5,727.5,0.4808328,1.4149984,18.703096,0.28469273,0.004987403,0.0051862136,inherently,3342,wrong,8506
NEGmir~that_simple,474,0.48176527,3.672223,0.98136646,580.4295654296875,NEGMIR,that_simple,291735,483,583470,241.5,232.5,0.49050632,1.6992054,10.679079,0.2928612,0.0015939123,0.0016247622,that,4559,simple,7465
NEGany~immediately_able,626,0.4766472,3.6569474,0.97659904,746.3779134,NEGATED,immediately_able,3173681,641,6347362,320.5,305.5,0.48801917,1.606673,12.210236,0.2907463,0.00019252092,0.0001972473,immediately,58040,able,23355
NEGany~particularly_original,360,0.48903903,3.6365826,0.989011,460.5883572,NEGATED,particularly_original,3173681,364,6347362,182.0,178.0,0.49444443,1.9037415,9.381424,0.29623112,0.00011217258,0.00011343295,particularly,76162,original,4693
NEGany~any_worse,1686,0.45699406,3.6154497,0.9568672,1816.5777569,NEGATED,any_worse,3173681,1762,6347362,881.0,805.0,0.47746146,1.3435453,19.605011,0.28188166,0.00050729734,0.0005312443,any,16238,worse,12116
NEGany~exactly_fun,224,0.50001764,3.6046069,1.0,310.5378422,NEGATED,exactly_fun,3173681,224,6347362,112.0,112.0,0.5,2.652277,7.483315,0.30103,7.05805e-05,7.05805e-05,exactly,44503,fun,19661
NEGmir~ever_perfect,206,0.5001766,3.5954287,1.0,285.6493835449219,NEGMIR,ever_perfect,291735,206,583470,103.0,103.0,0.5,2.6162567,7.17635,0.30103,0.0007061203,0.0007061203,ever,4786,perfect,1303
NEGmir~ever_simple,206,0.5001766,3.5954287,1.0,285.6493835449219,NEGMIR,ever_simple,291735,206,583470,103.0,103.0,0.5,2.6162567,7.17635,0.30103,0.0007061203,0.0007061203,ever,4786,simple,7465
NEGany~any_better,4719,0.4433951,3.5862653,0.94304556,4753.3289923,NEGATED,any_better,3173681,5004,6347362,2502.0,2217.0,0.46980292,1.2188971,32.2731,0.27556267,0.0013971158,0.0014869169,any,16238,better,50827
NEGany~particularly_wrong,218,0.50001717,3.5638468,1.0,302.2196582,NEGATED,particularly_wrong,3173681,218,6347362,109.0,109.0,0.5,2.6405113,7.3824115,0.30103,6.868995e-05,6.868995e-05,particularly,76162,wrong,21332
NEGany~remotely_true,250,0.49603555,3.5314636,0.99601597,334.9227365,NEGATED,remotely_true,3173681,251,6347362,125.5,124.5,0.498,2.2227507,7.8740716,0.2992963,7.845779e-05,7.877288e-05,remotely,6161,true,34967
NEGany~ever_easy,429,0.48172653,3.5276835,0.9816934,525.9780499,NEGATED,ever_easy,3173681,437,6347362,218.5,210.5,0.490676,1.7036018,10.163035,0.29300585,0.00013265353,0.00013517427,ever,10870,easy,108923
COM~ever_closer,279,0.4929044,3.520511,0.99288255,365.7942432,COMPLEMENT,ever_closer,3173681,281,6347362,140.5,138.5,0.49641576,2.0484798,8.291779,0.2979279,8.728036e-05,8.7910536e-05,ever,10870,closer,3686
NEGany~necessarily_aware,206,0.5000162,3.4787045,1.0,285.5833242,NEGATED,necessarily_aware,3173681,206,6347362,103.0,103.0,0.5,2.6159782,7.17635,0.30103,6.4908854e-05,6.4908854e-05,necessarily,42886,aware,28973
NEGany~exactly_hard,203,0.500016,3.456611,1.0,281.4242478,NEGATED,exactly_hard,3173681,203,6347362,101.5,101.5,0.5,2.6096222,7.1239033,0.30103,6.396358e-05,6.396358e-05,exactly,44503,hard,45061
NEGmir~particularly_wrong,212,0.49548605,3.3877854,0.9953052,282.63916015625,NEGMIR,particularly_wrong,291735,213,583470,106.5,105.5,0.4976415,2.151582,7.24577,0.29898626,0.0007232591,0.0007266869,particularly,10029,wrong,8506
NEGany~immediately_apparent,2015,0.44041935,3.2975833,0.94027066,2001.8017561,NEGATED,immediately_apparent,3173681,2143,6347362,1071.5,943.5,0.4682382,1.195738,21.01863,0.27428287,0.0005945777,0.00063490943,immediately,58040,apparent,9798
NEGany~terribly_surprised,287,0.4862766,3.2973294,0.9862543,361.1832826,NEGATED,terribly_surprised,3173681,291,6347362,145.5,141.5,0.49303135,1.805464,8.352481,0.2950189,8.9170906e-05,9.043127e-05,terribly,19802,surprised,10157
NEGany~terribly_exciting,382,0.47701147,3.280238,0.9769821,456.3850912,NEGATED,terribly_exciting,3173681,391,6347362,195.5,186.5,0.4882199,1.6049589,9.542171,0.2909166,0.00011752914,0.00012036496,terribly,19802,exciting,20233
NEGany~ever_simple,211,0.49529955,3.2761016,0.995283,281.1929044,NEGATED,ever_simple,3173681,212,6347362,106.0,105.0,0.49763033,2.149248,7.228498,0.2989766,6.616922e-05,6.648431e-05,ever,10870,simple,46867
NEGmir~any_better,380,0.47467625,3.272035,0.974359,447.8769836425781,NEGMIR,any_better,291735,390,583470,195.0,185.0,0.4868421,1.5597166,9.4903,0.289749,0.0012682743,0.001302552,any,1095,better,3831
NEGmir~particularly_surprising,166,0.5001423,3.269946,1.0,230.17210388183594,NEGMIR,particularly_surprising,291735,166,583470,83.0,83.0,0.5,2.5226915,6.4420495,0.30103,0.0005690096,0.0005690096,particularly,10029,surprising,1248
NEGmir~particularly_good,390,0.4728936,3.244312,0.9725686,455.34149169921875,NEGMIR,particularly_good,291735,401,583470,200.5,189.5,0.48589742,1.5314878,9.595705,0.28895023,0.0012991242,0.0013368297,particularly,10029,good,13423
NEGmir~that_easy,450,0.468115,3.2269833,0.9677419,512.4209594726562,NEGMIR,that_easy,291735,465,583470,232.5,217.5,0.48333332,1.4640112,10.253048,0.28678957,0.0014910792,0.0015424958,that,4559,easy,7749
NEGmir~exactly_sure,148,0.50012684,3.0955555,1.0,205.20912170410156,NEGMIR,exactly_sure,291735,148,583470,74.0,74.0,0.5,2.472977,6.0827627,0.30103,0.00050730974,0.00050730974,exactly,869,sure,5978
NEGmir~ever_enough,147,0.500126,3.0852215,1.0,203.8223114013672,NEGMIR,ever_enough,291735,147,583470,73.5,73.5,0.5,2.4700408,6.0621777,0.30103,0.00050388195,0.00050388195,ever,4786,enough,1326
COM~ever_greater,186,0.494667,3.0849447,0.9946524,246.7855776,COMPLEMENT,ever_greater,3173681,187,6347362,93.5,92.5,0.49731183,2.0946128,6.782429,0.29870135,5.8291935e-05,5.8607024e-05,ever,10870,greater,6949
NEGmir~necessarily_wrong,211,0.48615962,3.0464854,0.9859813,265.1792297363281,NEGMIR,necessarily_wrong,291735,214,583470,107.0,104.0,0.49289098,1.7815521,7.159655,0.2948987,0.0007129758,0.0007232591,necessarily,992,wrong,8506
NEGmir~ever_certain,143,0.50012255,3.0431306,1.0,198.275146484375,NEGMIR,ever_certain,291735,143,583470,71.5,71.5,0.5,2.4580948,5.9791303,0.30103,0.00049017085,0.00049017085,ever,4786,certain,1276
NEGany~any_different,902,0.44259545,3.0321164,0.9425287,905.8082987,NEGATED,any_different,3173681,957,6347362,478.5,423.5,0.4695122,1.2112701,14.101007,0.27532458,0.00026688253,0.00028421255,any,16238,different,80643
NEGany~terribly_popular,149,0.50001174,2.9872625,1.0,206.5613576,NEGATED,terribly_popular,3173681,149,6347362,74.5,74.5,0.5,2.4756916,6.1032777,0.30103,4.6948637e-05,4.6948637e-05,terribly,19802,popular,51120
NEGany~remotely_close,694,0.4468456,2.98443,0.946794,711.5146562,NEGATED,remotely_close,3173681,733,6347362,366.5,327.5,0.471902,1.2451648,12.43173,0.2772855,0.00020638495,0.00021867352,remotely,6161,close,46485
NEGany~terribly_unusual,146,0.5000115,2.956123,1.0,202.402335,NEGATED,terribly_unusual,3173681,146,6347362,73.0,73.0,0.5,2.4668877,6.041523,0.30103,4.6003363e-05,4.6003363e-05,terribly,19802,unusual,7412
COM~ever_larger,139,0.50001097,2.8807452,1.0,192.6979602,COMPLEMENT,ever_larger,3173681,139,6347362,69.5,69.5,0.5,2.4456232,5.894913,0.30103,4.379772e-05,4.379772e-05,ever,10870,larger,7453
NEGany~immediately_sure,138,0.50001085,2.869649,1.0,191.3116222,NEGATED,immediately_sure,3173681,138,6347362,69.0,69.0,0.5,2.4424987,5.87367,0.30103,4.3482632e-05,4.3482632e-05,immediately,58040,sure,134139
NEGany~immediately_successful,290,0.4699218,2.8654068,0.96989965,333.7301754,NEGATED,immediately_successful,3173681,299,6347362,149.5,140.5,0.48448277,1.485461,8.250444,0.2877568,8.854072e-05,9.137655e-05,immediately,58040,successful,31460
COM~particularly_acute,135,0.5000106,2.8358402,1.0,187.1526101,COMPLEMENT,particularly_acute,3173681,135,6347362,67.5,67.5,0.5,2.4329877,5.809475,0.30103,4.2537355e-05,4.2537355e-05,particularly,76162,acute,1038
NEGany~terribly_comfortable,129,0.50001013,2.7657554,1.0,178.8345944,NEGATED,terribly_comfortable,3173681,129,6347362,64.5,64.5,0.5,2.4133174,5.6789083,0.30103,4.0646806e-05,4.0646806e-05,terribly,19802,comfortable,23908
NEGmir~particularly_unusual,170,0.48280212,2.717041,0.982659,209.60098266601562,NEGMIR,particularly_unusual,291735,173,583470,86.5,83.5,0.49117646,1.6879051,6.4041576,0.2934328,0.0005724373,0.0005827206,particularly,10029,unusual,933
NEGmir~that_great,286,0.45996645,2.714489,0.9597315,312.6418151855469,NEGMIR,that_great,291735,298,583470,149.0,137.0,0.47902098,1.3606228,8.10098,0.28317976,0.00093920855,0.0009803418,that,4559,great,2123
NEGmir~ever_able,136,0.49281645,2.711819,0.99270076,178.1209259033203,NEGMIR,ever_able,291735,137,583470,68.5,67.5,0.49632353,1.9592425,5.7880774,0.29784834,0.00046274872,0.0004661765,ever,4786,able,1891
NEGmir~that_good,447,0.4394341,2.6534226,0.93907565,441.6885681152344,NEGMIR,that_good,291735,476,583470,238.0,209.0,0.4675615,1.1815938,9.885361,0.27373058,0.0014328072,0.0015322125,that,4559,good,13423
NEGany~terribly_bright,117,0.50000924,2.6144998,1.0,162.1985969,NEGATED,terribly_bright,3173681,117,6347362,58.5,58.5,0.5,2.371084,5.408327,0.30103,3.686571e-05,3.686571e-05,terribly,19802,bright,8623
NEGmir~remotely_close,218,0.4647818,2.5805843,0.96460176,244.2072296142578,NEGMIR,remotely_close,291735,226,583470,113.0,105.0,0.48165137,1.4103452,7.1114974,0.28537804,0.0007198313,0.0007472535,remotely,1953,close,4831
COM~ever_higher,129,0.49231777,2.5224993,0.99230766,168.4934914,COMPLEMENT,ever_higher,3173681,130,6347362,65.0,64.0,0.49612403,1.936196,5.634886,0.29767635,4.0331717e-05,4.0646806e-05,ever,10870,higher,12992
NEGmir~ever_wrong,102,0.50008744,2.5217228,1.0,141.41986083984375,NEGMIR,ever_wrong,291735,102,583470,51.0,51.0,0.5,2.3119056,5.049752,0.30103,0.00034963238,0.00034963238,ever,4786,wrong,8506
NEGany~ever_good,331,0.44573885,2.5152805,0.9457143,337.5562009,NEGATED,ever_good,3173681,350,6347362,175.0,156.0,0.47129908,1.2304916,8.574535,0.27678993,9.8308556e-05,0.0001042953,ever,10870,good,201244
NEGany~immediately_reachable,109,0.5000086,2.5041025,1.0,151.1079572,NEGATED,immediately_reachable,3173681,109,6347362,54.5,54.5,0.5,2.340459,5.2201533,0.30103,3.4344976e-05,3.4344976e-05,immediately,58040,reachable,350
NEGany~particularly_athletic,108,0.5000085,2.489692,1.0,149.7216286,NEGATED,particularly_athletic,3173681,108,6347362,54.0,54.0,0.5,2.3364744,5.196152,0.30103,3.4029887e-05,3.4029887e-05,particularly,76162,athletic,1772
NEGany~particularly_likeable,106,0.50000834,2.4604332,1.0,146.9489725,NEGATED,particularly_likeable,3173681,106,6347362,53.0,53.0,0.5,2.3283942,5.147815,0.30103,3.33997e-05,3.33997e-05,particularly,76162,likeable,861
NEGany~terribly_common,105,0.5000083,2.4455793,1.0,145.5626449,NEGATED,terribly_common,3173681,105,6347362,52.5,52.5,0.5,2.3242967,5.1234756,0.30103,3.3084612e-05,3.3084612e-05,terribly,19802,common,34450
NEGmir~particularly_original,90,0.5000771,2.3252702,1.0,124.78038024902344,NEGMIR,particularly_original,291735,90,583470,45.0,45.0,0.5,2.2578125,4.7434163,0.30103,0.00030849915,0.00030849915,particularly,10029,original,715
NEGany~any_nicer,96,0.50000757,2.3045638,1.0,133.0857106,NEGATED,any_nicer,3173681,96,6347362,48.0,48.0,0.5,2.2855704,4.8989797,0.30103,3.0248788e-05,3.0248788e-05,any,16238,nicer,642
NEGany~remotely_funny,137,0.4716417,2.1637037,0.9716312,159.0851313,NEGATED,remotely_funny,3173681,141,6347362,70.5,66.5,0.48540145,1.4851084,5.6814785,0.28853145,4.1907173e-05,4.316754e-05,remotely,6161,funny,14992
NEGany~inherently_evil,358,0.41329083,2.1180458,0.9132653,312.2287806,NEGATED,inherently_evil,3173681,392,6347362,196.0,162.0,0.45251396,1.0167145,8.561966,0.26162696,0.00010208966,0.00011280277,inherently,8614,evil,3171
NEGmir~that_big,113,0.47423223,2.081596,0.9741379,132.97927856445312,NEGMIR,that_big,291735,116,583470,58.0,55.0,0.48672566,1.5110916,5.173965,0.28965044,0.00037705453,0.00038733782,that,4559,big,3134
NEGany~particularly_radical,79,0.5000062,1.9937949,1.0,109.5182378,NEGATED,particularly_radical,3173681,79,6347362,39.5,39.5,0.5,2.201408,4.444097,0.30103,2.4892232e-05,2.4892232e-05,particularly,76162,radical,2637
NEGany~remotely_interested,330,0.40661672,1.9932805,0.9065934,278.6906037,NEGATED,remotely_interested,3173681,364,6347362,182.0,148.0,0.44848484,0.98139286,8.147132,0.25844255,9.3267096e-05,0.0001039802,remotely,6161,interested,34543
NEGany~any_smarter,89,0.48889583,1.9359831,0.98888886,113.7792457,NEGATED,any_smarter,3173681,90,6347362,45.0,44.0,0.49438202,1.7757438,4.6639905,0.2961775,2.7728054e-05,2.8043147e-05,any,16238,smarter,733
NEGmir~terribly_surprising,67,0.5000574,1.8528547,1.0,92.88941955566406,NEGMIR,terribly_surprising,291735,67,583470,33.5,33.5,0.5,2.1304336,4.092676,0.30103,0.00022966048,0.00022966048,terribly,2204,surprising,1248
NEGany~ever_boring,72,0.50000566,1.8436149,1.0,99.8140107,NEGATED,ever_boring,3173681,72,6347362,36.0,36.0,0.5,2.161378,4.2426405,0.30103,2.268659e-05,2.268659e-05,ever,10870,boring,3840
NEGmir~inherently_bad,148,0.43682715,1.8286356,0.93670887,144.51365661621094,NEGMIR,inherently_bad,291735,158,583470,79.0,69.0,0.4662162,1.1507427,5.671765,0.27263463,0.00047303204,0.00050730974,inherently,3342,bad,4790
NEGany~immediately_certain,70,0.50000554,1.7976972,1.0,97.0413773,NEGATED,immediately_certain,3173681,70,6347362,35.0,35.0,0.5,2.1492286,4.1833,0.30103,2.2056407e-05,2.2056407e-05,immediately,58040,certain,11334
