key,f,dP1,P1,LRC,G2,MI,odds_r_disc,t,N,f1,f2,exp_f,unexp_f,l1,l2,adv,adv_total,adj,adj_total
NEGmir~that_popular,65,0.4849085,0.9848485,1.5371106,81.13968658447266,0.29440388,1.6402543,3.9691536,583470,291732,66,32.99966049194336,32.00033950805664,NEGMIR,that_popular,that,4559,popular,2841
NEGmir~particularly_novel,54,0.50005144,1.0,1.497308,74.86600494384766,0.30103445,2.0375159,3.6742723,583470,291732,54,26.99972152709961,27.00027847290039,NEGMIR,particularly_novel,particularly,10029,novel,179
NEGany~remotely_ready,58,0.50000805,1.0,1.4869334,80.4064071,0.30103302,2.0681999,3.807913,6347364,3173660,58,28.999799,29.000201,NEGATED,remotely_ready,remotely,6161,ready,29583
NEGany~any_sweeter,58,0.50000805,1.0,1.4869334,80.4064071,0.30103302,2.0681999,3.807913,6347364,3173660,58,28.999799,29.000201,NEGATED,any_sweeter,any,16238,sweeter,388
NEGmir~particularly_religious,53,0.50005054,1.0,1.4660037,73.47950744628906,0.30103445,2.0294716,3.6400924,583470,291732,53,26.499727249145508,26.500272750854492,NEGMIR,particularly_religious,particularly,10029,religious,337
NEGany~inherently_better,144,0.4114061,0.9113924,1.4634744,124.4587791,0.2607384,0.99852365,5.4167123,6347364,3173660,158,78.9994524,65.0005476,NEGATED,inherently_better,inherently,8614,better,50827
NEGany~particularly_flashy,57,0.5000079,1.0,1.4577835,79.0200807,0.30103302,2.0607116,3.7749434,6347364,3173660,57,28.4998024,28.5001976,NEGATED,particularly_flashy,particularly,76162,flashy,1732
NEGany~inherently_good,283,0.36020452,0.86018234,1.4573976,189.854933,0.23562354,0.78513855,7.044162,6347364,3173660,329,164.4988597,118.5011403,NEGATED,inherently_good,inherently,8614,good,201244
NEGmir~remotely_true,61,0.48392752,0.983871,1.431555,75.7196044921875,0.2939726,1.6128821,3.8411472,583470,291732,62,30.99968147277832,30.00031852722168,NEGMIR,remotely_true,remotely,1953,true,2850
NEGany~remotely_similar,152,0.39942238,0.8994083,1.3948921,123.9716565,0.2549899,0.9402563,5.4750204,6347364,3173660,169,84.4994142,67.5005858,NEGATED,remotely_similar,remotely,6161,similar,11088
NEGany~any_brighter,63,0.48438334,0.984375,1.3688985,78.4222452,0.2941936,1.626697,3.9056609,6347364,3173660,64,31.9997782,31.0002218,NEGATED,any_brighter,any,16238,brighter,640
NEGmir~necessarily_bad,50,0.500048,1.0,1.36786,69.32003021240234,0.30103445,2.0044048,3.5355701,583470,291732,50,24.99974250793457,25.00025749206543,NEGMIR,necessarily_bad,necessarily,992,bad,4790
NEGmir~immediately_available,162,0.38055992,0.8804348,1.3381294,120.40536499023438,0.24573165,0.85888827,5.4997935,583470,291732,184,91.99905395507812,70.00094604492188,NEGMIR,immediately_available,immediately,564,available,3079
NEGmir~ever_right,49,0.50004715,1.0,1.3336272,67.93354797363281,0.30103445,1.995717,3.500036,583470,291732,49,24.49974822998047,24.50025177001953,NEGMIR,ever_right,ever,4786,right,2038
NEGany~remotely_related,146,0.39571914,0.8957055,1.3301418,116.9502129,0.25319827,0.92282325,5.3381047,6347364,3173660,163,81.499435,64.500565,NEGATED,remotely_related,remotely,6161,related,14260
COM~ever_deeper,61,0.48389617,0.983871,1.3146967,75.7176808,0.29398593,1.6128277,3.841269,6347364,3173552,62,30.9987302,30.0012698,COMPLEMENT,ever_deeper,ever,10870,deeper,1768
NEGmir~any_different,48,0.50004625,1.0,1.2985759,66.54706573486328,0.30103445,1.9868522,3.4641373,583470,291732,48,23.999753952026367,24.000246047973633,NEGMIR,any_different,any,1095,different,8644
NEGmir~terribly_interesting,56,0.48250842,0.98245615,1.2879083,68.9566421508789,0.29334763,1.576048,3.6748812,583470,291732,57,28.499706268310547,27.500293731689453,NEGMIR,terribly_interesting,terribly,2204,interesting,3863
NEGmir~particularly_innovative,47,0.5000454,1.0,1.2626665,65.16059112548828,0.30103445,1.9778025,3.4278626,583470,291732,47,23.499757766723633,23.500242233276367,NEGMIR,particularly_innovative,particularly,10029,innovative,675
NEGmir~that_interested,62,0.46880656,0.96875,1.2616467,70.93045806884766,0.28724617,1.3980383,3.8100457,583470,291732,64,31.999670028686523,30.000329971313477,NEGMIR,that_interested,that,4559,interested,2877
NEGany~inherently_illegal,59,0.48334137,0.98333335,1.258209,73.0070667,0.29373378,1.5984397,3.7755055,6347364,3173660,60,29.999792,29.000208,NEGATED,inherently_illegal,inherently,8614,illegal,3580
