|        | `key`              | `l1`       |     `f` |   `dP1` |   `LRC` |   `P1` |       `G2` | `l2`         |      `f1` |    `f2` |       `N` |   `exp_f` |   `unexp_f` |   `unexp_r` |   `odds_r_disc` |    `t` |   `MI` |
|:-------|:-------------------|:-----------|--------:|--------:|--------:|-------:|-----------:|:-------------|----------:|--------:|----------:|----------:|------------:|------------:|----------------:|-------:|-------:|
| **1**  | COM~increasingly   | COMPLEMENT |  17,139 |    0.50 |    7.07 |   1.00 |  22,963.63 | increasingly | 3,173,681 |  17,212 | 6,347,362 |  8,606.00 |    8,533.00 |        0.50 |            2.37 |  65.18 |   0.30 |
| **2**  | NEGany~necessarily | NEGATED    |  42,595 |    0.50 |    6.65 |   0.99 |  55,995.13 | necessarily  | 3,173,681 |  42,916 | 6,347,362 | 21,458.00 |   21,137.00 |        0.50 |            2.13 | 102.42 |   0.30 |
| **3**  | NEGany~that        | NEGATED    | 164,768 |    0.50 |    6.26 |   0.99 | 214,471.83 | that         | 3,173,681 | 166,680 | 6,347,362 | 83,340.00 |   81,428.00 |        0.49 |            1.96 | 200.60 |   0.30 |
| **4**  | COM~relatively     | COMPLEMENT |  26,629 |    0.49 |    5.98 |   0.99 |  34,010.20 | relatively   | 3,173,681 |  26,947 | 6,347,362 | 13,473.50 |   13,155.50 |        0.49 |            1.93 |  80.62 |   0.30 |
| **5**  | NEGany~exactly     | NEGATED    |  43,813 |    0.49 |    5.97 |   0.99 |  55,763.99 | exactly      | 3,173,681 |  44,378 | 6,347,362 | 22,189.00 |   21,624.00 |        0.49 |            1.90 | 103.31 |   0.30 |
| **6**  | COM~almost         | COMPLEMENT |  20,201 |    0.48 |    5.30 |   0.98 |  24,695.07 | almost       | 3,173,681 |  20,598 | 6,347,362 | 10,299.00 |    9,902.00 |        0.49 |            1.71 |  69.67 |   0.29 |
| **7**  | COM~mostly         | COMPLEMENT |   9,180 |    0.48 |    5.12 |   0.98 |  11,190.02 | mostly       | 3,173,681 |   9,363 | 6,347,362 |  4,681.50 |    4,498.50 |        0.49 |            1.70 |  46.95 |   0.29 |
| **8**  | COM~seemingly      | COMPLEMENT |   7,422 |    0.48 |    5.07 |   0.98 |   9,051.32 | seemingly    | 3,173,681 |   7,569 | 6,347,362 |  3,784.50 |    3,637.50 |        0.49 |            1.70 |  42.22 |   0.29 |
| **9**  | COM~fairly         | COMPLEMENT |  17,263 |    0.48 |    5.01 |   0.98 |  20,605.35 | fairly       | 3,173,681 |  17,680 | 6,347,362 |  8,840.00 |    8,423.00 |        0.49 |            1.62 |  64.11 |   0.29 |
| **10** | COM~pretty         | COMPLEMENT |  69,603 |    0.48 |    4.98 |   0.97 |  81,991.26 | pretty       | 3,173,681 |  71,559 | 6,347,362 | 35,779.50 |   33,823.50 |        0.49 |            1.56 | 128.20 |   0.29 |
| **11** | COM~largely        | COMPLEMENT |   8,012 |    0.48 |    4.91 |   0.98 |   9,604.59 | largely      | 3,173,681 |   8,197 | 6,347,362 |  4,098.50 |    3,913.50 |        0.49 |            1.64 |  43.72 |   0.29 |
