key,l1,l2,f,E11,am_log_likelihood,am_odds_ratio_disc,am_p1_given2,am_p2_given1,am_p1_given2_simple,am_p2_given1_simple,f1,f2,N,Fyy(O11),Fyn(O12),Fny(O21),Fnn(O22),Fy_(R1),Fn_(R2),F_y(C1),F_n(C2),E12,E21,E22,t_score,dice,mutual_information,deltaP_min,deltaP_max,deltaP_abs_max,deltaP_mean,unexpected_f,unexpected_ratio,conservative_log_ratio,conservative_log_ratio_001,conservative_log_ratio_01,conservative_log_ratio_05,conservative_log_ratio_nc,conservative_log_ratio_dv,f_sqrt,f1_sqrt,f2_sqrt
COM~nice,COMPLEMENT,nice,12674,11161.54278,412.5863,0.118832,0.0679894,0.0009531246,0.5677298,0.0039936323,3173552,22324,6347364,12674.0,3160878.0,9650.0,3164162.0,3173552.0,3173812.0,22324.0,6325040.0,3162390.45721657,11162.457216571,3162649.54278343,13.434647,0.007931472,0.055189475,0.0009531246,0.0679894,0.0679894,0.034471262,1512.4572200000002,0.11933543,0.287184,0.28175363,0.28960556,0.29544523,0.33858517,0.31057113,112.57886124845996,1781.4466031851755,149.41218156495808
COM~active,COMPLEMENT,active,9207,8163.16561,268.3616,0.11195323,0.064097896,0.0006578065,0.5639125,0.0029011655,3173552,16327,6347364,9207.0,3164345.0,7120.0,3166692.0,3173552.0,3173812.0,16327.0,6331037.0,3165388.834392356,8163.834392356,3165648.165607644,10.878588,0.005772633,0.052259535,0.0006578065,0.064097896,0.064097896,0.03237785,1043.83439,0.113373995,0.24690138,0.24055946,0.24972942,0.25654942,0.30693287,0.2742147,95.95311355031686,1781.4466031851755,127.77714975691076
NEG~different,NEGATED,different,45138,40321.22049,1168.38,0.10559276,0.060498293,0.003035452,0.5597262,0.0142226955,3173660,80643,6347364,45138.0,3128522.0,35505.0,3138199.0,3173660.0,3173704.0,80643.0,6266721.0,3133338.7795091,40321.7795091,3133382.2204909,22.67178,0.027740503,0.04900864,0.003035452,0.060498293,0.060498293,0.031766873,4816.77951,0.1067123,0.29056564,0.2877099,0.29183906,0.29490975,0.31758687,0.3028624,212.45705448395918,1781.4769153710638,283.9771117537468
COM~significant,COMPLEMENT,significant,9821,8763.64101,256.4647,0.10559005,0.06049104,0.0006663295,0.5603035,0.0030946396,3173552,17528,6347364,9821.0,3163731.0,7707.0,3166105.0,3173552.0,3173812.0,17528.0,6329836.0,3164788.358989968,8764.358989968,3165047.641010032,10.669514,0.006155283,0.049471132,0.0006663295,0.06049104,0.06049104,0.030578684,1057.3589900000006,0.107663065,0.23017117,0.22405407,0.23289894,0.23947702,0.2880703,0.2565153,99.10095862301232,1781.4466031851755,132.39335330748293
COM~expensive,COMPLEMENT,expensive,17241,15444.86732,420.7271,0.10195604,0.058428563,0.001131892,0.5581237,0.005432714,3173552,30891,6347364,17241.0,3156311.0,13650.0,3160162.0,3173552.0,3173812.0,30891.0,6316473.0,3158107.132676808,15446.132676809,3158365.867323192,13.67909,0.010760684,0.04777827,0.001131892,0.058428563,0.058428563,0.029780228,1796.1326800000006,0.10417799,0.24697712,0.24236824,0.24903229,0.2539883,0.2905937,0.26682433,131.30498848101698,1781.4466031851755,175.7583568425695
COM~responsible,COMPLEMENT,responsible,6739,6085.25073,141.002,0.09384279,0.053816877,0.0004119816,0.5536932,0.002123488,3173552,12171,6347364,6739.0,3166813.0,5432.0,3168380.0,3173552.0,3173812.0,12171.0,6335193.0,3167466.749273557,6085.749273557,3167726.250726443,7.9636745,0.004230751,0.044316977,0.0004119816,0.053816877,0.053816877,0.02711443,653.7492700000003,0.09700983,0.16777198,0.16044258,0.17104031,0.17892197,0.23714386,0.19933648,82.09141246196218,1781.4466031851755,110.32225523438143
COM~much,COMPLEMENT,much,59236,53749.29824,1141.3617,0.09049766,0.05191696,0.0034576254,0.55101717,0.01866552,3173552,107503,6347364,59236.0,3114316.0,48267.0,3125545.0,3173552.0,3173812.0,107503.0,6239861.0,3119802.70176281,53753.701762811,3120058.29823719,22.543352,0.036107898,0.042212926,0.0034576254,0.05191696,0.05191696,0.027687293,5486.701760000004,0.09262445,0.24733773,0.24486819,0.2484389,0.25109422,0.27070224,0.2579709,243.38446951274437,1781.4466031851755,327.87650114029213
NEG~relevant,NEGATED,relevant,6442,5839.95952,124.5772,0.09001857,0.051639587,0.0003793956,0.5515411,0.0020298332,3173660,11680,6347364,6442.0,3167218.0,5238.0,3168466.0,3173660.0,3173704.0,11680.0,6335684.0,3167820.040482947,5840.040482947,3167863.959517053,7.5009336,0.00404478,0.042610884,0.0003793956,0.051639587,0.051639587,0.02600949,602.0404799999997,0.09345552,0.15218809,0.14470889,0.15552321,0.16356589,0.22297558,0.18439718,80.26207074328447,1781.4769153710638,108.07404868885037
COM~proud,COMPLEMENT,proud,9007,8263.66149,134.2548,0.07853936,0.045091912,0.0004684392,0.544954,0.0028381448,3173552,16528,6347364,9007.0,3164545.0,7521.0,3166291.0,3173552.0,3173812.0,16528.0,6330836.0,3165288.338509025,8264.338509025,3165547.661490975,7.8324304,0.00564688,0.037407644,0.0004684392,0.045091912,0.045091912,0.022780176,743.3385099999996,0.08252898,0.13737644,0.13109234,0.14017858,0.14693582,0.196843,0.16443668,94.90521587352299,1781.4466031851755,128.56126943990557
COM~busy,COMPLEMENT,busy,7415,6805.72121,109.4666,0.07812659,0.04485661,0.000383957,0.54473996,0.0023364988,3173552,13612,6347364,7415.0,3166137.0,6197.0,3167615.0,3173552.0,3173812.0,13612.0,6333752.0,3166746.278786596,6806.278786596,3167005.721213404,7.0755544,0.00465304,0.037237,0.000383957,0.04485661,0.04485661,0.022620285,609.2787900000003,0.082168415,0.12360677,0.11668355,0.1266939,0.1341384,0.18912275,0.15341942,86.1103942622492,1781.4466031851755,116.67047612828192
COM~large,COMPLEMENT,large,11576,10634.56437,167.4546,0.07734596,0.044410013,0.0005932766,0.5442407,0.0036476478,3173552,21270,6347364,11576.0,3161976.0,9694.0,3164118.0,3173552.0,3173812.0,21270.0,6326094.0,3162917.435629656,10635.435629657,3163176.564370344,8.750067,0.007246726,0.036838815,0.0005932766,0.044410013,0.044410013,0.022501646,941.43563,0.08132651,0.14780323,0.1422631,0.15027362,0.1562308,0.2002273,0.17165937,107.59182125050212,1781.4466031851755,145.84238067173752
COM~high,COMPLEMENT,high,22955,21163.13308,305.8195,0.07420795,0.042617094,0.0011292038,0.54231244,0.00723322,3173552,42328,6347364,22955.0,3150597.0,19373.0,3154439.0,3173552.0,3173812.0,42328.0,6305036.0,3152388.866917354,21164.866917353,3152647.133082646,11.826796,0.01427603,0.035297334,0.0011292038,0.042617094,0.042617094,0.021873148,1791.8669200000004,0.078059986,0.16814819,0.16422008,0.16989975,0.17412347,0.20531434,0.18506205,151.50907563575194,1781.4466031851755,205.73769708053018
NEG~helpful,NEGATED,helpful,9077,8467.4413,88.0726,0.06279989,0.036090307,0.0003841334,0.53599054,0.0028601047,3173660,16935,6347364,9077.0,3164583.0,7858.0,3165846.0,3173660.0,3173704.0,16935.0,6330429.0,3165192.558696807,8467.558696807,3165236.441303193,6.3980017,0.005689848,0.030190142,0.0003841334,0.036090307,0.036090307,0.01823722,609.5586999999996,0.06715421,0.08684329,0.080640875,0.08960895,0.09627809,0.1455287,0.113549896,95.2732911156112,1781.4769153710638,130.13454575937936
COM~attractive,COMPLEMENT,attractive,6437,6006.75394,61.8015,0.06243122,0.03587997,0.0002711337,0.5357916,0.0020283265,3173552,12014,6347364,6437.0,3167115.0,5577.0,3168235.0,3173552.0,3173812.0,12014.0,6335350.0,3167545.246058048,6007.246058049,3167804.753941952,5.362597,0.004041354,0.030043667,0.0002711337,0.03587997,0.03587997,0.018075552,430.2460600000004,0.06683953,0.06306851,0.055706203,0.06635138,0.07426769,0.13272958,0.09476957,80.23091673413684,1781.4466031851755,109.60839383915814
COM~better,COMPLEMENT,better,27218,25412.45902,258.8416,0.06231112,0.035810016,0.001137821,0.5355028,0.00857651,3173552,50827,6347364,27218.0,3146334.0,23609.0,3150203.0,3173552.0,3173812.0,50827.0,6296537.0,3148139.540984888,25414.540984888,3148397.459015112,10.944079,0.016882632,0.02980952,0.001137821,0.035810016,0.035810016,0.018473918,1805.5409800000016,0.06633628,0.13538863,0.13180657,0.13698585,0.14083737,0.16927773,0.15081176,164.97878651511533,1781.4466031851755,225.44844199949574
NEG~comfortable,NEGATED,comfortable,12742,11953.91713,104.379,0.05756009,0.03308777,0.0004966363,0.5329597,0.004014923,3173660,23908,6347364,12742.0,3160918.0,11166.0,3162538.0,3173660.0,3173704.0,23908.0,6323456.0,3161706.082865265,11954.082865265,3161749.917134735,6.98157,0.007969807,0.02772736,0.0004966363,0.03308777,0.03308777,0.016792204,788.0828700000002,0.06184923,0.088515185,0.08329545,0.09084266,0.09645509,0.13789964,0.1109899,112.88046775239727,1781.4769153710638,154.62212002168383
NEG~complicated,NEGATED,complicated,7886,7407.44865,62.02,0.05631971,0.03237738,0.0003015749,0.5322983,0.0024848282,3173660,14815,6347364,7886.0,3165774.0,6929.0,3166775.0,3173660.0,3173704.0,14815.0,6332549.0,3166252.551348875,7407.551348875,3166296.448651125,5.3889003,0.004946565,0.027188122,0.0003015749,0.03237738,0.03237738,0.016339479,478.55134999999973,0.06068366,0.057097945,0.050468963,0.060053796,0.06718149,0.11981626,0.08564053,88.80315309717331,1781.4769153710638,121.71688461343398
NEG~exciting,NEGATED,exciting,10755,10116.42987,80.9266,0.05507234,0.03166175,0.0004024159,0.5315574,0.0033888319,3173660,20233,6347364,10755.0,3162905.0,9478.0,3164226.0,3173660.0,3173704.0,20233.0,6327131.0,3163543.570127694,10116.570127694,3163587.429872306,6.1574855,0.006734728,0.026583139,0.0004024159,0.03166175,0.03166175,0.016032081,638.5701300000001,0.059374258,0.07152343,0.06585049,0.074052975,0.080152676,0.12519516,0.095949344,103.70631610466162,1781.4769153710638,142.24275025462634
NEG~impressive,NEGATED,impressive,8785,8300.94246,56.6339,0.05083744,0.02923304,0.0003050448,0.5291531,0.0027680974,3173660,16602,6347364,8785.0,3164875.0,7817.0,3165887.0,3173660.0,3173704.0,16602.0,6330762.0,3165359.057542627,8301.057542627,3165402.942457373,5.164474,0.005507385,0.024614364,0.0003050448,0.02923304,0.02923304,0.014769043,484.0575399999998,0.05510046,0.046093177,0.039832056,0.048884984,0.055617053,0.10532805,0.0730512,93.72833082905083,1781.4769153710638,128.84874853874211
COM~long,COMPLEMENT,long,9321,8838.63794,52.8201,0.04757738,0.027362214,0.0003039763,0.52726555,0.0029370876,3173552,17678,6347364,9321.0,3164231.0,8357.0,3165455.0,3173552.0,3173812.0,17678.0,6329686.0,3164713.36206211,8839.36206211,3164972.63793789,4.996224,0.005841635,0.023077164,0.0003039763,0.027362214,0.027362214,0.013833095,482.3620599999995,0.051750034,0.039068498,0.033001415,0.04177377,0.048297156,0.09646595,0.06519069,96.54532614269839,1781.4466031851755,132.95864018558552
