key,l1,l2,f,E11,am_log_likelihood,am_odds_ratio_disc,am_p1_given2,am_p2_given1,am_p1_given2_simple,am_p2_given1_simple,f1,f2,N,Fyy(O11),Fyn(O12),Fny(O21),Fnn(O22),Fy_(R1),Fn_(R2),F_y(C1),F_n(C2),E12,E21,E22,t_score,dice,liddell,mutual_information,deltaP_min,deltaP_max,deltaP_max_abs,deltaP_product,unexpected_f,unexpected_ratio,expected_sqrt,unexpected_abs_sqrt,conservative_log_ratio,conservative_log_ratio_001,conservative_log_ratio_01,conservative_log_ratio_05,conservative_log_ratio_nc,conservative_log_ratio_dv,f_sqrt,f1_sqrt,f2_sqrt
NEG~keen,NEGATED,keen,9139,2081.45542,13915.632123,0.7048344,0.12679271,0.002272487,0.16408129,0.002832733,3226213,55698,86330752,9139.0,3217074.0,46559.0,83057980.0,3226213.0,83104539.0,55698.0,86275054.0,3224131.544579874,53616.544579873,83050922.45542012,73.82514,0.005569316,0.12679271,0.6425316,0.002272487,0.12679271,0.12679271,0.0002881348,7057.54458,0.77224475,45.62297,84.00919,2.2490568,2.2444103,2.2511299,2.2561321,2.2917857,2.258085,95.59811713627,1796.1661949830811,236.00423725009685
NEG~thrilled,NEGATED,thrilled,4804,1094.42895,7308.663096,0.7042433,0.12671003,0.0011944595,0.16403742,0.0014890523,3226213,29286,86330752,4804.0,3221409.0,24482.0,83080057.0,3226213.0,83104539.0,29286.0,86301466.0,3225118.571054009,28191.571054009,83076347.42894599,53.520752,0.002951314,0.12671003,0.6424154,0.0011944595,0.12671003,0.12671003,0.00015135,3709.57105,0.77218384,33.082153,60.906246,2.21477,2.2083578,2.217631,2.2245345,2.2737377,2.2272294,69.31089380465383,1796.1661949830811,171.13152836341993
NEG~indicative,NEGATED,indicative,2073,476.84605,3118.334564,0.69898283,0.12510893,0.00051395193,0.16246082,0.000642549,3226213,12760,86330752,2073.0,3224140.0,10687.0,83093852.0,3226213.0,83104539.0,12760.0,86317992.0,3225736.153952372,12283.153952371,83092255.84604762,35.05703,0.001280035,0.12510893,0.63822114,0.00051395193,0.12510893,0.12510893,6.429998e-05,1596.15395,0.769973,21.836805,39.951897,2.134071,2.124315,2.138424,2.1489267,2.2237864,2.153027,45.53020975132884,1796.1661949830811,112.96016997154351
NEG~late,NEGATED,late,26304,6085.39266,39431.898167,0.6985542,0.124397054,0.00651027,0.16153279,0.008153212,3226213,162840,86330752,26304.0,3199909.0,136536.0,82968003.0,3226213.0,83104539.0,162840.0,86167912.0,3220127.60733575,156754.60733575,82947784.39266425,124.663795,0.01552292,0.124397054,0.6357332,0.00651027,0.124397054,0.124397054,0.0008098584,20218.60734,0.7686514,78.00893,142.19215,2.2588253,2.2560968,2.2600424,2.2629797,2.2839146,2.2641263,162.18507946170635,1796.1661949830811,403.5343851519967
NEG~fancy,NEGATED,fancy,1908,458.27297,2729.969933,0.67665553,0.1182364,0.00046680338,0.15558998,0.0005914055,3226213,12263,86330752,1908.0,3224305.0,10355.0,83094184.0,3226213.0,83104539.0,12263.0,86318489.0,3225754.727031186,11804.727031186,83092734.27296881,33.18922,0.001178332,0.1182364,0.61945415,0.00046680338,0.1182364,0.1182364,5.519315e-05,1449.72703,0.759815,21.40731,38.07528,2.052819,2.042691,2.0573375,2.068241,2.1459534,2.0724974,43.68065933568311,1796.1661949830811,110.73843054694247
NEG~sure,NEGATED,sure,128824,31577.26099,182987.333212,0.67986006,0.116225064,0.031312864,0.15245786,0.039930407,3226213,844981,86330752,128824.0,3097389.0,716157.0,82388382.0,3226213.0,83104539.0,844981.0,85485771.0,3194635.739014795,813403.739014795,82291135.26098521,270.9422,0.06328561,0.116225064,0.61062235,0.031312864,0.116225064,0.116225064,0.0036393397,97246.73901,0.7548806,177.69992,311.8441,2.1889849,2.187776,2.1895242,2.1908255,2.2001007,2.1913335,358.9206040338169,1796.1661949830811,919.2284808468459
NEG~exclusive,NEGATED,exclusive,6202,1536.63265,8556.170834,0.66110843,0.1135142,0.0015022202,0.15083052,0.0019223777,3226213,41119,86330752,6202.0,3220011.0,34917.0,83069622.0,3226213.0,83104539.0,41119.0,86289633.0,3224676.367348555,39582.367348555,83064956.63265146,59.24067,0.00379637,0.1135142,0.6059617,0.0015022202,0.1135142,0.1135142,0.00017052333,4665.36735,0.75223595,39.199905,68.3035,2.0866513,2.081053,2.089149,2.0951762,2.1381335,2.097529,78.75277772878871,1796.1661949830811,202.7782039569342
NEG~clear,NEGATED,clear,72905,18352.89254,99542.75447,0.6600399,0.11171517,0.01756545,0.14845003,0.022597702,3226213,491108,86330752,72905.0,3153308.0,418203.0,82686336.0,3226213.0,83104539.0,491108.0,85839644.0,3207860.107464047,472755.107464047,82631783.89253595,202.03792,0.039224487,0.11171517,0.5990528,0.01756545,0.11171517,0.11171517,0.0019623272,54552.10746,0.7482629,135.47285,233.56392,2.1359534,2.134338,2.1366742,2.1384134,2.15081,2.1390924,270.00925910049824,1796.1661949830811,700.7909816771331
NEG~glamorous,NEGATED,glamorous,2497,656.97128,3196.784775,0.63019246,0.10468734,0.00059247814,0.14203641,0.0007739725,3226213,17580,86330752,2497.0,3223716.0,15083.0,83089456.0,3226213.0,83104539.0,17580.0,86313172.0,3225556.028721214,16923.028721214,83087615.97127879,36.822674,0.001539556,0.10468734,0.57987213,0.00059247814,0.10468734,0.10468734,6.202496e-05,1840.02872,0.73689574,25.63145,42.895557,1.9241343,1.915352,1.9280524,1.937507,2.0048943,1.941198,49.969990994595946,1796.1661949830811,132.58959235173776
NEG~lucky,NEGATED,lucky,12350,3607.54962,13785.805519,0.5786044,0.09066387,0.0028150163,0.12793288,0.0038280175,3226213,96535,86330752,12350.0,3213863.0,84185.0,83020354.0,3226213.0,83104539.0,96535.0,86234217.0,3222605.450375562,92927.450375563,83011611.54962444,78.66829,0.007433606,0.09066387,0.53445464,0.0028150163,0.09066387,0.09066387,0.00025522028,8742.45038,0.7078907,60.06288,93.50107,1.843038,1.8391266,1.8447831,1.848994,1.8790069,1.8506378,111.13055385446434,1796.1661949830811,310.7008207263058
