bigram_lower,SUM,pos-mirror-R,pos-mirror-L
more_memorable,556,418,138
even_fatal,555,554,1
more_aggressive,555,437,118
more_suitable,550,269,281
more_vulnerable,545,497,48
so_stupid,545,250,295
most_popular,543,536,7
too_strong,539,521,18
so_sweet,539,389,150
pretty_special,538,85,453
too_true,537,532,5
too_few,537,525,12
so_powerful,536,262,274
not_present,535,496,39
very_kind,535,531,4
more_critical,533,475,58
fully_aware,532,515,17
very_clean,531,496,35
more_realistic,530,315,215
so_perfect,530,389,141
more_shocking,527,456,71
more_tangible,527,81,446
more_rewarding,526,435,91
very_likely,525,514,11
so_familiar,524,366,158
much_harder,522,422,100
much_older,522,269,253
politically_correct,521,483,38
so_old,520,432,88
very_complex,518,463,55
too_ready,516,515,1
so_unique,515,261,254
so_full,514,440,74
very_open,512,504,8
not_satisfied,511,502,9
very_complicated,510,450,60
very_grateful,509,503,6
really_exciting,509,194,315
as_powerful,509,237,272
otherwise_objectionable,508,508,0
more_ambitious,506,137,369
much_closer,506,244,262
more_intriguing,504,411,93
n't_interested,504,504,0
more_necessary,504,487,17
really_stupid,504,156,348
quite_similar,502,341,161
quite_simple,501,389,112
even_third,499,499,0
too_dark,499,490,9
too_stupid,497,482,15
more_active,495,352,143
completely_unrelated,494,140,354
as_complicated,493,395,98
as_beautiful,491,212,279
as_strong,491,354,137
so_personal,485,97,388
so_exciting,484,363,121
quite_special,483,27,456
more_open,483,413,70
just_perfect,482,455,27
not_comfortable,480,470,10
more_intimate,480,119,361
nearly_impossible,479,437,42
more_entertaining,477,362,115
much_smaller,475,316,159
not_important,475,457,18
more_frustrating,473,467,6
really_close,473,378,95
so_large,473,334,139
very_comfortable,470,428,42
more_exotic,470,91,379
not_related,470,299,171
just_better,470,468,2
n't_possible,469,469,0
already_available,467,441,26
very_short,467,453,14
quite_large,466,449,17
more_tragic,462,422,40
pretty_easy,461,445,16
not_appropriate,460,450,10
just_tired,460,459,1
more_secure,460,336,124
even_necessary,459,457,2
very_impressive,456,401,55
already_dead,455,435,20
longer_available,454,452,2
more_equal,453,446,7
more_basic,451,83,368
almost_impossible,449,364,85
so_impressed,449,448,1
too_evident,449,449,0
maybe_more,446,442,4
very_dark,444,358,86
n't_happy,443,443,0
freely_available,441,429,12
more_pleasant,441,204,237
very_sensitive,440,397,43
too_loose,439,437,2
pretty_excited,439,436,3
more_sensitive,439,405,34
so_cute,439,380,59
more_potent,438,302,136
really_innovative,437,393,44
so_grateful,436,431,5
otherwise_unable,436,435,1
quite_interesting,434,278,156
potentially_dangerous,433,371,62
even_good,433,431,2
more_flexible,432,315,117
so_quick,432,425,7
most_vulnerable,432,404,28
so_fun,431,336,95
very_valuable,431,222,209
more_simple,430,161,269
so_concerned,430,406,24
so_high,429,395,34
more_reliable,429,296,133
more_true,428,392,36
not_perfect,427,418,9
more_aware,426,417,9
more_conservative,426,317,109
more_extreme,424,253,171
really_interested,422,399,23
definitely_wrong,422,358,64
not_safe,421,413,8
half_full,419,417,2
very_innovative,419,402,17
super_excited,419,416,3
horribly_wrong,419,277,142
very_passionate,419,402,17
very_unusual,418,104,314
much_simpler,418,167,251
extremely_helpful,418,406,12
really_unique,418,53,365
so_lovely,417,324,93
deeply_wrong,416,163,253
perfectly_legal,416,395,21
so_serious,416,264,152
more_unusual,415,132,283
more_relaxed,415,322,93
very_common,415,272,143
so_cool,413,296,117
more_excited,412,401,11
really_funny,411,273,138
environmentally_friendly,410,378,32
very_welcome,410,398,12
very_pleasant,410,389,21
more_inclined,410,399,11
more_costly,409,388,21
very_satisfying,409,121,288
slightly_higher,408,398,10
too_great,407,402,5
not_suitable,407,398,9
more_helpful,407,359,48
now_live,407,407,0
too_costly,407,403,4
so_expensive,406,356,50
far_more,406,273,133
not_capable,404,395,9
very_odd,404,168,236
much_lower,403,375,28
very_significant,402,152,250
too_dangerous,402,387,15
inherently_wrong,402,53,349
very_cold,401,374,27
too_loud,400,395,5
more_casual,399,144,255
not_bad,399,383,16
very_challenging,399,359,40
so_wrong,398,263,135
more_mature,398,311,87
too_narrow,397,387,10
so_afraid,397,387,10
very_cheap,396,387,9
so_positive,396,306,90
quite_innovative,395,391,4
more_accessible,395,270,125
more_radical,395,128,267
very_quiet,395,376,19
more_apparent,394,386,8
just_easier,393,392,1
much_less,393,351,42
more_adventurous,392,168,224
completely_unique,392,92,300
less_obvious,392,273,119
n't_willing,391,391,0
truly_amazing,391,119,272
so_tired,391,388,3
more_troubling,389,249,140
too_poor,389,377,12
completely_wrong,389,351,38
so_eager,388,365,23
extremely_innovative,388,386,2
really_easy,387,322,65
completely_unexpected,387,54,333
even_negative,386,385,1
even_older,386,358,28
too_similar,386,371,15
even_desirable,386,384,2
so_welcoming,385,378,7
n't_true,385,385,0
very_talented,384,367,17
more_involved,384,251,133
very_welcoming,384,379,5
more_worthwhile,384,234,150
too_dry,384,379,5
more_terrifying,383,227,156
too_simple,383,370,13
more_fascinating,383,325,58
not_visible,383,367,16
not_real,382,357,25
really_difficult,381,308,73
very_hot,380,355,25
so_severe,379,359,20
more_formal,378,172,206
kind_enough,377,376,1
n't_clear,377,377,0
pleasantly_surprised,377,376,1
just_wrong,377,369,8
more_recent,377,204,173
more_experienced,376,178,198
more_insidious,375,110,265
pretty_amazing,374,226,148
very_sweet,373,299,74
more_prone,373,362,11
incredibly_innovative,373,372,1
plain_stupid,373,366,7
so_complex,373,232,141
more_frequent,372,361,11
very_lucky,371,356,15
even_younger,371,351,20
so_worried,371,363,8
pretty_happy,370,367,3
too_shy,369,366,3
prohibitively_expensive,369,365,4
so_interesting,369,316,53
simply_interested,369,362,7
pretty_bad,368,321,47
so_sad,368,313,55
less_effective,368,352,16
very_painful,367,318,49
pretty_sure,366,358,8
