prev_form_lower,SUM,or,something,all,some,often,always,sometimes,both,many,everything,everyone,someone,everybody,either,somebody,every
of,180,42,11,42,17,8,24,4,10,2,9,5,2,4,0,0,0
those,179,76,0,16,23,28,4,0,8,14,2,7,0,0,1,0,0
...,179,49,31,28,24,5,16,10,1,3,5,3,3,1,0,0,0
became,164,1,15,27,36,11,0,13,8,20,13,7,5,5,3,0,0
apparently,155,20,19,29,33,3,1,4,11,16,5,5,7,2,0,0,0
their,148,39,1,13,4,38,18,6,7,6,1,11,0,1,0,1,2
yet,145,22,96,6,2,2,3,2,2,1,4,1,2,1,0,1,0
%,142,60,6,18,4,14,11,2,1,2,11,0,13,0,0,0,0
becomes,141,5,25,7,2,23,3,26,0,1,26,9,10,1,2,1,0
an,139,108,1,3,2,6,7,4,4,1,0,1,1,0,0,0,1
ever,137,44,31,20,5,2,9,5,3,2,6,6,2,1,1,0,0
have,135,28,3,14,32,11,8,2,4,29,1,1,1,0,0,1,0
remain,134,0,3,12,30,5,9,1,7,65,0,0,2,0,0,0,0
your,133,78,18,15,1,8,3,4,1,0,0,0,3,1,0,1,0
fact,132,33,5,11,23,3,1,5,4,34,7,1,4,0,1,0,0
every,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132
do,130,33,3,1,29,15,3,14,3,16,10,1,0,2,0,0,0
getting,126,13,7,7,22,1,4,4,1,7,21,20,1,15,2,1,0
people,125,74,6,13,14,5,0,0,0,12,0,0,1,0,0,0,0
half,124,51,28,9,4,5,4,1,0,1,2,4,13,1,1,0,0
likely,123,24,10,16,19,1,0,0,12,26,2,5,7,0,0,1,0
to,122,72,2,20,2,1,5,13,0,3,2,1,1,0,0,0,0
other,116,77,10,4,20,0,0,0,1,2,0,0,0,0,0,0,2
plain,116,99,1,0,7,1,0,4,0,3,1,0,0,0,0,0,0
i'm,113,45,25,16,1,0,3,10,0,1,2,5,2,3,0,0,0
ai,111,15,55,5,5,0,0,16,0,1,4,0,4,5,0,1,0
/,108,53,15,6,3,4,3,10,3,2,2,1,6,0,0,0,0
with,108,60,0,3,1,18,0,19,2,0,0,2,3,0,0,0,0
entirely,107,13,58,11,2,4,1,2,5,3,5,1,1,0,1,0,0
currently,104,41,9,24,8,1,0,0,7,11,2,1,0,0,0,0,0
merely,101,75,6,1,6,2,0,7,0,2,0,1,1,0,0,0,0
cases,100,95,0,0,2,1,1,0,1,0,0,0,0,0,0,0,0
percent,100,55,3,9,1,8,4,0,2,1,3,2,11,1,0,0,0
vastly,99,6,41,14,8,7,9,2,1,2,3,1,3,0,2,0,0
suddenly,94,19,7,16,2,0,0,0,1,2,21,17,1,8,0,0,0
decidedly,93,2,56,5,11,8,1,1,4,2,3,0,0,0,0,0,0
second,93,89,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2
truly,92,34,21,15,5,0,0,3,2,4,0,0,7,0,0,1,0
naturally,89,25,3,12,21,5,8,0,2,5,0,3,3,1,1,0,0
tad,89,23,34,2,11,1,5,5,2,1,2,1,2,0,0,0,0
arguably,86,16,38,8,14,1,1,0,0,5,0,1,1,0,1,0,0
did,81,13,4,8,8,5,4,1,4,17,2,10,0,3,1,1,0
],81,28,13,15,8,3,3,4,0,1,0,1,4,0,1,0,0
:,81,20,18,9,1,3,8,2,6,2,5,0,1,2,2,0,2
down,80,29,1,5,23,1,0,10,0,4,2,0,3,1,0,0,1
by,79,26,3,12,6,4,1,10,3,7,0,7,0,0,0,0,0
completely,78,22,20,17,2,4,1,1,2,1,5,1,1,1,0,0,0
im,78,25,16,18,0,0,2,6,1,1,0,6,1,1,1,0,0
there,76,30,12,2,0,0,1,1,0,1,2,4,17,1,1,4,0
inherently,73,19,26,3,7,4,6,0,2,3,0,0,2,0,1,0,0
extremely,71,17,10,11,5,4,8,2,3,6,1,1,2,0,1,0,0
then,71,13,4,11,5,17,1,0,5,6,4,3,1,0,1,0,0
his,71,32,2,7,10,8,11,1,0,0,0,0,0,0,0,0,0
oh,71,13,13,9,6,0,6,6,2,0,10,6,0,0,0,0,0
course,70,10,5,33,7,0,2,0,6,2,4,1,0,0,0,0,0
our,69,14,0,16,10,11,8,4,1,4,0,1,0,0,0,0,0
like,67,27,2,7,5,0,7,0,4,0,8,2,2,1,1,1,0
thats,65,7,36,6,1,0,1,4,0,0,3,0,6,0,0,1,0
these,63,12,0,28,11,1,0,0,4,6,0,0,0,0,1,0,0
appeared,60,0,3,1,12,12,7,3,5,13,4,0,0,0,0,0,0
when,59,49,1,0,0,5,0,3,0,1,0,0,0,0,0,0,0
my,59,17,0,10,6,9,16,0,0,1,0,0,0,0,0,0,0
ultimately,59,9,23,12,3,3,1,2,1,1,1,2,1,0,0,0,0
totally,58,11,18,12,3,1,1,1,3,1,2,1,4,0,0,0,0
_,58,11,11,4,9,2,1,2,3,8,3,1,3,0,0,0,0
appear,57,0,0,5,15,10,4,9,1,10,1,0,1,0,0,1,0
may,57,29,0,1,16,0,0,4,0,6,0,0,1,0,0,0,0
third,56,54,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
somewhere,56,41,2,3,0,1,3,1,0,0,0,0,4,0,0,1,0
another,56,53,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
deal,55,4,37,1,2,5,4,0,1,0,0,0,1,0,0,0,0
does,55,21,4,0,2,8,4,4,0,1,2,6,2,1,0,0,0
where,55,18,1,6,13,0,0,0,6,3,0,0,0,0,0,0,8
on,54,29,0,4,1,3,6,4,5,1,0,1,0,0,0,0,0
together,53,3,9,38,0,0,0,3,0,0,0,0,0,0,0,0,0
substantially,53,11,9,8,4,10,3,2,5,0,1,0,0,0,0,0,0
will,53,19,4,6,8,0,2,2,1,4,1,5,1,0,0,0,0
absolutely,52,11,10,8,4,1,2,1,4,1,6,0,3,1,0,0,0
her,51,22,5,5,3,4,6,0,0,1,2,3,0,0,0,0,0
has,51,13,6,2,3,0,0,1,0,2,5,9,5,2,0,2,1
necessarily,51,29,2,7,3,1,2,2,0,0,1,3,1,0,0,0,0
basically,50,13,5,13,1,0,0,2,0,1,8,6,0,1,0,0,0
technically,50,9,2,6,3,7,3,2,6,7,0,1,2,0,2,0,0
gotten,50,1,0,4,9,1,8,1,4,6,9,3,1,1,1,1,0
best,48,37,0,3,1,2,0,1,0,4,0,0,0,0,0,0,0
over,48,4,0,38,2,3,1,0,0,0,0,0,0,0,0,0,0
which,48,2,1,5,23,1,0,0,9,6,0,0,0,0,0,0,1
well,48,8,7,23,2,0,2,3,1,2,0,0,0,0,0,0,0
seriously,47,12,13,2,5,2,1,2,3,1,2,0,4,0,0,0,0
while,47,10,1,15,1,10,0,9,0,0,0,0,1,0,0,0,0
supposedly,46,7,13,6,3,0,0,0,2,1,3,3,5,1,0,2,0
remained,45,1,2,5,10,3,9,0,0,12,0,1,2,0,0,0,0
genuinely,45,15,8,3,9,0,2,2,0,1,0,2,2,0,1,0,0
new,45,0,36,3,2,0,0,0,0,0,0,0,2,0,0,2,0
relatively,45,12,5,8,5,5,7,0,1,1,0,0,0,1,0,0,0
undoubtedly,44,2,3,9,16,2,0,0,2,6,1,1,1,0,0,0,1
sound,44,3,2,15,16,0,0,4,0,1,2,1,0,0,0,0,0
simple,43,1,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sudden,43,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0
here,43,5,20,0,2,0,0,0,0,6,1,6,2,1,0,0,0
again,42,10,1,16,2,0,0,0,4,2,3,2,1,0,0,0,1
touch,41,4,30,0,1,1,2,1,0,0,2,0,0,0,0,0,0
typically,40,10,6,4,2,3,1,1,4,2,0,2,2,1,2,0,0
things,39,25,1,6,0,0,0,2,1,1,2,0,0,0,1,0,0
however,39,17,5,5,5,0,0,1,1,0,2,0,2,1,0,0,0
had,38,13,0,1,8,3,1,1,1,6,0,2,2,0,0,0,0
;,37,6,18,2,0,0,0,1,3,2,1,1,2,1,0,0,0
from,36,18,0,2,3,1,1,4,0,3,0,4,0,0,0,0,0
life,35,18,2,5,0,1,2,1,0,0,2,0,3,0,0,1,0
reportedly,35,0,1,4,22,0,0,0,3,2,0,1,1,0,0,1,0
exactly,35,7,4,7,0,0,6,0,0,0,5,4,2,0,0,0,0
case,34,28,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0
others,34,10,3,2,16,1,0,0,0,0,0,2,0,0,0,0,0
right,33,6,0,12,3,1,5,2,0,0,0,0,0,1,1,2,0
frankly,33,14,2,0,11,1,1,1,0,2,0,1,0,0,0,0,0
better,33,23,1,3,0,2,3,1,0,0,0,0,0,0,0,0,0
literally,33,5,5,1,7,3,0,5,1,2,1,2,1,0,0,0,0
mostly,33,11,1,17,1,0,1,0,0,0,1,0,1,0,0,0,0
appears,33,1,2,2,0,11,3,9,0,0,2,0,1,1,1,0,0
admittedly,33,0,1,4,25,1,0,0,0,1,0,1,0,0,0,0,0
super,32,7,2,5,3,0,4,0,2,0,3,5,0,1,0,0,0
themselves,32,7,0,2,7,2,0,2,1,11,0,0,0,0,0,0,0
world,32,10,6,3,1,1,0,0,0,2,2,5,1,1,0,0,0
fundamentally,32,6,22,1,0,1,1,0,0,0,1,0,0,0,0,0,0
time,32,13,2,5,6,2,0,0,1,2,0,0,1,0,0,0,0
*,31,5,4,4,3,1,6,1,1,0,3,1,0,0,2,0,0
temptations,31,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
can,30,8,0,2,5,0,0,5,2,4,1,1,0,1,1,0,0
unfortunately,30,5,4,6,5,2,0,0,2,6,0,0,0,0,0,0,0
highly,29,4,2,3,3,4,3,0,6,3,0,0,1,0,0,0,0
surprisingly,29,9,3,4,3,2,1,1,1,3,2,0,0,0,0,0,0
fairly,29,3,3,11,3,0,2,0,3,3,0,1,0,0,0,0,0
incredibly,29,5,7,4,3,3,1,0,4,0,1,0,0,0,1,0,0
marginally,29,12,11,1,2,1,0,0,0,1,1,0,0,0,0,0,0
children,29,6,0,3,11,1,0,0,0,7,0,1,0,0,0,0,0
occasionally,28,20,0,1,6,0,0,1,0,0,0,0,0,0,0,0,0
normally,28,5,8,3,2,1,0,1,0,1,2,1,2,1,0,1,0
exponentially,28,3,8,5,1,4,1,0,0,1,3,0,2,0,0,0,0
statistically,27,7,2,5,1,1,0,0,3,2,0,0,4,0,0,2,0
women,27,15,2,5,0,3,0,1,0,0,0,0,0,0,1,0,0
therefore,26,4,0,8,2,0,0,0,3,3,3,1,1,1,0,0,0
work,26,10,1,6,8,0,0,0,0,0,1,0,0,0,0,0,0
albeit,26,1,15,0,5,0,0,0,0,1,1,0,3,0,0,0,0
remains,26,1,3,5,4,1,3,1,0,1,4,2,1,0,0,0,0
physically,26,10,2,1,1,4,0,1,1,0,1,0,3,0,1,1,0
it's,26,6,2,3,2,4,0,3,0,0,2,1,1,1,1,0,0
previously,25,3,7,0,8,0,0,0,2,3,1,0,1,0,0,0,0
would,25,8,1,0,3,2,0,1,1,3,1,0,4,1,0,0,0
surely,25,3,3,4,5,0,0,1,0,5,0,2,2,0,0,0,0
markedly,25,2,7,4,3,3,1,1,1,1,2,0,0,0,0,0,0
severely,25,15,0,0,0,2,0,0,3,4,0,0,1,0,0,0,0
'',24,10,4,1,4,2,0,0,1,1,1,0,0,0,0,0,0
up,24,8,6,4,2,0,0,1,0,0,1,1,1,0,0,0,0
perfectly,24,1,0,5,0,0,3,0,2,2,7,3,0,1,0,0,0
honestly,24,5,1,5,4,0,0,3,2,1,2,1,0,0,0,0,0
hopefully,24,10,11,0,3,0,0,0,0,0,0,0,0,0,0,0,0
three,22,4,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0
day,22,10,3,3,1,0,0,0,0,3,1,0,1,0,0,0,0
somethings,22,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0
particularly,22,16,1,0,0,1,0,0,2,0,0,0,2,0,0,0,0
out,21,9,3,1,2,0,2,1,0,1,0,1,1,0,0,0,0
stay,21,0,0,3,2,1,3,6,1,2,0,2,0,1,0,0,0
downright,21,11,0,0,3,1,0,6,0,0,0,0,0,0,0,0,0
me,21,6,4,5,2,0,2,0,0,0,0,0,2,0,0,0,0
years,21,9,2,2,1,0,1,0,1,2,0,1,1,0,1,0,0
initially,21,2,2,1,1,5,0,2,3,4,0,1,0,0,0,0,0
noticeably,21,5,1,0,4,2,1,1,3,2,1,1,0,0,0,0,0
near,21,7,3,4,0,0,0,1,1,1,1,1,1,1,0,0,0
mind,20,12,3,0,3,0,0,0,1,1,0,0,0,0,0,0,0
notably,20,1,2,4,3,5,0,1,1,3,0,0,0,0,0,0,0
sadly,20,5,3,3,1,3,0,0,2,2,0,1,0,0,0,0,0
virtually,20,3,1,9,3,0,0,0,0,2,1,1,0,0,0,0,0
men,20,10,0,2,1,0,0,1,0,6,0,0,0,0,0,0,0
price,20,14,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0
thus,19,2,5,2,3,0,0,0,0,3,0,2,1,0,0,1,0
though,19,2,4,3,1,4,0,1,1,2,0,0,1,0,0,0,0
essentially,19,4,5,5,1,3,0,0,0,1,0,0,0,0,0,0,0
deeply,19,1,9,1,0,0,3,0,1,2,0,1,1,0,0,0,0
rate,19,17,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
presumably,19,1,4,2,6,0,0,0,0,2,0,0,4,0,0,0,0
cost,19,8,0,4,5,0,0,0,0,2,0,0,0,0,0,0,0
longer,19,11,2,2,2,0,0,1,0,1,0,0,0,0,0,0,0
prices,18,3,0,8,2,3,0,0,0,2,0,0,0,0,0,0,0
ways,18,4,1,5,4,1,0,1,0,2,0,0,0,0,0,0,0
`,18,4,4,1,2,0,0,0,0,0,3,0,2,0,1,1,0
eyes,18,7,0,5,1,0,2,0,2,0,0,0,1,0,0,0,0
visually,18,2,7,2,2,3,0,0,1,0,1,0,0,0,0,0,0
simultaneously,18,1,3,3,0,1,1,1,1,1,5,0,1,0,0,0,0
itself,18,12,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0
fourth,17,16,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
someplace,17,16,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
instead,17,12,1,0,1,1,0,0,0,2,0,0,0,0,0,0,0
arent,17,7,0,0,3,2,0,3,0,1,0,1,0,0,0,0,0
distinctly,17,3,8,1,4,0,0,0,0,0,0,0,1,0,0,0,0
market,17,10,1,2,2,0,0,1,0,0,0,1,0,0,0,0,0
today,17,4,3,2,1,0,0,1,0,2,1,1,0,2,0,0,0
situation,17,14,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0
round,17,3,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0
look,17,1,0,3,9,0,0,2,0,1,1,0,0,0,0,0,0
country,17,5,4,2,1,1,0,0,0,3,1,0,0,0,0,0,0
increasingly,16,6,3,3,2,0,0,0,0,1,0,1,0,0,0,0,0
especially,16,6,4,2,1,0,0,0,1,1,0,0,1,0,0,0,0
different,16,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
worse,16,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
might,16,7,0,1,5,0,1,1,0,1,0,0,0,0,0,0,0
family,15,8,0,2,1,0,0,0,0,1,0,1,1,1,0,0,0
frequently,15,3,0,5,0,3,0,0,1,3,0,0,0,0,0,0,0
isnt,15,4,2,1,1,3,0,3,0,0,1,0,0,0,0,0,0
nature,15,5,1,1,4,1,0,0,0,0,2,1,0,0,0,0,0
personally,15,4,0,4,0,0,3,0,2,2,0,0,0,0,0,0,0
itis,15,4,0,1,1,0,1,6,1,0,0,1,0,0,0,0,0
information,15,4,0,8,3,0,0,0,0,0,0,0,0,0,0,0,0
special,15,0,12,0,0,0,0,0,0,0,0,0,3,0,0,0,0
mentally,15,4,1,1,0,1,2,2,1,0,0,2,1,0,0,0,0
youre,15,7,0,1,1,1,1,1,0,1,0,0,2,0,0,0,0
matter,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
through,15,2,0,3,0,2,0,2,3,1,0,1,0,1,0,0,0
[,15,6,7,0,0,1,0,0,0,0,0,0,0,0,1,0,0
extent,15,11,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0
emotionally,15,6,2,2,0,2,0,2,1,0,0,0,0,0,0,0,0
reality,15,8,1,0,2,0,0,0,0,1,2,0,1,0,0,0,0
small,14,2,10,0,0,0,0,1,0,1,0,0,0,0,0,0,0
remotely,14,8,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0
water,14,8,1,0,4,0,0,0,0,1,0,0,0,0,0,0,0
game,14,7,0,3,2,0,0,0,0,0,1,1,0,0,0,0,0
parents,14,9,0,0,1,1,0,1,2,0,0,0,0,0,0,0,0
each,14,1,0,6,1,3,0,0,1,2,0,0,0,0,0,0,0
past,14,11,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
nonetheless,14,0,1,0,5,1,0,0,0,7,0,0,0,0,0,0,0
reason,14,13,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
politically,14,2,2,0,3,5,2,0,0,0,0,0,0,0,0,0,0
problem,14,13,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
him,14,2,2,3,1,0,0,0,1,0,3,2,0,0,0,0,0
evidently,14,1,3,2,4,0,0,0,0,2,0,0,2,0,0,0,0
roughly,14,8,1,1,0,0,0,1,1,1,0,0,0,1,0,0,0
issues,14,5,0,2,2,0,0,0,1,3,0,0,1,0,0,0,0
idea,14,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stayed,14,1,0,1,0,2,4,0,0,4,0,1,0,1,0,0,0
plainly,14,5,0,1,3,1,0,1,2,0,0,1,0,0,0,0,0
states,14,6,1,1,3,0,0,0,0,2,0,0,1,0,0,0,0
worst,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hair,13,10,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0
-rrb-,13,1,5,1,1,0,2,0,0,1,0,0,1,0,1,0,0
similarly,13,5,3,2,1,0,0,0,1,0,0,0,1,0,0,0,0
