adj_lemma,TOTAL,negative,positive,ratio_neg,ratio_pos,bin_neg,bin_pos
fussed,228,188,40,0.825,0.175,0.8,0.2
shabby,8370,5697,2673,0.681,0.319,0.7,0.3
farfetched,1834,668,1166,0.364,0.636,0.4,0.6
alike,14464,3657,10807,0.253,0.747,0.3,0.7
dissimilar,9123,2674,6449,0.293,0.707,0.3,0.7
rosy,7423,2486,4937,0.335,0.665,0.3,0.7
far-fetched,7123,2407,4716,0.338,0.662,0.3,0.7
clear-cut,4532,1455,3077,0.321,0.679,0.3,0.7
clearcut,219,59,160,0.269,0.731,0.3,0.7
sure,882144,143002,739142,0.162,0.838,0.2,0.8
bad,805457,122589,682868,0.152,0.848,0.2,0.8
clear,527125,79406,447719,0.151,0.849,0.2,0.8
late,183755,29204,154551,0.159,0.841,0.2,0.8
keen,58202,10185,48017,0.175,0.825,0.2,0.8
exclusive,44120,6906,37214,0.157,0.843,0.2,0.8
fond,42181,7321,34860,0.174,0.826,0.2,0.8
distant,40788,8784,32004,0.215,0.785,0.2,0.8
thrilled,30972,5278,25694,0.17,0.83,0.2,0.8
indicative,15231,2743,12488,0.18,0.82,0.2,0.8
forthcoming,11896,2279,9617,0.192,0.808,0.2,0.8
flashy,7472,1637,5835,0.219,0.781,0.2,0.8
fussy,5571,841,4730,0.151,0.849,0.2,0.8
hurt,4133,642,3491,0.155,0.845,0.2,0.8
appetizing,3840,728,3112,0.19,0.81,0.2,0.8
greener,3594,567,3027,0.158,0.842,0.2,0.8
altruistic,3023,517,2506,0.171,0.829,0.2,0.8
binding,2925,699,2226,0.239,0.761,0.2,0.8
enthused,2638,524,2114,0.199,0.801,0.2,0.8
hasty,2601,641,1960,0.246,0.754,0.2,0.8
cut,1692,414,1278,0.245,0.755,0.2,0.8
unsightly,1652,304,1348,0.184,0.816,0.2,0.8
quantifiable,1616,254,1362,0.157,0.843,0.2,0.8
baggy,1563,287,1276,0.184,0.816,0.2,0.8
blameless,1435,231,1204,0.161,0.839,0.2,0.8
nostalgia,1259,189,1070,0.15,0.85,0.2,0.8
shattering,914,215,699,0.235,0.765,0.2,0.8
unpatriotic,851,154,697,0.181,0.819,0.2,0.8
kosher,728,150,578,0.206,0.794,0.2,0.8
separable,646,121,525,0.187,0.813,0.2,0.8
translatable,588,120,468,0.204,0.796,0.2,0.8
tech-savvy,470,71,399,0.151,0.849,0.2,0.8
ascertainable,384,81,303,0.211,0.789,0.2,0.8
canon,342,54,288,0.158,0.842,0.2,0.8
thinkable,323,63,260,0.195,0.805,0.2,0.8
matchy,281,61,220,0.217,0.783,0.2,0.8
mini,253,45,208,0.178,0.822,0.2,0.8
flash,246,49,197,0.199,0.801,0.2,0.8
classifiable,240,50,190,0.208,0.792,0.2,0.8
reconcilable,220,51,169,0.232,0.768,0.2,0.8
lunchtime,215,39,176,0.181,0.819,0.2,0.8
downhearted,213,53,160,0.249,0.751,0.2,0.8
describable,211,41,170,0.194,0.806,0.2,0.8
Secret,210,40,170,0.19,0.81,0.2,0.8
licit,209,34,175,0.163,0.837,0.2,0.8
guiltless,201,40,161,0.199,0.801,0.2,0.8
football,201,32,169,0.159,0.841,0.2,0.8
good,3091958,184856,2907102,0.06,0.94,0.1,0.9
easy,1064231,100893,963338,0.095,0.905,0.1,0.9
available,963102,70379,892723,0.073,0.927,0.1,0.9
different,959335,54360,904975,0.057,0.943,0.1,0.9
happy,581972,35832,546140,0.062,0.938,0.1,0.9
close,577858,34547,543311,0.06,0.94,0.1,0.9
great,554772,40145,514627,0.072,0.928,0.1,0.9
hard,554668,37037,517631,0.067,0.933,0.1,0.9
big,513357,41934,471423,0.082,0.918,0.1,0.9
simple,478238,34484,443754,0.072,0.928,0.1,0.9
enough,477526,25560,451966,0.054,0.946,0.1,0.9
strong,465138,27826,437312,0.06,0.94,0.1,0.9
possible,395543,27073,368470,0.068,0.932,0.1,0.9
interested,386752,28989,357763,0.075,0.925,0.1,0.9
true,367522,29969,337553,0.082,0.918,0.1,0.9
aware,338744,23411,315333,0.069,0.931,0.1,0.9
concerned,266203,22323,243880,0.084,0.916,0.1,0.9
ready,256265,28108,228157,0.11,0.89,0.1,0.9
fun,240215,13637,226578,0.057,0.943,0.1,0.9
familiar,222199,14523,207676,0.065,0.935,0.1,0.9
right,218490,20648,197842,0.095,0.905,0.1,0.9
necessary,207402,17647,189755,0.085,0.915,0.1,0.9
impressive,203523,10418,193105,0.051,0.949,0.1,0.9
old,202535,11423,191112,0.056,0.944,0.1,0.9
obvious,201745,17447,184298,0.086,0.914,0.1,0.9
safe,201455,10870,190585,0.054,0.946,0.1,0.9
wrong,201003,13136,187867,0.065,0.935,0.1,0.9
accurate,198269,15747,182522,0.079,0.921,0.1,0.9
hot,190673,12893,177780,0.068,0.932,0.1,0.9
pleased,179732,11069,168663,0.062,0.938,0.1,0.9
perfect,175138,10241,164897,0.058,0.942,0.1,0.9
funny,160622,11607,149015,0.072,0.928,0.1,0.9
surprising,156954,17816,139138,0.114,0.886,0.1,0.9
related,148526,11480,137046,0.077,0.923,0.1,0.9
visible,145354,7496,137858,0.052,0.948,0.1,0.9
healthy,137464,7719,129745,0.056,0.944,0.1,0.9
early,130500,8467,122033,0.065,0.935,0.1,0.9
sweet,126078,9877,116201,0.078,0.922,0.1,0.9
worried,123499,15181,108318,0.123,0.877,0.1,0.9
impressed,119234,9163,110071,0.077,0.923,0.1,0.9
satisfied,118754,12818,105936,0.108,0.892,0.1,0.9
cold,117281,6863,110418,0.059,0.941,0.1,0.9
certain,112189,9976,102213,0.089,0.911,0.1,0.9
surprised,109020,9813,99207,0.09,0.91,0.1,0.9
lucky,105234,13282,91952,0.126,0.874,0.1,0.9
heavy,105112,6708,98404,0.064,0.936,0.1,0.9
smart,104513,8849,95664,0.085,0.915,0.1,0.9
quick,100669,7238,93431,0.072,0.928,0.1,0.9
appealing,92303,4876,87427,0.053,0.947,0.1,0.9
fair,88463,6651,81812,0.075,0.925,0.1,0.9
optimistic,86068,4719,81349,0.055,0.945,0.1,0.9
tight,83623,4673,78950,0.056,0.944,0.1,0.9
