polarity,adj_lemma,count
negative,good,184856
negative,sure,143002
negative,bad,122589
negative,easy,100893
negative,clear,79406
negative,available,70379
negative,important,58312
negative,much,55098
negative,different,54360
negative,big,41934
negative,great,40145
negative,hard,37037
negative,difficult,37029
negative,happy,35832
negative,close,34547
negative,simple,34484
negative,true,29969
negative,late,29204
negative,interested,28989
negative,ready,28108
negative,strong,27826
negative,possible,27073
negative,high,25989
negative,enough,25560
negative,effective,23440
negative,aware,23411
negative,concerned,22323
negative,right,20648
negative,popular,20641
negative,able,18542
negative,excited,18294
negative,successful,18204
negative,surprising,17816
negative,necessary,17647
negative,obvious,17447
negative,likely,17240
negative,expensive,16874
negative,accurate,15747
negative,many,15661
negative,comfortable,15254
negative,worried,15181
negative,familiar,14523
negative,interesting,13787
negative,fun,13637
negative,lucky,13282
negative,large,13172
negative,wrong,13136
negative,common,13082
negative,hot,12893
negative,satisfied,12818
negative,nice,12008
negative,serious,11659
negative,funny,11607
negative,related,11480
negative,old,11423
negative,useful,11310
negative,pleased,11069
negative,safe,10870
negative,small,10813
negative,helpful,10617
negative,more,10606
negative,exciting,10508
negative,impressive,10418
negative,perfect,10241
negative,keen,10185
negative,certain,9976
negative,sweet,9877
negative,new,9840
negative,surprised,9813
negative,worth,9650
negative,long,9589
negative,impressed,9163
negative,smart,8849
negative,distant,8784
negative,dangerous,8768
negative,significant,8759
negative,proud,8753
negative,apparent,8590
negative,complicated,8583
negative,early,8467
negative,beautiful,8445
negative,active,8349
negative,powerful,8286
negative,busy,8180
negative,correct,8084
negative,relevant,7892
negative,healthy,7719
negative,free,7595
negative,visible,7496
negative,bright,7417
negative,fond,7321
negative,quick,7238
negative,responsible,7226
negative,open,7213
negative,accessible,7040
negative,exclusive,6906
negative,cool,6892
negative,confident,6892
negative,cold,6863
negative,fast,6859
negative,friendly,6819
negative,attractive,6775
negative,heavy,6708
negative,fair,6651
negative,present,6508
negative,efficient,6438
negative,willing,6312
negative,tough,6279
negative,young,6228
negative,cheap,6123
negative,deep,6056
negative,crazy,5978
negative,scary,5787
negative,fortunate,5727
negative,shabby,5697
negative,complete,5650
negative,impossible,5573
negative,reliable,5395
negative,positive,5352
negative,thrilled,5278
negative,dead,5231
negative,sharp,5217
negative,straightforward,5193
negative,pleasant,5189
negative,capable,5132
negative,severe,5071
negative,appealing,4876
negative,complex,4855
negative,low,4840
negative,unusual,4834
negative,dramatic,4778
negative,optimistic,4719
negative,tight,4673
negative,critical,4652
negative,consistent,4626
negative,evident,4618
negative,aggressive,4553
negative,practical,4551
negative,stupid,4538
negative,productive,4453
negative,smooth,4438
negative,secure,4395
negative,valuable,4385
negative,appropriate,4313
negative,convenient,4309
negative,feasible,4291
negative,clean,4231
negative,thick,4225
negative,full,4213
negative,famous,4167
negative,rich,4096
negative,real,4083
negative,black,4059
negative,specific,4025
negative,painful,3830
negative,dark,3790
negative,upset,3773
negative,challenging,3756
negative,noticeable,3735
negative,unique,3730
negative,satisfying,3707
negative,afraid,3696
negative,short,3689
negative,loud,3680
negative,enthusiastic,3662
negative,alike,3657
negative,better,3607
negative,warm,3602
negative,viable,3601
negative,careful,3519
negative,tall,3476
negative,intense,3474
negative,eager,3453
negative,special,3439
negative,dependent,3438
negative,subtle,3402
negative,qualified,3402
negative,uncommon,3393
negative,disappointed,3343
negative,original,3304
negative,rare,3291
negative,beneficial,3277
negative,human,3271
negative,competitive,3208
negative,stable,3192
negative,profitable,3189
negative,sensitive,3186
negative,cute,3177
negative,terrible,3156
negative,acceptable,3151
negative,alive,3129
negative,honest,3056
negative,talented,3017
negative,sad,3004
negative,realistic,2942
negative,memorable,2927
negative,harsh,2871
negative,convincing,2857
negative,essential,2832
negative,enjoyable,2830
