neg_deprel,count,mean,std,min,25%,50%,75%,max,total,var_coeff,range,IQ_range,upper_fence,lower_fence,plus1_geo_mean,plus1_har_mean
neg,100,1.15,0.66,0,1,1,1,5,115,0.5714162962371923,5,0,1,1,2.070810444885004,1.9966722129783694
nsubj,100,0.02,0.14,0,0,0,0,1,2,7.035264706814484,1,0,0,0,1.013959479790029,1.0101010101010102
prep,100,0.02,0.14,0,0,0,0,1,2,7.035264706814484,1,0,0,0,1.013959479790029,1.0101010101010102
conj,100,0.01,0.1,0,0,0,0,1,1,9.999999999999998,1,0,0,0,1.0069555500567189,1.0050251256281406
dep,100,0.01,0.1,0,0,0,0,1,1,9.999999999999998,1,0,0,0,1.0069555500567189,1.0050251256281406
nsubjpass,100,0.01,0.1,0,0,0,0,1,1,9.999999999999998,1,0,0,0,1.0069555500567189,1.0050251256281406
