adv_form_lower,count,mean,std,min,25%,50%,75%,max,total,var_coeff,range,IQ_range,upper_fence,lower_fence,plus1_geo_mean,plus1_har_mean
too,76,0.26,0.72,0,0,0,0,5,20,2.7309583177583154,5,0,0,0,1.1651042479347193,1.1121951219512196
as,76,0.24,0.49,0,0,0,0,2,18,2.0532820259743425,2,0,0,0,1.169522863486473,1.1231527093596059
very,76,0.22,0.6,0,0,0,0,4,17,2.6921390114084756,4,0,0,0,1.145631683486645,1.1009174311926606
so,76,0.17,0.5,0,0,0,0,3,13,2.9251274858847602,3,0,0,0,1.1114428112597672,1.076741440377804
that,76,0.17,0.44,0,0,0,0,2,13,2.5949123337261057,2,0,0,0,1.1173882789929388,1.0831353919239906
particularly,76,0.08,0.39,0,0,0,0,3,6,4.965659853209621,3,0,0,0,1.0466575365731605,1.0305084745762711
much,76,0.07,0.3,0,0,0,0,2,5,4.533254901282301,2,0,0,0,1.042703122843552,1.0293453724604966
more,76,0.05,0.22,0,0,0,0,1,4,4.270831300812525,1,0,0,0,1.0371550444461919,1.027027027027027
politically,76,0.04,0.26,0,0,0,0,2,3,6.463114717522185,2,0,0,0,1.0238558881551532,1.0155902004454342
any,76,0.04,0.26,0,0,0,0,2,3,6.463114717522185,2,0,0,0,1.0238558881551532,1.0155902004454342
still,76,0.03,0.16,0,0,0,0,1,2,6.123180001709353,1,0,0,0,1.018408093274102,1.0133333333333334
real,76,0.03,0.16,0,0,0,0,1,2,6.123180001709351,1,0,0,0,1.018408093274102,1.0133333333333334
quite,76,0.03,0.16,0,0,0,0,1,2,6.123180001709353,1,0,0,0,1.018408093274102,1.0133333333333334
really,76,0.01,0.11,0,0,0,0,1,1,8.71779788708135,1,0,0,0,1.0091620748294607,1.0066225165562914
technically,76,0.01,0.11,0,0,0,0,1,1,8.71779788708135,1,0,0,0,1.0091620748294607,1.0066225165562914
totally,76,0.01,0.11,0,0,0,0,1,1,8.71779788708135,1,0,0,0,1.0091620748294607,1.0066225165562914
always,76,0.01,0.11,0,0,0,0,1,1,8.71779788708135,1,0,0,0,1.0091620748294607,1.0066225165562914
racially,76,0.01,0.11,0,0,0,0,1,1,8.71779788708135,1,0,0,0,1.0091620748294607,1.0066225165562914
overly,76,0.01,0.11,0,0,0,0,1,1,8.71779788708135,1,0,0,0,1.0091620748294607,1.0066225165562914
necessarily,76,0.01,0.11,0,0,0,0,1,1,8.71779788708135,1,0,0,0,1.0091620748294607,1.0066225165562914
mentally,76,0.01,0.11,0,0,0,0,1,1,8.71779788708135,1,0,0,0,1.0091620748294607,1.0066225165562914
just,76,0.01,0.11,0,0,0,0,1,1,8.71779788708135,1,0,0,0,1.0091620748294607,1.0066225165562914
humanly,76,0.01,0.11,0,0,0,0,1,1,8.71779788708135,1,0,0,0,1.0091620748294607,1.0066225165562914
fairly,76,0.01,0.11,0,0,0,0,1,1,8.71779788708135,1,0,0,0,1.0091620748294607,1.0066225165562914
ever,76,0.01,0.11,0,0,0,0,1,1,8.71779788708135,1,0,0,0,1.0091620748294607,1.0066225165562914
completely,76,0.01,0.11,0,0,0,0,1,1,8.71779788708135,1,0,0,0,1.0091620748294607,1.0066225165562914
physically,76,0.01,0.11,0,0,0,0,1,1,8.717797887081348,1,0,0,0,1.0091620748294607,1.0066225165562914
