bigram_lower,count,mean,std,min,25%,50%,75%,max,total,var_coeff,range,IQ_range,upper_fence,lower_fence,plus1_geo_mean,plus1_har_mean
too_tired,7,0.14,0.38,0,0,0,0.0,1,1,2.645751311064591,1,0.0,0.0,0.0,1.1040895136738123,1.0769230769230769
too_smart,7,0.14,0.38,0,0,0,0.0,1,1,2.645751311064591,1,0.0,0.0,0.0,1.1040895136738123,1.0769230769230769
too_practical,7,0.14,0.38,0,0,0,0.0,1,1,2.645751311064591,1,0.0,0.0,0.0,1.1040895136738123,1.0769230769230769
too_old,7,0.14,0.38,0,0,0,0.0,1,1,2.645751311064591,1,0.0,0.0,0.0,1.1040895136738123,1.0769230769230769
very_surprised,7,0.14,0.38,0,0,0,0.0,1,1,2.645751311064591,1,0.0,0.0,0.0,1.1040895136738123,1.0769230769230769
so_harsh,7,0.14,0.38,0,0,0,0.0,1,1,2.645751311064591,1,0.0,0.0,0.0,1.1040895136738123,1.0769230769230769
too_late,7,0.14,0.38,0,0,0,0.0,1,1,2.645751311064591,1,0.0,0.0,0.0,1.1040895136738123,1.0769230769230769
too_meaningful,7,0.14,0.38,0,0,0,0.0,1,1,2.645751311064591,1,0.0,0.0,0.0,1.1040895136738123,1.0769230769230769
always_right,7,0.14,0.38,0,0,0,0.0,1,1,2.645751311064591,1,0.0,0.0,0.0,1.1040895136738123,1.0769230769230769
so_fundamental,7,0.14,0.38,0,0,0,0.0,1,1,2.6457513110645907,1,0.0,0.0,0.0,1.1040895136738123,1.0769230769230769
as_rosy,7,0.14,0.38,0,0,0,0.0,1,1,2.645751311064591,1,0.0,0.0,0.0,1.1040895136738123,1.0769230769230769
just_concerned,7,0.14,0.38,0,0,0,0.0,1,1,2.645751311064591,1,0.0,0.0,0.0,1.1040895136738123,1.0769230769230769
humanly_possible,7,0.14,0.38,0,0,0,0.0,1,1,2.645751311064591,1,0.0,0.0,0.0,1.1040895136738123,1.0769230769230769
