neg_lemma,count,mean,std,min,25%,50%,75%,max,total,var_coeff,range,IQ_range,upper_fence,lower_fence,plus1_geo_mean,plus1_har_mean
not,31,3.55,5.65,0,1,1,2,25,110,1.5922747385345304,25,1,3.5,-0.5,2.9855048037243193,2.3461931262828495
never,31,0.19,0.54,0,0,0,0,2,6,2.8044277160973174,2,0,0.0,0.0,1.1225438282812945,1.0813953488372092
none,31,0.06,0.36,0,0,0,0,2,2,5.567764362830024,2,0,0.0,0.0,1.0360745555722939,1.021978021978022
without,31,0.06,0.25,0,0,0,0,1,2,3.870831090777965,1,0,0.0,0.0,1.0457341482224871,1.0333333333333334
few,31,0.03,0.18,0,0,0,0,1,1,5.567764362830023,1,0,0.0,0.0,1.0226114356012683,1.0163934426229508
no,31,0.03,0.18,0,0,0,0,1,1,5.567764362830024,1,0,0.0,0.0,1.0226114356012683,1.0163934426229508
