neg_form_lower,count,mean,std,min,25%,50%,75%,max,total,var_coeff,range,IQ_range,upper_fence,lower_fence,plus1_geo_mean,plus1_har_mean
n't,100,0.92,0.68,0,1,1,1,4,92,0.7357514019362167,4,0,1,1,1.8046455818627385,1.686814731515322
not,100,0.18,0.39,0,0,0,0,1,18,2.1451273314742734,1,0,0,0,1.1328838852957985,1.098901098901099
never,100,0.06,0.28,0,0,0,0,2,6,4.6299663177235715,2,0,0,0,1.0394710833761838,1.0273972602739727
none,100,0.02,0.14,0,0,0,0,1,2,7.035264706814484,1,0,0,0,1.013959479790029,1.0101010101010102
without,100,0.02,0.14,0,0,0,0,1,2,7.035264706814484,1,0,0,0,1.013959479790029,1.0101010101010102
few,100,0.01,0.1,0,0,0,0,1,1,9.999999999999998,1,0,0,0,1.0069555500567189,1.0050251256281406
no,100,0.01,0.1,0,0,0,0,1,1,9.999999999999998,1,0,0,0,1.0069555500567189,1.0050251256281406
