prev_form_lower,count,mean,std,min,25%,50%,75%,max,total,var_coeff,range,IQ_range,upper_fence,lower_fence,plus1_geo_mean,plus1_har_mean
be,100,0.29,0.48,0,0,0,1,2,29,1.6471855367297368,2,1,2.5,-1.5,1.2191280152995128,1.1650485436893203
's,100,0.18,0.41,0,0,0,0,2,18,2.2858456663291147,2,0,0.0,0.0,1.12962946489263,1.094890510948905
was,100,0.13,0.37,0,0,0,0,2,13,2.8205128205128203,2,0,0.0,0.0,1.0911501383637245,1.0657193605683837
is,100,0.11,0.31,0,0,0,0,1,11,2.858782161229274,1,0,0.0,0.0,1.0792282365044272,1.0582010582010581
look,100,0.08,0.31,0,0,0,0,2,8,3.8435305739290366,2,0,0.0,0.0,1.0539815589568935,1.0380622837370241
are,100,0.06,0.28,0,0,0,0,2,6,4.629966317723571,2,0,0.0,0.0,1.0394710833761838,1.0273972602739727
get,100,0.04,0.2,0,0,0,0,1,4,4.923659639173309,1,0,0.0,0.0,1.0281138266560665,1.0204081632653061
looked,100,0.03,0.22,0,0,0,0,2,3,7.4233834451204554,2,0,0.0,0.0,1.0180790778133073,1.0118043844856661
not,100,0.03,0.17,0,0,0,0,1,3,5.714886933258844,1,0,0.0,0.0,1.0210121257071934,1.015228426395939
were,100,0.02,0.14,0,0,0,0,1,2,7.035264706814484,1,0,0.0,0.0,1.013959479790029,1.0101010101010102
quite,100,0.02,0.14,0,0,0,0,1,2,7.035264706814484,1,0,0.0,0.0,1.013959479790029,1.0101010101010102
looking,100,0.02,0.14,0,0,0,0,1,2,7.035264706814482,1,0,0.0,0.0,1.013959479790029,1.0101010101010102
n't,100,0.02,0.14,0,0,0,0,1,2,7.035264706814484,1,0,0.0,0.0,1.013959479790029,1.0101010101010102
'm,100,0.02,0.14,0,0,0,0,1,2,7.035264706814482,1,0,0.0,0.0,1.013959479790029,1.0101010101010102
lives,100,0.01,0.1,0,0,0,0,1,1,9.999999999999998,1,0,0.0,0.0,1.0069555500567189,1.0050251256281406
being,100,0.01,0.1,0,0,0,0,1,1,9.999999999999998,1,0,0.0,0.0,1.0069555500567189,1.0050251256281406
am,100,0.01,0.1,0,0,0,0,1,1,9.999999999999998,1,0,0.0,0.0,1.0069555500567189,1.0050251256281406
thinking,100,0.01,0.1,0,0,0,0,1,1,9.999999999999998,1,0,0.0,0.0,1.0069555500567189,1.0050251256281406
think,100,0.01,0.1,0,0,0,0,1,1,9.999999999999998,1,0,0.0,0.0,1.0069555500567189,1.0050251256281406
still,100,0.01,0.1,0,0,0,0,1,1,9.999999999999998,1,0,0.0,0.0,1.0069555500567189,1.0050251256281406
results,100,0.01,0.1,0,0,0,0,1,1,9.999999999999998,1,0,0.0,0.0,1.0069555500567189,1.0050251256281406
really,100,0.01,0.1,0,0,0,0,1,1,9.999999999999998,1,0,0.0,0.0,1.0069555500567189,1.0050251256281406
just,100,0.01,0.1,0,0,0,0,1,1,10.0,1,0,0.0,0.0,1.0069555500567189,1.0050251256281406
expecting,100,0.01,0.1,0,0,0,0,1,1,9.999999999999998,1,0,0.0,0.0,1.0069555500567189,1.0050251256281406
necessarily,100,0.01,0.1,0,0,0,0,1,1,9.999999999999998,1,0,0.0,0.0,1.0069555500567189,1.0050251256281406
nearly,100,0.01,0.1,0,0,0,0,1,1,9.999999999999998,1,0,0.0,0.0,1.0069555500567189,1.0050251256281406
been,100,0.01,0.1,0,0,0,0,1,1,9.999999999999998,1,0,0.0,0.0,1.0069555500567189,1.0050251256281406
guy,100,0.01,0.1,0,0,0,0,1,1,9.999999999999998,1,0,0.0,0.0,1.0069555500567189,1.0050251256281406
appearing,100,0.01,0.1,0,0,0,0,1,1,9.999999999999998,1,0,0.0,0.0,1.0069555500567189,1.0050251256281406
're,100,0.01,0.1,0,0,0,0,1,1,9.999999999999998,1,0,0.0,0.0,1.0069555500567189,1.0050251256281406
expect,100,0.01,0.1,0,0,0,0,1,1,9.999999999999998,1,0,0.0,0.0,1.0069555500567189,1.0050251256281406
