neg_form_lower,count,mean,std,min,25%,50%,75%,max,total,var_coeff,range,IQ_range,upper_fence,lower_fence,plus1_geo_mean,plus1_har_mean
n't,76,1.21,1.19,0,1,1,1,6,92,0.9850041341524494,6,0,1,1,1.991322228117202,1.8195291569286896
not,76,0.24,0.54,0,0,0,0,3,18,2.273048387340977,3,0,0,0,1.1632999948750962,1.1162790697674418
never,76,0.08,0.32,0,0,0,0,2,6,4.012572833076146,2,0,0,0,1.0522564468799567,1.0363636363636364
none,76,0.03,0.16,0,0,0,0,1,2,6.123180001709351,1,0,0,0,1.018408093274102,1.0133333333333334
without,76,0.03,0.16,0,0,0,0,1,2,6.123180001709351,1,0,0,0,1.018408093274102,1.0133333333333334
few,76,0.01,0.11,0,0,0,0,1,1,8.71779788708135,1,0,0,0,1.0091620748294607,1.0066225165562914
no,76,0.01,0.11,0,0,0,0,1,1,8.71779788708135,1,0,0,0,1.0091620748294607,1.0066225165562914
