pattern,count,mean,std,min,25%,50%,75%,max,total,var_coeff,range,IQ_range,upper_fence,lower_fence,plus1_geo_mean,plus1_har_mean
rb-negraise,100,1.18,0.63,0,1,1,1,5,118,0.5302641660850947,5,0,1,1,2.1143225742686966,2.058319039451115
relay-NR,100,0.04,0.2,0,0,0,0,1,4,4.923659639173309,1,0,0,0,1.0281138266560665,1.0204081632653061
