adj_form_lower,count
good,130954
sure,128062
bad,104709
easy,86698
clear,71543
available,55203
important,49097
much,48267
different,45138
great,32815
big,30610
hard,30587
simple,30327
difficult,29381
close,29099
happy,29072
late,26094
true,25531
ready,24232
better,23606
strong,23509
interested,23428
enough,21582
possible,20216
effective,19491
high,19371
aware,19298
concerned,18303
popular,17028
surprising,16339
obvious,15681
right,15518
excited,15446
successful,15426
wrong,15175
many,13930
able,13840
expensive,13649
accurate,13395
necessary,13328
familiar,12990
worried,12973
comfortable,12742
lucky,12287
interesting,12224
common,11485
fun,11481
serious,10870
exciting,10755
pleased,10641
hot,10527
new,10388
funny,9896
related,9846
large,9694
nice,9650
useful,9578
likely,9528
sweet,9182
keen,9108
helpful,9077
impressive,8785
satisfied,8662
more,8417
perfect,8395
long,8356
certain,8293
distant,8043
impressed,8042
old,8005
complicated,7886
apparent,7708
significant,7707
safe,7663
proud,7521
early,7288
powerful,7279
smart,7206
dangerous,7133
active,7120
beautiful,7051
surprised,6920
correct,6756
worth,6753
fond,6653
visible,6527
relevant,6442
quick,6281
bright,6238
busy,6197
exclusive,6165
accessible,6064
open,5917
heavy,5834
cold,5820
healthy,5816
confident,5728
free,5679
friendly,5615
attractive,5577
fast,5536
shabby,5529
responsible,5432
present,5423
deep,5328
efficient,5307
fortunate,5260
crazy,5221
fair,5200
cool,5102
tough,5059
scary,5053
willing,4783
reliable,4780
small,4765
thrilled,4739
straightforward,4713
pleasant,4684
positive,4655
young,4624
complete,4616
dramatic,4553
severe,4528
unusual,4394
sharp,4379
special,4375
complex,4179
satisfying,4097
optimistic,4065
practical,4045
cheap,4040
worse,4026
dead,4021
tight,3992
evident,3980
consistent,3957
smooth,3917
capable,3868
valuable,3837
aggressive,3825
critical,3821
appealing,3793
specific,3792
convenient,3762
famous,3719
black,3701
productive,3684
feasible,3669
thick,3603
easier,3509
appropriate,3454
clean,3452
stupid,3421
rich,3367
unique,3356
full,3321
noticeable,3292
secure,3266
painful,3240
dark,3188
real,3171
enthusiastic,3137
subtle,3119
careful,3117
original,3100
loud,3052
challenging,3024
intense,3019
warm,2989
viable,2930
memorable,2852
upset,2841
low,2832
terrible,2815
uncommon,2808
frustrating,2752
tall,2736
