adv_form_lower,SUM,not,n't,never,nothing,none,nor,without,no,few,neither,nobody,hardly,rarely,ain't,barely,seldom,scarcely,nit,fewer,aint,nt,nones,na,n''t,doe,nothings,oud,w/o,nots,\'t,n,nobodies,nto,n-t,nod,n'y,nat,n't-,n`t,nys,amp,ane,dne,owo,nobody's,n'l,nobodys,nothingis,itl,fewest,ima,non-exalts,n'a
SUM,3148010,1987360,845537,108823,98154,30800,15075,13792,11727,7989,6496,6235,5293,4300,2011,1172,998,747,596,263,255,151,31,30,30,29,25,15,10,8,7,7,6,6,5,3,3,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
as,526827,332896,160586,12115,7450,5502,1676,428,463,1566,958,443,723,1196,230,143,244,38,90,30,25,8,1,0,4,1,5,0,1,0,0,0,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
so,341050,225458,88523,15782,4558,1937,744,1295,244,374,148,189,165,818,452,11,186,30,54,11,51,6,0,7,1,1,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
too,307870,168417,85979,26178,11351,4995,2820,5818,320,237,613,351,99,114,358,40,17,16,71,8,32,8,1,2,4,3,6,0,4,0,0,0,0,0,4,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
very,191043,128531,52645,3843,1718,1363,690,301,193,476,695,160,81,129,35,7,70,3,51,14,5,24,0,2,1,1,2,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
more,166176,41594,44463,20667,43316,5550,771,350,3823,893,168,1548,1909,396,10,173,114,335,22,26,1,19,5,1,4,3,4,4,0,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
that,165061,88333,72188,2962,371,353,76,16,22,39,89,164,55,193,116,1,15,0,32,1,29,2,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
only,109955,107050,2704,25,31,10,33,5,39,29,2,3,8,5,0,6,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
always,103441,70576,32175,63,63,37,250,12,17,16,34,23,3,2,125,1,1,0,27,1,8,1,0,0,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
really,95459,57749,26031,4443,4574,902,156,151,82,264,239,737,5,18,42,5,13,0,33,3,3,1,0,1,2,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
