colloc,few,never,no,none,not,nothing,SUM
always_sure,0,0,0,0,1,0,1
as_craven,1,0,0,0,0,0,1
exactly_American,0,0,0,0,1,0,1
exactly_L.A.,0,0,0,0,1,0,1
exactly_adventurous,0,0,0,0,1,0,1
exactly_alarming,0,0,0,0,1,0,1
exactly_alike,0,0,2,0,0,0,2
exactly_appropriate,0,0,0,0,2,0,2
exactly_available,0,0,0,0,1,0,1
exactly_bare,0,0,0,0,1,0,1
exactly_buoyant,0,0,0,0,1,0,1
exactly_certain,0,0,0,0,1,0,1
exactly_cheap,0,0,0,1,0,0,1
exactly_chivalrous,0,0,0,0,1,0,1
exactly_civilized,0,0,0,0,1,0,1
exactly_clear,0,0,1,0,5,0,6
exactly_comparable,0,0,0,0,2,0,2
exactly_consistent,0,0,0,0,1,0,1
exactly_craggy,0,0,0,0,1,0,1
exactly_difficult,0,0,0,0,1,0,1
exactly_diverse,0,0,0,0,2,0,2
exactly_dull,0,0,0,0,1,0,1
exactly_earthshaking,0,0,0,0,1,0,1
exactly_easy,0,0,0,0,2,0,2
exactly_empty,0,0,0,0,1,0,1
exactly_epic,0,0,0,0,1,0,1
exactly_excited,0,0,0,0,1,0,1
exactly_fast,0,0,0,0,1,0,1
exactly_fat,0,0,0,0,1,0,1
exactly_flawless,0,0,0,0,1,0,1
exactly_gabby,0,1,0,0,0,0,1
exactly_good,0,0,0,0,1,0,1
exactly_hard,0,0,0,0,1,0,1
exactly_healthy,0,0,0,0,1,0,1
exactly_high-tech,0,0,0,0,1,0,1
exactly_important,0,0,0,0,1,0,1
exactly_impressed,0,0,0,0,1,0,1
exactly_keen,0,0,0,0,1,0,1
exactly_listenable,0,0,0,0,1,0,1
exactly_monochromatic,0,0,0,0,1,0,1
exactly_necessary,0,0,0,0,1,0,1
exactly_new,0,0,0,0,1,0,1
exactly_non-partisan,0,0,0,0,1,0,1
exactly_overwhelming,0,0,0,0,1,0,1
exactly_perfect,0,0,0,0,2,0,2
exactly_quiet,0,0,0,0,1,0,1
exactly_real,0,0,0,0,0,1,1
exactly_related,0,0,0,0,1,0,1
exactly_revolutionary,0,0,0,0,1,0,1
exactly_scientific,0,0,0,0,1,0,1
exactly_serene,0,0,0,0,1,0,1
exactly_shocked,0,0,0,0,1,0,1
exactly_shocking,0,0,0,0,1,0,1
exactly_slow,0,0,0,0,1,0,1
exactly_smooth,0,0,0,0,1,0,1
exactly_stable,0,0,0,0,1,0,1
exactly_standard,0,0,0,0,1,0,1
exactly_strong,0,0,0,0,1,0,1
exactly_stylish,0,0,0,0,1,0,1
exactly_subtle,0,0,0,0,1,0,1
exactly_sure,0,0,0,0,22,0,22
exactly_teachable,0,0,0,0,1,0,1
exactly_timely,0,0,0,0,1,0,1
exactly_true,0,0,0,0,2,0,2
exactly_typecast,0,0,0,0,1,0,1
exactly_typical,0,0,0,0,1,0,1
exactly_ugly,0,0,0,0,1,0,1
exactly_unblemished,0,0,0,0,1,0,1
exactly_unknown,0,0,0,0,1,0,1
exactly_welcome,0,0,0,0,1,0,1
exactly_widespread,0,0,0,0,1,0,1
exactly_wonderful,0,0,0,0,1,0,1
exactly_world-wise,0,0,0,0,1,0,1
exactly_worried,0,0,0,0,1,0,1
quite_appropriate,0,0,0,0,1,0,1
that_dramatic,0,0,0,0,1,0,1
SUM,1,1,3,1,102,1,109
