part,category,total_hits
Pcc06,POSmirror,9637
Pcc08,POSmirror,9503
Pcc19,POSmirror,9406
Pcc20,POSmirror,9329
Pcc16,POSmirror,9245
Pcc23,POSmirror,9228
Pcc22,POSmirror,9223
Pcc12,POSmirror,9220
Pcc24,POSmirror,9209
Pcc18,POSmirror,9194
Pcc28,POSmirror,9187
Pcc01,POSmirror,9151
Pcc10,POSmirror,9085
Pcc00,POSmirror,9078
Pcc05,POSmirror,9064
Pcc02,POSmirror,9057
Pcc25,POSmirror,9045
Pcc15,POSmirror,9025
Pcc04,POSmirror,9013
Pcc07,POSmirror,9008
Pcc13,POSmirror,9002
Pcc29,POSmirror,8990
Pcc21,POSmirror,8971
Pcc09,POSmirror,8959
Pcc11,POSmirror,8945
Pcc14,POSmirror,8941
Pcc17,POSmirror,8930
Pcc03,POSmirror,8903
Pcc26,POSmirror,8838
Pcc27,POSmirror,8824
Nyt2,POSmirror,8679
Nyt1,POSmirror,5474
Apw,POSmirror,3805
PccVa,POSmirror,293
PccTe,POSmirror,274
