part,category,total_hits
Pcc06,POSmirror,45422
Pcc08,POSmirror,44889
Pcc19,POSmirror,44826
Pcc16,POSmirror,44291
Pcc23,POSmirror,44082
Pcc20,POSmirror,44034
Pcc18,POSmirror,43988
Pcc12,POSmirror,43871
Pcc24,POSmirror,43867
Pcc22,POSmirror,43859
Pcc00,POSmirror,43742
Pcc05,POSmirror,43447
Pcc28,POSmirror,43311
Pcc03,POSmirror,43303
Pcc09,POSmirror,43195
Pcc04,POSmirror,43191
Pcc07,POSmirror,43161
Pcc01,POSmirror,43095
Pcc25,POSmirror,42977
Pcc11,POSmirror,42975
Pcc14,POSmirror,42910
Pcc21,POSmirror,42806
Pcc10,POSmirror,42785
Pcc17,POSmirror,42742
Pcc02,POSmirror,42597
Pcc15,POSmirror,42575
Pcc13,POSmirror,42490
Pcc29,POSmirror,42438
Pcc26,POSmirror,42132
Pcc27,POSmirror,42081
Nyt2,POSmirror,41008
Nyt1,POSmirror,26803
Apw,POSmirror,17294
PccTe,POSmirror,1371
PccVa,POSmirror,1340
