part,category,total_hits
Nyt2,not-RBdirect,126486
Pcc06,not-RBdirect,99462
Pcc19,not-RBdirect,98870
Pcc08,not-RBdirect,98722
Pcc18,not-RBdirect,97308
Pcc12,not-RBdirect,97295
Pcc00,not-RBdirect,96962
Pcc23,not-RBdirect,96892
Pcc20,not-RBdirect,96686
Pcc16,not-RBdirect,96596
Pcc05,not-RBdirect,96276
Pcc24,not-RBdirect,96231
Pcc22,not-RBdirect,95861
Pcc28,not-RBdirect,95783
Pcc01,not-RBdirect,95634
Pcc03,not-RBdirect,95492
Pcc11,not-RBdirect,95398
Pcc09,not-RBdirect,95298
Pcc04,not-RBdirect,95210
Pcc17,not-RBdirect,94653
Pcc07,not-RBdirect,94592
Pcc10,not-RBdirect,94563
Pcc25,not-RBdirect,94028
Pcc02,not-RBdirect,93915
Pcc29,not-RBdirect,93800
Pcc15,not-RBdirect,93609
Pcc21,not-RBdirect,93481
Pcc14,not-RBdirect,93298
Pcc13,not-RBdirect,93235
Pcc27,not-RBdirect,92897
Pcc26,not-RBdirect,92834
Nyt1,not-RBdirect,89336
Apw,not-RBdirect,86805
PccTe,not-RBdirect,3108
PccVa,not-RBdirect,3065
