part,category,total_hits
Nyt2,RBdirect,136138
Nyt1,RBdirect,98361
Pcc06,RBdirect,98355
Pcc19,RBdirect,97836
Pcc12,RBdirect,97305
Pcc08,RBdirect,96890
Pcc18,RBdirect,96685
Pcc20,RBdirect,96346
Pcc22,RBdirect,95906
Pcc23,RBdirect,95624
Pcc16,RBdirect,95411
Pcc24,RBdirect,95410
Pcc00,RBdirect,95376
Pcc05,RBdirect,95371
Pcc03,RBdirect,94950
Pcc10,RBdirect,94632
Pcc28,RBdirect,94606
Pcc11,RBdirect,94501
Pcc01,RBdirect,94471
Pcc07,RBdirect,94404
Pcc04,RBdirect,94190
Pcc09,RBdirect,94183
Pcc17,RBdirect,93898
Pcc14,RBdirect,93545
Pcc25,RBdirect,93534
Pcc21,RBdirect,93045
Pcc02,RBdirect,92869
Pcc29,RBdirect,92838
Pcc26,RBdirect,92787
Pcc15,RBdirect,92783
Pcc13,RBdirect,92541
Pcc27,RBdirect,92345
Apw,RBdirect,90499
PccVa,RBdirect,3076
PccTe,RBdirect,2970
