adj,NegStrictVers,Neg%ofStrict,NegTrivialVers,Neg%ofTrivial,VersDiff,PercDiff
tired,32,0.7429765498026468,101,0.1789225672731138,69,-0.564053982529533
scientific,32,0.7429765498026468,74,0.1310917819624794,42,-0.6118847678401674
convincing,31,0.7197585326213141,92,0.162978972169569,61,-0.556779560451745
transparent,31,0.7197585326213141,99,0.17537954613899273,68,-0.5443789864823213
sophisticated,31,0.7197585326213141,92,0.162978972169569,61,-0.556779560451745
equal,31,0.7197585326213141,121,0.21435277861432445,90,-0.5054057540069896
responsive,31,0.7197585326213141,100,0.17715105670605324,69,-0.5426074759152608
small,31,0.7197585326213141,113,0.2001806940778402,82,-0.5195778385434738
normal,31,0.7197585326213141,104,0.18423709897429538,73,-0.5355214336470187
forthcoming,31,0.7197585326213141,91,0.16120746160250846,60,-0.5585510710188056
alive,31,0.7197585326213141,97,0.17183652500487165,66,-0.5479220076164424
independent,31,0.7197585326213141,99,0.17537954613899273,68,-0.5443789864823213
romantic,31,0.7197585326213141,112,0.19840918351077966,81,-0.5213493491105344
wealthy,31,0.7197585326213141,100,0.17715105670605324,69,-0.5426074759152608
disappointed,31,0.7197585326213141,122,0.21612428918138496,91,-0.5036342434399291
amazing,31,0.7197585326213141,117,0.20726673634608228,86,-0.5124917962752318
much,31,0.7197585326213141,107,0.18955163067547698,76,-0.5302069019458371
authentic,30,0.6965405154399814,65,0.1151481868589346,35,-0.5813923285810468
deep,30,0.6965405154399814,111,0.1966376729437191,81,-0.4999028424962623
personal,30,0.6965405154399814,90,0.15943595103544791,60,-0.5371045644045335
solid,30,0.6965405154399814,94,0.16652199330369005,64,-0.5300185221362914
weird,30,0.6965405154399814,117,0.20726673634608228,87,-0.48927377909389913
passionate,30,0.6965405154399814,81,0.14349235593190313,51,-0.5530481595080783
unreasonable,30,0.6965405154399814,68,0.1204627185601162,38,-0.5760777968798652
pure,30,0.6965405154399814,85,0.15057839820014526,55,-0.5459621172398361
ok,30,0.6965405154399814,96,0.1700650144378111,66,-0.5264755010021703
worthy,30,0.6965405154399814,118,0.20903824691314282,88,-0.4875022685268386
uncomfortable,29,0.6733224982586488,84,0.14880688763308472,55,-0.5245156106255641
creative,29,0.6733224982586488,105,0.18600860954135592,76,-0.48731388871729286
awesome,29,0.6733224982586488,129,0.2285248631508087,100,-0.4447976351078401
technical,29,0.6733224982586488,87,0.15412141933426632,58,-0.5192010789243824
comparable,29,0.6733224982586488,102,0.18069407784017433,73,-0.49262842041847443
sharp,29,0.6733224982586488,86,0.1523499087672058,57,-0.520972589491443
conducive,29,0.6733224982586488,74,0.1310917819624794,45,-0.5422307162961694
identical,29,0.6733224982586488,96,0.1700650144378111,67,-0.5032574838208377
poor,29,0.6733224982586488,130,0.2302963737178692,101,-0.44302612454077955
convenient,29,0.6733224982586488,88,0.15589292990132686,59,-0.5174295683573219
sound,28,0.650104481077316,92,0.162978972169569,64,-0.487125508907747
alone,28,0.650104481077316,69,0.12223422912717676,41,-0.5278702519501393
ideal,28,0.650104481077316,100,0.17715105670605324,72,-0.47295342437126275
uncommon,28,0.650104481077316,72,0.12754876082835834,44,-0.5225557202489577
awful,28,0.650104481077316,146,0.25864054279083776,118,-0.39146393828647824
loyal,28,0.650104481077316,90,0.15943595103544791,62,-0.49066853004186806
tall,28,0.650104481077316,86,0.1523499087672058,58,-0.4977545723101102
damaging,28,0.650104481077316,103,0.18246558840723484,75,-0.4676388926700812
green,28,0.650104481077316,88,0.15589292990132686,60,-0.49421155117598914
robust,28,0.650104481077316,84,0.14880688763308472,56,-0.5012975934442313
fit,28,0.650104481077316,77,0.136406313663661,49,-0.513698167413655
rude,28,0.650104481077316,92,0.162978972169569,64,-0.487125508907747
grateful,28,0.650104481077316,73,0.12932027139541888,45,-0.5207842096818971
empty,28,0.650104481077316,81,0.14349235593190313,53,-0.5066121251454129
eager,28,0.650104481077316,69,0.12223422912717676,41,-0.5278702519501393
scared,28,0.650104481077316,92,0.162978972169569,64,-0.487125508907747
cute,28,0.650104481077316,108,0.19132314124253752,80,-0.4587813398347785
dramatic,28,0.650104481077316,102,0.18069407784017433,74,-0.46941040323714167
smooth,28,0.650104481077316,85,0.15057839820014526,57,-0.4995260828771707
sufficient,27,0.6268864638959832,112,0.19840918351077966,85,-0.4284772803852036
gay,27,0.6268864638959832,98,0.1736080355719322,71,-0.4532784283240511
plausible,27,0.6268864638959832,77,0.136406313663661,50,-0.4904801502323223
professional,27,0.6268864638959832,74,0.1310917819624794,47,-0.49579468193350384
shocking,27,0.6268864638959832,92,0.162978972169569,65,-0.4639074917264142
ugly,27,0.6268864638959832,104,0.18423709897429538,77,-0.4426493649216878
short,27,0.6268864638959832,125,0.22143882088256658,98,-0.4054476430134166
liberal,27,0.6268864638959832,104,0.18423709897429538,77,-0.4426493649216878
prone,27,0.6268864638959832,76,0.13463480309660047,49,-0.49225166079938276
superior,27,0.6268864638959832,130,0.2302963737178692,103,-0.39659009017811403
neutral,27,0.6268864638959832,87,0.15412141933426632,60,-0.4727650445617169
indicative,27,0.6268864638959832,79,0.13994933479778207,52,-0.4869371290982012
partisan,27,0.6268864638959832,101,0.1789225672731138,74,-0.44796389662286945
jewish,27,0.6268864638959832,90,0.15943595103544791,63,-0.4674505128605353
innocent,27,0.6268864638959832,74,0.1310917819624794,47,-0.49579468193350384
tight,27,0.6268864638959832,98,0.1736080355719322,71,-0.4532784283240511
reasonable,27,0.6268864638959832,85,0.15057839820014526,58,-0.47630806569583795
democratic,27,0.6268864638959832,84,0.14880688763308472,57,-0.47807957626289854
strange,27,0.6268864638959832,100,0.17715105670605324,73,-0.44973540718993
guilty,27,0.6268864638959832,97,0.17183652500487165,70,-0.45504993889111156
unhappy,27,0.6268864638959832,91,0.16120746160250846,64,-0.4656790022934748
dominant,27,0.6268864638959832,99,0.17537954613899273,72,-0.4515069177569905
social,27,0.6268864638959832,80,0.1417208453648426,53,-0.4851656185311406
controversial,27,0.6268864638959832,80,0.1417208453648426,53,-0.4851656185311406
insane,27,0.6268864638959832,91,0.16120746160250846,64,-0.4656790022934748
pleasing,27,0.6268864638959832,93,0.1647504827366295,66,-0.4621359811593537
shy,27,0.6268864638959832,77,0.136406313663661,50,-0.4904801502323223
rare,26,0.6036684467146506,94,0.16652199330369005,68,-0.43714645341096053
comprehensive,26,0.6036684467146506,64,0.11337667629187408,38,-0.4902917704227765
vulnerable,26,0.6036684467146506,108,0.19132314124253752,82,-0.41234530547211307
straightforward,26,0.6036684467146506,77,0.136406313663661,51,-0.4672621330509896
straight,26,0.6036684467146506,70,0.12400573969423728,44,-0.4796627070204133
loud,26,0.6036684467146506,110,0.19486616237665857,84,-0.40880228433799204
curious,26,0.6036684467146506,83,0.1470353770660242,57,-0.4566330696486264
susceptible,26,0.6036684467146506,69,0.12223422912717676,43,-0.48143421758747384
brilliant,26,0.6036684467146506,123,0.21789579974844547,97,-0.3857726469662051
credible,26,0.6036684467146506,74,0.1310917819624794,48,-0.4725766647521712
accountable,26,0.6036684467146506,81,0.14349235593190313,55,-0.46017609078274746
private,26,0.6036684467146506,68,0.1204627185601162,42,-0.4832057281545344
depressed,26,0.6036684467146506,91,0.16120746160250846,65,-0.44246098511214216
thrilled,26,0.6036684467146506,64,0.11337667629187408,38,-0.4902917704227765
trustworthy,26,0.6036684467146506,62,0.10983365515775301,36,-0.4938347915568976
clever,26,0.6036684467146506,98,0.1736080355719322,72,-0.4300604111427184
intuitive,26,0.6036684467146506,62,0.10983365515775301,36,-0.4938347915568976
public,25,0.5804504295333178,69,0.12223422912717676,44,-0.4582162004061411
distinct,25,0.5804504295333178,119,0.2108097574802034,94,-0.36964067205311446
diverse,25,0.5804504295333178,87,0.15412141933426632,62,-0.4263290101990515
fluent,25,0.5804504295333178,61,0.10806214459069248,36,-0.47238828494262536
ambitious,25,0.5804504295333178,100,0.17715105670605324,75,-0.4032993728272646
wet,25,0.5804504295333178,81,0.14349235593190313,56,-0.4369580736014147
adept,25,0.5804504295333178,76,0.13463480309660047,51,-0.44581562643671735
innovative,25,0.5804504295333178,104,0.18423709897429538,79,-0.3962133305590224
faithful,25,0.5804504295333178,70,0.12400573969423728,45,-0.45644468983908054
annoying,25,0.5804504295333178,97,0.17183652500487165,72,-0.40861390452844615
wide,25,0.5804504295333178,86,0.1523499087672058,61,-0.42810052076611205
careful,25,0.5804504295333178,71,0.1257772502612978,46,-0.45467317927202
commercial,25,0.5804504295333178,58,0.10274761288951088,33,-0.4777028166438069
young,25,0.5804504295333178,84,0.14880688763308472,59,-0.43164354190023313
adequate,25,0.5804504295333178,88,0.15589292990132686,63,-0.42455749963199096
shocked,25,0.5804504295333178,74,0.1310917819624794,49,-0.44935864757083843
recognizable,24,0.5572324123519852,73,0.12932027139541888,49,-0.42791214095656627
affordable,24,0.5572324123519852,82,0.14526386649896367,58,-0.4119685458530215
immune,24,0.5572324123519852,72,0.12754876082835834,48,-0.42968365152362686
random,24,0.5572324123519852,66,0.11691969742599516,42,-0.44031271492599
subtle,24,0.5572324123519852,61,0.10806214459069248,37,-0.4491702677612927
quiet,24,0.5572324123519852,77,0.136406313663661,53,-0.4208260986883242
prepared,24,0.5572324123519852,65,0.1151481868589346,41,-0.4420842254930506
fat,24,0.5572324123519852,76,0.13463480309660047,52,-0.4225976092553847
male,24,0.5572324123519852,83,0.1470353770660242,59,-0.41019703528596096
organic,24,0.5572324123519852,52,0.09211854948714769,28,-0.46511386286483747
flattering,24,0.5572324123519852,56,0.09920459175538983,32,-0.45802782059659536
likable,24,0.5572324123519852,66,0.11691969742599516,42,-0.44031271492599
nervous,24,0.5572324123519852,69,0.12223422912717676,45,-0.43499818322480843
sexual,24,0.5572324123519852,91,0.16120746160250846,67,-0.39602495074947675
revolutionary,24,0.5572324123519852,72,0.12754876082835834,48,-0.42968365152362686
satisfactory,24,0.5572324123519852,68,0.1204627185601162,44,-0.436769693791869
exclusive,24,0.5572324123519852,93,0.1647504827366295,69,-0.39248192961535566
meaningful,24,0.5572324123519852,90,0.15943595103544791,66,-0.39779646131653723
reflective,24,0.5572324123519852,70,0.12400573969423728,46,-0.4332266726577479
radical,24,0.5572324123519852,77,0.136406313663661,53,-0.4208260986883242
anxious,24,0.5572324123519852,83,0.1470353770660242,59,-0.41019703528596096
flexible,24,0.5572324123519852,72,0.12754876082835834,48,-0.42968365152362686
fancy,24,0.5572324123519852,51,0.09034703892008716,27,-0.466885373431898
proficient,24,0.5572324123519852,77,0.136406313663661,53,-0.4208260986883242
problematic,24,0.5572324123519852,110,0.19486616237665857,86,-0.3623662499753266
mobile,24,0.5572324123519852,70,0.12400573969423728,46,-0.4332266726577479
fresh,24,0.5572324123519852,88,0.15589292990132686,64,-0.4013394824506583
unpleasant,24,0.5572324123519852,76,0.13463480309660047,52,-0.4225976092553847
huge,24,0.5572324123519852,102,0.18069407784017433,78,-0.37653833451181085
fashionable,24,0.5572324123519852,60,0.10629063402363195,36,-0.45094177832835325
equivalent,24,0.5572324123519852,85,0.15057839820014526,61,-0.4066540141518399
rewarding,24,0.5572324123519852,91,0.16120746160250846,67,-0.39602495074947675
soft,24,0.5572324123519852,83,0.1470353770660242,59,-0.41019703528596096
believable,24,0.5572324123519852,65,0.1151481868589346,41,-0.4420842254930506
advanced,23,0.5340143951706524,71,0.1257772502612978,48,-0.4082371449093546
coherent,23,0.5340143951706524,70,0.12400573969423728,47,-0.41000865547641513
unexpected,23,0.5340143951706524,53,0.09389006005420822,30,-0.4401243351164442
graphic,23,0.5340143951706524,62,0.10983365515775301,39,-0.4241807400128994
