adj,NegStrictVers,Neg%ofStrict,NegTrivialVers,Neg%ofTrivial,VersDiff,PercDiff
good,120,2.7861620617599256,431,0.7635210544030895,311,-2.022641007356836
available,118,2.73972602739726,309,0.5473967652217046,191,-2.1923292621755555
different,117,2.7165080102159274,323,0.572197913160552,206,-2.1443100970553752
bad,111,2.5771999071279312,380,0.6731740154830024,269,-1.9040258916449289
wrong,110,2.5539818899465985,344,0.6093996350688232,234,-1.9445822548777754
enough,100,2.3218017181332713,414,0.7334053747630604,314,-1.5883963433702109
interested,99,2.2985837009519385,253,0.4481921734663147,154,-1.8503915274856237
aware,98,2.275365683770606,286,0.5066520221793123,188,-1.768713661591294
possible,94,2.182493615045275,255,0.45173519460043576,161,-1.7307584204448394
able,94,2.182493615045275,257,0.4552782157345569,163,-1.7272153993107182
true,93,2.1592755978639424,291,0.5155095750146149,198,-1.6437660228493276
clear,92,2.1360575806826096,268,0.4747648319722227,176,-1.661292748710387
related,92,2.1360575806826096,314,0.5562543180570072,222,-1.5798032626256024
better,89,2.066403529138612,276,0.488936916508707,187,-1.5774666126299048
concerned,88,2.0431855119572786,226,0.4003613881556804,138,-1.6428241238015981
present,80,1.857441374506617,228,0.4039044092898014,148,-1.4535369652168155
necessary,79,1.8342233573252844,214,0.37910326135095396,135,-1.4551200959743305
difficult,79,1.8342233573252844,245,0.4340200889298305,166,-1.400203268395454
important,78,1.8110053401439519,265,0.46945030027104107,187,-1.3415550398729108
easy,78,1.8110053401439519,236,0.41807649382628564,158,-1.3929288463176661
obvious,76,1.7645693057812863,213,0.3773317507838934,137,-1.387237554997393
successful,76,1.7645693057812863,234,0.41453347269216456,158,-1.3500358330891218
responsible,75,1.7413512885999536,195,0.34544456057680384,120,-1.3959067280231499
high,75,1.7413512885999536,235,0.41630498325922516,160,-1.3250463053407284
familiar,71,1.6484792198746225,178,0.3153288809367748,107,-1.3331503389378478
accessible,71,1.6484792198746225,201,0.35607362397916703,130,-1.2924055958954555
visible,71,1.6484792198746225,193,0.34190153944268276,122,-1.3065776804319398
relevant,70,1.62526120269329,210,0.37201721908271185,140,-1.2532439836105782
sure,69,1.6020431855119575,199,0.35253060284504595,130,-1.2495125826669116
ready,69,1.6020431855119575,234,0.41453347269216456,165,-1.187509712819793
popular,68,1.5788251683306245,182,0.3224149232050169,114,-1.2564102451256076
expensive,67,1.555607151149292,235,0.41630498325922516,168,-1.1393021678900668
open,67,1.555607151149292,188,0.3330439866073801,121,-1.2225631645419117
capable,66,1.5323891339679592,203,0.3596166451132881,137,-1.1727724888546711
effective,66,1.5323891339679592,217,0.3844177930521356,151,-1.1479713409158236
active,66,1.5323891339679592,203,0.3596166451132881,137,-1.1727724888546711
safe,65,1.5091711167866264,185,0.32772945490619854,120,-1.1814416618804278
strong,65,1.5091711167866264,228,0.4039044092898014,163,-1.105266707496825
useful,64,1.4859530996052936,206,0.3649311768144697,142,-1.121021922790824
accurate,64,1.4859530996052936,246,0.43579159949689095,182,-1.0501615001084028
happy,64,1.4859530996052936,264,0.46767878970398064,200,-1.018274309901313
close,64,1.4859530996052936,193,0.34190153944268276,129,-1.144051560162611
dangerous,63,1.4627350824239609,195,0.34544456057680384,132,-1.1172905218471572
new,62,1.4395170652426281,208,0.36847419794859076,146,-1.0710428672940373
qualified,62,1.4395170652426281,150,0.2657265850590799,88,-1.1737904801835481
right,61,1.4162990480612956,169,0.29938528583323,108,-1.1169137622280656
funny,61,1.4162990480612956,246,0.43579159949689095,185,-0.9805074485644046
hard,60,1.3930810308799628,182,0.3224149232050169,122,-1.070666107674946
correct,59,1.36986301369863,254,0.4499636840333753,195,-0.9198993296652548
great,58,1.3466449965172975,194,0.3436730500097433,136,-1.0029719465075542
significant,58,1.3466449965172975,188,0.3330439866073801,130,-1.0136010099099173
comfortable,57,1.3234269793359648,162,0.28698471186380625,105,-1.0364422674721585
interesting,57,1.3234269793359648,211,0.37378872964977233,154,-0.9496382496861924
impressed,57,1.3234269793359648,148,0.2621835639249588,91,-1.061243415411006
compatible,56,1.300208962154632,175,0.3100143492355932,119,-0.9901946129190389
impossible,56,1.300208962154632,158,0.27989866959556414,102,-1.020310292559068
free,55,1.2769909449732992,210,0.37201721908271185,155,-0.9049737258905874
satisfied,55,1.2769909449732992,172,0.3046998175344116,117,-0.9722911274388877
hot,54,1.2537729277919665,234,0.41453347269216456,180,-0.8392394550998019
apparent,54,1.2537729277919665,149,0.2639550744920193,95,-0.9898178532999471
willing,52,1.2073368934293012,136,0.2409254371202324,84,-0.9664114563090688
appropriate,51,1.1841188762479684,160,0.2834416907296852,109,-0.9006771855182831
worried,51,1.1841188762479684,162,0.28698471186380625,111,-0.8971341643841622
healthy,51,1.1841188762479684,145,0.2568690322237772,94,-0.9272498440241912
serious,51,1.1841188762479684,154,0.272812627327322,103,-0.9113062489206465
consistent,51,1.1841188762479684,152,0.26926960619320095,101,-0.9148492700547675
religious,51,1.1841188762479684,159,0.2816701801626247,108,-0.9024486960853437
positive,51,1.1841188762479684,197,0.3489875817109249,146,-0.8351312945370435
competitive,50,1.1609008590666356,139,0.24623996882141402,89,-0.9146608902452216
helpful,50,1.1609008590666356,159,0.2816701801626247,109,-0.879230678904011
evident,50,1.1609008590666356,137,0.24269694768729294,87,-0.9182039113793428
feasible,50,1.1609008590666356,134,0.23738241598611134,84,-0.9235184430805243
practical,50,1.1609008590666356,110,0.19486616237665857,60,-0.9660346966899771
attractive,50,1.1609008590666356,158,0.27989866959556414,108,-0.8810021894710716
acceptable,49,1.137682841885303,148,0.2621835639249588,99,-0.8754992779603443
reliable,49,1.137682841885303,114,0.2019522046449007,65,-0.9357306372404024
beautiful,49,1.137682841885303,213,0.3773317507838934,164,-0.7603510911014097
worth,49,1.137682841885303,138,0.2444684582543535,89,-0.8932143836309496
political,49,1.137682841885303,148,0.2621835639249588,99,-0.8754992779603443
surprising,48,1.1144648247039703,121,0.21435277861432445,73,-0.9001120460896459
excited,48,1.1144648247039703,154,0.272812627327322,106,-0.8416521973766484
likely,48,1.1144648247039703,124,0.21966731031550601,76,-0.8947975143884643
certain,48,1.1144648247039703,135,0.23915392655317189,87,-0.8753108981507984
perfect,48,1.1144648247039703,206,0.3649311768144697,158,-0.7495336478895007
simple,47,1.0912468075226376,151,0.2674980956261404,104,-0.8237487118964972
applicable,47,1.0912468075226376,132,0.23383939485199032,85,-0.8574074126706472
harmful,47,1.0912468075226376,133,0.23561090541905083,86,-0.8556359021035868
large,47,1.0912468075226376,181,0.32064341263795637,134,-0.7706033948846812
sweet,47,1.0912468075226376,183,0.32418643377207745,136,-0.7670603737505601
impressive,46,1.0680287903413048,144,0.2550975216567167,98,-0.8129312686845882
dead,46,1.0680287903413048,147,0.2604120533578983,101,-0.8076167369834065
friendly,46,1.0680287903413048,236,0.41807649382628564,190,-0.6499522965150192
pleased,45,1.044810773159972,123,0.21789579974844547,78,-0.8269149734115266
long,45,1.044810773159972,146,0.25864054279083776,101,-0.7861702303691342
beneficial,45,1.044810773159972,131,0.23206788428492978,86,-0.8127428888750423
confident,45,1.044810773159972,115,0.20372371521196123,70,-0.8410870579480109
evil,45,1.044810773159972,160,0.2834416907296852,115,-0.7613690824302868
conservative,44,1.0215927559786393,150,0.2657265850590799,106,-0.7558661709195593
powerful,44,1.0215927559786393,154,0.272812627327322,110,-0.7487801286513174
cold,44,1.0215927559786393,168,0.29761377526616944,124,-0.7239789807124699
cool,44,1.0215927559786393,130,0.2302963737178692,86,-0.7912963822607701
subject,44,1.0215927559786393,128,0.22675335258374815,84,-0.7948394033948911
efficient,44,1.0215927559786393,138,0.2444684582543535,94,-0.7771242977242858
unique,44,1.0215927559786393,142,0.2515545005225956,98,-0.7700382554560437
satisfying,44,1.0215927559786393,145,0.2568690322237772,101,-0.7647237237548621
aggressive,44,1.0215927559786393,147,0.2604120533578983,103,-0.761180702620741
illegal,43,0.9983747387973066,119,0.2108097574802034,76,-0.7875649813171033
stable,43,0.9983747387973066,129,0.2285248631508087,86,-0.769849875646498
rich,43,0.9983747387973066,172,0.3046998175344116,129,-0.693674921262895
big,43,0.9983747387973066,142,0.2515545005225956,99,-0.7468202382747111
productive,43,0.9983747387973066,139,0.24623996882141402,96,-0.7521347699758927
dependent,43,0.9983747387973066,172,0.3046998175344116,129,-0.693674921262895
offensive,43,0.9983747387973066,153,0.2710411167602615,110,-0.7273336220370452
critical,43,0.9983747387973066,154,0.272812627327322,111,-0.7255621114699846
original,42,0.975156721615974,139,0.24623996882141402,97,-0.7289167527945599
complex,42,0.975156721615974,188,0.3330439866073801,146,-0.6421127350085939
involved,41,0.9519387044346412,117,0.20726673634608228,76,-0.744671968088559
appealing,41,0.9519387044346412,136,0.2409254371202324,95,-0.7110132673144088
smart,41,0.9519387044346412,121,0.21435277861432445,80,-0.7375859258203168
full,41,0.9519387044346412,125,0.22143882088256658,84,-0.7304998835520746
supportive,41,0.9519387044346412,123,0.21789579974844547,82,-0.7340429046861958
human,41,0.9519387044346412,118,0.20903824691314282,77,-0.7429004575214984
common,41,0.9519387044346412,122,0.21612428918138496,81,-0.7358144152532563
black,41,0.9519387044346412,142,0.2515545005225956,101,-0.7003842039120456
similar,41,0.9519387044346412,169,0.29938528583323,128,-0.6525534186014113
fair,41,0.9519387044346412,108,0.19132314124253752,67,-0.7606155631921037
clean,40,0.9287206872533085,136,0.2409254371202324,96,-0.6877952501330761
noticeable,40,0.9287206872533085,118,0.20903824691314282,78,-0.7196824403401656
surprised,40,0.9287206872533085,101,0.1789225672731138,61,-0.7497981199801946
keen,39,0.9055026700719759,105,0.18600860954135592,66,-0.71949406053062
skilled,39,0.9055026700719759,110,0.19486616237665857,71,-0.7106365076953174
terrible,39,0.9055026700719759,117,0.20726673634608228,78,-0.6982359337258937
stupid,39,0.9055026700719759,203,0.3596166451132881,164,-0.5458860249586879
inclined,39,0.9055026700719759,123,0.21789579974844547,84,-0.6876068703235305
painful,39,0.9055026700719759,123,0.21789579974844547,84,-0.6876068703235305
white,39,0.9055026700719759,126,0.2232103314496271,87,-0.6822923386223488
realistic,39,0.9055026700719759,114,0.2019522046449007,75,-0.7035504654270752
valuable,39,0.9055026700719759,115,0.20372371521196123,76,-0.7017789548600147
more,39,0.9055026700719759,140,0.24801147938847456,101,-0.6574911906835014
american,38,0.8822846528906432,97,0.17183652500487165,59,-0.7104481278857715
negative,38,0.8822846528906432,137,0.24269694768729294,99,-0.6395877052033503
tough,38,0.8822846528906432,106,0.18778012010841644,68,-0.6945045327822268
hostile,38,0.8822846528906432,134,0.23738241598611134,96,-0.6449022369045319
optimistic,38,0.8822846528906432,118,0.20903824691314282,80,-0.6732464059775003
profitable,38,0.8822846528906432,134,0.23738241598611134,96,-0.6449022369045319
real,38,0.8822846528906432,126,0.2232103314496271,88,-0.6590743214410161
sustainable,38,0.8822846528906432,104,0.18423709897429538,66,-0.6980475539163478
unusual,38,0.8822846528906432,99,0.17537954613899273,61,-0.7069051067516504
welcome,37,0.8590666357093104,78,0.13817782423072153,41,-0.7208888114785889
representative,37,0.8590666357093104,101,0.1789225672731138,64,-0.6801440684361966
sick,37,0.8590666357093104,124,0.21966731031550601,87,-0.6393993253938044
boring,37,0.8590666357093104,117,0.20726673634608228,80,-0.6517998993632281
fun,37,0.8590666357093104,135,0.23915392655317189,98,-0.6199127091561385
challenging,37,0.8590666357093104,144,0.2550975216567167,107,-0.6039691140525938
cheap,37,0.8590666357093104,132,0.23383939485199032,95,-0.6252272408573201
complicated,37,0.8590666357093104,125,0.22143882088256658,88,-0.6376278148267438
complete,37,0.8590666357093104,101,0.1789225672731138,64,-0.6801440684361966
afraid,37,0.8590666357093104,129,0.2285248631508087,92,-0.6305417725585017
competent,37,0.8590666357093104,107,0.18955163067547698,70,-0.6695150050338334
suitable,37,0.8590666357093104,123,0.21789579974844547,86,-0.641170835960865
secure,37,0.8590666357093104,118,0.20903824691314282,81,-0.6500283887961675
sensitive,37,0.8590666357093104,139,0.24623996882141402,102,-0.6128266668878963
violent,37,0.8590666357093104,144,0.2550975216567167,107,-0.6039691140525938
detailed,36,0.8358486185279778,127,0.22498184201668764,91,-0.6108667765112901
functional,36,0.8358486185279778,86,0.1523499087672058,50,-0.683498709760772
valid,36,0.8358486185279778,123,0.21789579974844547,87,-0.6179528187795322
exciting,36,0.8358486185279778,161,0.2852132012967457,125,-0.550635417231232
busy,36,0.8358486185279778,118,0.20903824691314282,82,-0.626810371614835
bright,36,0.8358486185279778,115,0.20372371521196123,79,-0.6321249033160166
special,36,0.8358486185279778,123,0.21789579974844547,87,-0.6179528187795322
specific,36,0.8358486185279778,125,0.22143882088256658,89,-0.6144097976454111
conscious,36,0.8358486185279778,133,0.23561090541905083,97,-0.6002377131089269
racist,36,0.8358486185279778,125,0.22143882088256658,89,-0.6144097976454111
low,36,0.8358486185279778,126,0.2232103314496271,90,-0.6126382870783507
angry,35,0.812630601346645,129,0.2285248631508087,94,-0.5841057381958363
predictable,35,0.812630601346645,118,0.20903824691314282,83,-0.6035923544335022
enthusiastic,35,0.812630601346645,122,0.21612428918138496,87,-0.5965063121652601
dark,35,0.812630601346645,118,0.20903824691314282,83,-0.6035923544335022
hungry,35,0.812630601346645,90,0.15943595103544791,55,-0.6531946503111971
upset,35,0.812630601346645,104,0.18423709897429538,69,-0.6283935023723496
fond,35,0.812630601346645,100,0.17715105670605324,65,-0.6354795446405918
viable,35,0.812630601346645,118,0.20903824691314282,83,-0.6035923544335022
scary,35,0.812630601346645,111,0.1966376729437191,76,-0.615992928402926
christian,34,0.7894125841653122,119,0.2108097574802034,85,-0.5786028266851089
entertaining,34,0.7894125841653122,124,0.21966731031550601,90,-0.5697452738498062
eligible,34,0.7894125841653122,99,0.17537954613899273,65,-0.6140330380263195
knowledgeable,34,0.7894125841653122,96,0.1700650144378111,62,-0.6193475697275012
essential,34,0.7894125841653122,99,0.17537954613899273,65,-0.6140330380263195
legal,34,0.7894125841653122,96,0.1700650144378111,62,-0.6193475697275012
famous,34,0.7894125841653122,101,0.1789225672731138,67,-0.6104900168921985
natural,34,0.7894125841653122,84,0.14880688763308472,50,-0.6406056965322275
old,34,0.7894125841653122,108,0.19132314124253752,74,-0.5980894429227748
wise,34,0.7894125841653122,101,0.1789225672731138,67,-0.6104900168921985
crazy,34,0.7894125841653122,128,0.22675335258374815,94,-0.5626592315815641
sympathetic,34,0.7894125841653122,100,0.17715105670605324,66,-0.612261527459259
memorable,34,0.7894125841653122,91,0.16120746160250846,57,-0.6282051225628038
talented,33,0.7661945669839796,109,0.19309465180959803,76,-0.5730999151743815
false,33,0.7661945669839796,95,0.1682935038707506,62,-0.597901063113229
precise,33,0.7661945669839796,103,0.18246558840723484,70,-0.5837289785767448
compelling,33,0.7661945669839796,117,0.20726673634608228,84,-0.5589278306378973
nice,33,0.7661945669839796,115,0.20372371521196123,82,-0.5624708517720184
ill,33,0.7661945669839796,91,0.16120746160250846,58,-0.6049871053814712
honest,33,0.7661945669839796,110,0.19486616237665857,77,-0.571328404607321
enjoyable,33,0.7661945669839796,111,0.1966376729437191,78,-0.5695568940402604
heavy,33,0.7661945669839796,126,0.2232103314496271,93,-0.5429842355343525
warm,33,0.7661945669839796,114,0.2019522046449007,81,-0.5642423623390789
quick,32,0.7429765498026468,90,0.15943595103544791,58,-0.5835405987671989
physical,32,0.7429765498026468,86,0.1523499087672058,54,-0.590626641035441
dry,32,0.7429765498026468,99,0.17537954613899273,67,-0.5675970036636541
desirable,32,0.7429765498026468,91,0.16120746160250846,59,-0.5817690882001384
sad,32,0.7429765498026468,125,0.22143882088256658,93,-0.5215377289200802
sexy,32,0.7429765498026468,103,0.18246558840723484,71,-0.560510961395412
worse,32,0.7429765498026468,139,0.24623996882141402,107,-0.4967365809812328
mature,32,0.7429765498026468,79,0.13994933479778207,47,-0.6030272150048648
pleasant,32,0.7429765498026468,90,0.15943595103544791,58,-0.5835405987671989
rational,32,0.7429765498026468,94,0.16652199330369005,62,-0.5764545564989567
intelligent,32,0.7429765498026468,103,0.18246558840723484,71,-0.560510961395412
fast,32,0.7429765498026468,121,0.21435277861432445,89,-0.5286237711883224
proud,32,0.7429765498026468,112,0.19840918351077966,80,-0.5445673662918672
