adv,strict_adv_versatility,strict_%of_adj_forms,trivial_adv_versatility,trivial_%of_adj_forms,AllTokens
more,12707,5.260608569654316,61082,25.287518112192092,8659678
most,9433,3.9051956116746016,39681,16.42765472986959,7120428
very,8828,3.6547298695922166,38305,15.858000413992961,9220012
so,6909,2.8602773752846202,24205,10.020699648105982,5173538
as,6049,2.5042434278617263,18300,7.576071206789485,3231640
less,5308,2.1974746429310703,18150,7.513972262471539,1138786
too,4958,2.0525771061891946,15528,6.428482715793832,2976740
also,4444,1.8397847236596976,16916,7.003104947215897,1064426
pretty,4443,1.839370730697578,13838,5.728834609811633,1507900
really,4287,1.7747878286069136,14789,6.122541916787415,1945388
almost,4141,1.7143448561374457,15013,6.215276340302215,433607
often,4129,1.7093769405920098,13386,5.541709790933554,312584
even,4125,1.7077209687435313,14639,6.060442972469468,1040332
quite,4043,1.6737735458497205,10961,4.537776857793418,988755
somewhat,3945,1.6332022355619955,11077,4.585800041399296,286573
still,3939,1.6307182777892775,13651,5.65141792589526,767897
completely,3852,1.5947008900848685,13182,5.457255226661147,580752
rather,3767,1.5595114883046988,10026,4.15069343821155,362090
just,3542,1.466363071827779,14299,5.919685365348789,597938
extremely,3496,1.4473193955702754,10197,4.22148623473401,914395
truly,3197,1.3235354998965019,10338,4.279859242392879,386904
all,3195,1.3227075139722626,12141,5.026288553094598,407269
only,3186,1.3189815773131857,12695,5.25564065410888,432612
slightly,3160,1.308217760298075,10046,4.158973297453943,374449
totally,3060,1.2668184640861104,10597,4.3870834195818675,324129
particularly,3033,1.25564065410888,9303,3.8513765265990476,511734
highly,3026,1.2527427033740426,9429,3.903539639826123,732924
mostly,2985,1.2357689919271373,12438,5.149244462844131,199676
much,2967,1.2283171186089836,10190,4.218588283999172,1760618
always,2959,1.2250051749120265,9749,4.036017387704409,604097
increasingly,2957,1.224177188987787,8628,3.571931277168288,373633
equally,2884,1.1939557027530532,7739,3.203891533843925,227360
fairly,2730,1.1302007865866281,7767,3.2154833367832745,371125
sometimes,2723,1.1273028358517905,8587,3.5549575657213826,142108
now,2709,1.1215069343821156,11693,4.840819706064997,433043
incredibly,2469,1.022148623473401,6617,2.7393914303456843,376120
usually,2431,1.0064168909128546,8978,3.7168288139101633,128897
already,2358,0.9761954046781205,8567,3.54667770647899,244889
seemingly,2329,0.9641896087766508,7422,3.0726557648519974,160158
largely,2329,0.9641896087766508,8826,3.6539018836679773,173122
relatively,2251,0.9318981577313186,7603,3.147588490995653,582383
both,2242,0.9281722210722418,6527,2.702132063754916,132771
entirely,2218,0.9182363899813704,8247,3.414199958600704,268856
especially,2173,0.8996067066859863,6864,2.841647691989236,362540
generally,2140,0.8859449389360381,7883,3.2635065203891536,127889
absolutely,2121,0.8780790726557649,6870,2.844131649761954,329546
otherwise,2023,0.8375077623680397,7094,2.936866073276754,92376
once,1974,0.8172221072241772,6716,2.7803767335955287,101243
actually,1831,0.7580211136410682,7367,3.049886151935417,140681
simply,1781,0.7373214655350859,6743,2.7915545435727593,112809
typically,1752,0.7253156696336163,7305,3.024218588283999,53239
potentially,1748,0.7236596977851377,6281,2.600289795073484,188930
utterly,1725,0.7141378596563859,5139,2.12750983233285,80559
