adv,PosStrictVers,Pos%ofStrict,PosTrivialVers,Pos%ofTrivial,VersDiff,PercDiff
both,2240,10.32067821599705,6517,2.69799213413372,4277,-7.62268608186333
only,2182,10.05344636933284,9794,4.054647070999793,7612,-5.998799298333048
generally,2118,9.758569848875783,7797,3.227903125646864,5679,-6.5306667232289195
especially,2099,9.671028381865094,6657,2.7559511488304698,4558,-6.915077233034625
absolutely,2097,9.66181349060081,6825,2.82550196646657,4728,-6.83631152413424
otherwise,2009,9.256358274972355,7054,2.9203063547919688,5045,-6.336051920180386
once,1968,9.067453004054553,6705,2.7758228110122127,4737,-6.29163019304234
entirely,1954,9.00294876520457,7488,3.099979300351894,5534,-5.902969464852676
potentially,1748,8.053814964983413,6279,2.5994618091492447,4531,-5.454353155834168
typically,1735,7.993918171765574,7258,3.0047609190643763,5523,-4.989157252701197
actually,1727,7.957058606708441,6972,2.8863589318981577,5245,-5.0706996748102835
utterly,1712,7.887946922226317,5107,2.1142620575450217,3395,-5.773684864681295
similarly,1695,7.809620346479912,6073,2.514179258952598,4378,-5.295441087527314
simply,1691,7.791190563951346,6431,2.6623887393914303,4740,-5.1288018245599165
super,1657,7.634537412458534,5006,2.0724487683709376,3349,-5.562088644087597
nearly,1620,7.464061924069296,6920,2.864831297867936,5300,-4.59923062620136
surprisingly,1526,7.030962034647992,4943,2.0463672117574,3417,-4.984594822890592
deeply,1526,7.030962034647992,4659,1.9287932105154213,3133,-5.102168824132571
ever,1502,6.920383339476595,5784,2.3945352929000205,4282,-4.525848046576574
fully,1493,6.878916328787319,6353,2.6300972883460982,4860,-4.248819040441221
apparently,1475,6.795982307408773,5665,2.345270130407783,4190,-4.450712177000989
clearly,1466,6.754515296719498,5459,2.2599875802111367,3993,-4.494527716508362
probably,1419,6.537965352008847,5729,2.3717656799834406,4310,-4.166199672025407
certainly,1355,6.243088831551788,4775,1.9768163941212997,3420,-4.266272437430488
perfectly,1347,6.206229266494655,5145,2.1299937901055683,3798,-4.076235476389087
however,1337,6.16015481017324,3829,1.5851790519561166,2492,-4.574975758217123
definitely,1325,6.104865462587542,5409,2.239287932105154,4084,-3.865577530482388
perhaps,1266,5.83302617029119,5128,2.1229559097495345,3862,-3.710070260541656
wonderfully,1216,5.602653888684114,4123,1.706892982819292,2907,-3.895760905864822
obviously,1208,5.565794323626981,4749,1.9660525771061894,3541,-3.5997417465207913
remarkably,1202,5.538149649834132,4119,1.7052370109708135,2917,-3.8329126388633186
then,1199,5.524327312937707,6624,2.7422893810805213,5425,-2.782037931857186
downright,1195,5.5058975304091415,3768,1.5599254812668184,2573,-3.9459720491423234
decidedly,1189,5.478252856616292,6989,2.893396812254192,5800,-2.5848560443621
indeed,1169,5.386103943973461,4342,1.797557441523494,3173,-3.5885465024499665
previously,1154,5.316992259491338,5127,2.122541916787415,3973,-3.194450342703923
overly,1129,5.2018061186877995,3519,1.456841233699027,2390,-3.7449648849887724
essentially,1129,5.2018061186877995,5497,2.275719312771683,4368,-2.9260868059161167
naturally,1105,5.091227423516402,4338,1.7959014696750157,3233,-3.2953259538413864
seriously,1093,5.035938075930704,4262,1.7644380045539227,3169,-3.2715000713767814
exceptionally,1082,4.985256173977147,3366,1.3935003104947215,2284,-3.5917558634824256
genuinely,1057,4.870070033173608,3743,1.5495756572138273,2686,-3.3204943759597807
possibly,1055,4.860855141909325,4784,1.9805423307803767,3729,-2.8803128111289484
yet,1050,4.8378179137486175,3895,1.6125025874560133,2845,-3.225315326292604
currently,1037,4.777921120530778,4500,1.8629683295383979,3463,-2.9149527909923805
inherently,1033,4.759491338002212,3927,1.625750362243842,2894,-3.1337409757583696
supposedly,1030,4.745669001105787,4897,2.0273235354998964,3867,-2.7183454656058905
purely,1020,4.699594544784372,4334,1.7942454978265368,3314,-2.905349046957835
unusually,1018,4.690379653520088,3312,1.3711446905402607,2294,-3.3192349629798272
thoroughly,967,4.455399926280871,4238,1.754502173463051,3271,-2.7008977528178195
therefore,955,4.4001105786951715,3724,1.5417097909335542,2769,-2.8584007877616173
uniquely,943,4.3448212311094725,3722,1.5408818050093147,2779,-2.8039394261001576
occasionally,922,4.248064872834501,3928,1.6261643552059617,3006,-2.6219005176285393
normally,915,4.21581275340951,4075,1.687021320637549,3160,-2.5287914327719605
politically,905,4.169738297088094,3101,1.283792175533016,2196,-2.8859461215550786
terribly,897,4.132878732030962,3059,1.2664044711239908,2162,-2.866474260906971
extraordinarily,893,4.114448949502396,2800,1.159180293935003,1907,-2.955268655567393
merely,877,4.040729819388131,4011,1.660525771061892,3134,-2.3802040483262394
wholly,864,3.9808330261702913,3467,1.4353135996688056,2603,-2.5455194265014858
notoriously,851,3.920936232952451,3680,1.5234941006002898,2829,-2.397442132352161
ultimately,846,3.8978990047917432,3423,1.4170979093355411,2577,-2.480801095456202
real,840,3.870254330998894,2566,1.0623059407990065,1726,-2.8079483901998876
profoundly,836,3.8518245484703275,3107,1.2862761333057338,2271,-2.565548415164594
mainly,820,3.778105418356063,4673,1.9345891119850962,3853,-1.843516306370967
somehow,815,3.7550681901953555,3389,1.4030221486234733,2574,-2.3520460415718825
about,798,3.6767416144489493,4041,1.6729455599254812,3243,-2.003796054523468
amazingly,796,3.6675267231846664,2829,1.1711860898364728,2033,-2.4963406333481934
basically,790,3.639882049391817,4497,1.861726350652039,3707,-1.778155698739778
far,788,3.630667158127534,3365,1.3930863175326018,2577,-2.2375808405949322
distinctly,774,3.5661629192775526,5062,2.095632374249638,4288,-1.4705305450279145
likely,768,3.5385182454847035,3141,1.3003518940178018,2373,-2.2381663514669015
virtually,767,3.5339107998525616,3410,1.4117160008279859,2643,-2.1221947990245758
strangely,764,3.520088462956137,3397,1.4063340923204306,2633,-2.1137543706357063
frequently,762,3.510873571691854,3733,1.545435727592631,2971,-1.965437844099223
exceedingly,758,3.4924437891632882,2704,1.1194369695715172,1946,-2.373006819591771
consistently,745,3.4325469959454478,3211,1.3293314013661768,2466,-2.1032155945792708
beautifully,743,3.423332104681165,2879,1.191885737942455,2136,-2.2314463667387097
sufficiently,743,3.423332104681165,3015,1.2481887807907266,2272,-2.1751433238904383
reasonably,742,3.418724659049023,2464,1.0200786586628028,1722,-2.3986460003862202
historically,731,3.3680427570954663,3077,1.2738563444421445,2346,-2.094186412653322
easily,728,3.3542204201990415,3275,1.3558269509418341,2547,-1.9983934692572074
oddly,724,3.335790637670476,3153,1.3053198095632375,2429,-2.030470828107238
famously,718,3.3081459638776263,3479,1.4402815152142414,2761,-1.8678644486633849
mildly,717,3.303538518245485,3028,1.2535706892982819,2311,-2.049967828947203
well,708,3.2620715075562106,3648,1.5102463258124612,2940,-1.7518251817437493
kinda,703,3.239034279395503,3004,1.2436348582074104,2301,-1.9953994211880925
primarily,702,3.234426833763362,4104,1.699027116539019,3402,-1.535399717224343
again,696,3.2067821599705124,3362,1.3918443386462431,2666,-1.8149378213242693
ridiculously,687,3.1653151492812386,2802,1.1600082798592424,2115,-2.005306869421996
wildly,683,3.146885366752673,2698,1.1169530117987996,2015,-2.029932354953873
intensely,681,3.137670475488389,2914,1.2063754916166425,2233,-1.9312949838717466
traditionally,676,3.1146332473276814,3915,1.6207824466984062,3239,-1.4938508006292752
formerly,674,3.1054183560633986,3611,1.4949285862140342,2937,-1.6104897698493643
hugely,670,3.0869885735348324,2382,0.986131235768992,1712,-2.1008573377658406
fundamentally,669,3.082381127902691,2962,1.2262471537983854,2293,-1.8561339741043055
emotionally,655,3.017876889052709,2318,0.9596356861933348,1663,-2.0582412028593744
further,647,2.981017323995577,2774,1.1484164769198923,2127,-1.8326008470756847
suddenly,641,2.9533726502027275,2882,1.193127716828814,2241,-1.7602449333739136
positively,634,2.9211205307777366,3155,1.3061477954874767,2521,-1.6149727352902599
unbelievably,632,2.9119056395134537,2249,0.9310701718070793,1617,-1.9808354677063744
albeit,632,2.9119056395134537,3129,1.295383978472366,2497,-1.6165216610410877
strictly,630,2.902690748249171,3549,1.4692610225626164,2919,-1.4334297256865545
delightfully,619,2.8520088462956137,2752,1.1393086317532601,2133,-1.7127002145423535
practically,610,2.81054183560634,3179,1.3160836265783482,2569,-1.4944582090279916
thus,606,2.7921120530777737,3084,1.2767542951769821,2478,-1.5153577579007915
physically,598,2.7552524880206413,2102,0.8702132063754916,1504,-1.8850392816451498
initially,591,2.7230003685956508,2778,1.150072448768371,2187,-1.5729279198272799
vaguely,590,2.7183929229635093,3509,1.4527013040778307,2919,-1.2656916188856786
maybe,585,2.6953556948028012,2958,1.224591181949907,2373,-1.4707645128528943
predominantly,569,2.6216365646885365,3548,1.4688470296004967,2979,-1.1527895350880397
allegedly,554,2.5525248802064135,3014,1.247774787828607,2460,-1.3047500923778066
plain,546,2.515665315149281,2211,0.9153384392465328,1665,-1.6003268759027485
moderately,545,2.5110578695171397,2227,0.9219623266404471,1682,-1.5890955428766926
socially,544,2.5064504238849983,2009,0.8317118608983647,1465,-1.6747385629866336
simultaneously,542,2.497235532620715,2531,1.047816187124819,1989,-1.449419345495896
newly,536,2.469590858827866,3213,1.330159387290416,2677,-1.1394314715374498
damn,535,2.4649834131957244,1954,0.8089422479817843,1419,-1.6560411652139402
immediately,534,2.460375967563583,2325,0.9625336369281722,1791,-1.497842330635411
awfully,530,2.4419461850350164,2222,0.9198923618298488,1692,-1.5220538232051677
undeniably,529,2.437338739402875,2328,0.9637756158145312,1799,-1.4735631235883437
admittedly,527,2.428123848138592,2520,1.0432622645415028,1993,-1.3848615835970892
deliciously,525,2.4189089568743087,2360,0.9770233906023598,1835,-1.441885566271949
best,523,2.409694065610026,2722,1.1268888428896708,2199,-1.282805222720355
painfully,520,2.395871728713601,2217,0.9178223970192507,1697,-1.4780493316943504
heavily,519,2.3912642830814597,3442,1.4249637756158147,2923,-0.966300507465645
appropriately,519,2.3912642830814597,2938,1.216311322707514,2419,-1.1749529603739457
comparatively,514,2.3682270549207516,2194,0.9083005588904989,1680,-1.4599264960302527
morally,511,2.3544047180243273,1730,0.716207824466984,1219,-1.6381968935573432
dangerously,508,2.3405823811279025,2426,1.0043469261022562,1918,-1.3362354550256463
visually,508,2.3405823811279025,1754,0.7261436555578555,1246,-1.614438725570047
insanely,507,2.335974935495761,1964,0.8130821776029808,1457,-1.5228927578927802
overwhelmingly,500,2.3037228160707706,2390,0.9894431794659492,1890,-1.3142796366048213
strongly,498,2.2945079248064872,2932,1.2138273649347961,2434,-1.080680559871691
tremendously,497,2.289900479174346,1843,0.7629890291865038,1346,-1.526911449987842
technically,491,2.2622558053814963,2238,0.9265162492237631,1747,-1.3357395561577332
immensely,481,2.216181349060081,1731,0.7166218174291037,1250,-1.4995595316309773
economically,477,2.197751566531515,1505,0.6230594079900642,1028,-1.5746921585414506
horribly,471,2.1701068927386657,1992,0.8246739805423308,1521,-1.345432912196335
enough,470,2.1654994471065243,2317,0.959221693231215,1847,-1.2062777538753093
literally,467,2.1516771102100996,2711,1.1223349203063548,2244,-1.0293421899037447
supremely,466,2.147069664577958,2083,0.8623473400952184,1617,-1.2847223244827397
suitably,466,2.147069664577958,2594,1.0738977437383563,2128,-1.0731719208396018
excessively,460,2.1194249907851086,2189,0.9062305940799006,1729,-1.213194396705208
shockingly,456,2.1009952082565424,1953,0.8085282550196646,1497,-1.2924669532368778
partially,454,2.0917803169922595,2562,1.0606499689505278,2108,-1.0311303480417318
partly,449,2.068743088831552,2697,1.11653901883668,2248,-0.952204069994872
notably,447,2.059528197567269,2832,1.1724280687228317,2385,-0.8871001288444373
better,445,2.0503133063029857,2423,1.0031049472158973,1978,-1.0472083590870884
unexpectedly,445,2.0503133063029857,1905,0.7886565928379217,1460,-1.261656713465064
significantly,439,2.022668632510136,2108,0.8726971641482095,1669,-1.1499714683619267
though,435,2.00423884998157,2021,0.8366797764438004,1586,-1.1675590735377694
that,434,1.9996314043494285,1774,0.7344235148002484,1340,-1.2652078895491803
financially,429,1.976594176188721,1412,0.5845580625129373,983,-1.3920361136757835
sexually,427,1.9673792849244378,1532,0.6342372179672946,1105,-1.3331420669571432
deliberately,427,1.9673792849244378,2605,1.0784516663216726,2178,-0.8889276186027653
culturally,426,1.9627718392922964,1720,0.7120678948457877,1294,-1.2507039444465087
long,425,1.958164393660155,2104,0.8710411922997309,1679,-1.087123201360424
instantly,419,1.9305197198673056,1820,0.7534671910577521,1401,-1.1770525288095537
constantly,417,1.9213048286030223,2112,0.874353135996688,1695,-1.0469516926063345
undoubtedly,415,1.9120899373387394,2017,0.8350238045953218,1602,-1.0770661327434177
non,403,1.8568005897530409,1914,0.7923825294969985,1511,-1.0644180602560422
enormously,396,1.8245484703280503,1534,0.6350652038915339,1138,-1.1894832664365165
massively,391,1.8015112421673425,2011,0.8325398468226041,1620,-0.9689713953447384
impossibly,388,1.7876889052709177,1867,0.7729248602773753,1479,-1.0147640449935424
severely,385,1.7738665683744932,2004,0.8296418960877665,1619,-0.9442246722867267
tad,384,1.7692591227423518,1511,0.625543365762782,1127,-1.1437157569795697
personally,383,1.7646516771102099,1482,0.6135375698613124,1099,-1.1511141072488975
quietly,382,1.7600442314780684,1571,0.6503829434899607,1189,-1.1096612879881076
frankly,379,1.7462218945816441,1824,0.7551231629062306,1445,-0.9910987316754135
infinitely,376,1.7323995576852194,1627,0.6735665493686607,1251,-1.0588330083165587
first,375,1.7277921120530777,2096,0.8677292486027737,1721,-0.860062863450304
altogether,373,1.7185772207887948,2049,0.8482715793831505,1676,-0.8703056414056444
surely,371,1.7093623295245115,1875,0.7762368039743325,1504,-0.933125525550179
strikingly,364,1.6771102100995208,1813,0.7505692403229145,1449,-0.9265409697766063
legally,359,1.6540729819388131,1479,0.6122955909749535,1120,-1.0417773909638597
stunningly,354,1.6310357537781053,1542,0.6383771475884911,1188,-0.9926586061896142
brilliantly,350,1.6126059712495393,1772,0.7335955288760091,1422,-0.8790104423735302
hopelessly,345,1.5895687430888317,1802,0.7460153177395984,1457,-0.8435534253492333
exclusively,344,1.5849612974566898,2214,0.9165804181328917,1870,-0.6683808793237981
recently,335,1.5434942867674162,2401,0.9939971020492652,2066,-0.549497184718151
refreshingly,335,1.5434942867674162,1730,0.716207824466984,1395,-0.8272864623004321
openly,335,1.5434942867674162,1699,0.7033740426412751,1364,-0.8401202441261411
fantastically,334,1.5388868411352745,1682,0.6963361622852412,1348,-0.8425506788500333
noticeably,333,1.534279395503133,1767,0.7315255640654109,1434,-0.8027538314377222
visibly,331,1.52506450423885,1579,0.6536948871869178,1248,-0.8713696170519322
intentionally,331,1.52506450423885,2004,0.8296418960877665,1673,-0.6954226081510835
hilariously,330,1.5204570586067083,1852,0.7667149658455806,1522,-0.7537420927611277
specifically,330,1.5204570586067083,2234,0.9248602773752846,1904,-0.5955967812314237
forever,329,1.5158496129745669,1734,0.7178637963154626,1405,-0.7979858166591043
right,328,1.5112421673424252,1814,0.7509832332850341,1486,-0.7602589340573911
doubly,328,1.5112421673424252,1356,0.5613744566342371,1028,-0.9498677107081881
nonetheless,327,1.5066347217102838,1637,0.6777064789898573,1310,-0.8289282427204265
spectacularly,326,1.5020272760781423,1699,0.7033740426412751,1373,-0.7986532334368672
perpetually,326,1.5020272760781423,2008,0.831297867936245,1682,-0.6707294081418973
astonishingly,326,1.5020272760781423,1563,0.6470709997930035,1237,-0.8549562762851388
darn,325,1.4974198304460007,1276,0.5282550196646657,951,-0.969164810781335
gloriously,322,1.4835974935495762,1997,0.826743945352929,1675,-0.6568535481966471
considerably,320,1.474382602285293,1641,0.6793624508383358,1321,-0.7950201514469573
half,319,1.4697751566531514,1758,0.7277996274063341,1439,-0.7419755292468173
finally,318,1.46516771102101,1760,0.7286276133305734,1442,-0.7365400976904366
effectively,317,1.4605602653888683,2235,0.9252742703374043,1918,-0.535285995051464
later,316,1.4559528197567269,2443,1.0113848064582902,2127,-0.44456801329843665
absurdly,316,1.4559528197567269,1753,0.7257296625957359,1437,-0.730223157160991
arguably,314,1.4467379284924438,2013,0.8333678327468433,1699,-0.6133700957456004
reportedly,311,1.432915591596019,1667,0.6901262678534464,1356,-0.7427893237425726
endlessly,309,1.4237007003317361,1473,0.6098116332022355,1164,-0.8138890671295006
way,309,1.4237007003317361,1387,0.5742082384599462,1078,-0.84949246187179
overtly,308,1.4190932546995945,1960,0.8114262057545021,1652,-0.6076670489450924
fiercely,305,1.40527091780317,1631,0.6752225212171393,1326,-0.7300483965860306
spiritually,304,1.4006634721710285,1311,0.5427447733388533,1007,-0.8579186988321752
intellectually,303,1.3960560265388868,1417,0.5866280273235355,1114,-0.8094279992153514
broadly,303,1.3960560265388868,1584,0.655764851997516,1281,-0.7402911745413708
beyond,302,1.3914485809067452,943,0.3903953632788243,641,-1.0010532176279208
impressively,302,1.3914485809067452,1643,0.6801904367625751,1341,-0.7112581441441701
bit,300,1.382233689642462,1099,0.4549782653694887,799,-0.9272554242729734
pleasantly,300,1.382233689642462,1780,0.7369074725729663,1480,-0.6453262170694958
properly,300,1.382233689642462,2166,0.8967087559511487,1866,-0.48552493369131333
little,298,1.3730187983781792,1246,0.5158352308010764,948,-0.8571835675771028
understandably,293,1.3499815702174713,1247,0.516249223763196,954,-0.8337323464542753
curiously,286,1.3177294507924808,2045,0.8466156075346719,1759,-0.4711138432578089
likewise,286,1.3177294507924808,1724,0.7137238666942662,1438,-0.6040055840982146
presumably,285,1.3131220051603392,2279,0.9434899606706687,1994,-0.36963204448967046
mentally,283,1.303907113896056,1276,0.5282550196646657,993,-0.7756520942313904
grossly,283,1.303907113896056,1460,0.6044297246946803,1177,-0.6994773892013758
vastly,280,1.2900847769996313,1460,0.6044297246946803,1180,-0.685655052304951
characteristically,278,1.2808698857353484,2026,0.8387497412543987,1748,-0.4421201444809497
overall,278,1.2808698857353484,1260,0.5216311322707514,982,-0.759238753464597
greatly,277,1.2762624401032068,1408,0.5829020906644587,1131,-0.693360349438748
longer,276,1.2716549944710653,1684,0.6971641482094804,1408,-0.574490846261585
originally,275,1.2670475488389237,1953,0.8085282550196646,1678,-0.45851929381925904
weirdly,275,1.2670475488389237,2051,0.8490995653073898,1776,-0.41794798353153384
deceptively,274,1.262440103206782,1442,0.5969778513765266,1168,-0.6654622518302554
sadly,273,1.2578326575746406,1587,0.657006830883875,1314,-0.6008258266907656
powerfully,273,1.2578326575746406,1358,0.5622024425584765,1085,-0.6956302150161641
radically,272,1.2532252119424991,1675,0.6934382115504036,1403,-0.5597870003920955
substantially,272,1.2532252119424991,1401,0.5800041399296212,1129,-0.673221072012878
officially,269,1.2394028750460746,1625,0.6727385634444215,1356,-0.5666643116016531
psychologically,269,1.2394028750460746,1073,0.444214448354378,804,-0.7951884266916966
relentlessly,265,1.2209730925175082,1797,0.7439453529290002,1532,-0.47702773958850797
outrageously,265,1.2209730925175082,1445,0.5982198302628855,1180,-0.6227532622546227
dramatically,264,1.2163656468853667,1550,0.6416890912854482,1286,-0.5746765555999186
unnecessarily,264,1.2163656468853667,1239,0.5129372800662388,975,-0.7034283668191279
nicely,262,1.2071507556210836,1767,0.7315255640654109,1505,-0.47562519155567273
eminently,260,1.1979358643568006,1478,0.6118815980128337,1218,-0.5860542663439668
remotely,258,1.1887209730925175,1355,0.5609604636721176,1097,-0.6277605094203998
uncharacteristically,257,1.1841135274603758,1484,0.6143655557855516,1227,-0.5697479716748242
predictably,256,1.1795060818282344,1771,0.7331815359138895,1515,-0.4463245459143449
additionally,254,1.1702911905639513,1318,0.5456427240736907,1064,-0.6246484664902605
singularly,254,1.1702911905639513,1662,0.6880563030428483,1408,-0.482234887521103
necessarily,254,1.1702911905639513,1679,0.6950941833988822,1425,-0.4751970071650691
universally,252,1.1610762992996684,1519,0.6288553094597392,1267,-0.5322209898399292
directly,251,1.1564688536675267,1444,0.5978058373007659,1193,-0.5586630163667609
subtly,250,1.1518614080353853,1554,0.6433450631339268,1304,-0.5085163449014585
nevertheless,249,1.1472539624032436,1394,0.5771061891947837,1145,-0.5701477732084599
permanently,244,1.124216734242536,1590,0.6582488097702339,1346,-0.46596792447230206
over,241,1.1103943973461115,1168,0.48354377975574414,927,-0.6268506175903673
intrinsically,241,1.1103943973461115,1513,0.6263713516870213,1272,-0.48402304565909016
hopefully,239,1.1011795060818281,1261,0.522045125232871,1022,-0.5791343808489571
progressively,234,1.0781422779211205,1332,0.5514386255433658,1098,-0.5267036523777547
woefully,232,1.0689273866568376,1178,0.48768370937694056,946,-0.581243677279897
ostensibly,229,1.0551050497604129,1823,0.754709169944111,1594,-0.3003958798163019
brutally,228,1.0504976041282712,1315,0.5444007451873318,1087,-0.5060968589409394
richly,228,1.0504976041282712,1174,0.486027737528462,946,-0.5644698665998091
aggressively,228,1.0504976041282712,1924,0.7965224591181951,1696,-0.2539751450100761
either,227,1.0458901584961298,1095,0.4533222935210101,868,-0.5925678649751196
widely,226,1.041282712863988,1212,0.5017594700890085,986,-0.5395232427749796
quickly,225,1.0366752672318467,1536,0.6358931898157731,1311,-0.4007820774160735
comically,222,1.0228529303354221,1735,0.7182777892775822,1513,-0.3045751410578399
environmentally,222,1.0228529303354221,780,0.3229145104533223,558,-0.6999384198820998
blatantly,222,1.0228529303354221,1497,0.619747464293107,1275,-0.4031054660423151
marginally,221,1.0182454847032805,1137,0.4707099979300352,916,-0.5475354867732453
eternally,221,1.0182454847032805,1523,0.6305112813082178,1302,-0.3877342033950627
extra,219,1.0090305934389974,770,0.31877458083212584,551,-0.6902560126068715
roughly,219,1.0090305934389974,1706,0.7062719933761126,1487,-0.3027586000628848
fabulously,218,1.004423147806856,1242,0.5141792589525979,1024,-0.49024388885425807
chronically,217,0.9998157021747143,1128,0.46698406127095843,911,-0.5328316409037559
back,216,0.9952082565425728,1340,0.5547505692403228,1124,-0.44045768730225
least,216,0.9952082565425728,677,0.280273235354999,461,-0.7149350211875738
scientifically,216,0.9952082565425728,894,0.3701097081349617,678,-0.6250985484076111
disturbingly,212,0.9767784740140067,1354,0.560546470709998,1142,-0.4162320033040088
uniformly,209,0.9629561371175819,1441,0.596563858414407,1232,-0.3663922787031749
outright,209,0.9629561371175819,1201,0.4972055475056924,992,-0.4657505896118895
around,209,0.9629561371175819,1108,0.45870420202856554,899,-0.5042519350890163
earlier,206,0.9491338002211573,2133,0.8830469882012005,1927,-0.06608681201995681
mighty,206,0.9491338002211573,918,0.3800455392258332,712,-0.5690882609953242
startlingly,206,0.9491338002211573,1154,0.4777478782860691,948,-0.4713859219350882
mutually,203,0.9353114633247327,1099,0.4549782653694887,896,-0.480333197955244
eerily,203,0.9353114633247327,1136,0.47029600496791557,933,-0.4650154583568171
medically,201,0.9260965720604497,764,0.31629062305940797,563,-0.6098059490010417
globally,200,0.921489126428308,923,0.3821155040364314,723,-0.5393736223918766
explicitly,198,0.9122742351640252,1647,0.6818464086110536,1449,-0.23042782655297156
statistically,195,0.8984518982676005,833,0.3448561374456634,638,-0.5535957608219371
lightly,195,0.8984518982676005,1249,0.5170772096874353,1054,-0.3813746885801652
distinctively,194,0.8938444526354589,1525,0.631339267232457,1331,-0.26250518540300183
darkly,194,0.8938444526354589,980,0.40571310287725104,786,-0.4881313497582078
temporarily,193,0.8892370070033174,1183,0.48975367418753885,990,-0.3994833328157786
unquestionably,192,0.8846295613711759,1288,0.5332229352101014,1096,-0.35140662616107443
charmingly,191,0.8800221157390342,1399,0.5791761540053819,1208,-0.3008459617336523
exquisitely,190,0.8754146701068928,1285,0.5319809563237424,1095,-0.34343371378315035
readily,189,0.8708072244747511,834,0.34527013040778304,645,-0.5255370940669681
lively,188,0.8661997788426097,1133,0.4690540260815566,945,-0.3971457527610531
unabashedly,185,0.852377441946185,1372,0.5679983440281515,1187,-0.2843790979180335
alternately,184,0.8477699963140436,1456,0.6027737528462016,1272,-0.244996243467842
frighteningly,184,0.8477699963140436,1154,0.4777478782860691,970,-0.37002211802797447
plainly,183,0.8431625506819019,1286,0.5323949492858622,1103,-0.31076760139603976
desperately,183,0.8431625506819019,1104,0.457048230180087,921,-0.38611432050181493
unfortunately,183,0.8431625506819019,1375,0.5692403229145104,1192,-0.2739222277673915
gently,182,0.8385551050497604,1409,0.5833160836265784,1227,-0.255239021423182
evidently,182,0.8385551050497604,1321,0.5468847029600498,1139,-0.2916704020897106
musically,182,0.8385551050497604,1047,0.4334506313392672,865,-0.4051044737104932
clinically,181,0.833947659417619,742,0.3071827778927758,561,-0.5267648815248431
breathtakingly,180,0.8293402137854773,876,0.36265783481680813,696,-0.46668237896866915
continually,179,0.8247327681533358,1160,0.480231836058787,981,-0.34450093209454885
uncommonly,179,0.8247327681533358,1019,0.4218588283999172,840,-0.4028739397534187
preferably,178,0.8201253225211943,1430,0.5920099358310908,1252,-0.22811538669010345
publicly,178,0.8201253225211943,1062,0.4396605257710619,884,-0.3804647967501324
