key,index,l1,l2,f,E11,r_log_likelihood,r_log_likelihood_tt,r_odds_ratio_disc,r_Dice,r_t_score,r_p1_given2,r_p2_given1,r_p1_given2_simple,r_p2_given1_simple,r_p1_given2_margin,r_p2_given1_margin,r_expect_diff,am_log_likelihood,am_log_likelihood_tt,am_odds_ratio_disc,am_Dice,am_t_score,am_p1_given2,am_p2_given1,am_p1_given2_simple,am_p2_given1_simple,am_p1_given2_margin,am_p2_given1_margin,am_expect_diff,f1,f2,N,O11,O12,O21,O22,R1,R2,C1,C2,E12,E21,E22,z_score,t_score,log_likelihood,simple_ll,min_sensitivity,liddell,dice,log_ratio,conservative_log_ratio,mutual_information,local_mutual_information,ipm,ipm_reference,ipm_expected
som-as_divisive,0,someone,as_divisive,3,0.12873134,5,5,2,5,6,1,5,1,5,1,4,6,19.28454,19.28454,2.2438846,0.23076923,1.6577277,0.96247655,0.13043478,1.0,0.13043478,0.95708954,0.12483777,2.8712687,23,3,536,3,20,0,513,23,513,3,533,22.87127,2.871269,21.054104,8.002611,1.657373,3289.7288,13.149302,0.130435,0.962477,0.230769,16.03042,0.0,1.367437,4.102311,130434.782609,0.0,5597.015
no-more_toxic,1,no,more_toxic,4,0.17910448,3,3,1,3,3,2,3,1,3,2,2,4,25.525856,25.525856,2.3521824,0.2857143,1.9104477,0.96240604,0.16666667,1.0,0.16666667,0.95522386,0.15920398,3.8208954,24,4,536,4,20,0,512,24,512,4,532,23.820896,3.820896,19.104479,9.028424,1.910448,3385.179,17.206852,0.166667,0.962406,0.285714,16.381124,0.739843,1.348954,5.395814,166666.666667,0.0,7462.6865
no-more_effective,2,no,more_effective,3,0.13432837,6,6,3,6,7,3,6,1,6,2,6,7,19.011341,19.011341,2.2223535,0.22222222,1.6544963,0.9606004,0.125,1.0,0.125,0.95522386,0.11940298,2.8656716,24,3,536,3,21,0,512,24,512,3,533,23.865671,2.865672,20.059702,7.818844,1.654142,3330.6262,12.905139,0.125,0.9606,0.222222,15.966208,0.0,1.348954,4.046861,125000.0,0.0,5597.015
not-particularly_exciting,3,nothing,particularly_exciting,3,0.14552239,7,7,5,7,8,4,7,1,7,4,7,8,18.499697,18.499697,2.182026,0.20689654,1.6480334,0.956848,0.115384616,1.0,0.115384616,0.95149255,0.1097876,2.8544776,26,3,536,3,23,0,510,26,510,3,533,25.854479,2.854478,18.070896,7.482759,1.64768,3419.6848,12.447271,0.115385,0.956848,0.206897,15.845089,0.0,1.314191,3.942574,115384.615385,0.0,5597.015
all-too_familiar,4,all,too_familiar,5,0.3544776,2,2,4,4,2,5,4,1,4,5,5,2,27.107506,27.107506,2.214013,0.23255815,2.0775409,0.9378531,0.13157895,1.0,0.13157895,0.9291045,0.12225059,4.6455226,38,5,536,5,33,0,498,38,498,5,531,37.645523,4.645522,4.279851,7.802615,2.077299,4755.428,17.174435,0.131579,0.937853,0.232558,16.00004,0.873742,1.149381,5.746906,131578.947368,0.0,9328.358
nev-as_popular,5,never,as_popular,3,0.25746268,8,8,7,11,9,6,11,1,11,6,11,9,14.916184,14.916184,1.8972478,0.12244898,1.5834047,0.9193246,0.06521739,1.0,0.06521739,0.9141791,0.059620377,2.7425373,46,3,536,3,43,0,490,46,490,3,533,45.74254,2.742537,120.45149,5.404996,1.583066,1384.5109,9.247882,0.065217,0.919325,0.122449,14.964275,0.0,1.066407,3.199221,65217.391304,0.0,5597.015
som-less_good,6,some,less_good,3,0.29104477,9,9,9,13,10,7,13,1,13,7,13,10,14.157025,14.157025,1.8357866,0.10909091,1.564016,0.9080675,0.057692308,1.0,0.057692308,0.9029851,0.052095294,2.7089553,52,3,536,3,49,0,484,52,484,3,533,51.708954,2.708955,114.48508,5.021367,1.563681,1404.2318,8.579432,0.057692,0.908068,0.109091,14.769626,0.0,1.013161,3.039484,57692.307692,0.0,5597.015
nev-too_late,7,never,too_late,8,0.77238804,1,1,8,2,1,8,2,10,2,10,3,1,34.518234,34.518234,1.8576196,0.29090908,2.5553467,0.81678265,0.17187223,0.8888889,0.17391305,0.803068,0.157122,7.227612,46,9,536,8,38,1,489,46,490,9,527,45.22761,8.227612,114.966415,14.191853,2.724499,1451.24,37.405243,0.173913,0.816783,0.290909,6.411786,1.502388,1.433598,11.468782,173913.043478,2040.8163,6408.1763
som-as_mundane,8,something,as_mundane,3,0.5876866,14,14,10,17,14,9,16,1,17,8,16,14,9.850763,9.850763,1.469355,0.05555556,1.3927498,0.8086304,0.028571429,1.0,0.028571429,0.8041045,0.022974415,2.4123135,105,3,536,3,102,0,431,105,431,3,533,104.412315,2.412313,61.781715,8.710499,1.668142,1689.4983,14.051403,0.028571,0.80863,0.055556,13.588516,0.0,1.435434,4.306302,28571.428571,0.0,1048.3298
som-very_special,9,something,very_special,3,0.5876866,14,14,10,17,14,9,16,1,17,8,16,14,9.850763,9.850763,1.469355,0.05555556,1.3927498,0.8086304,0.028571429,1.0,0.028571429,0.8041045,0.022974415,2.4123135,105,3,536,3,102,0,431,105,431,3,533,104.412315,2.412313,61.781715,8.710499,1.668142,1689.4983,14.051403,0.028571,0.80863,0.055556,13.588516,0.0,1.435434,4.306302,28571.428571,0.0,1048.3298
