key,index,l1,l2,f,E11,r_log_likelihood,r_log_likelihood_tt,r_odds_ratio_disc,r_Dice,r_t_score,r_p1_given2,r_p2_given1,r_p1_given2_simple,r_p2_given1_simple,r_p1_given2_margin,r_p2_given1_margin,r_expect_diff,am_log_likelihood,am_log_likelihood_tt,am_odds_ratio_disc,am_Dice,am_t_score,am_p1_given2,am_p2_given1,am_p1_given2_simple,am_p2_given1_simple,am_p1_given2_margin,am_p2_given1_margin,am_expect_diff,f1,f2,N
som-as_divisive,0,someone,as_divisive,3,0.12873134,5,5,2,5,6,1,5,1,5,1,4,6,19.28454,19.28454,2.2438846,0.23076923,1.6577277,0.96247655,0.13043478,1.0,0.13043478,0.95708954,0.12483777,2.8712687,23,3,536
no-more_toxic,1,no,more_toxic,4,0.17910448,3,3,1,3,3,2,3,1,3,2,2,4,25.525856,25.525856,2.3521824,0.2857143,1.9104477,0.96240604,0.16666667,1.0,0.16666667,0.95522386,0.15920398,3.8208954,24,4,536
no-more_effective,2,no,more_effective,3,0.13432837,6,6,3,6,7,3,6,1,6,2,6,7,19.011341,19.011341,2.2223535,0.22222222,1.6544963,0.9606004,0.125,1.0,0.125,0.95522386,0.11940298,2.8656716,24,3,536
not-particularly_exciting,3,nothing,particularly_exciting,3,0.14552239,7,7,5,7,8,4,7,1,7,4,7,8,18.499697,18.499697,2.182026,0.20689654,1.6480334,0.956848,0.115384616,1.0,0.115384616,0.95149255,0.1097876,2.8544776,26,3,536
all-too_familiar,4,all,too_familiar,5,0.3544776,2,2,4,4,2,5,4,1,4,5,5,2,27.107506,27.107506,2.214013,0.23255815,2.0775409,0.9378531,0.13157895,1.0,0.13157895,0.9291045,0.12225059,4.6455226,38,5,536
nev-as_popular,5,never,as_popular,3,0.25746268,8,8,7,11,9,6,11,1,11,6,11,9,14.916184,14.916184,1.8972478,0.12244898,1.5834047,0.9193246,0.06521739,1.0,0.06521739,0.9141791,0.059620377,2.7425373,46,3,536
som-less_good,6,some,less_good,3,0.29104477,9,9,9,13,10,7,13,1,13,7,13,10,14.157025,14.157025,1.8357866,0.10909091,1.564016,0.9080675,0.057692308,1.0,0.057692308,0.9029851,0.052095294,2.7089553,52,3,536
nev-too_late,7,never,too_late,8,0.77238804,1,1,8,2,1,8,2,10,2,10,3,1,34.518234,34.518234,1.8576196,0.29090908,2.5553467,0.81678265,0.17187223,0.8888889,0.17391305,0.803068,0.157122,7.227612,46,9,536
som-as_mundane,8,something,as_mundane,3,0.5876866,14,14,10,17,14,9,16,1,17,8,16,14,9.850763,9.850763,1.469355,0.05555556,1.3927498,0.8086304,0.028571429,1.0,0.028571429,0.8041045,0.022974415,2.4123135,105,3,536
som-very_special,9,something,very_special,3,0.5876866,14,14,10,17,14,9,16,1,17,8,16,14,9.850763,9.850763,1.469355,0.05555556,1.3927498,0.8086304,0.028571429,1.0,0.028571429,0.8041045,0.022974415,2.4123135,105,3,536
eve-all_right,10,everything,all_right,4,0.18656716,4,4,6,1,4,11,1,11,1,11,1,5,22.193804,22.193804,1.971866,0.32,1.9067165,0.7698682,0.19806202,0.8,0.2,0.76268655,0.19067164,3.8134327,20,5,536
nev-as_bad,11,never,as_bad,3,0.3432836,11,11,12,12,11,12,12,12,11,12,12,11,10.585899,10.585899,1.4192402,0.12,1.5338559,0.66917294,0.06317657,0.75,0.06521739,0.6641791,0.057754707,2.6567163,46,4,536
som-still_alive,12,some,still_alive,3,0.3880597,12,12,13,14,12,13,14,12,13,13,14,12,9.851407,9.851407,1.357768,0.10714286,1.5080044,0.65789473,0.05562619,0.75,0.057692308,0.6529851,0.05022962,2.6119404,52,4,536
som-as_young,13,some,as_young,3,0.3880597,12,12,13,14,12,13,14,12,13,13,14,12,9.851407,9.851407,1.357768,0.10714286,1.5080044,0.65789473,0.05562619,0.75,0.057692308,0.6529851,0.05022962,2.6119404,52,4,536
som-very_good,14,some,very_good,5,0.8731343,10,10,15,8,5,15,8,15,8,15,8,3,12.158132,12.158132,1.09215,0.16393442,1.8455905,0.46637148,0.08788938,0.5555556,0.09615385,0.45854062,0.0793628,4.126866,52,9,536
alw-very_good,15,always,very_good,3,0.6212687,16,16,16,9,16,16,9,17,9,16,9,16,5.6109395,5.6109395,0.8866227,0.13043478,1.3733612,0.2688172,0.06905703,0.33333334,0.08108108,0.26430348,0.06429004,2.3787313,37,9,536
alw-very_important,16,always,very_important,3,0.6212687,16,16,16,9,16,16,9,17,9,16,9,16,5.6109395,5.6109395,0.8866227,0.13043478,1.3733612,0.2688172,0.06905703,0.33333334,0.08108108,0.26430348,0.06429004,2.3787313,37,9,536
som-very_important,17,something,very_important,4,1.7630597,18,18,18,16,18,18,18,16,16,18,18,18,2.9169543,2.9169543,0.5363028,0.07017544,1.1184702,0.25279358,0.02649431,0.44444445,0.03809524,0.24854892,0.021304194,2.2369404,105,9,536
