key,l1,l2,f,E11,am_expect_diff,adv,adv_total,adj,adj_total,am_p1_given2,am_log_likelihood,am_odds_ratio_disc,log_ratio,conservative_log_ratio,am_expect_diff_%
nev-too_late,never,too_late,8,0.772,7.228,too,,late,,0.817,34.518,1.858,6.412,1.502,90.35
all-too_familiar,all,too_familiar,5,0.354,4.646,too,,familiar,,0.938,27.108,2.214,16.0,0.874,92.92
no-more_toxic,no,more_toxic,4,0.179,3.821,more,,toxic,,0.962,25.526,2.352,16.381,0.74,95.525
eve-all_right,everything,all_right,4,0.187,3.813,all,,right,,0.77,22.194,1.972,6.688,0.412,95.325
som-as_divisive,someone,as_divisive,3,0.129,2.871,as,,divisive,,0.962,19.285,2.244,16.03,0.0,95.700005
som-very_special,something,very_special,3,0.588,2.412,very,,special,,0.809,9.851,1.469,13.589,0.0,80.399994
som-as_mundane,something,as_mundane,3,0.588,2.412,as,,mundane,,0.809,9.851,1.469,13.589,0.0,80.399994
som-less_good,some,less_good,3,0.291,2.709,less,,good,,0.908,14.157,1.836,14.77,0.0,90.3
nev-as_popular,never,as_popular,3,0.257,2.743,as,,popular,,0.919,14.916,1.897,14.964,0.0,91.433334
not-particularly_exciting,nothing,particularly_exciting,3,0.146,2.854,particularly,,exciting,,0.957,18.5,2.182,15.845,0.0,95.13333
no-more_effective,no,more_effective,3,0.134,2.866,more,,effective,,0.961,19.011,2.222,15.966,0.0,95.53333
