key,f,exp_f,unexp_f,dP1,P1,dP2,P2,LRC,G2,N,f1,f2,l1,l2
exactly~late-career,35,0.245394,34.754606,0.9929942,1.0,0.00078646385,0.00078646385,7.822908,347.24402,6347364,44503,35,exactly,late-career
exactly~alike,254,8.4485646,245.5514354,0.20381582,0.21078838,0.0055565964,0.0057074805,4.670078,1293.4022,6347364,44503,1205,exactly,alike
exactly~stellar,170,5.538893,164.461107,0.20820452,0.21518987,0.0037215992,0.0038199672,4.5717936,873.03005,6347364,44503,790,exactly,stellar
exactly~ideal,418,23.2493281,394.7506719,0.11910646,0.1260555,0.008932834,0.009392626,3.9312146,1678.7507,6347364,44503,3316,exactly,ideal
exactly~awash,36,1.0166323,34.9833677,0.24127011,0.24827586,0.0007916405,0.0008089342,3.8662338,196.17311,6347364,44503,145,exactly,awash
exactly~cheap,691,46.2111946,644.7888054,0.097930364,0.104839936,0.01459096,0.0155270435,3.7308745,2523.8017,6347364,44503,6591,exactly,cheap
exactly~conducive,208,13.6859736,194.3140264,0.09957674,0.10655738,0.0043971427,0.0046738423,3.4760036,764.39864,6347364,44503,1952,exactly,conducive
exactly~inconspicuous,26,0.8483621,25.1516379,0.20786874,0.21487603,0.00056915777,0.0005842303,3.2715886,133.35986,6347364,44503,121,exactly,inconspicuous
exactly~sure,8810,940.4829969,7869.5170031,0.059933458,0.06567814,0.17807972,0.19796418,3.229469,25681.616,6347364,44503,134139,exactly,sure
exactly~revolutionary,120,8.4836209,111.5163791,0.09217987,0.09917355,0.00252351,0.0026964475,3.1564422,423.78012,6347364,44503,1210,exactly,revolutionary
