adv,key_SET,f_SET,dP1_SET,LRC_SET,P1_SET,G2_SET,l1_SET,f1_SET,f2_SET,N_SET,exp_f_SET,unexp_f_SET,unexp_r_SET,odds_r_disc_SET,t_SET,MI_SET,key_MIR,f_MIR,dP1_MIR,LRC_MIR,P1_MIR,G2_MIR,l1_MIR,f1_MIR,f2_MIR,N_MIR,exp_f_MIR,unexp_f_MIR,unexp_r_MIR,odds_r_disc_MIR,t_MIR,MI_MIR,mean_f,mean_dP1,mean_LRC,mean_P1,mean_G2,mean_f1,mean_f2,mean_N,mean_expF,mean_unexpF,mean_unexpR,mean_oddsRDisc,mean_t,mean_MI,ratio_f_MIR,ratio_f1_MIR,ratio_f2_MIR,ratio_N_MIR
necessarily,NEG~necessarily,42595,0.8322,7.1469,0.8757,230465.5925,NEGATED,3173681,48641,71961373,2145.1928,40449.8072,0.9496,2.1896,195.9915,1.2979,NEG~necessarily,963,0.7087,4.4989,0.8819,2631.0560,NEGMIR,291735,1092,1680633,189.5563,773.4437,0.8032,1.5507,24.9239,0.7059,593117.8333,0.7705,5.8229,0.8788,116548.3242,1732708.0000,24866.5000,36821003.0000,1167.3746,20611.625442275392,0.8764,1.8701,110.4577,1.0019,0.0226,0.0919,0.0225,0.0234
that,NEG~that,164768,0.7548,6.3657,0.7967,831669.7162,NEGATED,3173681,206801,71961373,9120.4542,155647.5458,0.9446,1.9521,383.4474,1.2569,NEG~that,4308,0.6167,3.9093,0.7883,9933.3703,NEGMIR,291735,5465,1680633,948.6496,3359.3503,0.7798,1.2546,51.1820,0.6572,641126.3333,0.6858,5.1375,0.7925,420801.5432,1732708.0000,106133.0000,36821003.0000,5034.5519,79503.44808589843,0.8622,1.6033,217.3147,0.9570,0.0261,0.0919,0.0264,0.0234
exactly,NEG~exactly,43813,0.7373,6.1908,0.7809,216169.9788,NEGATED,3173681,56109,71961373,2474.5507,41338.4493,0.9435,1.8937,197.4934,1.2481,NEG~exactly,813,0.6153,3.6085,0.7886,1868.3391,NEGMIR,291735,1031,1680633,178.9676,634.0324,0.7799,1.2497,22.2365,0.6573,594530.3333,0.6763,4.8997,0.7847,109019.1589,1732708.0000,28570.0000,36821003.0000,1326.7591,20986.240844833985,0.8617,1.5717,109.8650,0.9527,0.0186,0.0919,0.0184,0.0234
any,NEG~any,15384,0.4344,4.2246,0.4783,53087.8239,NEGATED,3173681,32161,71961373,1418.3825,13965.6175,0.9078,1.3003,112.5967,1.0353,NEG~any,1066,0.7388,4.9116,0.9119,3078.6168,NEGMIR,291735,1169,1680633,202.9225,863.0775,0.8096,1.6923,26.4345,0.7204,585866.0000,0.5866,4.5681,0.6951,28083.2203,1732708.0000,16665.0000,36821003.0000,810.6525,7414.347492324218,0.8587,1.4963,69.5156,0.8779,0.0693,0.0919,0.0363,0.0234
remotely,NEG~remotely,5661,0.3237,3.5234,0.3677,15974.2753,NEGATED,3173681,15394,71961373,678.9149,4982.0851,0.8801,1.1013,66.2162,0.9211,NEG~remotely,1840,0.6224,3.8394,0.7952,4286.7449,NEGMIR,291735,2314,1680633,401.6789,1438.3212,0.7817,1.2690,33.5310,0.6609,581770.8333,0.4731,3.6814,0.5815,10130.5101,1732708.0000,8854.0000,36821003.0000,540.2969,3210.203153496094,0.8309,1.1852,49.8736,0.7910,0.3250,0.0919,0.1503,0.0234
longer,NEG~longer,1366,0.0772,1.3484,0.1213,1098.2260,NEGATED,3173681,11259,71961373,496.5508,869.4492,0.6365,0.4763,23.5244,0.4395,NEG~longer,821,0.7290,4.6896,0.9022,2328.2233,NEGMIR,291735,910,1680633,157.9636,663.0364,0.8076,1.6417,23.1401,0.7158,579962.0000,0.4031,3.0190,0.5118,1713.2246,1732708.0000,6084.5000,36821003.0000,327.2572,766.2428084765625,0.7220,1.0590,23.3323,0.5776,0.6010,0.0919,0.0808,0.0234
ever,NEG~ever,5932,0.0094,0.1849,0.0535,216.3995,NEGATED,3173681,110979,71961373,4894.4584,1037.5416,0.1749,0.0879,13.4712,0.0835,NEG~ever,4709,0.7627,5.6733,0.9340,14226.7057,NEGMIR,291735,5042,1680633,875.2225,3833.7776,0.8141,1.8345,55.8679,0.7308,598679.6667,0.3860,2.9291,0.4937,7221.5526,1732708.0000,58010.5000,36821003.0000,2884.8404,2435.6596139453127,0.4945,0.9612,34.6695,0.4072,0.7938,0.0919,0.0454,0.0234
immediately,NEG~immediately,56099,0.5681,5.0387,0.6115,231721.9818,NEGATED,3173681,91746,71961373,4046.2338,52052.7662,0.9279,1.5404,219.7689,1.1419,NEG~immediately,403,0.1672,0.8405,0.3407,191.2396,NEGMIR,291735,1183,1680633,205.3527,197.6473,0.4904,0.3915,9.8455,0.2928,602474.5000,0.3676,2.9396,0.4761,115956.6107,1732708.0000,46464.5000,36821003.0000,2125.7932,26125.206774174803,0.7092,0.9660,114.8072,0.7174,0.0072,0.0919,0.0129,0.0234
yet,NEG~yet,51867,0.5039,4.6606,0.5474,197895.3750,NEGATED,3173681,94755,71961373,4178.9384,47688.0616,0.9194,1.4254,209.3939,1.0938,NEG~yet,320,0.2216,1.1009,0.3951,220.7187,NEGMIR,291735,810,1680633,140.6050,179.3950,0.5606,0.4932,10.0285,0.3571,602194.6667,0.3628,2.8808,0.4712,99058.0468,1732708.0000,47782.5000,36821003.0000,2159.7717,23933.72832739502,0.7400,0.9593,109.7112,0.7255,0.0062,0.0919,0.0085,0.0234
particularly,NEG~particularly,55527,0.0649,1.3639,0.1085,36699.7380,NEGATED,3173681,511734,71961373,22568.7811,32958.2189,0.5936,0.4261,139.8658,0.3910,NEG~particularly,9243,0.5446,3.4297,0.7140,18490.3970,NEGMIR,291735,12946,1680633,2247.2493,6995.7505,0.7569,1.0877,72.7659,0.6142,675811.0000,0.3047,2.3968,0.4112,27595.0675,1732708.0000,262340.0000,36821003.0000,12408.0152,19976.984709140626,0.6752,0.7569,106.3159,0.5026,0.1665,0.0919,0.0253,0.0234
terribly,NEG~terribly,17949,0.2628,3.1900,0.3067,43629.2923,NEGATED,3173681,58529,71961373,2581.2789,15367.7211,0.8562,0.9839,114.7068,0.8422,NEG~terribly,1567,0.1688,1.0769,0.3419,753.1181,NEGMIR,291735,4583,1680633,795.5464,771.4536,0.4923,0.3948,19.4884,0.2944,591340.6667,0.2158,2.1335,0.3243,22191.2052,1732708.0000,31556.0000,36821003.0000,1688.4127,8069.587346640625,0.6743,0.6893,67.0976,0.5683,0.0873,0.0919,0.0783,0.0234
