key,f,dP1,LRC,P1,G2,l1,l2,f1,f2,N,exp_f,unexp_f,unexp_r,odds_r_disc,t,MI,adv,adv_total,adj,adj_total
NEGany~yet_clear,10406,0.9498838,10.766775,0.9933181,64409.827,NEGATED,yet_clear,3173681,10476,72839571,456.44808,9949.55192,0.95613605,3.5119984,97.535255,1.3578924,yet,95763,clear,349214
NEGany~yet_ready,7501,0.9436312,9.934912,0.9871036,45984.969,NEGATED,yet_ready,3173681,7599,72839571,331.09478,7169.90522,0.9558599,3.2241957,82.785416,1.3551668,yet,95763,ready,141590
NEGany~necessarily_indicative,1389,0.9485903,9.432783,0.99214286,8577.5227,NEGATED,necessarily_indicative,3173681,1400,72839571,60.99917,1328.00083,0.95608413,3.4238076,35.632576,1.3573784,necessarily,48947,indicative,8148
NEGany~that_uncommon,802,0.95395213,9.431383,0.99751246,4998.3122,NEGATED,that_uncommon,3173681,804,72839571,35.030952,766.969048,0.9563205,3.8480716,27.082619,1.3597224,that,208262,uncommon,11312
NEGany~exactly_easy,1066,0.9499194,9.321373,0.9934762,6596.8985,NEGATED,exactly_easy,3173681,1073,72839571,46.751507,1019.248493,0.9561431,3.4945023,31.217741,1.3579615,exactly,58643,easy,579827
NEGany~yet_complete,2174,0.9410591,9.1975565,0.98460144,13277.062,NEGATED,yet_complete,3173681,2208,72839571,96.204406,2077.795594,0.9557477,3.1412945,44.56286,1.3540646,yet,95763,complete,86361
NEGany~that_surprising,1133,0.94769514,9.197104,0.9912511,6986.799,NEGATED,that_surprising,3173681,1143,72839571,49.801466,1083.198534,0.9560446,3.374844,32.180523,1.3569878,that,208262,surprising,70540
NEGany~exactly_new,1371,0.9441993,9.1040125,0.98775214,8410.3008,NEGATED,exactly_new,3173681,1388,72839571,60.47632,1310.52368,0.9558889,3.2358022,35.393715,1.3554521,exactly,58643,new,253862
NEGany~necessarily_easy,909,0.947717,9.011557,0.9912759,5605.6266,NEGATED,necessarily_easy,3173681,917,72839571,39.954457,869.045543,0.9560457,3.370965,28.82442,1.3569987,necessarily,48947,easy,579827
NEGany~yet_final,640,0.9517719,8.965586,0.9953344,3972.9096,NEGATED,yet_final,3173681,643,72839571,28.016048,611.983952,0.9562249,3.6039956,24.19079,1.3587731,yet,95763,final,5860
NEGany~exactly_cheap,691,0.9506828,8.962503,0.9942446,4281.5759,NEGATED,exactly_cheap,3173681,695,72839571,30.281731,660.718269,0.95617694,3.528131,25.134907,1.3582973,exactly,58643,cheap,60531
NEGany~yet_eligible,448,0.956435,8.962061,1.0,2807.5575,NEGATED,yet_eligible,3173681,448,72839571,19.519735,428.480265,0.9564292,4.2943106,20.24379,1.3608041,yet,95763,eligible,23252
NEGany~that_unusual,977,0.9453084,8.918027,0.9888664,6003.0387,NEGATED,that_unusual,3173681,988,72839571,43.047986,933.952014,0.9559386,3.2710094,29.879772,1.3559418,that,208262,unusual,71234
NEGany~exactly_clear,1746,0.93515164,8.77512,0.97869956,10578.31,NEGATED,exactly_clear,3173681,1784,72839571,77.730371,1668.269629,0.9554809,2.9984035,39.924927,1.3514535,exactly,58643,clear,349214
NEGany~exactly_surprising,440,0.95416737,8.713494,0.9977324,2743.3348,NEGATED,exactly_surprising,3173681,441,72839571,19.214739,420.785261,0.9563301,3.8093717,20.06015,1.3598182,exactly,58643,surprising,70540
NEGany~that_complicated,1207,0.9377458,8.676937,0.98130083,7337.8222,NEGATED,that_complicated,3173681,1230,72839571,53.592128,1153.407872,0.9555989,3.0524411,33.199326,1.3526063,that,208262,complicated,159822
NEGany~terribly_surprising,949,0.94088143,8.658463,0.98443985,5794.0819,NEGATED,terribly_surprising,3173681,964,72839571,42.002286,906.997714,0.95574045,3.1287498,29.442392,1.3539933,terribly,58964,surprising,70540
NEGany~yet_official,352,0.9564338,8.605595,1.0,2205.9279,NEGATED,yet_official,3173681,352,72839571,15.336934,336.663066,0.9564292,4.189694,17.944202,1.3608041,yet,95763,official,6853
NEGany~that_hard,9948,0.9149411,8.587857,0.9583815,58817.099,NEGATED,that_hard,3173681,10380,72839571,452.26528,9495.73472,0.9545371,2.7045891,95.2052,1.3423425,that,208262,hard,348463
NEGany~that_familiar,1126,0.9304924,8.346807,0.97404844,6781.0911,NEGATED,that_familiar,3173681,1156,72839571,50.367886,1075.632114,0.9552683,2.9090421,32.05491,1.3493847,that,208262,familiar,156296
