adv,key_SET,f_SET,dP1_SET,LRC_SET,P1_SET,G2_SET,l1_SET,f1_SET,f2_SET,N_SET,exp_f_SET,unexp_f_SET,unexp_r_SET,odds_r_disc_SET,t_SET,MI_SET,key_MIR,f_MIR,dP1_MIR,LRC_MIR,P1_MIR,G2_MIR,l1_MIR,f1_MIR,f2_MIR,N_MIR,exp_f_MIR,unexp_f_MIR,unexp_r_MIR,odds_r_disc_MIR,t_MIR,MI_MIR,mean_f,mean_dP1,mean_LRC,mean_P1,mean_G2,mean_f1,mean_f2,mean_N,mean_expF,mean_unexpF,mean_unexpR,mean_oddsRDisc,mean_t,mean_MI,ratio_f_MIR,ratio_f1_MIR,ratio_f2_MIR,ratio_N_MIR
necessarily,NEGany~necessarily,42595,0.8272,7.0962,0.8702,230256.7588,NEGATED,3173681,48947,72839571,2132.6620,40462.3380,0.9499,2.1737,196.0522,1.3004,NEGmir~necessarily,963,0.6990,4.3905,0.8699,2597.6604,NEGMIR,291735,1107,1701929,189.7557,773.2443,0.8030,1.5097,24.9175,0.7054,593171.3333,0.7631,5.7434,0.8701,116427.20960019532,1732708.0000,25027.0000,37270750.0000,1161.2088,20617.7912,0.8764,1.8417,110.4848,1.0029,0.0226,0.0919,0.0226,0.0234
that,NEGany~that,164768,0.7497,6.3353,0.7912,831134.9584,NEGATED,3173681,208262,72839571,9074.1490,155693.8510,0.9449,1.9428,383.5615,1.2591,NEGmir~that,4308,0.6147,3.8978,0.7841,9957.2832,NEGMIR,291735,5494,1701929,941.7503,3366.2497,0.7814,1.2504,51.2871,0.6603,641374.6667,0.6822,5.1165,0.7876,420546.1208015625,1732708.0000,106878.0000,37270750.0000,5007.9496,79530.0504,0.8632,1.5966,217.4243,0.9597,0.0261,0.0919,0.0264,0.0234
exactly,NEGany~exactly,43813,0.7041,5.9443,0.7471,210126.0042,NEGATED,3173681,58643,72839571,2555.1250,41257.8750,0.9417,1.8179,197.1085,1.2342,NEGmir~exactly,813,0.6099,3.5745,0.7810,1860.7074,NEGMIR,291735,1041,1701929,178.4423,634.5577,0.7805,1.2369,22.2549,0.6586,594954.3333,0.6570,4.7594,0.7640,105993.35579873047,1732708.0000,29842.0000,37270750.0000,1366.7837,20946.2163,0.8611,1.5274,109.6817,0.9464,0.0186,0.0919,0.0178,0.0234
any,NEGany~any,15384,0.4041,4.0660,0.4474,50880.7614,NEGATED,3173681,34382,72839571,1498.0520,13885.9480,0.9026,1.2518,111.9543,1.0115,NEGmir~any,1066,0.7197,4.6540,0.8906,2985.7310,NEGMIR,291735,1197,1701929,205.1829,860.8171,0.8075,1.5949,26.3653,0.7156,586240.8333,0.5619,4.3600,0.6690,26933.246178515627,1732708.0000,17789.5000,37270750.0000,851.6175,7373.3825,0.8551,1.4233,69.1598,0.8636,0.0693,0.0919,0.0348,0.0234
remotely,NEGany~remotely,5661,0.3011,3.3986,0.3446,15284.4168,NEGATED,3173681,16426,72839571,715.6950,4945.3050,0.8736,1.0631,65.7274,0.8982,NEGmir~remotely,1840,0.6154,3.7890,0.7860,4256.3076,NEGMIR,291735,2341,1701929,401.2809,1438.7191,0.7819,1.2515,33.5403,0.6614,581947.3333,0.4583,3.5938,0.5653,9770.36220859375,1732708.0000,9383.5000,37270750.0000,558.4880,3192.0120,0.8277,1.1573,49.6339,0.7798,0.3250,0.0919,0.1425,0.0234
ever,NEGany~ever,5932,0.0084,0.1614,0.0520,183.9085,NEGATED,3173681,114075,72839571,4970.3430,961.6570,0.1621,0.0808,12.4859,0.0768,NEGmir~ever,4709,0.7615,5.6286,0.9306,14253.4717,NEGMIR,291735,5060,1701929,867.3564,3841.6435,0.8158,1.8183,55.9826,0.7347,599198.6667,0.3850,2.8950,0.4913,7218.69008984375,1732708.0000,59567.5000,37270750.0000,2918.8497,2401.6503,0.4890,0.9496,34.2342,0.4058,0.7938,0.0919,0.0444,0.0234
yet,NEGany~yet,51867,0.4987,4.6457,0.5416,197610.2853,NEGATED,3173681,95763,72839571,4172.4740,47694.5260,0.9196,1.4208,209.4223,1.0945,NEGmir~yet,320,0.2213,1.1092,0.3926,223.0802,NEGMIR,291735,815,1701929,139.7027,180.2973,0.5634,0.4954,10.0789,0.3599,602363.5000,0.3600,2.8775,0.4671,98916.68272720947,1732708.0000,48289.0000,37270750.0000,2156.0883,23937.4117,0.7415,0.9581,109.7506,0.7272,0.0062,0.0919,0.0085,0.0234
immediately,NEGany~immediately,56099,0.5356,4.8617,0.5785,224058.7969,NEGATED,3173681,96973,72839571,4225.1950,51873.8050,0.9247,1.4865,219.0133,1.1231,NEGmir~immediately,403,0.1659,0.8415,0.3372,191.8731,NEGMIR,291735,1195,1701929,204.8401,198.1599,0.4917,0.3915,9.8710,0.2939,603347.6667,0.3508,2.8516,0.4579,112125.33500395507,1732708.0000,49084.0000,37270750.0000,2215.0176,26035.9824,0.7082,0.9390,114.4422,0.7085,0.0072,0.0919,0.0123,0.0234
particularly,NEGany~particularly,55527,0.0650,1.3761,0.1081,37272.2589,NEGATED,3173681,513668,72839571,22380.9440,33146.0560,0.5969,0.4298,140.6630,0.3946,NEGmir~particularly,9243,0.5436,3.4304,0.7108,18583.6348,NEGMIR,291735,13003,1701929,2228.9004,7014.0996,0.7589,1.0877,72.9567,0.6177,676142.8333,0.3043,2.4033,0.4095,27927.9468328125,1732708.0000,263335.5000,37270750.0000,12304.9222,20080.0778,0.6779,0.7587,106.8099,0.5062,0.1665,0.0919,0.0253,0.0234
inherently,NEGany~inherently,6743,0.0976,1.7452,0.1411,7021.9503,NEGATED,3173681,47803,72839571,2082.8170,4660.1830,0.6911,0.5576,56.7514,0.5102,NEGmir~inherently,2864,0.3877,2.4042,0.5580,3925.2563,NEGMIR,291735,5133,1701929,879.8697,1984.1303,0.6928,0.7890,37.0752,0.5126,587993.1667,0.2426,2.0747,0.3495,5473.603323828125,1732708.0000,26468.0000,37270750.0000,1481.3434,3322.1566,0.6919,0.6733,46.9133,0.5114,0.4247,0.0919,0.1074,0.0234
terribly,NEGany~terribly,17949,0.2610,3.1930,0.3044,43741.2209,NEGATED,3173681,58964,72839571,2569.1110,15379.8890,0.8569,0.9848,114.7977,0.8443,NEGmir~terribly,1567,0.1690,1.0864,0.3399,764.4168,NEGMIR,291735,4610,1701929,790.2200,776.7800,0.4957,0.3975,19.6229,0.2973,591417.6667,0.2150,2.1397,0.3222,22252.818854541016,1732708.0000,31787.0000,37270750.0000,1679.6655,8078.3345,0.6763,0.6911,67.2103,0.5708,0.0873,0.0919,0.0782,0.0234
