adv,key_SET,f_SET,dP1_SET,P1_SET,LRC_SET,G2_SET,MI_SET,odds_r_disc_SET,t_SET,N_SET,f1_SET,f2_SET,exp_f_SET,unexp_f_SET,l1_SET,key_MIR,f_MIR,dP1_MIR,P1_MIR,LRC_MIR,G2_MIR,MI_MIR,odds_r_disc_MIR,t_MIR,N_MIR,f1_MIR,f2_MIR,exp_f_MIR,unexp_f_MIR,l1_MIR,mean_f,mean_dP1,mean_P1,mean_LRC,mean_G2,mean_MI,mean_oddsRDisc,mean_t,mean_N,mean_f1,mean_f2,mean_expF,mean_unexpF,ratio_f_MIR,ratio_N_MIR,ratio_f1_MIR,ratio_f2_MIR
necessarily,NEGany~necessarily,42595,0.8272,0.8702,7.0962,230257.3434,1.3004,2.1737,196.0522,72839589,3173660,48947,2132.6470,40462.3530,NEGATED,NEGmir~necessarily,963,0.6990,0.8699,4.3905,2597.6796,0.7054,1.5097,24.9175,1701929,291732,1107,189.7537,773.2463,NEGMIR,593167.3333,0.7631,0.8701,5.7434,116427.5115,1.0029,1.8417,110.4849,37270759.0000,1732696.0000,25027.0000,1161.2004,20617.7997,0.0226,0.0234,0.0919,0.0226
that,NEGany~that,164768,0.7497,0.7912,6.3353,831137.2520,1.2591,1.9428,383.5617,72839589,3173660,208262,9074.0870,155693.9130,NEGATED,NEGmir~that,4308,0.6147,0.7841,3.8978,9957.3674,0.6603,1.2504,51.2873,1701929,291732,5494,941.7406,3366.2594,NEGMIR,641370.6667,0.6822,0.7876,5.1165,420547.3097,0.9597,1.5966,217.4245,37270759.0000,1732696.0000,106878.0000,5007.9138,79530.0862,0.0261,0.0234,0.0919,0.0264
exactly,NEGany~exactly,43813,0.7041,0.7471,5.9443,210126.6005,1.2342,1.8179,197.1086,72839589,3173660,58643,2555.1070,41257.8930,NEGATED,NEGmir~exactly,813,0.6099,0.7810,3.5745,1860.7232,0.6586,1.2369,22.2550,1701929,291732,1041,178.4405,634.5595,NEGMIR,594950.3333,0.6570,0.7640,4.7594,105993.6618,0.9464,1.5274,109.6818,37270759.0000,1732696.0000,29842.0000,1366.7737,20946.2263,0.0186,0.0234,0.0919,0.0178
any,NEGany~any,15384,0.4041,0.4474,4.0660,50880.9612,1.0115,1.2518,111.9544,72839589,3173660,34382,1498.0420,13885.9580,NEGATED,NEGmir~any,1066,0.7197,0.8906,4.6541,2985.7525,0.7156,1.5949,26.3653,1701929,291732,1197,205.1808,860.8192,NEGMIR,586236.8333,0.5619,0.6690,4.3600,26933.3568,0.8636,1.4233,69.1599,37270759.0000,1732696.0000,17789.5000,851.6114,7373.3886,0.0693,0.0234,0.0919,0.0348
remotely,NEGany~remotely,5661,0.3011,0.3446,3.3986,15284.4878,0.8982,1.0631,65.7275,72839589,3173660,16426,715.6900,4945.3100,NEGATED,NEGmir~remotely,1840,0.6154,0.7860,3.7890,4256.3437,0.6614,1.2516,33.5404,1701929,291732,2341,401.2768,1438.7232,NEGMIR,581943.3333,0.4583,0.5653,3.5938,9770.4157,0.7798,1.1573,49.6339,37270759.0000,1732696.0000,9383.5000,558.4834,3192.0166,0.3250,0.0234,0.0919,0.1425
ever,NEGany~ever,5932,0.0084,0.0520,0.1614,183.9223,0.0768,0.0808,12.4863,72839589,3173660,114075,4970.3090,961.6910,NEGATED,NEGmir~ever,4709,0.7615,0.9306,5.6286,14253.5675,0.7347,1.8183,55.9827,1701929,291732,5060,867.3475,3841.6525,NEGMIR,599194.6667,0.3850,0.4913,2.8950,7218.7449,0.4058,0.9496,34.2345,37270759.0000,1732696.0000,59567.5000,2918.8283,2401.6717,0.7938,0.0234,0.0919,0.0444
yet,NEGany~yet,51867,0.4987,0.5416,4.6457,197610.9756,1.0945,1.4208,209.4225,72839589,3173660,95763,4172.4450,47694.5550,NEGATED,NEGmir~yet,320,0.2213,0.3926,1.1092,223.0846,0.3599,0.4954,10.0790,1701929,291732,815,139.7012,180.2988,NEGMIR,602359.5000,0.3600,0.4671,2.8775,98917.0301,0.7272,0.9581,109.7507,37270759.0000,1732696.0000,48289.0000,2156.0731,23937.4269,0.0062,0.0234,0.0919,0.0085
immediately,NEGany~immediately,56099,0.5356,0.5785,4.8617,224059.5481,1.1231,1.4865,219.0135,72839589,3173660,96973,4225.1660,51873.8340,NEGATED,NEGmir~immediately,403,0.1659,0.3372,0.8415,191.8780,0.2939,0.3915,9.8712,1701929,291732,1195,204.8380,198.1620,NEGMIR,603343.6667,0.3508,0.4579,2.8516,112125.7131,0.7085,0.9390,114.4423,37270759.0000,1732696.0000,49084.0000,2215.0020,26035.9980,0.0072,0.0234,0.0919,0.0123
particularly,NEGany~particularly,55527,0.0650,0.1081,1.3761,37272.7403,0.3946,0.4298,140.6636,72839589,3173660,513668,22380.7910,33146.2090,NEGATED,NEGmir~particularly,9243,0.5436,0.7108,3.4304,18583.8121,0.6177,1.0877,72.9570,1701929,291732,13003,2228.8775,7014.1225,NEGMIR,676138.8333,0.3043,0.4095,2.4033,27928.2762,0.5062,0.7587,106.8103,37270759.0000,1732696.0000,263335.5000,12304.8342,20080.1658,0.1665,0.0234,0.0919,0.0253
inherently,NEGany~inherently,6743,0.0976,0.1411,1.7452,7022.0173,0.5102,0.5576,56.7516,72839589,3173660,47803,2082.8020,4660.1980,NEGATED,NEGmir~inherently,2864,0.3877,0.5580,2.4042,3925.3058,0.5126,0.7890,37.0754,1701929,291732,5133,879.8606,1984.1393,NEGMIR,587989.1667,0.2426,0.3495,2.0747,5473.6615,0.5114,0.6733,46.9135,37270759.0000,1732696.0000,26468.0000,1481.3313,3322.1687,0.4247,0.0234,0.0919,0.1074
