key,f,dP1,P1,LRC,G2,MI,odds_r_disc,t,N,f1,f2,exp_f,unexp_f,l1,l2,adv,adv_total,adj,adj_total
NEGmir~inherently_illegal,26,0.791563,0.962963,2.097021,83.5352497,0.749567,1.9314882,4.1913667,1701929,291732,27,4.628139,21.37186050415039,NEGMIR,inherently_illegal,inherently,5133,illegal,937
NEGmir~remotely_believable,21,0.82859766,1.0,1.9594313,74.0758974,0.76595736,2.3177948,3.7970648,1701929,291732,21,3.5996637,17.40033721923828,NEGMIR,remotely_believable,remotely,2341,believable,600
NEGmir~yet_certain,21,0.82859766,1.0,1.9594313,74.0758974,0.76595736,2.3177948,3.7970648,1701929,291732,21,3.5996637,17.40033721923828,NEGMIR,yet_certain,yet,815,certain,1800
NEGmir~any_younger,20,0.8285972,1.0,1.855932,70.5484169,0.76595736,2.2971087,3.7055557,1701929,291732,20,3.4282511,16.571748733520508,NEGMIR,any_younger,any,1197,younger,939
NEGmir~exactly_easy,20,0.8285972,1.0,1.855932,70.5484169,0.76595736,2.2971087,3.7055557,1701929,291732,20,3.4282511,16.571748733520508,NEGMIR,exactly_easy,exactly,1041,easy,18610
NEGmir~remotely_funny,41,0.63252795,0.8039216,1.8514082,97.9052855,0.67117107,1.2812119,5.037847,1701929,291732,51,8.7420404,32.25796127319336,NEGMIR,remotely_funny,remotely,2341,funny,5365
NEGmir~immediately_available,162,0.41774586,0.5890909,1.8457625,241.5297601,0.53613967,0.84035903,9.024375,1701929,291732,275,47.1384529,114.8615493774414,NEGMIR,immediately_available,immediately,1195,available,10284
NEGmir~that_fond,23,0.7869319,0.9583333,1.8440431,73.1930644,0.74747396,1.8793057,3.9380238,1701929,291732,24,4.1139013,18.886098861694336,NEGMIR,that_fond,that,5494,fond,1115
NEGmir~that_comfortable,23,0.7869319,0.9583333,1.8440431,73.1930644,0.74747396,1.8793057,3.9380238,1701929,291732,24,4.1139013,18.886098861694336,NEGMIR,that_comfortable,that,5494,comfortable,4642
NEGmir~necessarily_new,23,0.7869319,0.9583333,1.8440431,73.1930644,0.74747396,1.8793057,3.9380238,1701929,291732,24,4.1139013,18.886098861694336,NEGMIR,necessarily_new,necessarily,1107,new,12836
NEGmir~remotely_interesting,56,0.5558853,0.72727275,1.802798,115.2006442,0.6276547,1.103982,5.7195554,1701929,291732,77,13.1987668,42.801231384277344,NEGMIR,remotely_interesting,remotely,2341,interesting,12447
NEGmir~terribly_popular,19,0.8285967,1.0,1.745116,67.0209421,0.76595736,2.275388,3.611729,1701929,291732,19,3.2568386,15.74316120147705,NEGMIR,terribly_popular,terribly,4610,popular,5668
NEGmir~yet_clear,19,0.8285967,1.0,1.745116,67.0209421,0.76595736,2.275388,3.611729,1701929,291732,19,3.2568386,15.74316120147705,NEGMIR,yet_clear,yet,815,clear,6722
NEGmir~yet_sure,19,0.8285967,1.0,1.745116,67.0209421,0.76595736,2.275388,3.611729,1701929,291732,19,3.2568386,15.74316120147705,NEGMIR,yet_sure,yet,815,sure,6761
NEGmir~remotely_similar,71,0.4921698,0.6635514,1.7013313,127.3212241,0.5878319,0.97640294,6.2494564,1701929,291732,107,18.3411435,52.65885543823242,NEGMIR,remotely_similar,remotely,2341,similar,7011
NEGmir~inherently_better,44,0.5743701,0.7457627,1.6504186,93.950531,0.63855803,1.1423843,5.108606,1701929,291732,59,10.1133408,33.88665771484375,NEGMIR,inherently_better,inherently,5133,better,14013
NEGmir~necessarily_better,27,0.6995679,0.87096775,1.6266291,72.9033769,0.70595944,1.4704542,4.1735134,1701929,291732,31,5.3137892,21.68621063232422,NEGMIR,necessarily_better,necessarily,1107,better,14013
NEGmir~inherently_improper,18,0.82859623,1.0,1.6259375,63.493473,0.76595736,2.2525237,3.5153987,1701929,291732,18,3.085426,14.914573669433594,NEGMIR,inherently_improper,inherently,5133,improper,142
NEGmir~yet_ready,18,0.82859623,1.0,1.6259375,63.493473,0.76595736,2.2525237,3.5153987,1701929,291732,18,3.085426,14.914573669433594,NEGMIR,yet_ready,yet,815,ready,3034
NEGmir~any_clearer,17,0.8285957,1.0,1.49712,59.9660095,0.76595736,2.2283885,3.4163535,1701929,291732,17,2.9140135,14.085986137390137,NEGMIR,any_clearer,any,1197,clearer,130
NEGmir~remotely_surprising,17,0.8285957,1.0,1.49712,59.9660095,0.76595736,2.2283885,3.4163535,1701929,291732,17,2.9140135,14.085986137390137,NEGMIR,remotely_surprising,remotely,2341,surprising,2662
NEGmir~any_higher,21,0.7416409,0.9130435,1.4205083,61.2377773,0.72644883,1.6188242,3.722254,1701929,291732,23,3.9424888,17.057510375976562,NEGMIR,any_higher,any,1197,higher,2893
NEGmir~remotely_possible,38,0.55937374,0.7307692,1.420007,78.7290616,0.6297376,1.1084402,4.718461,1701929,291732,52,8.9134529,29.0865478515625,NEGMIR,remotely_possible,remotely,2341,possible,3160
NEGmir~that_clear,18,0.7759645,0.94736844,1.3037237,56.0342198,0.7424763,1.7754021,3.4749966,1701929,291732,19,3.2568386,14.74316120147705,NEGMIR,that_clear,that,5494,clear,6722
NEGmir~terribly_clear,15,0.82859474,1.0,1.2038637,52.9110997,0.76595736,2.1756792,3.2091053,1701929,291732,15,2.5711883,12.428812026977539,NEGMIR,terribly_clear,terribly,4610,clear,6722
NEGmir~necessarily_illegal,15,0.82859474,1.0,1.2038637,52.9110997,0.76595736,2.1756792,3.2091053,1701929,291732,15,2.5711883,12.428812026977539,NEGMIR,necessarily_illegal,necessarily,1107,illegal,937
NEGmir~inherently_evil,58,0.41447014,0.5858586,1.1806108,85.7033458,0.5337502,0.8334766,5.3875237,1701929,291732,99,16.969843,41.030155181884766,NEGMIR,inherently_evil,inherently,5133,evil,1271
NEGany~inherently_problematic,58,0.16581638,0.20938627,1.1730777,98.703329,0.6817553,0.7671879,6.0310307,72839589,3173660,277,12.069039,45.930960999999996,NEGATED,inherently_problematic,inherently,47803,problematic,33408
NEGmir~immediately_clear,31,0.5495316,0.7209302,1.131975,62.9451412,0.6238506,1.0857382,4.2439404,1701929,291732,43,7.3707399,23.629261016845703,NEGMIR,immediately_clear,immediately,1195,clear,6722
NEGmir~terribly_remarkable,14,0.82859427,1.0,1.0349358,49.3836533,0.76595736,2.146714,3.1002903,1701929,291732,14,2.3997758,11.600224494934082,NEGMIR,terribly_remarkable,terribly,4610,remarkable,3238
NEGmir~remotely_new,19,0.6922327,0.8636364,1.0022075,50.6235606,0.70228827,1.430289,3.4937546,1701929,291732,22,3.7710762,15.228923797607422,NEGMIR,remotely_new,remotely,2341,new,12836
