key,f,dP1,LRC,P1,G2,l1,l2,f1,f2,N,exp_f,unexp_f,unexp_r,odds_r_disc,t,MI,dP2,P2,deltaP_max,deltaP_mean,dataset
[_direct_] particularly~noteworthy,338,0.23404875,4.2455497,0.24599709,1483.195815,particularly,noteworthy,76162,1374,6347362,16.4866267,321.5133733,0.951223,1.4314587,17.488022,1.3117849,0.004272709,0.0044379085,0.23404875,0.119160734,direct
[_mirror_] particularly~noteworthy,87,0.32956678,3.8875344,0.34661356,389.480615,particularly,noteworthy,10029,251,583470,4.314324378967285,82.68567657470703,0.95041007,1.4867115,8.864835,1.3046064,0.00838885,0.008674843,0.32956678,0.16897781,mirror
[_direct_] particularly~fond,1254,0.14955328,3.742172,0.16136919,4399.544086,particularly,fond,76162,7771,6347362,93.2442331,1160.7557669,0.92564255,1.2067577,32.77873,1.1286756,0.015425709,0.016464904,0.14955328,0.0824895,direct
[_direct_] particularly~revelatory,60,0.21877919,3.3750155,0.23076923,254.717313,particularly,revelatory,76162,260,6347362,3.1197401,56.8802599,0.9480043,1.3955789,7.3432097,1.2840328,0.0007559026,0.0007877944,0.21877919,0.10976755,direct
[_direct_] particularly~religious,486,0.12665096,3.335502,0.13857998,1552.376915,particularly,religious,76162,3507,6347362,42.0804949,443.9195051,0.9134146,1.1250407,20.136599,1.0625554,0.005899409,0.006381135,0.12665096,0.06627519,direct
[_mirror_] particularly~novel,54,0.28457475,3.3201182,0.30167598,224.262009,particularly,novel,10029,179,583470,3.076749324798584,50.92325210571289,0.94302315,1.3972125,6.9297767,1.2443017,0.005166403,0.005384385,0.28457475,0.14487056,mirror
[_mirror_] particularly~unusual,173,0.16850427,3.04483,0.18542336,540.064279,particularly,unusual,10029,933,583470,16.036911010742188,156.9630889892578,0.90730107,1.1223907,11.933682,1.0329254,0.015924642,0.017249975,0.16850427,0.09221446,mirror
[_direct_] particularly~novel,129,0.13056105,2.9840772,0.14254144,418.75118,particularly,novel,76162,905,6347362,10.8590955,118.1409045,0.91582096,1.1384202,10.401727,1.0747961,0.0015700178,0.0016937581,0.13056105,0.066065535,direct
[_mirror_] particularly~fond,117,0.17864673,2.9840198,0.19565217,377.500206,particularly,fond,10029,598,583470,10.278749465942383,106.72125244140625,0.91214746,1.1493831,9.866384,1.0562456,0.010827372,0.011666168,0.17864673,0.094737045,mirror
[_direct_] particularly~acute,135,0.11807811,2.8545885,0.1300578,413.825696,particularly,acute,76162,1038,6347362,12.4549625,122.5450375,0.907741,1.0923285,10.546997,1.0349914,0.0016285459,0.0017725375,0.11807811,0.05985333,direct
