colloc,be-ADV-ADJ_positive,every_det-of-subj,everybody_subj,everyone_subj,few_det-of-subj,few_subj,neither_det-of-subj,neither_subj,never_VP-adv,no-one_subj,no_det-of-subj-N,nobody_subj,none_subj,not-a-single_det-of-subj,not-one_det-of-subj,not-one_subj,not_VP-adv,nothing_subj,without-being_PP
about_townview,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1
absolutely_compelling,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
absolutely_flabbergasting,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
absolutely_paramount,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
absolutely_sane,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
achingly_familiar,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
actually_closed,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1
actually_superfluous,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
acutely_interested,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1
aggressively_anti-government,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
aggressively_casual,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
all_bolivar-denominated,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
all_canine,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
all_certain,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
all_mathematical,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
all_scared,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
all_selfish,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
almost_bare,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
almost_extraneous,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
