colloc,be-ADV-ADJ_positive,every_det-of-subj,everybody_subj,everyone_subj,few_det-of-subj,few_subj,neither_det-of-subj,neither_subj,never_VP-adv,no-one_subj,no_det-of-subj-N,nobody_subj,none_subj,not-a-single_det-of-subj,not-one_det-of-subj,not-one_subj,not_VP-adv,nothing_subj,without-being_PP
1-13_overall,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
abidingly_grateful,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
about_6-foot-8,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
about_9p,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
about_magic,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1
about_one-in-seven-and-a-half,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
absoluteley_untrue,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
absolutely_absent,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
absolutely_amoral,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
absolutely_contagious,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
absolutely_eerie,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
absolutely_outrageous,20,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
absolutely_refreshing,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
absolutely_right-on,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
absolutely_villainous,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
acoustically_unreliable,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
actually_overdue,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
actually_real,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
actually_shy,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
actually_unaware,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
admittedly_heartbroken,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
admittedly_ineffective,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
again_instructive,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
again_stingy,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
aggressively_anti-government,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
aggressively_hands-on,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
aggressively_neutral,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
agonizingly_slow,19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
alarmingly_different,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
alarmingly_simple,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
all_buzz-pollinated,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
all_civic-minded,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1
all_clean,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
all_crooked,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
all_embarrassed,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
all_mexican,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
all_solid,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
all_viable,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
almost_aghast,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
almost_bullet-proof,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
almost_cheerful,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
almost_dovish,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
almost_feverish,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
almost_four-tenths,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
almost_over,103,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
almost_post-modern,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
almost_reborn,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
almost_reversed,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
almost_safe,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
almost_staggering,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
