colloc,positive_raw,negative_raw,positive_plus1,negative_plus1,total,positive_ratio,negative_ratio,positive_skew,negative_skew
no_different,1098,0,1099,1,2198,0.4995,0.0,1.3522,0.0
well_aware,838,0,839,1,1678,0.4994,0.0,1.352,0.0
almost_impossible,738,0,739,1,1478,0.4993,0.0,1.3517,0.0
almost_certain,618,0,619,1,1238,0.4992,0.0,1.3514,0.0
also_available,526,0,527,1,1054,0.4991,0.0,1.3512,0.0
also_likely,555,0,556,1,1112,0.4991,0.0,1.3512,0.0
very_disappointed,500,0,501,1,1002,0.499,0.0,1.3509,0.0
especially_true,420,0,421,1,842,0.4988,0.0,1.3504,0.0
also_concerned,423,0,424,1,848,0.4988,0.0,1.3504,0.0
just_fine,418,0,419,1,838,0.4988,0.0,1.3504,0.0
also_true,396,0,397,1,794,0.4987,0.0,1.3501,0.0
also_important,362,0,363,1,726,0.4986,0.0,1.3498,0.0
quite_different,363,0,364,1,728,0.4986,0.0,1.3498,0.0
very_low,359,0,360,1,720,0.4986,0.0,1.3498,0.0
extremely_difficult,343,0,344,1,688,0.4985,0.0,1.3495,0.0
still_possible,332,0,333,1,666,0.4985,0.0,1.3495,0.0
very_similar,323,0,324,1,648,0.4985,0.0,1.3495,0.0
nearly_impossible,337,0,338,1,676,0.4985,0.0,1.3495,0.0
pretty_clear,312,0,313,1,626,0.4984,0.0,1.3493,0.0
still_unclear,309,0,310,1,620,0.4984,0.0,1.3493,0.0
also_possible,306,0,307,1,614,0.4984,0.0,1.3493,0.0
relatively_small,305,0,306,1,612,0.4984,0.0,1.3493,0.0
pretty_good,1203,3,1204,4,2414,0.4983,0.0012,1.349,0.0247
very_upset,289,0,290,1,580,0.4983,0.0,1.349,0.0
very_frustrating,291,0,292,1,584,0.4983,0.0,1.349,0.0
still_strong,283,0,284,1,568,0.4982,0.0,1.3487,0.0
largely_responsible,264,0,265,1,530,0.4981,0.0,1.3485,0.0
very_sad,245,0,246,1,492,0.498,0.0,1.3482,0.0
still_open,255,0,256,1,512,0.498,0.0,1.3482,0.0
just_glad,479,1,480,2,962,0.4979,0.001,1.3479,0.0206
highly_unlikely,469,1,470,2,942,0.4979,0.0011,1.3479,0.0227
highly_unusual,234,0,235,1,470,0.4979,0.0,1.3479,0.0
still_available,230,0,231,1,462,0.4978,0.0,1.3476,0.0
pretty_hard,228,0,229,1,458,0.4978,0.0,1.3476,0.0
very_dangerous,219,0,220,1,440,0.4977,0.0,1.3474,0.0
relatively_low,214,0,215,1,430,0.4977,0.0,1.3474,0.0
still_young,219,0,220,1,440,0.4977,0.0,1.3474,0.0
pretty_close,210,0,211,1,422,0.4976,0.0,1.3471,0.0
very_nervous,210,0,211,1,422,0.4976,0.0,1.3471,0.0
too_low,816,3,817,4,1640,0.4976,0.0018,1.3471,0.0371
very_quiet,197,0,198,1,396,0.4975,0.0,1.3468,0.0
very_unlikely,201,0,202,1,404,0.4975,0.0,1.3468,0.0
also_interested,192,0,193,1,386,0.4974,0.0,1.3466,0.0
keenly_aware,191,0,192,1,384,0.4974,0.0,1.3466,0.0
pretty_sure,381,1,382,2,766,0.4974,0.0013,1.3466,0.0268
very_disappointing,186,0,187,1,374,0.4973,0.0,1.3463,0.0
