colloc,positive_raw,negative_raw,total,positive_ratio,negative_ratio,positive_skew,negative_skew
yet_available,1,186,187,0.0053,0.9947,0.0084,11.9356
yet_ready,1,176,177,0.0056,0.9944,0.0088,11.932
exactly_sure,1,126,127,0.0079,0.9921,0.0124,11.9044
even_sure,3,203,206,0.0146,0.9854,0.023,11.824
yet_clear,5,276,281,0.0178,0.9822,0.0281,11.7857
yet_sure,1,44,45,0.0222,0.9778,0.035,11.7329
immediately_available,62,2336,2398,0.0259,0.9741,0.0408,11.6885
yet_certain,1,31,32,0.0312,0.9688,0.0492,11.6249
exactly_new,1,26,27,0.037,0.963,0.0583,11.5553
too_sure,3,78,81,0.037,0.963,0.0583,11.5553
yet_able,1,25,26,0.0385,0.9615,0.0607,11.5373
yet_prepared,2,44,46,0.0435,0.9565,0.0686,11.4773
exactly_short,1,22,23,0.0435,0.9565,0.0686,11.4773
exactly_clear,1,20,21,0.0476,0.9524,0.075,11.4281
yet_possible,1,20,21,0.0476,0.9524,0.075,11.4281
really_sure,8,159,167,0.0479,0.9521,0.0755,11.4245
too_surprising,2,37,39,0.0513,0.9487,0.0808,11.3837
entirely_surprising,1,18,19,0.0526,0.9474,0.0829,11.3681
nearly_enough,5,88,93,0.0538,0.9462,0.0848,11.3537
too_shabby,2,34,36,0.0556,0.9444,0.0876,11.3321
that_surprised,1,17,18,0.0556,0.9444,0.0876,11.3321
yet_complete,3,50,53,0.0566,0.9434,0.0892,11.3201
yet_over,2,33,35,0.0571,0.9429,0.09,11.3141
that_complicated,2,33,35,0.0571,0.9429,0.09,11.3141
that_surprising,3,49,52,0.0577,0.9423,0.0909,11.3069
really_much,1,16,17,0.0588,0.9412,0.0927,11.2937
entirely_sure,3,47,50,0.06,0.94,0.0946,11.2793
yet_dead,2,31,33,0.0606,0.9394,0.0955,11.2721
altogether_clear,1,15,16,0.0625,0.9375,0.0985,11.2493
real_sure,2,29,31,0.0645,0.9355,0.1016,11.2253
that_unusual,5,72,77,0.0649,0.9351,0.1023,11.2205
even_clear,3,43,46,0.0652,0.9348,0.1027,11.2169
altogether_surprising,1,14,15,0.0667,0.9333,0.1051,11.1989
yet_convinced,3,42,45,0.0667,0.9333,0.1051,11.1989
exactly_true,2,28,30,0.0667,0.9333,0.1051,11.1989
all_rosy,1,14,15,0.0667,0.9333,0.1051,11.1989
immediately_clear,22,301,323,0.0681,0.9319,0.1073,11.1821
entirely_convinced,2,27,29,0.069,0.931,0.1087,11.1713
necessarily_enough,1,13,14,0.0714,0.9286,0.1125,11.1425
that_uncommon,1,13,14,0.0714,0.9286,0.1125,11.1425
far_wrong,1,13,14,0.0714,0.9286,0.1125,11.1425
that_familiar,1,13,14,0.0714,0.9286,0.1125,11.1425
that_fond,1,12,13,0.0769,0.9231,0.1212,11.0765
as_rosy,3,34,37,0.0811,0.9189,0.1278,11.0261
necessarily_bad,6,68,74,0.0811,0.9189,0.1278,11.0261
that_different,15,169,184,0.0815,0.9185,0.1284,11.0213
that_well-known,1,11,12,0.0833,0.9167,0.1313,10.9997
as_clear-cut,2,22,24,0.0833,0.9167,0.1313,10.9997
entirely_clear,10,106,116,0.0862,0.9138,0.1358,10.9649
yet_satisfied,2,20,22,0.0909,0.9091,0.1432,10.9085
yet_open,1,10,11,0.0909,0.9091,0.1432,10.9085
entirely_smooth,1,10,11,0.0909,0.9091,0.1432,10.9085
