key,f,dP1,LRC,P1,G2,l1,l2,f1,f2,N,exp_f,unexp_f,unexp_r,odds_r_disc,t,MI,dP2,P2,deltaP_max,deltaP_mean,dataset
[_direct_] necessarily~indicative,1389,0.59397876,7.460261,0.6005188,10827.283616,necessarily,indicative,42886,2313,6347362,15.6278022,1373.3721978,0.9887489,2.358515,36.849968,1.9488044,0.032241628,0.03238819,0.59397876,0.3131102,direct
[_direct_] necessarily~cause,52,0.38131124,5.073388,0.3880597,341.897289,necessarily,cause,42886,134,6347362,0.905372,51.094628,0.982589,1.971555,7.08555,1.7591763,0.0011995103,0.0012125169,0.38131124,0.19125538,direct
[_direct_] necessarily~representative,488,0.18394268,4.7114086,0.190625,2416.53658,necessarily,representative,42886,2560,6347362,17.2966596,470.7033404,0.96455604,1.5445259,21.30774,1.4504576,0.011050349,0.011379004,0.18394268,0.09749652,direct
[_direct_] necessarily~synonymous,165,0.16824198,4.258352,0.17497349,785.722034,necessarily,synonymous,42886,943,6347362,6.3713867,158.6286133,0.96138555,1.4964883,12.349221,1.41325,0.003724005,0.0038474095,0.16824198,0.08598299,direct
[_direct_] necessarily~incompatible,101,0.19013995,4.245321,0.19688109,506.308662,necessarily,incompatible,42886,513,6347362,3.4660884,97.5339116,0.96568227,1.5593661,9.704987,1.4644817,0.0022897306,0.0023550808,0.19013995,0.09621484,direct
[_direct_] necessarily~reflective,181,0.1444821,4.04846,0.15121137,806.500831,necessarily,reflective,42886,1197,6347362,8.0875397,172.9124603,0.95531744,1.4208645,12.852482,1.3498621,0.004059336,0.0042204917,0.1444821,0.07427072,direct
[_direct_] necessarily~predictive,57,0.1838876,3.849272,0.19063546,281.727093,necessarily,predictive,42886,299,6347362,2.0201958,54.9798042,0.96455795,1.5428455,7.282253,1.4504814,0.0012907196,0.0013291051,0.1838876,0.09258916,direct
[_direct_] necessarily~true,3245,0.086521916,3.7658389,0.09280179,11473.440322,necessarily,true,42886,34967,6347362,236.2548035,3008.7451965,0.9271942,1.2092224,52.817528,1.1378341,0.07063405,0.07566572,0.086521916,0.07857799,direct
[_mirror_] necessarily~wrong,214,0.023805583,3.3772435,0.02515871,802.778428,necessarily,wrong,992,8506,583470,14.46167278289795,199.538330078125,0.9324221,1.2805362,13.64016,1.1701952,0.20149007,0.21572581,0.20149007,0.11264783,mirror
[_direct_] necessarily~permanent,151,0.0947442,3.3404233,0.101478495,550.685713,necessarily,permanent,42886,1488,6347362,10.0536834,140.9463166,0.9334193,1.2228869,11.470049,1.1766517,0.003308891,0.0035209625,0.0947442,0.049026545,direct
