key,f,dP1,LRC,P1,G2,l1,l2,f1,f2,N,exp_f,unexp_f,unexp_r,dP2,P2,deltaP_max,deltaP_mean,odds_r_disc,t,MI,dataset
[_direct_] necessarily~indicative,1389,0.5924203,7.450477,0.59896505,10814.408714,necessarily,indicative,42916,2319,6347362,15.679301,1373.3206983,0.98871183,0.032218035,0.032365553,0.5924203,0.31231916,2.3553894,36.848587,1.9473755,direct
[_direct_] necessarily~cause,52,0.40594524,5.1987815,0.41269842,349.894585,necessarily,cause,42916,126,6347362,0.8519155,51.1480845,0.983617,0.0011999316,0.0012116693,0.40594524,0.20357259,2.015547,7.092963,1.7856069,direct
[_direct_] necessarily~representative,487,0.18362151,4.7070427,0.19030872,2409.171302,necessarily,representative,42916,2559,6347362,17.301998,469.6980021,0.9644723,0.011019092,0.011347749,0.18362151,0.0973203,1.5433164,21.284048,1.4494327,direct
[_direct_] necessarily~synonymous,165,0.16371828,4.213226,0.17045455,776.35707,necessarily,synonymous,42916,968,6347362,6.5448747,158.4551255,0.9603341,0.0037173494,0.0038447198,0.16371828,0.083717816,1.4824524,12.335714,1.4015826,direct
[_direct_] necessarily~incompatible,101,0.18029115,4.157029,0.18703704,495.032264,necessarily,incompatible,42916,540,6347362,3.6510663,97.3489336,0.96385086,0.0022838013,0.0023534347,0.18029115,0.09128747,1.5315229,9.686581,1.4419017,direct
[_direct_] necessarily~reflective,181,0.14297651,4.0309324,0.1497105,802.505582,necessarily,reflective,42916,1209,6347362,8.174332,172.825668,0.9548379,0.0040544816,0.0042175413,0.14297651,0.07351549,1.4154596,12.846031,1.3452263,direct
[_direct_] necessarily~true,3242,0.08595851,3.7551975,0.09224378,11419.843589,necessarily,true,42916,35146,6347362,237.63033,3004.3696685,0.92670256,0.070482366,0.07554292,0.08595851,0.078220434,1.2059602,52.76511,1.1349112,direct
[_direct_] necessarily~predictive,57,0.16597466,3.6840785,0.17272727,269.659551,necessarily,predictive,42916,330,6347362,2.2312071,54.7687928,0.960856,0.0012848732,0.001328176,0.16597466,0.08362977,1.4902916,7.254304,1.4073349,direct
[_direct_] necessarily~permanent,151,0.0969698,3.3735733,0.10370879,556.981343,necessarily,permanent,42916,1456,6347362,9.844357,141.1556432,0.9348056,0.0033115044,0.0035185013,0.0969698,0.050140653,1.2330992,11.487083,1.1857896,direct
[_mirror_] necessarily~wrong,211,0.023387698,3.3472998,0.02474783,783.75341796875,necessarily,wrong,993,8526,583470,14.510288,196.48971557617188,0.93123084,0.19821218,0.21248741,0.19821218,0.11079993,1.2709725,13.52691,1.1626064,mirror
