          l1  l2                    f      E11  r.log.likelihood  r.odds.ratio.disc  r.p1.given2  r.p2.given1  r.p1.given2.simple  r.p2.given1.simple  am.log.likelihood  am.odds.ratio.disc  am.p1.given2  am.p2.given1  am.p1.given2.simple  am.p2.given1.simple      f1     f2       N  
------------  ----------------  -----  -------  ----------------  -----------------  -----------  -----------  ------------------  ------------------  -----------------  ------------------  ------------  ------------  -------------------  -------------------  ------  -----  ------  
        slam  dunk                 34     0.00               140                  1            1            1                   1                   1             731.02                7.91         1.000         1.000                1.000                1.000      34     34  583470  
        fait  accompli              9     0.00               498                  2            1            1                   1                   1             217.43                7.35         1.000         1.000                1.000                1.000       9      9  583470  
       nerve  wracking              5     0.00               853                  3            1            1                   1                   1             126.67                7.11         1.000         1.000                1.000                1.000       5      5  583470  
     heavily  indebted              5     0.00              1230                 12            4          851                   1                 921              84.69                4.73         1.000         0.040                1.000                0.040     125      5  583470  
      freely  assignable            5     0.00              1239                 14            5          890                   1                 966              84.05                4.70         1.000         0.038                1.000                0.038     133      5  583470  
   instantly  bookable             10     0.00               634                 10            6          586                   1                 605             167.58                4.98         1.000         0.072                1.000                0.072     139     10  583470  
      before  have                 11     0.01               633                 15            7          881                   1                 954             167.85                4.68         1.000         0.038                1.000                0.038     289     11  583470  
   otherwise  product-specific     14     0.04               632                 31            8         2018                   1                2355             167.87                4.07         0.998         0.010                1.000                0.010    1460     14  583470  
        just  chillin               5     0.06              2139                155            9         5288                   1                7375              44.89                2.99         0.989         0.001                1.000                0.001    6559      5  583470  
        even  hourly                9     0.23              1537                183           10         5582                   1                7877              65.93                2.86         0.974         0.001                1.000                0.001   14978      9  583470  
        even  yearly                9     0.23              1537                183           10         5582                   1                7877              65.93                2.86         0.974         0.001                1.000                0.001   14978      9  583470  
        even  triple               24     0.64               635                207           12         4291                  26                5657             167.49                2.79         0.934         0.002                0.960                0.002   14978     25  583470  
   extremely  luxe                 13     0.09               872                121           13         3284                  28                4188             123.25                3.13         0.922         0.003                0.929                0.003    3871     14  583470  
          so  honored               5     0.40              3314                569           14         7594                   1               11609              25.18                2.10         0.919         0.000                1.000                0.000   47033      5  583470  
  previously  unreleased           21     0.01               377                 24           15          587                  31                 607             307.16                4.27         0.913         0.072                0.913                0.072     292     23  583470  
    strictly  bluegrass            10     0.01               727                 26           16          891                  32                 973             147.47                4.20         0.909         0.037                0.909                0.037     267     11  583470  
     morally  licit                 9     0.01               901                 40           17         1528                  33                1723             118.47                3.82         0.899         0.016                0.900                0.016     568     10  583470  
        just  hearsay               9     0.11              1392                224           18         4473                  33                6011              74.32                2.75         0.889         0.001                0.900                0.001    6559     10  583470  
         too  late              11389  1376.74                 1                165           19          300                  23                 305           48858.34                2.95         0.888         0.163                0.990                0.163   69845  11501  583470  
         too  early              5208   631.33                 3                205           20          578                  24                 597           21768.13                2.79         0.876         0.074                0.987                0.075   69845   5274  583470  
       above  reproach              6     0.00               994                 11           21          388                  38                 404             107.13                4.74         0.857         0.118                0.857                0.118      51      7  583470  
        even  fifth                15     0.44              1080                393           22         4911                  36                6743              97.68                2.37         0.857         0.001                0.882                0.001   14978     17  583470  
    slightly  wavy                 12     0.04               844                100           23         2417                  38                2882             127.61                3.22         0.854         0.007                0.857                0.007    1781     14  583470  
        much  thereof              19     0.25               706                250           24         3559                  37                4574             152.03                2.68         0.852         0.003                0.864                0.003    6754     22  583470  
        much  calmer                6     0.08              2033                296           25         5089                  38                7043              47.79                2.57         0.846         0.001                0.857                0.001    6754      7  583470  
  reasonably  ascertainable         5     0.00              1395                 34           26         1192                  48                1316              74.20                4.03         0.833         0.024                0.833                0.024     206      6  583470  
        even  full-time             6     0.18              2439                482           27         6127                  38                8810              38.26                2.22         0.831         0.000                0.857                0.000   14978      7  583470  
   otherwise  unenforceable        20     0.06               496                 93           28         1676                  48                1900             218.29                3.26         0.831         0.014                0.833                0.014    1460     24  583470  
        just  kidding               5     0.07              2378                329           29         5290                  48                7375              39.50                2.51         0.822         0.001                0.833                0.001    6559      6  583470  
        even  odder                 5     0.15              2851                522           30         6338                  48                9212              31.27                2.14         0.808         0.000                0.833                0.000   14978      6  583470  
        even  seventh               5     0.15              2851                522           30         6338                  48                9212              31.27                2.14         0.808         0.000                0.833                0.000   14978      6  583470  
        even  sixth                 5     0.15              2851                522           30         6338                  48                9212              31.27                2.14         0.808         0.000                0.833                0.000   14978      6  583470  
        well  intentioned          12     0.02               768                 75           33         1675                  71                1898             141.22                3.38         0.799         0.014                0.800                0.014     875     15  583470  
       early  next                 31     0.00               179                  7           34           29                  78                  30             596.36                5.46         0.795         0.816                0.795                0.816      38     39  583470  
        more  bloodshed            12     2.51              2470                684           35         7685                   1               11900              37.59                1.98         0.791         0.000                1.000                0.000  121848     12  583470  
        more  demotivating          8     1.67              3323                891           36         8152                   1               12327              25.06                1.81         0.791         0.000                1.000                0.000  121848      8  583470  
        more  hatred                6     1.25              3919               1042           37         8443                   1               12513              18.79                1.69         0.791         0.000                1.000                0.000  121848      6  583470  
        more  whining               6     1.25              3919               1042           37         8443                   1               12513              18.79                1.69         0.791         0.000                1.000                0.000  121848      6  583470  
        more  deaths                6     1.25              3919               1042           37         8443                   1               12513              18.79                1.69         0.791         0.000                1.000                0.000  121848      6  583470  
        more  nurturing             5     1.04              4292               1149           40         8608                   1               12646              15.66                1.62         0.791         0.000                1.000                0.000  121848      5  583470  
        more  aging                 5     1.04              4292               1149           40         8608                   1               12646              15.66                1.62         0.791         0.000                1.000                0.000  121848      5  583470  
        more  itching               5     1.04              4292               1149           40         8608                   1               12646              15.66                1.62         0.791         0.000                1.000                0.000  121848      5  583470  
        more  drama                 5     1.04              4292               1149           40         8608                   1               12646              15.66                1.62         0.791         0.000                1.000                0.000  121848      5  583470  
        more  unalike               5     1.04              4292               1149           40         8608                   1               12646              15.66                1.62         0.791         0.000                1.000                0.000  121848      5  583470  
         now  defunct              15     0.04               652                105           45         1862                  81                2117             163.49                3.19         0.787         0.011                0.789                0.011    1315     19  583470  
        even  daily                30     0.95               582                492           46         4001                  69                5249             184.27                2.19         0.785         0.002                0.811                0.002   14978     37  583470  
        very  least                18     1.65              1386                908           47         6170                  38                8877              74.81                1.79         0.779         0.000                0.857                0.000   45886     21  583470  
        even  crazier              16     0.51              1085                521           48         4833                  71                6593              97.41                2.14         0.774         0.001                0.800                0.001   14978     20  583470  
        even  tertiary             12     0.39              1413                537           49         5226                  71                7215              73.05                2.13         0.774         0.001                0.800                0.001   14978     15  583470  
       still  unconvinced           7     0.05              1566                219           50         3821                  87                4989              64.21                2.76         0.773         0.002                0.778                0.002    3016      9  583470  
