         l1  l2                     f      E11  r.log.likelihood  r.odds.ratio.disc  r.p1.given2  r.p2.given1  r.p1.given2.simple  r.p2.given1.simple  am.log.likelihood  am.odds.ratio.disc  am.p1.given2  am.p2.given1  am.p1.given2.simple  am.p2.given1.simple      f1     f2        N  
     easily  reachable             40     0.15               868                479          417         3170                 686                3579             393.28                2.73         0.474         0.014                0.476                0.014    2905     84  1680633  
       very  meta                  28     5.25              4232               5864          418        16122                 380               23450              63.33                1.05         0.474         0.000                0.583                0.000  183918     48  1680633  
       very  matter                 7     1.31             10555               5919          419        19018                 380               28828              15.83                1.05         0.474         0.000                0.583                0.000  183918     12  1680633  
       very  gentlemanly            7     1.31             10555               5919          419        19018                 380               28828              15.83                1.05         0.474         0.000                0.583                0.000  183918     12  1680633  
   directly  proportional          56     0.11               559                305          421         1725                 694                1867             618.78                3.00         0.474         0.035                0.475                0.035    1589    118  1680633  
   directly  proportionate          9     0.02              2918                308          422         5313                 696                6345              99.13                2.98         0.473         0.006                0.474                0.006    1589     19  1680633  
       even  rarer                 39     2.80              1964               3534          423        11969                 565               16747             154.53                1.43         0.470         0.001                0.506                0.001   61179     77  1680633  
       much  nicer                 75     2.20               805               2071          424         6928                 667                8581             426.21                1.82         0.470         0.003                0.484                0.003   23827    155  1680633  
       very  collegial             11     2.08              8434               5958          425        18243                 394               27178              24.66                1.04         0.470         0.000                0.579                0.000  183918     19  1680633  
       very  goal-oriented         11     2.08              8434               5958          425        18243                 394               27178              24.66                1.04         0.470         0.000                0.579                0.000  183918     19  1680633  
         so  infatuated             6     0.85             10389               5173          427        18623                 460               28072              16.41                1.15         0.468         0.000                0.545                0.000  129421     11  1680633  
         as  innocuous            318    38.20               364               4704          428         7235                 502                8840             960.57                1.22         0.468         0.003                0.532                0.003  107371    598  1680633  
       more  streamlined           37     9.86              4255               6923          429        16615                 284               24173              63.01                0.93         0.468         0.000                0.638                0.000  285773     58  1680633  
       much  softer                25     0.74              2119               2088          430        10227                 674               13954             141.59                1.81         0.467         0.001                0.481                0.001   23827     52  1680633  
       more  lamentable            14     3.74              8606               7004          431        18618                 285               27783              23.75                0.92         0.466         0.000                0.636                0.000  285773     22  1680633  
       more  shattering            14     3.74              8606               7004          431        18618                 285               27783              23.75                0.92         0.466         0.000                0.636                0.000  285773     22  1680633  
     almost  imperceptible         23     0.15              1606                770          433         6022                 728                7368             197.39                2.45         0.466         0.004                0.469                0.004    5306     49  1680633  
       much  friendlier            11     0.33              4314               2097          434        12911                 681               18376              62.14                1.81         0.464         0.000                0.478                0.000   23827     23  1680633  
       more  acute                199    53.39              1010               6958          435        11970                 292               16266             335.55                0.93         0.464         0.001                0.634                0.001  285773    314  1680633  
  otherwise  ineligible            29     0.25              1390                924          436         6026                 735                7374             235.18                2.34         0.464         0.004                0.468                0.004    6695     62  1680633  
       even  weirder               44     3.20              1768               3590          437        11563                 572               16118             172.85                1.42         0.464         0.001                0.500                0.001   61179     88  1680633  
       even  military              25     1.82              2943               3593          438        13353                 572               18957              98.20                1.42         0.464         0.000                0.500                0.000   61179     50  1680633  
       even  occasional            21     1.53              3415               3594          439        13851                 572               19888              82.49                1.42         0.464         0.000                0.500                0.000   61179     42  1680633  
       even  barefoot              14     1.02              4764               3596          440        14938                 572               21646              54.99                1.42         0.464         0.000                0.500                0.000   61179     28  1680633  
       even  creepier              14     1.02              4764               3596          440        14938                 572               21646              54.99                1.42         0.464         0.000                0.500                0.000   61179     28  1680633  
       even  multilingual           9     0.66              6680               3599          442        16065                 572               23614              35.35                1.42         0.464         0.000                0.500                0.000   61179     18  1680633  
       even  atheistic              9     0.66              6680               3599          442        16065                 572               23614              35.35                1.42         0.464         0.000                0.500                0.000   61179     18  1680633  
       even  angrier                5     0.36              9527               3601          444        17459                 572               26026              19.64                1.42         0.464         0.000                0.500                0.000   61179     10  1680633  
       more  inviting              76    20.40              2329               6975          445        14778                 293               21014             128.00                0.92         0.463         0.000                0.633                0.000  285773    120  1680633  
       more  infuriating          156    42.00              1246               6990          446        12741                 294               17503             261.65                0.92         0.462         0.000                0.632                0.001  285773    247  1680633  
       more  piquant               12     3.23              9397               7107          447        18896                 294               28490              20.12                0.91         0.462         0.000                0.632                0.000  285773     19  1680633  
         so  hellbent               7     1.00              9719               5246          448        18400                 482               27557              18.91                1.14         0.461         0.000                0.538                0.000  129421     13  1680633  
     second  largest               12     0.00              1690                 65          449         1060                 763                1093             186.20                3.97         0.461         0.072                0.462                0.072     167     26  1680633  
     deeply  ingrained             13     0.08              2613                742          450         7401                 756                9314             113.02                2.47         0.461         0.003                0.464                0.003    4939     28  1680633  
        yet  unborn                 6     0.01              3710                198          451         4644                 763                5425              73.76                3.26         0.461         0.007                0.462                0.007     810     13  1680633  
        all  right               2562    19.19                 7                559          452          171                 759                 172           22729.99                2.64         0.461         0.438                0.463                0.440    5828   5535  1680633  
       more  potent               461   124.47               451               7020          453         9201                 299               11476             770.15                0.92         0.460         0.001                0.630                0.002  285773    732  1680633  
       more  meaningful          1292   349.09               148               7011          454         6242                 301                7171            2158.42                0.92         0.460         0.004                0.629                0.005  285773   2053  1680633  
       more  cogent                17     4.59              7748               7106          455        18318                 300               27228              28.37                0.91         0.460         0.000                0.630                0.000  285773     27  1680633  
      still  afloat                 7     0.12              5363               1494          456        12530                 742               17809              47.05                2.04         0.459         0.001                0.467                0.001   13401     15  1680633  
       more  subdued               88    23.81              2047               7055          457        14389                 302               20331             146.51                0.92         0.459         0.000                0.629                0.000  285773    140  1680633  
   slightly  off-kilter            31     0.31              1344               1028          458         6211                 761                7620             242.20                2.28         0.458         0.004                0.463                0.004    7658     67  1680633  
       more  frightful             27     7.31              5590               7105          459        17346                 304               25434              44.87                0.91         0.458         0.000                0.628                0.000  285773     43  1680633  
  otherwise  at-risk               12     0.10              2988                936          460         8489                 763               10903              96.86                2.33         0.458         0.002                0.462                0.002    6695     26  1680633  
