key,l1,l2,f,E11,am_log_likelihood,am_odds_ratio_disc,am_p1_given2,am_p2_given1,am_p1_given2_simple,am_p2_given1_simple,f1,f2,N,Fyy(O11),Fyn(O12),Fny(O21),Fnn(O22),Fy_(R1),Fn_(R2),F_y(C1),F_n(C2),E12,E21,E22,t_score,dice,liddell,mutual_information,deltaP_min,deltaP_max,deltaP_max_abs,deltaP_product,unexpected_f,unexpected_ratio,expected_sqrt,unexpected_abs_sqrt,conservative_log_ratio,conservative_log_ratio_001,conservative_log_ratio_01,conservative_log_ratio_05,conservative_log_ratio_nc,conservative_log_ratio_dv,f_sqrt,f1_sqrt,f2_sqrt,adv,adj,adv_total,adj_total
NEG~ever_simple,NEGMIR,ever_simple,208,30.089487,804.404616,3.3922298,0.85542655,0.00070757204,1.0,0.00070757204,293963,208,2032082,208.0,293755.0,0.0,1738119.0,293963.0,1738119.0,208.0,2031874.0,293932.910513454,177.910513454,1737941.089486546,12.335875,0.001414143,0.85542655,0.83964854,0.00070757204,0.85542655,0.85542655,0.0006052759,177.9105,0.855339,5.4853883,13.33831,0.4270043,0.0,0.6882295,1.3194112,5.5302544,1.5327768,14.422205101855956,542.1835482564921,14.422205101855956,ever,simple,5179.0,27835.0
NEG~ever_enough,NEGMIR,ever_enough,147,21.265165,568.47139,3.2418256,0.85540086,0.00050006295,1.0,0.00050006295,293963,147,2032082,147.0,293816.0,0.0,1738119.0,293963.0,1738119.0,147.0,2031935.0,293941.734834027,125.734834027,1737993.265165972,10.370435,0.000999626,0.85540086,0.83964854,0.00050006295,0.85540086,0.85540086,0.00042775428,125.73483,0.855339,4.611417,11.213155,0.0,0.0,0.18220119,0.81369686,5.0266347,1.0271686,12.12435565298214,542.1835482564921,12.12435565298214,ever,enough,5179.0,10256.0
NEG~ever_certain,NEGMIR,ever_certain,143,20.686522,553.001116,3.2298794,0.8553992,0.00048645577,1.0,0.00048645577,293963,143,2032082,143.0,293820.0,0.0,1738119.0,293963.0,1738119.0,143.0,2031939.0,293942.313477999,122.313477999,1737996.686522001,10.228367,0.000972439,0.8553992,0.83964854,0.00048645577,0.8553992,0.8553992,0.00041611388,122.31348,0.855339,4.548244,11.059543,0.0,0.0,0.14189853,0.77342415,4.986562,0.98690605,11.958260743101398,542.1835482564921,11.958260743101398,ever,certain,5179.0,2125.0
NEG~ever_perfect,NEGMIR,ever_perfect,207,30.089487,788.178734,2.9130187,0.85061836,0.00070359494,0.9951923,0.00070417026,293963,208,2032082,207.0,293756.0,1.0,1738118.0,293963.0,1738119.0,208.0,2031874.0,293932.910513454,177.910513454,1737941.089486546,12.296131,0.001407345,0.85061836,0.8375556,0.00070359494,0.85061836,0.85061836,0.00059849076,176.9105,0.8546402,5.4853883,13.300771,2.5849464,2.170894,2.7698836,3.216736,6.1978517,3.367791,14.38749456993816,542.1835482564921,14.422205101855956,ever,perfect,5179.0,4239.0
NEG~ever_easy,NEGMIR,ever_easy,368,53.524567,1399.10256,2.9408271,0.85008836,0.0012507075,0.9945946,0.0012518582,293963,370,2032082,368.0,293595.0,2.0,1738117.0,293963.0,1738119.0,370.0,2031712.0,293909.475432586,316.475432586,1737802.524567414,16.393166,0.002500569,0.85008836,0.83729464,0.0012507075,0.85008836,0.85008836,0.0010632119,314.47543,0.8545528,7.3160486,17.733456,4.6605844,4.3677177,4.791394,5.107461,7.216057,5.2143044,19.183326093250876,542.1835482564921,19.235384061671343,ever,easy,5179.0,21775.0
NEG~exactly_sure,NEGMIR,exactly_sure,148,21.554487,560.650176,2.7676399,0.84868985,0.0005028894,0.9932886,0.0005034647,293963,149,2032082,148.0,293815.0,1.0,1738118.0,293963.0,1738119.0,149.0,2031933.0,293941.445512041,127.445512041,1737991.554487958,10.393757,0.001006419,0.84868985,0.836724,0.0005028894,0.84868985,0.84868985,0.0004267971,126.44551,0.8543616,4.642681,11.2448,2.0935638,1.6791148,2.2786784,2.7259588,5.7099295,2.8771582,12.165525060596439,542.1835482564921,12.206555615733702,exactly,sure,1114.0,11297.0
NEG~entirely_sure,NEGMIR,entirely_sure,366,53.379906,1381.698939,2.7923324,0.8473628,0.0012433287,0.9918699,0.0012450546,293963,369,2032082,366.0,293597.0,3.0,1738116.0,293963.0,1738119.0,369.0,2031713.0,293909.620093579,315.620093579,1737803.379906421,16.340914,0.002486987,0.8473628,0.83610326,0.0012433287,0.8473628,0.8473628,0.0010535504,312.6201,0.8541533,7.306155,17.681067,5.057523,4.8180704,5.164475,5.422896,7.146917,5.510253,19.131126469708992,542.1835482564921,19.209372712298546,entirely,sure,11803.0,11297.0
NEG~truly_alone,NEGMIR,truly_alone,188,27.630249,697.109464,2.5033066,0.8397111,0.00063781027,0.9842932,0.00063953624,293963,191,2032082,188.0,293775.0,3.0,1738116.0,293963.0,1738119.0,191.0,2031891.0,293935.369750335,163.369750335,1737955.630249665,11.696166,0.001278242,0.8397111,0.83277303,0.00063781027,0.8397111,0.8397111,0.0005355764,160.36975,0.85303056,5.2564483,12.663718,4.079367,3.838995,4.18673,4.4461436,6.176788,4.5338364,13.711309200802088,542.1835482564921,13.820274961085254,truly,alone,14551.0,826.0
NEG~before_available,NEGMIR,before_available,177,26.038979,654.922651,2.4771774,0.8387466,0.0006003906,0.98333335,0.0006021166,293963,180,2032082,177.0,293786.0,3.0,1738116.0,293963.0,1738119.0,180.0,2031902.0,293936.961021258,153.961021258,1737965.038978742,11.346925,0.001203496,0.8387466,0.8323493,0.0006003906,0.8387466,0.8387466,0.0005035756,150.96101,0.85288715,5.1028404,12.286619,3.9902105,3.7497208,4.0976257,4.357166,6.0886545,4.4449015,13.30413469565007,542.1835482564921,13.416407864998739,before,available,294.0,14919.0
NEG~ever_good,NEGMIR,ever_good,300,44.266262,1103.089161,2.4371593,0.83585703,0.0010170846,0.98039216,0.0010205366,293963,306,2032082,300.0,293663.0,6.0,1738113.0,293963.0,1738119.0,306.0,2031776.0,293918.733736139,261.733736139,1737857.266263862,14.764794,0.002038951,0.83585703,0.83104837,0.0010170846,0.83585703,0.83585703,0.0008501373,255.73373,0.8524458,6.65329,15.991677,5.051925,4.8816195,5.1279926,5.3117895,6.537965,5.3739204,17.320508075688775,542.1835482564921,17.4928556845359,ever,good,5179.0,38252.0
NEG~really_sure,NEGMIR,really_sure,913,134.82405,3353.128541,2.4438064,0.83533585,0.0030949018,0.9796137,0.003105833,293963,932,2032082,913.0,293050.0,19.0,1738100.0,293963.0,1738119.0,932.0,2031150.0,293828.175954514,797.175954514,1737321.824045486,25.753864,0.006192034,0.83533585,0.83070344,0.0030949018,0.83533585,0.83533585,0.0025852823,778.17596,0.85232854,11.611376,27.895805,6.376325,6.2805862,6.4190874,6.5224104,7.2117176,6.557338,30.215889859476256,542.1835482564921,30.528675044947494,really,sure,64338.0,11297.0
NEG~quite_sure,NEGMIR,quite_sure,2969,439.0461,10890.595078,2.42604,0.8348396,0.010061938,0.9782537,0.01009991,293963,3035,2032082,2969.0,290994.0,66.0,1738053.0,293963.0,1738119.0,3035.0,2029047.0,293523.953886211,2595.953886211,1735523.046113788,46.430943,0.0199934,0.8348396,0.83010006,0.010061938,0.8348396,0.8348396,0.008400105,2529.9539,0.85212326,20.953426,50.29865,7.1027646,7.0513654,7.125722,7.181193,7.5512595,7.1999445,54.48853090330111,542.1835482564921,55.09083408335728,quite,sure,43799.0,11297.0
NEG~really_alone,NEGMIR,really_alone,195,28.9322,708.920824,2.3228571,0.83042073,0.00066047214,0.975,0.00066334876,293963,200,2032082,195.0,293768.0,5.0,1738114.0,293963.0,1738119.0,200.0,2031882.0,293934.067801398,171.067801398,1737947.932198602,11.892363,0.001325796,0.83042073,0.82865316,0.00066047214,0.83042073,0.83042073,0.0005484697,166.0678,0.85162973,5.3788657,12.886729,4.382717,4.195641,4.466275,4.668171,6.0150905,4.73642,13.96424004376894,542.1835482564921,14.142135623730951,really,alone,64338.0,826.0
NEG~quite_able,NEGMIR,quite_able,340,50.92067,1214.093445,2.2074928,0.8213904,0.0011497041,0.96590906,0.0011566081,293963,352,2032082,340.0,293623.0,12.0,1738107.0,293963.0,1738119.0,352.0,2031730.0,293912.07933046,301.07933046,1737817.92066954,15.677527,0.00231045,0.8213904,0.82458484,0.0011497041,0.8213904,0.8213904,0.0009443559,289.07935,0.8502333,7.135872,17.002333,5.140154,5.0188317,5.1943426,5.325276,6.198779,5.369537,18.439088914585774,542.1835482564921,18.76166303929372,quite,able,43799.0,8177.0
NEG~particularly_wrong,NEGMIR,particularly_wrong,212,31.825418,753.642383,2.1700375,0.819064,0.0007165765,0.96363634,0.0007211792,293963,220,2032082,212.0,293751.0,8.0,1738111.0,293963.0,1738119.0,220.0,2031862.0,293931.174581538,188.174581538,1737930.825418462,12.374441,0.00144128,0.819064,0.8235617,0.0007165765,0.819064,0.819064,0.00058692205,180.17458,0.8498801,5.6414022,13.422913,4.535132,4.386367,4.601578,4.7621284,5.8332157,4.816401,14.560219778561036,542.1835482564921,14.832396974191326,particularly,wrong,14954.0,24007.0
NEG~ever_wrong,NEGMIR,ever_wrong,102,15.334065,361.621556,2.1294472,0.8176458,0.0003446811,0.9622642,0.00034698244,293963,106,2032082,102.0,293861.0,4.0,1738115.0,293963.0,1738119.0,106.0,2031976.0,293947.665934741,90.665934741,1738028.334065259,8.581206,0.000693715,0.8176458,0.82294285,0.0003446811,0.8176458,0.8176458,0.00028182706,86.66593,0.849666,3.9158735,9.309454,3.3350034,3.124466,3.4290404,3.656256,5.1720934,3.7330642,10.099504938362077,542.1835482564921,10.295630140987,ever,wrong,5179.0,24007.0
NEG~entirely_clear,NEGMIR,entirely_clear,329,49.47406,1166.01008,2.159791,0.8174649,0.0011117092,0.96198833,0.0011191885,293963,342,2032082,329.0,293634.0,13.0,1738106.0,293963.0,1738119.0,342.0,2031740.0,293913.52594039,292.52594039,1737826.47405961,15.410764,0.002235776,0.8174649,0.82281834,0.0011117092,0.8174649,0.8174649,0.0009087832,279.52594,0.8496229,7.03378,16.719028,5.061032,4.9442315,5.1132007,5.239253,6.0801945,5.2818637,18.138357147217054,542.1835482564921,18.49324200890693,entirely,clear,11803.0,8639.0
NEG~too_sure,NEGMIR,too_sure,539,81.44414,1894.085202,2.1154027,0.8129355,0.0018197561,0.95737123,0.0018335641,293963,563,2032082,539.0,293424.0,24.0,1738095.0,293963.0,1738119.0,563.0,2031519.0,293881.555860935,481.555860935,1737637.444139065,19.708326,0.003660118,0.8129355,0.82072896,0.0018197561,0.8129355,0.8129355,0.0014793442,457.55585,0.8488977,9.024641,21.390556,5.45632,5.3701525,5.494807,5.5878005,6.2081943,5.619236,23.2163735324878,542.1835482564921,23.727621035409346,too,sure,189304.0,11297.0
NEG~particularly_remarkable,NEGMIR,particularly_remarkable,108,16.346693,378.247312,2.0670116,0.8111363,0.0003645165,0.9557522,0.0003673932,293963,113,2032082,108.0,293855.0,5.0,1738114.0,293963.0,1738119.0,113.0,2031969.0,293946.65330779,96.65330779,1738022.34669221,8.819344,0.000734504,0.8111363,0.81999385,0.0003645165,0.8111363,0.8111363,0.00029567257,91.653305,0.84864175,4.043104,9.573573,3.495542,3.3065915,3.579937,3.7838557,5.1442704,3.8527884,10.392304845413264,542.1835482564921,10.63014581273465,particularly,remarkable,14954.0,3471.0
NEG~too_impressed,NEGMIR,too_impressed,132,20.107878,457.163736,2.019134,0.80503434,0.00044500877,0.9496403,0.0004490361,293963,139,2032082,132.0,293831.0,7.0,1738112.0,293963.0,1738119.0,139.0,2031943.0,293942.892121971,118.892121971,1738000.107878029,9.738959,0.000897648,0.80503434,0.8172077,0.00044500877,0.80503434,0.80503434,0.00035824734,111.89212,0.8476676,4.484181,10.577908,3.8322775,3.6720726,3.9038332,4.076729,5.2301793,4.1351748,11.489125293076057,542.1835482564921,11.789826122551595,too,impressed,189304.0,2729.0
NEG~too_spectacular,NEGMIR,too_spectacular,112,17.069998,387.547369,2.0101893,0.80453825,0.0003775483,0.9491525,0.00038100034,293963,118,2032082,112.0,293851.0,6.0,1738113.0,293963.0,1738119.0,118.0,2031964.0,293945.930002825,100.930002825,1738018.069997175,8.970042,0.000761695,0.80453825,0.8169846,0.0003775483,0.80453825,0.80453825,0.00030375208,94.93,0.8475893,4.131585,9.743203,3.5789478,3.405862,3.656257,3.8430538,5.089245,3.906199,10.583005244258363,542.1835482564921,10.862780491200215,too,spectacular,189304.0,1584.0
