key,l1,l2,f,E11,am_log_likelihood,am_odds_ratio_disc,am_p1_given2,am_p2_given1,am_p1_given2_simple,am_p2_given1_simple,f1,f2,N,Fyy(O11),Fyn(O12),Fny(O21),Fnn(O22),Fy_(R1),Fn_(R2),F_y(C1),F_n(C2),E12,E21,E22,t_score,dice,liddell,mutual_information,deltaP_min,deltaP_max,deltaP_max_abs,deltaP_product,unexpected_f,unexpected_ratio,expected_sqrt,unexpected_abs_sqrt,conservative_log_ratio,conservative_log_ratio_001,conservative_log_ratio_01,conservative_log_ratio_05,conservative_log_ratio_nc,conservative_log_ratio_dv,f_sqrt,f1_sqrt,f2_sqrt,adv,adj,adv_total,adj_total
POS~pretty_good,POSMIR,pretty_good,2265,1947.5912,604.84939,1.4870406,0.13955416,0.0012623238,0.99472994,0.0013031433,1738105,2277,2032082,2265.0,1735840.0,12.0,293965.0,1738105.0,293977.0,2277.0,2029805.0,1736157.408768445,329.408768445,293647.591231555,6.66937,0.002602877,0.13955416,0.0655704,0.0012623238,0.13955416,0.13955416,0.00017616255,317.40878,0.14013632,44.131523,17.81597,2.7813065,2.6617546,2.8347044,2.9637268,3.824482,3.1592982,47.59201613716318,1318.3721022533812,47.7179211617606,pretty,good,26919,38252.0
POS~not_willing,POSMIR,not_willing,897,771.5096,237.812,1.4411266,0.13918643,0.0004990712,0.99445677,0.0005160793,1738105,902,2032082,897.0,1737208.0,5.0,293972.0,1738105.0,293977.0,902.0,2031180.0,1737333.490430012,130.490430012,293846.509569988,4.1900034,0.001031623,0.13918643,0.06545112,0.0004990712,0.13918643,0.13918643,6.946394e-05,125.49043,0.13990015,27.776062,11.202251,1.4908704,1.3056334,1.5736067,1.7735176,3.1071954,2.0765412,29.949958263743873,1318.3721022533812,30.033314835362415,not,willing,73492,5181.0
POS~very_personal,POSMIR,very_personal,885,761.2456,234.19422,1.4352776,0.13911083,0.0004921671,0.994382,0.00050917524,1738105,890,2032082,885.0,1737220.0,5.0,293972.0,1738105.0,293977.0,890.0,2031192.0,1737343.754415422,128.754415422,293848.245584578,4.1599593,0.001017829,0.13911083,0.06541848,0.0004921671,0.13911083,0.13911083,6.846577e-05,123.75442,0.13983549,27.59068,11.124496,1.4713109,1.286067,1.5540503,1.7539686,3.0876966,2.0570037,29.748949561287034,1318.3721022533812,29.832867780352597,very,personal,200923,4730.0
POS~just_fine,POSMIR,just_fine,1728,1486.5673,455.85117,1.4451352,0.13903305,0.0009601699,0.99424624,0.0009941861,1738105,1738,2032082,1728.0,1736377.0,10.0,293967.0,1738105.0,293977.0,1738.0,2030344.0,1736618.43277978,251.43277978,293725.56722022,5.80797,0.001986386,0.13903305,0.06535918,0.0009601699,0.13903305,0.13903305,0.00013349536,241.43279,0.13971804,38.556026,15.538107,2.441895,2.3109002,2.5004041,2.6417758,3.584919,2.8560665,41.569219381653056,1318.3721022533812,41.689327171351664,just,fine,32387,3578.0
POS~very_supportive,POSMIR,very_supportive,1200,1032.3859,316.15616,1.4328284,0.13895091,0.0006665957,0.99420047,0.00069040706,1738105,1207,2032082,1200.0,1736905.0,7.0,293970.0,1738105.0,293977.0,1207.0,2030875.0,1737072.614134174,174.614134174,293802.385865826,4.8386035,0.001379856,0.13895091,0.06533919,0.0006665957,0.13895091,0.13895091,9.262408e-05,167.61414,0.13967845,32.13076,12.946588,1.9564321,1.7998588,2.026366,2.1953425,3.3226469,2.451476,34.64101615137755,1318.3721022533812,34.741905532080416,very,supportive,200923,3409.0
POS~n't_interested,POSMIR,n't_interested,504,433.65338,132.37353,1.3871526,0.13878535,0.0002797661,0.99408287,0.00028997098,1738105,507,2032082,504.0,1737601.0,3.0,293974.0,1738105.0,293977.0,507.0,2031575.0,1737671.346616426,73.346616426,293903.653383574,3.1334875,0.000579773,0.13878535,0.0652878,0.0002797661,0.13878535,0.13878535,3.8827435e-05,70.34662,0.13957661,20.824347,8.387289,0.396484,0.15729828,0.50331676,0.76145005,2.4835513,1.152727,22.44994432064365,1318.3721022533812,22.516660498395403,n't,interested,26040,10913.0
POS~quite_similar,POSMIR,quite_similar,502,431.94272,131.7721,1.385427,0.13876177,0.0002786154,0.9940594,0.0002888203,1738105,505,2032082,502.0,1737603.0,3.0,293974.0,1738105.0,293977.0,505.0,2031577.0,1737673.057280661,73.057280661,293903.942719339,3.1268094,0.000577473,0.13876177,0.06527756,0.0002786154,0.13876177,0.13876177,3.866117e-05,70.05728,0.13955633,20.783232,8.370023,0.39069536,0.15150684,0.49752945,0.7556657,2.4777873,1.1469473,22.40535650240808,1318.3721022533812,22.47220505424423,quite,similar,43799,7887.0
POS~not_able,POSMIR,not_able,2745,2363.2827,710.98097,1.4003475,0.13834132,0.0015180769,0.99348533,0.0015793062,1738105,2763,2032082,2745.0,1735360.0,18.0,293959.0,1738105.0,293977.0,2763.0,2029319.0,1735741.717359339,399.717359339,293577.282640661,7.285691,0.003153599,0.13834132,0.065026686,0.0015180769,0.13834132,0.13834132,0.00021001277,381.71735,0.13905914,48.613605,19.537588,2.8790405,2.7813668,2.9226665,3.0280776,3.731313,3.187859,52.392747589718944,1318.3721022533812,52.5642464038057,not,able,73492,8177.0
POS~not_familiar,POSMIR,not_familiar,616,530.3059,159.69322,1.3651066,0.13825846,0.0003408025,0.9935484,0.00035440896,1738105,620,2032082,616.0,1737489.0,4.0,293973.0,1738105.0,293977.0,620.0,2031462.0,1737574.694087148,89.694087148,293887.305912852,3.4527133,0.000708565,0.13825846,0.065054245,0.0003408025,0.13825846,0.13825846,4.7118825e-05,85.694084,0.13911378,23.028372,9.25711,0.86371636,0.6565202,0.956261,1.1798706,2.671652,1.518817,24.819347291981714,1318.3721022533812,24.899799195977465,not,familiar,73492,14387.0
POS~equally_important,POSMIR,equally_important,1054,907.5074,272.31083,1.3764764,0.13814247,0.0005825962,0.9934024,0.0006064075,1738105,1061,2032082,1054.0,1737051.0,7.0,293970.0,1738105.0,293977.0,1061.0,2031021.0,1737197.492623329,153.492623329,293823.507376671,4.512274,0.001212075,0.13814247,0.064990446,0.0005825962,0.13814247,0.13814247,8.048127e-05,146.49263,0.1389873,30.124863,12.103414,1.7681074,1.6114713,1.8380693,2.0071137,3.1348708,2.2633502,32.46536616149585,1318.3721022533812,32.57299494980466,equally,important,8814,48905.0
POS~very_different,POSMIR,very_different,6824,5880.408,1731.64817,1.3521347,0.13771562,0.003752632,0.99258184,0.003926115,1738105,6875,2032082,6824.0,1731281.0,51.0,293926.0,1738105.0,293977.0,6875.0,2025207.0,1732224.591692166,994.591692166,292982.408307834,11.42259,0.007821293,0.13771562,0.06463154,0.003752632,0.13771562,0.13771562,0.0005167961,943.5917,0.13827546,76.68382,30.717937,3.4245853,3.3665361,3.4505134,3.5131612,3.9311082,3.6081226,82.60750571225353,1318.3721022533812,82.915619758885,very,different,200923,40266.0
POS~pretty_cool,POSMIR,pretty_cool,705,607.2858,180.18243,1.336541,0.13767374,0.000388606,0.9929578,0.00040561415,1738105,710,2032082,705.0,1737400.0,5.0,293972.0,1738105.0,293977.0,710.0,2031372.0,1737497.714196573,102.714196573,293874.285803427,3.6801295,0.000810897,0.13767374,0.064795986,0.000388606,0.13767374,0.13767374,5.3500837e-05,97.714195,0.13860169,24.64317,9.885049,1.1407957,0.955419,1.2235945,1.4236561,2.7583404,1.7269084,26.551836094703507,1318.3721022533812,26.645825188948457,pretty,cool,26919,5674.0
POS~very_small,POSMIR,very_small,1388,1195.7543,353.87367,1.3499267,0.13760948,0.0007645546,0.9928469,0.00079857087,1738105,1398,2032082,1388.0,1736717.0,10.0,293967.0,1738105.0,293977.0,1398.0,2030684.0,1736909.245699731,202.245699731,293774.754300269,5.160145,0.001595858,0.13760948,0.06474751,0.0007645546,0.13760948,0.13760948,0.00010520996,192.2457,0.13850555,34.57968,13.86527,2.1240892,1.9930022,2.1826396,2.324111,3.2679186,2.5385525,37.255872020394314,1318.3721022533812,37.389838191679836,very,small,200923,15065.0
POS~far_worse,POSMIR,far_worse,1061,914.35004,268.35329,1.3249924,0.13725646,0.0005832219,0.9925164,0.0006104349,1738105,1069,2032082,1061.0,1737044.0,8.0,293969.0,1738105.0,293977.0,1069.0,2031013.0,1737190.649966389,154.649966389,293822.350033611,4.502195,0.001220119,0.13725646,0.0646029,0.0005832219,0.13725646,0.13725646,8.005097e-05,146.64996,0.13821863,30.238222,12.109912,1.7712629,1.624678,1.8367354,1.9949322,3.0503209,2.234726,32.57299494980466,1318.3721022533812,32.69556544854363,far,worse,6362,11295.0
POS~very_beautiful,POSMIR,very_beautiful,664,572.21716,167.96117,1.3105288,0.13723922,0.0003650171,0.9925262,0.00038202526,1738105,669,2032082,664.0,1737441.0,5.0,293972.0,1738105.0,293977.0,669.0,2031413.0,1737532.78281339,96.78281339,293880.21718661,3.561864,0.000763757,0.13723922,0.06460718,0.0003650171,0.13723922,0.13723922,5.0094663e-05,91.782814,0.13822713,23.921062,9.580335,1.0536089,0.8681919,1.1364257,1.3365308,2.6715052,1.6398491,25.768197453450252,1318.3721022533812,25.865034312755125,very,beautiful,200923,8977.0
POS~not_interested,POSMIR,not_interested,1186,1022.1219,299.63992,1.3250653,0.1372172,0.0006517377,0.9924686,0.00068235234,1738105,1195,2032082,1186.0,1736919.0,9.0,293968.0,1738105.0,293977.0,1195.0,2030887.0,1737082.878119584,172.878119584,293804.121880416,4.7585936,0.001363767,0.1372172,0.064582005,0.0006517377,0.1372172,0.1372172,8.942962e-05,163.87811,0.13817717,31.97064,12.801489,1.9173031,1.7790985,1.9790325,2.1281853,3.1232371,2.35427,34.438350715445125,1318.3721022533812,34.56877203488721,not,interested,73492,10913.0
POS~too_rare,POSMIR,too_rare,789,679.989,199.24033,1.312865,0.13717438,0.0004335329,0.9924528,0.00045394266,1738105,795,2032082,789.0,1737316.0,6.0,293971.0,1738105.0,293977.0,795.0,2031287.0,1737425.010966585,115.010966585,293861.989033415,3.8808932,0.00090747,0.13717438,0.0645751,0.0004335329,0.13717438,0.13717438,5.9469607e-05,109.01096,0.13816346,26.0766,10.440832,1.3386617,1.169394,1.4142654,1.596942,2.8156438,1.873842,28.089143810376278,1318.3721022533812,28.19574435974337,too,rare,189304,3333.0
POS~very_professional,POSMIR,very_professional,787,678.2784,198.64535,1.311763,0.1371552,0.0004323822,0.9924338,0.00045279198,1738105,793,2032082,787.0,1737318.0,6.0,293971.0,1738105.0,293977.0,793.0,2031289.0,1737426.72163082,114.72163082,293862.27836918,3.8755076,0.000905171,0.1371552,0.06456677,0.0004323822,0.1371552,0.1371552,5.9303467e-05,108.721634,0.13814692,26.043777,10.426967,1.3349699,1.1657006,1.4105743,1.5932527,2.8119662,1.8701553,28.053520278211074,1318.3721022533812,28.160255680657446,very,professional,200923,1799.0
POS~not_aware,POSMIR,not_aware,1937,1669.6083,487.71509,1.32561,0.13711517,0.0010634077,0.9923156,0.0011144321,1738105,1952,2032082,1937.0,1736168.0,15.0,293962.0,1738105.0,293977.0,1952.0,2030130.0,1736435.391706634,282.391706634,293694.608293366,6.0755153,0.002226364,0.13711517,0.064515024,0.0010634077,0.13711517,0.13711517,0.00014580933,267.3917,0.13804425,40.86084,16.352116,2.465168,2.358108,2.5129864,2.6285272,3.3993413,2.803663,44.01136216933077,1318.3721022533812,44.181444068749045,not,aware,73492,12817.0
POS~very_grateful,POSMIR,very_grateful,509,438.78537,127.76377,1.2822909,0.13690518,0.0002792412,0.99220276,0.00029284766,1738105,513,2032082,509.0,1737596.0,4.0,293973.0,1738105.0,293977.0,513.0,2031569.0,1737666.214623721,74.214623721,293902.785376279,3.1122084,0.000585523,0.13690518,0.064465635,0.0002792412,0.13690518,0.13690518,3.8229566e-05,70.21462,0.13794622,20.947205,8.379416,0.585849,0.37851235,0.67845637,0.90221757,2.3950105,1.2413936,22.561028345356956,1318.3721022533812,22.64950330581225,very,grateful,200923,2353.0
POS~not_ready,POSMIR,not_ready,1138,981.0659,285.37036,1.3071185,0.13689859,0.0006241214,0.99215347,0.00065473607,1738105,1147,2032082,1138.0,1736967.0,9.0,293968.0,1738105.0,293977.0,1147.0,2030935.0,1737123.934061224,165.934061224,293811.065938776,4.652068,0.001308609,0.13689859,0.064444065,0.0006241214,0.13689859,0.13689859,8.5441345e-05,156.93407,0.13790339,31.321972,12.527332,1.8572929,1.7190664,1.9190321,2.0682085,3.0634186,2.2943292,33.734255586866,1318.3721022533812,33.8673884437522,not,ready,73492,5142.0
POS~so_friendly,POSMIR,so_friendly,1124,969.0913,281.21434,1.3017415,0.13680065,0.0006160667,0.9920565,0.0006466813,1738105,1133,2032082,1124.0,1736981.0,9.0,293968.0,1738105.0,293977.0,1133.0,2030949.0,1737135.908710869,163.908710869,293813.091289131,4.6205397,0.00129252,0.13680065,0.06440162,0.0006160667,0.13680065,0.13680065,8.427832e-05,154.9087,0.13781914,31.130232,12.446233,1.8393092,1.701076,1.9010514,2.050235,3.0454938,2.276367,33.52610922848042,1318.3721022533812,33.66006535941367,so,friendly,146701,5476.0
POS~much_bigger,POSMIR,much_bigger,2765,2384.666,687.15758,1.2996012,0.13660567,0.0015125755,0.99175036,0.0015908129,1738105,2788,2032082,2765.0,1735340.0,23.0,293954.0,1738105.0,293977.0,2788.0,2029294.0,1735720.334056401,403.334056401,293573.665943599,7.2329865,0.003176531,0.13660567,0.06426758,0.0015125755,0.13660567,0.13660567,0.0002066264,380.33405,0.137553,48.833042,19.502155,2.7432597,2.6567779,2.781887,2.8752196,3.497876,3.0166929,52.583267300539625,1318.3721022533812,52.80151512977634,much,bigger,27415,4404.0
POS~just_plain,POSMIR,just_plain,832,717.62366,206.1945,1.2737585,0.13638093,0.0004548709,0.9916567,0.00047868225,1738105,839,2032082,832.0,1737273.0,7.0,293970.0,1738105.0,293977.0,839.0,2031243.0,1737387.376353415,121.376353415,293855.623646585,3.9652865,0.000956903,0.13638093,0.06422658,0.0004548709,0.13638093,0.13638093,6.203572e-05,114.37635,0.13747157,26.788498,10.694688,1.4243343,1.2675604,1.4943577,1.6635509,2.7923002,1.920013,28.844410203711913,1318.3721022533812,28.965496715920477,just,plain,32387,1332.0
POS~not_clear,POSMIR,not_clear,949,818.55286,235.10982,1.2765393,0.13637266,0.0005187839,0.99164057,0.00054599694,1738105,957,2032082,949.0,1737156.0,8.0,293969.0,1738105.0,293977.0,957.0,2031125.0,1737286.44716355,138.44716355,293838.55283645,4.234494,0.001091393,0.13637266,0.0642195,0.0005187839,0.13637266,0.13637266,7.0747934e-05,130.44716,0.13745749,28.610363,11.421347,1.6091189,1.4624695,1.6746203,1.8328869,2.8887417,2.0727868,30.805843601498726,1318.3721022533812,30.93541659651604,not,clear,73492,8639.0
POS~really_nice,POSMIR,really_nice,1346,1161.541,329.81518,1.260853,0.1359222,0.0007335871,0.9911635,0.0007744066,1738105,1358,2032082,1346.0,1736759.0,12.0,293965.0,1738105.0,293977.0,1358.0,2030724.0,1736943.458984431,196.458984431,293780.541015569,5.027792,0.001547604,0.1359222,0.06401051,0.0007335871,0.1359222,0.1359222,9.971076e-05,184.45898,0.13704233,34.081387,13.581568,2.0264916,1.9067249,2.0799856,2.20924,3.0715425,2.4051628,36.68787265568828,1318.3721022533812,36.851051545376556,really,nice,64338,8172.0
