key,l1,l2,f,E11,am_log_likelihood,am_odds_ratio_disc,am_p1_given2,am_p2_given1,am_p1_given2_simple,am_p2_given1_simple,f1,f2,N,Fyy(O11),Fyn(O12),Fny(O21),Fnn(O22),Fy_(R1),Fn_(R2),F_y(C1),F_n(C2),E12,E21,E22,t_score,dice,liddell,mutual_information,deltaP_min,deltaP_max,deltaP_max_abs,deltaP_product,unexpected_f,unexpected_ratio,expected_sqrt,unexpected_abs_sqrt,conservative_log_ratio,conservative_log_ratio_001,conservative_log_ratio_01,conservative_log_ratio_05,conservative_log_ratio_nc,conservative_log_ratio_dv,f_sqrt,f1_sqrt,f2_sqrt,adv,adj,adv_total,adj_total
NEG~entirely_sure,NEGMIR,entirely_sure,364,59.866674,1314.446887,3.5691516,0.8357038,0.0012561687,1.0,0.0012561687,289770,364,1761853,364.0,289406.0,0.0,1472083.0,289770.0,1472083.0,364.0,1761489.0,289710.133325538,304.133325539,1471778.866674462,15.940918,0.002509185,0.8357038,0.78391623,0.0012561687,0.8357038,0.8357038,0.001049785,304.13333,0.8355311,7.7373557,17.439419,1.0385525,0.4531522,1.3000505,1.9319714,6.1216154,2.4821453,19.078784028338912,538.3028887160091,19.078784028338912,entirely,sure,10308,9744.0
NEG~ever_simple,NEGMIR,ever_simple,207,34.045059,747.407609,3.3242366,0.8356293,0.0007143597,1.0,0.0007143597,289770,207,1761853,207.0,289563.0,0.0,1472083.0,289770.0,1472083.0,207.0,1761646.0,289735.954940622,172.954940622,1471910.045059378,12.021199,0.001427699,0.8356293,0.78391623,0.0007143597,0.8356293,0.8356293,0.0005969399,172.95494,0.8355311,5.8348145,13.151234,0.21862076,0.0,0.4802548,1.1125044,5.3043275,1.6629645,14.38749456993816,538.3028887160091,14.38749456993816,ever,simple,5027,25382.0
NEG~ever_easy,NEGMIR,ever_easy,367,60.52455,1311.828931,3.0955944,0.8329877,0.0012658425,0.9972826,0.0012665218,289770,368,1761853,367.0,289403.0,1.0,1472082.0,289770.0,1472083.0,368.0,1761485.0,289709.475449995,307.475449995,1471775.524550005,15.997889,0.002529831,0.8329877,0.7827345,0.0012658425,0.8329877,0.8329877,0.0010544312,306.47546,0.83508295,7.7797527,17.506441,3.2126274,2.7984083,3.397659,3.8447955,6.809316,4.2340894,19.157244060668017,538.3028887160091,19.183326093250876,ever,easy,5027,20050.0
NEG~ever_perfect,NEGMIR,ever_perfect,207,34.209528,735.096488,2.8471153,0.8308215,0.00071368035,0.9951923,0.0007143597,289770,208,1761853,207.0,289563.0,1.0,1472082.0,289770.0,1472083.0,208.0,1761645.0,289735.790471736,173.790471736,1471909.209528264,12.009768,0.001427695,0.8308215,0.7818233,0.00071368035,0.8308215,0.8308215,0.000592941,172.79047,0.8347366,5.8488913,13.144979,2.3784463,1.9637923,2.563672,3.011278,5.9789104,3.4009802,14.38749456993816,538.3028887160091,14.422205101855956,ever,perfect,5027,3708.0
NEG~quite_sure,NEGMIR,quite_sure,2942,490.775155,10219.30138,2.5506253,0.8228497,0.010124349,0.98592496,0.01015288,289770,2984,1761853,2942.0,286828.0,42.0,1472041.0,289770.0,1472083.0,2984.0,1758869.0,289279.224844524,2493.224844524,1469589.775155476,45.192028,0.020098787,0.8228497,0.7777601,0.010124349,0.8228497,0.8228497,0.008330817,2451.2249,0.83318317,22.153446,49.509846,7.287749,7.2234716,7.3164616,7.3858466,7.845871,7.4462557,54.24020648928247,538.3028887160091,54.62600113499065,quite,sure,40565,9744.0
NEG~ever_good,NEGMIR,ever_good,298,49.669604,1034.952653,2.5280557,0.82242703,0.0010256846,0.98675495,0.0010284019,289770,302,1761853,298.0,289472.0,4.0,1472079.0,289770.0,1472083.0,302.0,1761551.0,289720.330396463,252.330396463,1471830.669603537,14.385394,0.002054662,0.82242703,0.7781256,0.0010256846,0.82242703,0.82242703,0.0008435508,248.3304,0.8333235,7.0476665,15.758502,4.7177715,4.5095615,4.810779,5.0355353,6.525673,5.231217,17.26267650163207,538.3028887160091,17.378147196982766,ever,good,5027,33540.0
NEG~really_sure,NEGMIR,really_sure,901,150.324562,3123.284106,2.531859,0.8217342,0.0031005316,0.9857768,0.0031093627,289770,914,1761853,901.0,288869.0,13.0,1472070.0,289770.0,1472083.0,914.0,1760939.0,289619.675438303,763.675438303,1471319.324561697,25.008625,0.006199172,0.8217342,0.7776948,0.0031005316,0.8217342,0.8217342,0.0025478129,750.6754,0.8331581,12.260692,27.398457,6.3252735,6.209724,6.376889,6.5016212,7.3285956,6.6102176,30.01666203960727,538.3028887160091,30.23243291566195,really,sure,58867,9744.0
NEG~particularly_new,NEGMIR,particularly_new,404,67.432243,1398.487212,2.5004876,0.821088,0.0013901333,0.98536587,0.0013942092,289770,410,1761853,404.0,289366.0,6.0,1472077.0,289770.0,1472083.0,410.0,1761443.0,289702.567756788,342.567756788,1471740.432243212,16.744871,0.002784479,0.821088,0.77751374,0.0013901333,0.821088,0.821088,0.0011414218,336.56775,0.8330885,8.211714,18.345783,5.275457,5.1053348,5.3514504,5.5350914,6.752636,5.694977,20.09975124224178,538.3028887160091,20.248456731316587,particularly,new,13041,13145.0
NEG~necessarily_wrong,NEGMIR,necessarily_wrong,209,35.196342,708.978199,2.2870114,0.8122653,0.0007178651,0.9766355,0.00072126166,289770,214,1761853,209.0,289561.0,5.0,1472078.0,289770.0,1472083.0,214.0,1761639.0,289734.803658421,178.803658421,1471904.196341579,12.02225,0.001441459,0.8122653,0.77364874,0.0007178651,0.8122653,0.8122653,0.00058309693,173.80367,0.83159643,5.9326506,13.183461,4.272326,4.085135,4.355944,4.5580106,5.8977146,4.7339373,14.45683229480096,538.3028887160091,14.628738838327793,necessarily,wrong,1100,20866.0
NEG~entirely_clear,NEGMIR,entirely_clear,325,54.768139,1100.983304,2.2894955,0.81166047,0.0011161447,0.975976,0.0011215792,289770,333,1761853,325.0,289445.0,8.0,1472075.0,289770.0,1472083.0,333.0,1761520.0,289715.231861001,278.231861001,1471804.768138999,14.989767,0.002240584,0.81166047,0.77335536,0.0011161447,0.81166047,0.81166047,0.0009059306,270.23187,0.83148265,7.40055,16.43873,4.9544916,4.806455,5.0206194,5.18042,6.2399006,5.319548,18.027756377319946,538.3028887160091,18.24828759089466,entirely,clear,10308,7833.0
NEG~too_surprising,NEGMIR,too_surprising,203,34.209528,687.5985,2.2743828,0.81158847,0.0006971591,0.97596157,0.0007005556,289770,208,1761853,203.0,289567.0,5.0,1472078.0,289770.0,1472083.0,208.0,1761645.0,289735.790471736,173.790471736,1471909.209528264,11.846768,0.001400106,0.81158847,0.7733489,0.0006971591,0.81158847,0.81158847,0.0005658063,168.79047,0.83148015,5.8488913,12.991939,4.229109,4.0418534,4.312756,4.514892,5.8550587,4.69088,14.247806848775006,538.3028887160091,14.422205101855956,too,surprising,158082,2829.0
NEG~too_fancy,NEGMIR,too_fancy,529,89.306605,1785.494822,2.2691658,0.80999804,0.0018160755,0.9742173,0.0018255858,289770,543,1761853,529.0,289241.0,14.0,1472069.0,289770.0,1472083.0,543.0,1761310.0,289680.693394965,453.693394965,1471629.306605034,19.117104,0.003644342,0.80999804,0.7725721,0.0018160755,0.80999804,0.80999804,0.0014710176,439.6934,0.8311784,9.450217,20.968866,5.5155816,5.403577,5.5656137,5.686519,6.4881244,5.7917843,23.0,538.3028887160091,23.302360395462088,too,fancy,158082,1107.0
NEG~particularly_wrong,NEGMIR,particularly_wrong,212,35.854217,712.67265,2.22064,0.80810815,0.0007275389,0.9724771,0.0007316147,289770,218,1761853,212.0,289558.0,6.0,1472077.0,289770.0,1472083.0,218.0,1761635.0,289734.145782877,182.145782877,1471900.854217122,12.097742,0.001462129,0.80810815,0.77179563,0.0007275389,0.80810815,0.80810815,0.0005879301,176.14578,0.83087635,5.987839,13.271993,4.324408,4.1531625,4.400903,4.5857577,5.811344,4.746699,14.560219778561036,538.3028887160091,14.7648230602334,particularly,wrong,13041,20866.0
NEG~quite_able,NEGMIR,quite_able,338,57.399641,1126.773901,2.1752427,0.8041718,0.00115897,0.96848136,0.0011664423,289770,349,1761853,338.0,289432.0,11.0,1472072.0,289770.0,1472083.0,349.0,1761504.0,289712.600358827,291.600358827,1471791.399641173,15.262648,0.002330078,0.8041718,0.77000755,0.00115897,0.8041718,0.8041718,0.00093201094,280.60037,0.83017856,7.576255,16.75113,4.9451885,4.8184557,5.0018,5.1386037,6.0456157,5.2577105,18.384776310850235,538.3028887160091,18.681541692269406,quite,able,40565,6448.0
