colloc,positive_raw,negative_raw,total_raw,positive_z,negative_z,total_z,positive_ratio,negative_ratio,positive_skew,negative_skew,positive_plus1,negative_plus1
much_unchanged,6,0,6,-0.12318,-0.0656,-0.09949,1.0,0.0,1.69296,0.0,7,1
mostly_forgettable,6,0,6,-0.12318,-0.0656,-0.09949,1.0,0.0,1.69296,0.0,7,1
much_superior,6,0,6,-0.12318,-0.0656,-0.09949,1.0,0.0,1.69296,0.0,7,1
much_irrelevant,6,0,6,-0.12318,-0.0656,-0.09949,1.0,0.0,1.69296,0.0,7,1
much_interchangeable,6,0,6,-0.12318,-0.0656,-0.09949,1.0,0.0,1.69296,0.0,7,1
much_available,6,0,6,-0.12318,-0.0656,-0.09949,1.0,0.0,1.69296,0.0,7,1
much_akin,6,0,6,-0.12318,-0.0656,-0.09949,1.0,0.0,1.69296,0.0,7,1
mostly_over,6,0,6,-0.12318,-0.0656,-0.09949,1.0,0.0,1.69296,0.0,7,1
mostly_hispanic,6,0,6,-0.12318,-0.0656,-0.09949,1.0,0.0,1.69296,0.0,7,1
mostly_disappointed,6,0,6,-0.12318,-0.0656,-0.09949,1.0,0.0,1.69296,0.0,7,1
mentally_incapacitated,6,0,6,-0.12318,-0.0656,-0.09949,1.0,0.0,1.69296,0.0,7,1
mostly_clear,6,0,6,-0.12318,-0.0656,-0.09949,1.0,0.0,1.69296,0.0,7,1
mostly_attributable,6,0,6,-0.12318,-0.0656,-0.09949,1.0,0.0,1.69296,0.0,7,1
mostly_anecdotal,6,0,6,-0.12318,-0.0656,-0.09949,1.0,0.0,1.69296,0.0,7,1
morally_corrupt,6,0,6,-0.12318,-0.0656,-0.09949,1.0,0.0,1.69296,0.0,7,1
mighty_hard,6,0,6,-0.12318,-0.0656,-0.09949,1.0,0.0,1.69296,0.0,7,1
mercifully_free,6,0,6,-0.12318,-0.0656,-0.09949,1.0,0.0,1.69296,0.0,7,1
mentally_weak,6,0,6,-0.12318,-0.0656,-0.09949,1.0,0.0,1.69296,0.0,7,1
often_hilarious,6,0,6,-0.12318,-0.0656,-0.09949,1.0,0.0,1.69296,0.0,7,1
often_incomplete,6,0,6,-0.12318,-0.0656,-0.09949,1.0,0.0,1.69296,0.0,7,1
largely_flat,6,0,6,-0.12318,-0.0656,-0.09949,1.0,0.0,1.69296,0.0,7,1
predictably_unpredictable,6,0,6,-0.12318,-0.0656,-0.09949,1.0,0.0,1.69296,0.0,7,1
pretty_damaging,6,0,6,-0.12318,-0.0656,-0.09949,1.0,0.0,1.69296,0.0,7,1
pretty_critical,6,0,6,-0.12318,-0.0656,-0.09949,1.0,0.0,1.69296,0.0,7,1
pretty_confusing,6,0,6,-0.12318,-0.0656,-0.09949,1.0,0.0,1.69296,0.0,7,1
pretty_athletic,6,0,6,-0.12318,-0.0656,-0.09949,1.0,0.0,1.69296,0.0,7,1
pretty_apparent,6,0,6,-0.12318,-0.0656,-0.09949,1.0,0.0,1.69296,0.0,7,1
pretty_adamant,6,0,6,-0.12318,-0.0656,-0.09949,1.0,0.0,1.69296,0.0,7,1
predominantly_democratic,6,0,6,-0.12318,-0.0656,-0.09949,1.0,0.0,1.69296,0.0,7,1
precariously_balanced,6,0,6,-0.12318,-0.0656,-0.09949,1.0,0.0,1.69296,0.0,7,1
pretty_disgusting,6,0,6,-0.12318,-0.0656,-0.09949,1.0,0.0,1.69296,0.0,7,1
practically_perfect,6,0,6,-0.12318,-0.0656,-0.09949,1.0,0.0,1.69296,0.0,7,1
practically_nil,6,0,6,-0.12318,-0.0656,-0.09949,1.0,0.0,1.69296,0.0,7,1
practically_bankrupt,6,0,6,-0.12318,-0.0656,-0.09949,1.0,0.0,1.69296,0.0,7,1
potentially_risky,6,0,6,-0.12318,-0.0656,-0.09949,1.0,0.0,1.69296,0.0,7,1
potentially_huge,6,0,6,-0.12318,-0.0656,-0.09949,1.0,0.0,1.69296,0.0,7,1
positively_lousy,6,0,6,-0.12318,-0.0656,-0.09949,1.0,0.0,1.69296,0.0,7,1
plainly_wrong,6,0,6,-0.12318,-0.0656,-0.09949,1.0,0.0,1.69296,0.0,7,1
pretty_dark,6,0,6,-0.12318,-0.0656,-0.09949,1.0,0.0,1.69296,0.0,7,1
pretty_dominant,6,0,6,-0.12318,-0.0656,-0.09949,1.0,0.0,1.69296,0.0,7,1
personally_disappointed,6,0,6,-0.12318,-0.0656,-0.09949,1.0,0.0,1.69296,0.0,7,1
pretty_neutral,6,0,6,-0.12318,-0.0656,-0.09949,1.0,0.0,1.69296,0.0,7,1
pretty_stunned,6,0,6,-0.12318,-0.0656,-0.09949,1.0,0.0,1.69296,0.0,7,1
pretty_stingy,6,0,6,-0.12318,-0.0656,-0.09949,1.0,0.0,1.69296,0.0,7,1
pretty_spotty,6,0,6,-0.12318,-0.0656,-0.09949,1.0,0.0,1.69296,0.0,7,1
pretty_savvy,6,0,6,-0.12318,-0.0656,-0.09949,1.0,0.0,1.69296,0.0,7,1
pretty_risky,6,0,6,-0.12318,-0.0656,-0.09949,1.0,0.0,1.69296,0.0,7,1
pretty_outrageous,6,0,6,-0.12318,-0.0656,-0.09949,1.0,0.0,1.69296,0.0,7,1
pretty_odd,6,0,6,-0.12318,-0.0656,-0.09949,1.0,0.0,1.69296,0.0,7,1
pretty_naive,6,0,6,-0.12318,-0.0656,-0.09949,1.0,0.0,1.69296,0.0,7,1
pretty_dry,6,0,6,-0.12318,-0.0656,-0.09949,1.0,0.0,1.69296,0.0,7,1
pretty_mature,6,0,6,-0.12318,-0.0656,-0.09949,1.0,0.0,1.69296,0.0,7,1
pretty_lonely,6,0,6,-0.12318,-0.0656,-0.09949,1.0,0.0,1.69296,0.0,7,1
pretty_liberal,6,0,6,-0.12318,-0.0656,-0.09949,1.0,0.0,1.69296,0.0,7,1
pretty_impossible,6,0,6,-0.12318,-0.0656,-0.09949,1.0,0.0,1.69296,0.0,7,1
pretty_firm,6,0,6,-0.12318,-0.0656,-0.09949,1.0,0.0,1.69296,0.0,7,1
pretty_familiar,6,0,6,-0.12318,-0.0656,-0.09949,1.0,0.0,1.69296,0.0,7,1
pretty_extreme,6,0,6,-0.12318,-0.0656,-0.09949,1.0,0.0,1.69296,0.0,7,1
phenomenally_popular,6,0,6,-0.12318,-0.0656,-0.09949,1.0,0.0,1.69296,0.0,7,1
perfectly_nice,6,0,6,-0.12318,-0.0656,-0.09949,1.0,0.0,1.69296,0.0,7,1
often_ineffective,6,0,6,-0.12318,-0.0656,-0.09949,1.0,0.0,1.69296,0.0,7,1
often_tragic,6,0,6,-0.12318,-0.0656,-0.09949,1.0,0.0,1.69296,0.0,7,1
openly_unhappy,6,0,6,-0.12318,-0.0656,-0.09949,1.0,0.0,1.69296,0.0,7,1
only_incidental,6,0,6,-0.12318,-0.0656,-0.09949,1.0,0.0,1.69296,0.0,7,1
once_abundant,6,0,6,-0.12318,-0.0656,-0.09949,1.0,0.0,1.69296,0.0,7,1
often_wary,6,0,6,-0.12318,-0.0656,-0.09949,1.0,0.0,1.69296,0.0,7,1
often_useful,6,0,6,-0.12318,-0.0656,-0.09949,1.0,0.0,1.69296,0.0,7,1
often_unnecessary,6,0,6,-0.12318,-0.0656,-0.09949,1.0,0.0,1.69296,0.0,7,1
often_unhappy,6,0,6,-0.12318,-0.0656,-0.09949,1.0,0.0,1.69296,0.0,7,1
often_surprised,6,0,6,-0.12318,-0.0656,-0.09949,1.0,0.0,1.69296,0.0,7,1
outstandingly_productive,6,0,6,-0.12318,-0.0656,-0.09949,1.0,0.0,1.69296,0.0,7,1
often_strained,6,0,6,-0.12318,-0.0656,-0.09949,1.0,0.0,1.69296,0.0,7,1
often_similar,6,0,6,-0.12318,-0.0656,-0.09949,1.0,0.0,1.69296,0.0,7,1
often_reminiscent,6,0,6,-0.12318,-0.0656,-0.09949,1.0,0.0,1.69296,0.0,7,1
often_quick,6,0,6,-0.12318,-0.0656,-0.09949,1.0,0.0,1.69296,0.0,7,1
often_minimal,6,0,6,-0.12318,-0.0656,-0.09949,1.0,0.0,1.69296,0.0,7,1
often_loath,6,0,6,-0.12318,-0.0656,-0.09949,1.0,0.0,1.69296,0.0,7,1
often_light,6,0,6,-0.12318,-0.0656,-0.09949,1.0,0.0,1.69296,0.0,7,1
outrageously_brave,6,0,6,-0.12318,-0.0656,-0.09949,1.0,0.0,1.69296,0.0,7,1
overwhelmingly_favorable,6,0,6,-0.12318,-0.0656,-0.09949,1.0,0.0,1.69296,0.0,7,1
perfectly_innocent,6,0,6,-0.12318,-0.0656,-0.09949,1.0,0.0,1.69296,0.0,7,1
particularly_intent,6,0,6,-0.12318,-0.0656,-0.09949,1.0,0.0,1.69296,0.0,7,1
partly_effective,6,0,6,-0.12318,-0.0656,-0.09949,1.0,0.0,1.69296,0.0,7,1
partly_correct,6,0,6,-0.12318,-0.0656,-0.09949,1.0,0.0,1.69296,0.0,7,1
particularly_unpopular,6,0,6,-0.12318,-0.0656,-0.09949,1.0,0.0,1.69296,0.0,7,1
particularly_unfortunate,6,0,6,-0.12318,-0.0656,-0.09949,1.0,0.0,1.69296,0.0,7,1
particularly_scornful,6,0,6,-0.12318,-0.0656,-0.09949,1.0,0.0,1.69296,0.0,7,1
particularly_ripe,6,0,6,-0.12318,-0.0656,-0.09949,1.0,0.0,1.69296,0.0,7,1
particularly_puzzling,6,0,6,-0.12318,-0.0656,-0.09949,1.0,0.0,1.69296,0.0,7,1
particularly_ineffective,6,0,6,-0.12318,-0.0656,-0.09949,1.0,0.0,1.69296,0.0,7,1
overwhelmingly_female,6,0,6,-0.12318,-0.0656,-0.09949,1.0,0.0,1.69296,0.0,7,1
particularly_handy,6,0,6,-0.12318,-0.0656,-0.09949,1.0,0.0,1.69296,0.0,7,1
particularly_fierce,6,0,6,-0.12318,-0.0656,-0.09949,1.0,0.0,1.69296,0.0,7,1
particularly_educational,6,0,6,-0.12318,-0.0656,-0.09949,1.0,0.0,1.69296,0.0,7,1
particularly_cruel,6,0,6,-0.12318,-0.0656,-0.09949,1.0,0.0,1.69296,0.0,7,1
particularly_attentive,6,0,6,-0.12318,-0.0656,-0.09949,1.0,0.0,1.69296,0.0,7,1
partially_open,6,0,6,-0.12318,-0.0656,-0.09949,1.0,0.0,1.69296,0.0,7,1
painfully_difficult,6,0,6,-0.12318,-0.0656,-0.09949,1.0,0.0,1.69296,0.0,7,1
largely_poor,6,0,6,-0.12318,-0.0656,-0.09949,1.0,0.0,1.69296,0.0,7,1
largely_economic,6,0,6,-0.12318,-0.0656,-0.09949,1.0,0.0,1.69296,0.0,7,1
pretty_terrible,6,0,6,-0.12318,-0.0656,-0.09949,1.0,0.0,1.69296,0.0,7,1
equally_uncertain,6,0,6,-0.12318,-0.0656,-0.09949,1.0,0.0,1.69296,0.0,7,1
especially_hostile,6,0,6,-0.12318,-0.0656,-0.09949,1.0,0.0,1.69296,0.0,7,1
especially_hazardous,6,0,6,-0.12318,-0.0656,-0.09949,1.0,0.0,1.69296,0.0,7,1
especially_glad,6,0,6,-0.12318,-0.0656,-0.09949,1.0,0.0,1.69296,0.0,7,1
especially_fitting,6,0,6,-0.12318,-0.0656,-0.09949,1.0,0.0,1.69296,0.0,7,1
especially_fierce,6,0,6,-0.12318,-0.0656,-0.09949,1.0,0.0,1.69296,0.0,7,1
especially_exciting,6,0,6,-0.12318,-0.0656,-0.09949,1.0,0.0,1.69296,0.0,7,1
especially_abundant,6,0,6,-0.12318,-0.0656,-0.09949,1.0,0.0,1.69296,0.0,7,1
equally_sure,6,0,6,-0.12318,-0.0656,-0.09949,1.0,0.0,1.69296,0.0,7,1
especially_pertinent,6,0,6,-0.12318,-0.0656,-0.09949,1.0,0.0,1.69296,0.0,7,1
equally_supportive,6,0,6,-0.12318,-0.0656,-0.09949,1.0,0.0,1.69296,0.0,7,1
equally_skeptical,6,0,6,-0.12318,-0.0656,-0.09949,1.0,0.0,1.69296,0.0,7,1
equally_optimistic,6,0,6,-0.12318,-0.0656,-0.09949,1.0,0.0,1.69296,0.0,7,1
equally_insistent,6,0,6,-0.12318,-0.0656,-0.09949,1.0,0.0,1.69296,0.0,7,1
equally_ineffective,6,0,6,-0.12318,-0.0656,-0.09949,1.0,0.0,1.69296,0.0,7,1
equally_high,6,0,6,-0.12318,-0.0656,-0.09949,1.0,0.0,1.69296,0.0,7,1
equally_forceful,6,0,6,-0.12318,-0.0656,-0.09949,1.0,0.0,1.69296,0.0,7,1
especially_ironic,6,0,6,-0.12318,-0.0656,-0.09949,1.0,0.0,1.69296,0.0,7,1
essentially_fascist,6,0,6,-0.12318,-0.0656,-0.09949,1.0,0.0,1.69296,0.0,7,1
equally_crucial,6,0,6,-0.12318,-0.0656,-0.09949,1.0,0.0,1.69296,0.0,7,1
extremely_clever,6,0,6,-0.12318,-0.0656,-0.09949,1.0,0.0,1.69296,0.0,7,1
extremely_narrow,6,0,6,-0.12318,-0.0656,-0.09949,1.0,0.0,1.69296,0.0,7,1
extremely_naive,6,0,6,-0.12318,-0.0656,-0.09949,1.0,0.0,1.69296,0.0,7,1
extremely_misleading,6,0,6,-0.12318,-0.0656,-0.09949,1.0,0.0,1.69296,0.0,7,1
extremely_harmful,6,0,6,-0.12318,-0.0656,-0.09949,1.0,0.0,1.69296,0.0,7,1
extremely_gratified,6,0,6,-0.12318,-0.0656,-0.09949,1.0,0.0,1.69296,0.0,7,1
extremely_doubtful,6,0,6,-0.12318,-0.0656,-0.09949,1.0,0.0,1.69296,0.0,7,1
extremely_disciplined,6,0,6,-0.12318,-0.0656,-0.09949,1.0,0.0,1.69296,0.0,7,1
extremely_big,6,0,6,-0.12318,-0.0656,-0.09949,1.0,0.0,1.69296,0.0,7,1
essentially_political,6,0,6,-0.12318,-0.0656,-0.09949,1.0,0.0,1.69296,0.0,7,1
extremely_bearish,6,0,6,-0.12318,-0.0656,-0.09949,1.0,0.0,1.69296,0.0,7,1
extremely_afraid,6,0,6,-0.12318,-0.0656,-0.09949,1.0,0.0,1.69296,0.0,7,1
extraordinarily_helpful,6,0,6,-0.12318,-0.0656,-0.09949,1.0,0.0,1.69296,0.0,7,1
extraordinarily_effective,6,0,6,-0.12318,-0.0656,-0.09949,1.0,0.0,1.69296,0.0,7,1
extra_sensitive,6,0,6,-0.12318,-0.0656,-0.09949,1.0,0.0,1.69296,0.0,7,1
exceptionally_beautiful,6,0,6,-0.12318,-0.0656,-0.09949,1.0,0.0,1.69296,0.0,7,1
exceedingly_complex,6,0,6,-0.12318,-0.0656,-0.09949,1.0,0.0,1.69296,0.0,7,1
equally_famous,6,0,6,-0.12318,-0.0656,-0.09949,1.0,0.0,1.69296,0.0,7,1
equally_circumspect,6,0,6,-0.12318,-0.0656,-0.09949,1.0,0.0,1.69296,0.0,7,1
extremely_rude,6,0,6,-0.12318,-0.0656,-0.09949,1.0,0.0,1.69296,0.0,7,1
definitely_tough,6,0,6,-0.12318,-0.0656,-0.09949,1.0,0.0,1.69296,0.0,7,1
downright_angry,6,0,6,-0.12318,-0.0656,-0.09949,1.0,0.0,1.69296,0.0,7,1
down_south,6,0,6,-0.12318,-0.0656,-0.09949,1.0,0.0,1.69296,0.0,7,1
doubly_shocking,6,0,6,-0.12318,-0.0656,-0.09949,1.0,0.0,1.69296,0.0,7,1
doubly_serious,6,0,6,-0.12318,-0.0656,-0.09949,1.0,0.0,1.69296,0.0,7,1
doubly_hard,6,0,6,-0.12318,-0.0656,-0.09949,1.0,0.0,1.69296,0.0,7,1
disproportionately_high,6,0,6,-0.12318,-0.0656,-0.09949,1.0,0.0,1.69296,0.0,7,1
directly_overhead,6,0,6,-0.12318,-0.0656,-0.09949,1.0,0.0,1.69296,0.0,7,1
definitely_nice,6,0,6,-0.12318,-0.0656,-0.09949,1.0,0.0,1.69296,0.0,7,1
downright_depressing,6,0,6,-0.12318,-0.0656,-0.09949,1.0,0.0,1.69296,0.0,7,1
deeply_reluctant,6,0,6,-0.12318,-0.0656,-0.09949,1.0,0.0,1.69296,0.0,7,1
deeply_hurt,6,0,6,-0.12318,-0.0656,-0.09949,1.0,0.0,1.69296,0.0,7,1
deeply_critical,6,0,6,-0.12318,-0.0656,-0.09949,1.0,0.0,1.69296,0.0,7,1
deeply_conflicted,6,0,6,-0.12318,-0.0656,-0.09949,1.0,0.0,1.69296,0.0,7,1
deeply_appreciative,6,0,6,-0.12318,-0.0656,-0.09949,1.0,0.0,1.69296,0.0,7,1
