colloc,be-ADV-ADJ_positive,few_det-of-subj,few_subj,neither_subj-NP,neither_subj-det,no-one_subj-NP,no_subj-det,nobody_subj-NP,none_subj-NP,not-a-single_subj-det,not-one_subj-NP,not-one_subj-det,not_VP-adv,nothing_subj-NP,without-being_PP,every_det-of-subj,everybody_subj,everyone_subj,never_VP-adv
equally_applicable,0.0108,-0.0546,-0.0585,-0.0411,-0.0394,-0.0111,-0.0069,-0.0153,-0.0594,-0.005,-0.0183,-0.0061,-0.0322,-0.041,-0.0515,-0.049,-0.0522,-0.0566,-0.0308
already_useful,-0.1121,-0.0546,-0.0585,-0.0411,-0.0394,-0.0111,-0.0069,-0.0153,-0.0594,-0.005,-0.0183,-0.0061,-0.0322,-0.041,-0.0515,-0.049,-0.0522,-0.0566,-0.0308
pretty_creative,-0.0813,-0.0546,-0.0585,-0.0411,-0.0394,-0.0111,-0.0069,-0.0153,-0.0594,-0.005,-0.0183,-0.0061,-0.0322,-0.041,-0.0515,-0.049,-0.0522,-0.0566,-0.0308
longer_supportive,-0.0813,-0.0546,-0.0585,-0.0411,-0.0394,-0.0111,-0.0069,-0.0153,-0.0594,-0.005,-0.0183,-0.0061,-0.0322,-0.041,-0.0515,-0.049,-0.0522,-0.0566,-0.0308
massively_unpopular,-0.0813,-0.0546,-0.0585,-0.0411,-0.0394,-0.0111,-0.0069,-0.0153,-0.0594,-0.005,-0.0183,-0.0061,-0.0322,-0.041,-0.0515,-0.049,-0.0522,-0.0566,-0.0308
sincerely_dead,-0.1121,-0.0546,-0.0585,-0.0411,-0.0394,-0.0111,-0.0069,-0.0153,-0.0594,-0.005,-0.0183,-0.0061,-0.0322,-0.041,-0.0515,-0.049,-0.0522,-0.0566,-0.0308
plenty_salty,-0.1121,-0.0546,-0.0585,-0.0411,-0.0394,-0.0111,-0.0069,-0.0153,-0.0594,-0.005,-0.0183,-0.0061,-0.0322,-0.041,-0.0515,-0.049,-0.0522,-0.0566,-0.0308
rather_down-to-earth,-0.1121,-0.0546,-0.0585,-0.0411,-0.0394,-0.0111,-0.0069,-0.0153,-0.0594,-0.005,-0.0183,-0.0061,-0.0322,-0.041,-0.0515,-0.049,-0.0522,-0.0566,-0.0308
politically_gracious,-0.1121,-0.0546,-0.0585,-0.0411,-0.0394,-0.0111,-0.0069,-0.0153,-0.0594,-0.005,-0.0183,-0.0061,-0.0322,-0.041,-0.0515,-0.049,-0.0522,-0.0566,-0.0308
too_affected,-0.1121,-0.0546,-0.0585,-0.0411,-0.0394,-0.0111,-0.0069,-0.0153,-0.0594,-0.005,-0.0183,-0.0061,-0.0065,-0.041,-0.0515,-0.049,-0.0522,-0.0566,-0.0308
still_honest,-0.0813,-0.0546,-0.0585,-0.0411,-0.0394,-0.0111,-0.0069,-0.0153,-0.0594,-0.005,-0.0183,-0.0061,-0.0322,-0.041,-0.0515,-0.049,-0.0522,-0.0566,-0.0308
absolutely_super,-0.1121,-0.0546,-0.0585,-0.0411,-0.0394,-0.0111,-0.0069,-0.0153,-0.0594,-0.005,-0.0183,-0.0061,-0.0322,-0.041,-0.0515,-0.049,-0.0522,-0.0566,-0.0308
slightly_amiss,-0.1121,-0.0546,-0.0585,-0.0411,-0.0394,-0.0111,-0.0069,-0.0153,-0.0594,-0.005,-0.0183,-0.0061,-0.0322,-0.041,-0.0515,-0.049,-0.0522,-0.0566,-0.0308
equally_mystified,-0.1121,-0.0546,-0.0585,-0.0411,-0.0394,-0.0111,-0.0069,-0.0153,-0.0594,-0.005,-0.0183,-0.0061,-0.0322,-0.041,-0.0515,-0.049,-0.0522,-0.0566,-0.0308
solidly_good,-0.1121,-0.0546,-0.0585,-0.0411,-0.0394,-0.0111,-0.0069,-0.0153,-0.0594,-0.005,-0.0183,-0.0061,-0.0322,-0.041,-0.0515,-0.049,-0.0522,-0.0566,-0.0308
generally_nervous,-0.0813,-0.0546,-0.0585,-0.0411,-0.0394,-0.0111,-0.0069,-0.0153,-0.0594,-0.005,-0.0183,-0.0061,-0.0322,-0.041,-0.0515,-0.049,-0.0522,-0.0566,-0.0308
reasonably_refined,-0.1121,-0.0546,-0.0585,-0.0411,-0.0394,-0.0111,-0.0069,-0.0153,-0.0594,-0.005,-0.0183,-0.0061,-0.0322,-0.041,-0.0515,-0.049,-0.0522,-0.0566,-0.0308
certainly_thorny,-0.1121,-0.0546,-0.0585,-0.0411,-0.0394,-0.0111,-0.0069,-0.0153,-0.0594,-0.005,-0.0183,-0.0061,-0.0322,-0.041,-0.0515,-0.049,-0.0522,-0.0566,-0.0308
carefully_prepared,-0.1121,-0.0546,-0.0585,-0.0411,-0.0394,-0.0111,-0.0069,-0.0153,-0.0594,-0.005,-0.0183,-0.0061,-0.0322,-0.041,-0.0515,-0.049,-0.0522,-0.0566,-0.0308
quite_unsupported,-0.1121,-0.0546,-0.0585,-0.0411,-0.0394,-0.0111,-0.0069,-0.0153,-0.0594,-0.005,-0.0183,-0.0061,-0.0322,-0.041,-0.0515,-0.049,-0.0522,-0.0566,-0.0308
