adj,cross_context_sum,not_VP-adv,never_VP-adv,no_subj-det,none_subj-NP,no-one_subj-NP,few_det-of-subj,nothing_subj-NP,nobody_subj-NP,few_subj,without-being_PP,neither_subj-NP,neither_subj-det,not-one_subj-NP,not-a-single_subj-det,not-one_subj-det
sad,137,128,4,1,1,0,2,1,0,0,0,0,0,0,0,0
lucrative,137,132,2,1,0,0,1,1,0,0,0,0,0,0,0,0
precise,137,122,4,3,2,3,1,0,0,1,1,0,0,0,0,0
uncommon,136,135,0,0,1,0,0,0,0,0,0,0,0,0,0,0
solid,136,123,8,2,2,0,0,1,0,0,0,0,0,0,0,0
independent,136,119,8,5,0,0,2,0,1,1,0,0,0,0,0,0
hopeful,135,129,4,0,0,1,0,0,1,0,0,0,0,0,0,0
fresh,134,126,1,0,3,1,0,2,0,1,0,0,0,0,0,0
wild,132,114,4,5,1,0,2,4,0,0,1,0,1,0,0,0
inclined,132,123,2,0,1,0,0,0,1,2,0,3,0,0,0,0
innocent,131,110,6,3,1,5,1,1,3,0,0,0,1,0,0,0
poor,131,105,7,2,9,3,2,0,2,1,0,0,0,0,0,0
strange,131,115,0,5,3,0,0,5,0,3,0,0,0,0,0,0
honest,130,115,2,0,2,6,1,1,0,0,1,0,2,0,0,0
extreme,129,112,2,3,4,0,1,3,0,2,0,0,2,0,0,0
challenging,128,102,4,2,6,0,10,3,0,0,1,0,0,0,0,0
meaningful,127,113,0,4,4,0,2,4,0,0,0,0,0,0,0,0
anxious,127,119,2,1,1,2,1,0,1,0,0,0,0,0,0,0
physical,126,121,2,2,0,0,0,0,0,0,1,0,0,0,0,0
hungry,124,119,2,1,0,1,0,0,1,0,0,0,0,0,0,0
real,124,112,4,0,3,0,0,4,0,0,0,0,1,0,0,0
entertaining,122,111,3,0,1,0,2,1,0,3,1,0,0,0,0,0
terrible,121,114,1,0,2,0,0,3,0,0,1,0,0,0,0,0
noticeable,121,119,0,0,1,0,1,0,0,0,0,0,0,0,0,0
convenient,121,113,4,1,1,0,2,0,0,0,0,0,0,0,0,0
memorable,121,93,2,3,10,0,3,4,0,4,1,0,1,0,0,0
mature,121,116,2,0,0,0,0,0,0,1,1,1,0,0,0,0
competent,120,115,5,0,0,0,0,0,0,0,0,0,0,0,0,0
straightforward,120,101,6,1,1,0,3,8,0,0,0,0,0,0,0,0
upbeat,120,115,0,0,0,0,2,0,0,3,0,0,0,0,0,0
prevalent,119,111,4,2,1,0,0,0,0,0,0,1,0,0,0,0
shy,118,107,5,1,0,1,0,0,1,3,0,0,0,0,0,0
ripe,118,114,1,2,1,0,0,0,0,0,0,0,0,0,0,0
compatible,117,113,1,0,3,0,0,0,0,0,0,0,0,0,0,0
adept,116,97,2,1,2,2,11,0,1,0,0,0,0,0,0,0
violent,114,100,9,1,2,0,0,0,0,1,0,1,0,0,0,0
crucial,114,90,4,4,1,0,14,0,0,1,0,0,0,0,0,0
patient,114,110,3,0,1,0,0,0,0,0,0,0,0,0,0,0
quiet,113,93,12,0,1,0,6,1,0,0,0,0,0,0,0,0
desperate,113,104,4,1,0,0,1,0,1,2,0,0,0,0,0,0
bold,111,83,2,5,6,3,7,1,1,3,0,0,0,0,0,0
legal,111,109,1,0,0,0,1,0,0,0,0,0,0,0,0,0
informed,111,102,3,0,0,0,1,0,1,1,2,0,1,0,0,0
wise,108,107,0,1,0,0,0,0,0,0,0,0,0,0,0,0
controversial,108,78,6,7,6,0,7,2,0,2,0,0,0,0,0,0
damaging,107,98,0,0,4,0,1,3,0,1,0,0,0,0,0,0
operational,106,97,4,1,2,0,1,0,0,1,0,0,0,0,0,0
flashy,106,105,1,0,0,0,0,0,0,0,0,0,0,0,0,0
subtle,106,100,1,0,1,0,2,1,0,0,0,1,0,0,0,0
qualified,106,94,1,2,2,2,4,0,0,1,0,0,0,0,0,0
receptive,104,100,1,1,0,0,2,0,0,0,0,0,0,0,0,0
short,104,85,6,6,1,2,3,1,0,0,0,0,0,0,0,0
vocal,104,93,2,0,1,0,5,0,0,2,0,0,1,0,0,0
broad,103,95,2,5,0,0,0,0,0,0,1,0,0,0,0,0
pronounced,103,98,5,0,0,0,0,0,0,0,0,0,0,0,0,0
unhappy,103,96,3,1,0,0,0,0,1,1,0,1,0,0,0,0
awful,102,89,1,1,2,2,1,2,1,1,1,0,0,1,0,0
bullish,102,99,0,0,0,0,2,0,1,0,0,0,0,0,0,0
costly,102,93,1,0,4,0,3,0,0,0,1,0,0,0,0,0
plentiful,102,99,3,0,0,0,0,0,0,0,0,0,0,0,0,0
emotional,102,79,7,3,2,1,6,0,0,1,3,0,0,0,0,0
flexible,101,100,0,0,0,0,1,0,0,0,0,0,0,0,0,0
grim,101,97,1,1,0,0,1,1,0,0,0,0,0,0,0,0
trained,100,97,1,0,0,0,1,0,0,0,0,1,0,0,0,0
promising,100,97,0,1,1,0,0,0,0,0,0,0,1,0,0,0
