colloc,positive_raw,negative_raw,total_raw,positive_plus1,negative_plus1,positive_ratio,negative_ratio,positive_skew,negative_skew
much_welcome,1,0,1,2,1,1.0,0.0,1.1313,0.0
pretty_smitten,1,0,1,2,1,1.0,0.0,1.1313,0.0
pretty_sharp,8,0,8,9,1,1.0,0.0,1.1313,0.0
weakly_reflective,1,0,1,2,1,1.0,0.0,1.1313,0.0
pretty_sobering,2,0,2,3,1,1.0,0.0,1.1313,0.0
pretty_separated,1,0,1,2,1,1.0,0.0,1.1313,0.0
pretty_skimpy,2,0,2,3,1,1.0,0.0,1.1313,0.0
pretty_skeptical,9,0,9,10,1,1.0,0.0,1.1313,0.0
pretty_shocked,16,0,16,17,1,1.0,0.0,1.1313,0.0
pretty_sheltered,1,0,1,2,1,1.0,0.0,1.1313,0.0
pretty_phenomenal,3,0,3,4,1,1.0,0.0,1.1313,0.0
pretty_shortsighted,1,0,1,2,1,1.0,0.0,1.1313,0.0
pretty_petty,1,0,1,2,1,1.0,0.0,1.1313,0.0
pretty_petrified,1,0,1,2,1,1.0,0.0,1.1313,0.0
too_magic,1,0,1,2,1,1.0,0.0,1.1313,0.0
too_magical,2,0,2,3,1,1.0,0.0,1.1313,0.0
very_discriminatory,4,0,4,5,1,1.0,0.0,1.1313,0.0
too_male-oriented,3,0,3,4,1,1.0,0.0,1.1313,0.0
too_malleable,1,0,1,2,1,1.0,0.0,1.1313,0.0
too_malnourished,1,0,1,2,1,1.0,0.0,1.1313,0.0
pretty_smooth,9,0,9,10,1,1.0,0.0,1.1313,0.0
pretty_smug,2,0,2,3,1,1.0,0.0,1.1313,0.0
pretty_snide,1,0,1,2,1,1.0,0.0,1.1313,0.0
pretty_soapy,1,0,1,2,1,1.0,0.0,1.1313,0.0
pretty_sexy,8,0,8,9,1,1.0,0.0,1.1313,0.0
pretty_severe\/but,1,0,1,2,1,1.0,0.0,1.1313,0.0
pretty_severe,12,0,12,13,1,1.0,0.0,1.1313,0.0
pretty_shaky,2,0,2,3,1,1.0,0.0,1.1313,0.0
pretty_settled,2,0,2,3,1,1.0,0.0,1.1313,0.0
pretty_shabby,2,0,2,3,1,1.0,0.0,1.1313,0.0
pretty_skilled,1,0,1,2,1,1.0,0.0,1.1313,0.0
pretty_shocking,9,0,9,10,1,1.0,0.0,1.1313,0.0
pretty_short,9,0,9,10,1,1.0,0.0,1.1313,0.0
pretty_sinister,1,0,1,2,1,1.0,0.0,1.1313,0.0
wearyingly_long,1,0,1,2,1,1.0,0.0,1.1313,0.0
pretty_set-oriented,1,0,1,2,1,1.0,0.0,1.1313,0.0
pretty_soggy,1,0,1,2,1,1.0,0.0,1.1313,0.0
pretty_shallow,3,0,3,4,1,1.0,0.0,1.1313,0.0
pretty_shattered,1,0,1,2,1,1.0,0.0,1.1313,0.0
pretty_smart,43,0,43,44,1,1.0,0.0,1.1313,0.0
