colloc,positive_raw,negative_raw,total_raw,positive_z,negative_z,positive_plus1,negative_plus1,positive_ratio,negative_ratio,positive_skew,negative_skew
overly_ecstatic,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
overly_disturbed,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
over_grazed,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
ordinarily_closed,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
openly_combative,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
often_susceptible,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
openly_melodramatic,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
operationally_effective,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
oppressively_humid,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
optically_correct,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
originally_freudian,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
optimally_productive,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
ordinarily_cognizable,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
overly_dismayed,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
often_sexy,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
ordinarily_fatal,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
ordinarily_sufficient,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
ordinarily_sympathetic,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
often_linear,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
outwardly_apparent,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
overly_funny,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
overly_eventful,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
outwardly_fiery,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
overly_active,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
particularly_macho,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
particularly_responsive,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
particularly_reactive,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
particularly_real,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
particularly_reassuring,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
particularly_recognizable,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
particularly_reliable,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
particularly_remote,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
particularly_representative,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
now_prevalent,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
particularly_perturbing,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
particularly_prurient,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
particularly_patient,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
particularly_partisan,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
particularly_manifest,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
now_unthinkable,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
particularly_joyous,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
particularly_lavish,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
particularly_life-threatening,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
particularly_light,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
particularly_radical,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
particularly_private,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
overly_afraid,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
overly_concened,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
overly_angry,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
overly_big,0,2,2,-0.1369,0.1217,1,3,0.0,1.0,0.0,8.6144
overly_controversial,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
overly_blatant,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
overly_brutal,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
overly_bubbly,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
overly_bullish,0,4,4,-0.1369,0.2943,1,5,0.0,1.0,0.0,8.6144
overly_chummy,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
overly_conducive,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
particularly_pretty,0,3,3,-0.1369,0.208,1,4,0.0,1.0,0.0,8.6144
officially_responsible,0,2,2,-0.1369,0.1217,1,3,0.0,1.0,0.0,8.6144
officially_possible,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
only_white,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
officially_offensive,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
particularly_picky,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
particularly_pious,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
particularly_practical,0,3,3,-0.1369,0.208,1,4,0.0,1.0,0.0,8.6144
particularly_present,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
onstage_masterly,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
only_wide,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
oppressively_patriarchal,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
overwhelmingly_different,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
overly_talented,0,2,2,-0.1369,0.1217,1,3,0.0,1.0,0.0,8.6144
overly_talkative,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
overwhelmingly_enticing,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
overtly_warlike,0,2,2,-0.1369,0.1217,1,3,0.0,1.0,0.0,8.6144
overtly_wasteful,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
overwhelmingly_a-plus,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
overwhelmingly_attractive,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
overwhelmingly_concrete,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
overwhelmingly_effective,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
overly_pleased,0,3,3,-0.1369,0.208,1,4,0.0,1.0,0.0,8.6144
overwhelmingly_important,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
overtly_sexy,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
overwhelmingly_persuasive,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
overwhelmingly_significant,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
overwhelmingly_strong,0,2,2,-0.1369,0.1217,1,3,0.0,1.0,0.0,8.6144
often_achievable,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
officially_theirs,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
painfully_cruel,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
overly_sweaty,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
overly_pious,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
outright_stupid,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
overly_hopeful,0,2,2,-0.1369,0.1217,1,3,0.0,1.0,0.0,8.6144
overly_surprising,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
overly_pungent,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
overly_productive,0,2,2,-0.1369,0.1217,1,3,0.0,1.0,0.0,8.6144
overly_populated,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
overly_litigious,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
overly_heavy,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
overly_helpful,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
often_fond,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
overly_imaginative,0,4,4,-0.1369,0.2943,1,5,0.0,1.0,0.0,8.6144
overly_particular,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
overly_large,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
overly_lengthy,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
overly_militaristic,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
overly_political,0,2,2,-0.1369,0.1217,1,3,0.0,1.0,0.0,8.6144
overly_nervous,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
overly_oily,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
overly_oppressive,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
overly_partial,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
officially_sovereign,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
overtly_successful,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
overtly_satirical,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
otherwise_able,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
otherwise_apologetic,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
otherwise_disadvantaged,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
often_polished,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
otherwise_exempt,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
otherwise_material,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
otherwise_open,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
otherwise_responsible,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
out_east,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
out_much,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
overly_taxing,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
outrageously_bad,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
often_memorable,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
outrageously_inefficient,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
outrageously_narcissistic,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
outrageously_wrong,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
outright_boring,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
otherwise_accessible,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
originally_mine,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
out-of-my-mind_drunk,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
overly_grained,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
overly_graphic,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
overly_happy,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
overtly_bellicose,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
overly_thankful,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
overly_theatrical,0,1,1,-0.1369,0.0353,1,2,0.0,1.0,0.0,8.6144
