colloc,almost-none_subj,be-ADV-ADJ_positive,every_det-of-subj,everybody_subj,everyone_subj,few_det-of-subj,few_subj,neither_subj-NP,neither_subj-det,never_VP-adv,no-one_subj-NP,no_subj-det,nobody_subj-NP,not_VP-adv,without-being_PP
sexually_hostile,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,3.7417,-0.2673
terribly_confused,-0.2673,3.7417,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673
seriously_damaged,-0.2673,3.7417,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673
but_worried,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,3.7417,-0.2673
unbelievably_big,-0.2673,3.7417,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673
necessarily_sinister,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,3.7417,-0.2673
also_dysfunctional,-0.2673,3.7417,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673
mentally_rough,-0.2673,3.7417,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673
very_bostonian,-0.2673,3.7417,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673
economically_hooked,-0.2673,3.7417,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673
somehow_cousins,-0.2673,3.7417,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673
just_33rd,-0.2673,3.7417,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673
terribly_divisive,-0.2673,3.7417,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673
longer_happy,-0.2673,3.7417,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673
immediately_attainable,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,3.7417,-0.2673
that_detailed,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,3.7417,-0.2673
always_yummy,-0.2673,3.7417,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673
wonderfully_romantic,-0.2673,3.7417,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673
intrinsically_difficult,-0.2673,3.7417,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673
ultra_chic,-0.2673,3.7417,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673
restfully_pleasant,-0.2673,3.7417,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673
relatively_flat-footed,-0.2673,3.7417,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673
really_quenched,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,3.7417,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673
deeply_disquieting,-0.2673,3.7417,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673
completely_outnumbered,-0.2673,3.7417,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673
indeed_absurd,-0.2673,3.7417,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673,-0.2673
