colloc,almost-none_subj,be-ADV-ADJ_positive,every_det-of-subj,everybody_subj,everyone_subj,few_det-of-subj,few_subj,neither_subj-NP,neither_subj-det,never_VP-adv,no-one_subj-NP,no_subj-det,nobody_subj-NP,not_VP-adv,without-being_PP
13-8_overall,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
21-22-1_overall,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
abnormally_small,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
about_gretzky,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1
about_touchy,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1
actually_abusive,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
actually_gray,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1
again_dangerous,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
again_restricted,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
all_civic-minded,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1
all_electronic,1,3,1,1,1,1,1,1,1,1,1,1,1,2,1
all_fresh,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
all_minimal,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
all_nude,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
all_sharp,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1
all_sunburned,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
almost_cheerful,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1
almost_constitutional,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
almost_encouraged,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
almost_inhuman,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1
almost_populist,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
almost_unworkable,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
already_depressed,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1
already_hiv-positive,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
already_problematic,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1
also_fresh,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
also_indian,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
also_re-imagined,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
also_skittish,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1
also_unaffected,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
also_well-versed,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1
always_advantageous,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1
always_dead-on,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1
always_decisive,1,1,1,1,1,1,1,1,1,1,1,1,1,8,1
always_drinkable,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1
always_glamorous,1,2,1,1,1,1,1,1,1,1,1,1,1,8,1
always_glorious,1,3,1,1,1,1,1,1,1,1,1,1,1,2,1
always_secure,1,2,1,1,1,1,1,1,1,1,1,1,1,3,1
always_susceptible,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1
always_teen-orientated,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1
always_vital,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1
always_well-spent,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1
amazingly_sympathetic,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1
annoyingly_self-important,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
apparently_unwelcome,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
artificially_high,1,12,1,1,1,1,1,1,1,1,1,1,1,1,1
as_adolescent,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1
as_arcane,1,6,1,1,1,2,1,1,1,1,1,1,1,5,1
as_articulate,1,7,1,1,1,1,2,1,1,1,1,1,1,18,1
as_bigger-than-life,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
as_bogus,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1
as_endless,1,10,1,1,1,1,1,1,1,1,1,1,1,1,1
as_ethereal,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1
as_lackluster,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1
as_mobilized,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1
as_perplexed,1,9,1,1,1,1,1,1,1,1,1,1,1,1,1
as_petulant,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1
as_small,1,86,2,1,1,1,1,1,1,2,1,1,1,22,1
as_uncompetitive,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
as_vile,1,5,1,1,1,1,1,1,1,1,1,1,1,2,1
as_voluntary,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1
as_well-developed,1,1,1,1,1,1,1,1,1,1,1,1,1,7,1
as_well-placed,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1
basically_strong,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1
basically_unhappy,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
better_qualified,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
brilliantly_flawed,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
bullet_fast,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1
carefully_shucked,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
catastrophically_low,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1
certainly_manageable,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
chiefly_responsible,1,20,1,1,1,1,1,1,1,1,1,1,1,1,1
classically_mismatched,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
clearly_distinguished,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1
clearly_mutual,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
clearly_well-defined,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1
colorfully_backlit,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
completely_blind,1,6,1,1,1,1,1,1,1,1,1,1,1,6,1
completely_brain-dead,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1
completely_fresh,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1
completely_guiltless,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1
completely_separate,1,23,1,1,1,1,1,1,1,2,1,1,1,2,1
completely_typical,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
comprehensively_engaging,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
consistently_brisk,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
consistently_satisfying,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1
conspicuously_active,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
constantly_available,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1
convincingly_malevolent,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
currently_binding,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
darkly_menacing,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
darned_funny,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
defiantly_creaky,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1
definitely_suspicious,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1
desperately_unhappy,1,8,1,1,1,1,1,1,1,1,1,1,1,1,1
directly_transmissible,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
distinctly_monotheistic,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
down_4-0,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
downright_interesting,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
easily_out-played,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1
economically_prohibitive,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
