colloc,positive_raw,negative_raw,total_raw,positive_z,negative_z,total_z,positive_ratio,negative_ratio,positive_skew,negative_skew,positive_plus1,negative_plus1
longer_interested,0,79,79,-0.03348,2.57985,0.85132,0.0,1.0,0.0,1.67505,1,80
particularly_acute,0,79,79,-0.03348,2.57985,0.85132,0.0,1.0,0.0,1.67505,1,80
also_critical,0,78,78,-0.03348,2.54558,0.83962,0.0,1.0,0.0,1.67505,1,79
fairly_common,0,78,78,-0.03348,2.54558,0.83962,0.0,1.0,0.0,1.67505,1,79
longer_necessary,0,78,78,-0.03348,2.54558,0.83962,0.0,1.0,0.0,1.67505,1,79
still_early,0,78,78,-0.03348,2.54558,0.83962,0.0,1.0,0.0,1.67505,1,79
still_small,0,78,78,-0.03348,2.54558,0.83962,0.0,1.0,0.0,1.67505,1,79
almost_unchanged,0,77,77,-0.03348,2.51131,0.82792,0.0,1.0,0.0,1.67505,1,78
deeply_disappointed,0,77,77,-0.03348,2.51131,0.82792,0.0,1.0,0.0,1.67505,1,78
probably_good,0,77,77,-0.03348,2.51131,0.82792,0.0,1.0,0.0,1.67505,1,78
almost_unheard,0,76,76,-0.03348,2.47704,0.81622,0.0,1.0,0.0,1.67505,1,77
remarkably_similar,0,75,75,-0.03348,2.44277,0.80453,0.0,1.0,0.0,1.67505,1,76
longer_available,0,73,73,-0.03348,2.37424,0.78113,0.0,1.0,0.0,1.67505,1,74
still_bullish,0,73,73,-0.03348,2.37424,0.78113,0.0,1.0,0.0,1.67505,1,74
strikingly_similar,0,72,72,-0.03348,2.33997,0.76943,0.0,1.0,0.0,1.67505,1,73
totally_unacceptable,0,72,72,-0.03348,2.33997,0.76943,0.0,1.0,0.0,1.67505,1,73
almost_ready,0,71,71,-0.03348,2.3057,0.75773,0.0,1.0,0.0,1.67505,1,72
very_wrong,0,71,71,-0.03348,2.3057,0.75773,0.0,1.0,0.0,1.67505,1,72
very_unfortunate,0,70,70,-0.03348,2.27143,0.74603,0.0,1.0,0.0,1.67505,1,71
also_unchanged,0,69,69,-0.03348,2.23716,0.73434,0.0,1.0,0.0,1.67505,1,70
little_different,0,68,68,-0.03348,2.20289,0.72264,0.0,1.0,0.0,1.67505,1,69
now_convinced,0,68,68,-0.03348,2.20289,0.72264,0.0,1.0,0.0,1.67505,1,69
finally_over,0,67,67,-0.03348,2.16862,0.71094,0.0,1.0,0.0,1.67505,1,68
nearly_empty,0,67,67,-0.03348,2.16862,0.71094,0.0,1.0,0.0,1.67505,1,68
now_dead,0,67,67,-0.03348,2.16862,0.71094,0.0,1.0,0.0,1.67505,1,68
really_lucky,0,67,67,-0.03348,2.16862,0.71094,0.0,1.0,0.0,1.67505,1,68
very_short,0,67,67,-0.03348,2.16862,0.71094,0.0,1.0,0.0,1.67505,1,68
also_eager,0,66,66,-0.03348,2.13435,0.69924,0.0,1.0,0.0,1.67505,1,67
immensely_popular,0,66,66,-0.03348,2.13435,0.69924,0.0,1.0,0.0,1.67505,1,67
very_disturbing,0,66,66,-0.03348,2.13435,0.69924,0.0,1.0,0.0,1.67505,1,67
also_high,0,65,65,-0.03348,2.10008,0.68754,0.0,1.0,0.0,1.67505,1,66
extremely_sensitive,0,65,65,-0.03348,2.10008,0.68754,0.0,1.0,0.0,1.67505,1,66
increasingly_popular,0,65,65,-0.03348,2.10008,0.68754,0.0,1.0,0.0,1.67505,1,66
also_close,0,64,64,-0.03348,2.06581,0.67584,0.0,1.0,0.0,1.67505,1,65
mainly_sunny,0,64,64,-0.03348,2.06581,0.67584,0.0,1.0,0.0,1.67505,1,65
just_thankful,0,63,63,-0.03348,2.03155,0.66415,0.0,1.0,0.0,1.67505,1,64
roughly_equivalent,0,62,62,-0.03348,1.99728,0.65245,0.0,1.0,0.0,1.67505,1,63
almost_inevitable,0,61,61,-0.03348,1.96301,0.64075,0.0,1.0,0.0,1.67505,1,62
just_shy,0,61,61,-0.03348,1.96301,0.64075,0.0,1.0,0.0,1.67505,1,62
still_unsure,0,61,61,-0.03348,1.96301,0.64075,0.0,1.0,0.0,1.67505,1,62
very_early,0,61,61,-0.03348,1.96301,0.64075,0.0,1.0,0.0,1.67505,1,62
probably_inevitable,0,60,60,-0.03348,1.92874,0.62905,0.0,1.0,0.0,1.67505,1,61
finally_ready,0,59,59,-0.03348,1.89447,0.61735,0.0,1.0,0.0,1.67505,1,60
increasingly_common,0,59,59,-0.03348,1.89447,0.61735,0.0,1.0,0.0,1.67505,1,60
