colloc,positive_raw,negative_raw,total_raw,positive_z,negative_z,total_z,positive_ratio,negative_ratio,positive_skew,negative_skew,positive_plus1,negative_plus1
too_weak,16,355,371,0.03894,5.7104,1.96348,0.04313,0.95687,0.10066,1.67418,17,356
too_hot,135,235,370,0.80146,3.70537,1.95784,0.36486,0.63514,0.85159,1.11126,136,236
so_hot,171,199,370,1.03214,3.10386,1.95784,0.46216,0.53784,1.07868,0.94102,172,200
as_dramatic,331,38,369,2.05738,0.41377,1.9522,0.89702,0.10298,2.09362,0.18018,332,39
yet_complete,365,2,367,2.27524,-0.18774,1.94091,0.99455,0.00545,2.32126,0.00953,366,3
very_tough,23,344,367,0.0838,5.52661,1.94091,0.06267,0.93733,0.14627,1.63999,24,345
so_close,60,301,361,0.32088,4.80814,1.90704,0.1662,0.8338,0.38792,1.45884,61,302
also_important,1,357,358,-0.05717,5.74382,1.8901,0.00279,0.99721,0.00652,1.74475,2,358
quite_different,1,354,355,-0.05717,5.69369,1.87317,0.00282,0.99718,0.00657,1.74471,2,355
very_helpful,132,223,355,0.78224,3.50486,1.87317,0.37183,0.62817,0.86785,1.09907,133,224
particularly_interested,196,157,353,1.19233,2.4021,1.86188,0.55524,0.44476,1.29592,0.77817,197,158
as_happy,198,153,351,1.20515,2.33526,1.85059,0.5641,0.4359,1.3166,0.76266,199,154
so_difficult,113,236,349,0.66049,3.72208,1.8393,0.32378,0.67622,0.7557,1.18314,114,237
very_exciting,76,271,347,0.42341,4.30688,1.82801,0.21902,0.78098,0.51119,1.36643,77,272
as_quick,269,77,346,1.6601,1.06541,1.82237,0.77746,0.22254,1.81457,0.38937,270,78
so_concerned,150,195,345,0.89758,3.03702,1.81672,0.43478,0.56522,1.01477,0.98893,151,196
particularly_concerned,117,225,342,0.68612,3.53828,1.79979,0.34211,0.65789,0.79847,1.15108,118,226
very_low,3,338,341,-0.04436,5.42635,1.79414,0.0088,0.9912,0.02053,1.73425,4,339
as_aggressive,300,41,341,1.85874,0.4639,1.79414,0.87977,0.12023,2.05335,0.21037,301,42
too_short,22,318,340,0.07739,5.09218,1.7885,0.06471,0.93529,0.15102,1.63643,23,319
as_common,156,184,340,0.93603,2.85323,1.7885,0.45882,0.54118,1.07088,0.94686,157,185
as_difficult,243,96,339,1.4935,1.38287,1.78285,0.71681,0.28319,1.67303,0.49547,244,97
especially_important,9,330,339,-0.00591,5.29268,1.78285,0.02655,0.97345,0.06196,1.70319,10,331
very_interesting,121,218,339,0.71176,3.42132,1.78285,0.35693,0.64307,0.83307,1.12514,122,219
so_eager,101,237,338,0.5836,3.73878,1.77721,0.29882,0.70118,0.69743,1.22682,102,238
too_slow,11,327,338,0.00691,5.24256,1.77721,0.03254,0.96746,0.07596,1.6927,12,328
extremely_difficult,5,333,338,-0.03154,5.34281,1.77721,0.01479,0.98521,0.03453,1.72376,6,334
so_long,95,240,335,0.54515,3.78891,1.76027,0.28358,0.71642,0.66187,1.25347,96,241
virtually_impossible,2,331,333,-0.05076,5.30939,1.74898,0.00601,0.99399,0.01402,1.73913,3,332
too_optimistic,122,210,332,0.71816,3.28765,1.74334,0.36747,0.63253,0.85767,1.1067,123,211
nearly_impossible,1,329,330,-0.05717,5.27598,1.73205,0.00303,0.99697,0.00707,1.74434,2,330
still_possible,4,322,326,-0.03795,5.15902,1.70947,0.01227,0.98773,0.02864,1.72817,5,323
very_similar,4,318,322,-0.03795,5.09218,1.68689,0.01242,0.98758,0.02899,1.7279,5,319
as_long,144,177,321,0.85913,2.73627,1.68125,0.4486,0.5514,1.04702,0.96475,145,178
as_fortunate,311,8,319,1.92922,-0.08749,1.66996,0.97492,0.02508,2.27545,0.04388,312,9
as_concerned,241,77,318,1.48068,1.06541,1.66431,0.75786,0.24214,1.76883,0.42365,242,78
too_large,53,265,318,0.27603,4.20663,1.66431,0.16667,0.83333,0.389,1.45803,54,266
always_possible,233,84,317,1.42942,1.18237,1.65867,0.73502,0.26498,1.71551,0.46363,234,85
so_proud,23,294,317,0.0838,4.69117,1.65867,0.07256,0.92744,0.16934,1.62269,24,295
quite_clear,112,205,317,0.65409,3.20411,1.65867,0.35331,0.64669,0.82462,1.13147,113,206
really_concerned,207,106,313,1.26282,1.54996,1.63609,0.66134,0.33866,1.54356,0.59253,208,107
so_large,67,245,312,0.36574,3.87245,1.63044,0.21474,0.78526,0.50121,1.37391,68,246
always_good,103,207,310,0.59642,3.23753,1.61915,0.33226,0.66774,0.77548,1.16831,104,208
as_deep,236,74,310,1.44864,1.01528,1.61915,0.76129,0.23871,1.77683,0.41766,237,75
very_expensive,49,260,309,0.2504,4.12308,1.61351,0.15858,0.84142,0.37011,1.47219,50,261
politically_correct,216,92,308,1.32049,1.31604,1.60786,0.7013,0.2987,1.63682,0.52262,217,93
so_intense,32,276,308,0.14147,4.39042,1.60786,0.1039,0.8961,0.24249,1.56786,33,277
as_impressive,227,79,306,1.39097,1.09882,1.59658,0.74183,0.25817,1.73141,0.4517,228,80
also_possible,10,296,306,0.0005,4.72459,1.59658,0.03268,0.96732,0.07627,1.69246,11,297
so_confident,122,183,305,0.71816,2.83652,1.59093,0.4,0.6,0.93359,1.04978,123,184
pretty_clear,1,302,303,-0.05717,4.82484,1.57964,0.0033,0.9967,0.0077,1.74386,2,303
still_unclear,1,300,301,-0.05717,4.79143,1.56835,0.00332,0.99668,0.00775,1.74383,2,301
relatively_small,2,298,300,-0.05076,4.75801,1.56271,0.00667,0.99333,0.01556,1.73797,3,299
as_powerful,208,90,298,1.26923,1.28262,1.55142,0.69799,0.30201,1.62908,0.52841,209,91
no_good,0,297,297,-0.06358,4.7413,1.54577,0.0,1.0,0.0,1.74964,1,298
particularly_important,22,274,296,0.07739,4.357,1.54013,0.07432,0.92568,0.17347,1.6196,23,275
pretty_much,3,292,295,-0.04436,4.65776,1.53448,0.01017,0.98983,0.02374,1.73184,4,293
that_unusual,290,4,294,1.79466,-0.15432,1.52884,0.98639,0.01361,2.30222,0.0238,291,5
wide_open,10,284,294,0.0005,4.52409,1.52884,0.03401,0.96599,0.07939,1.69013,11,285
as_robust,280,14,294,1.73058,0.01277,1.52884,0.95238,0.04762,2.22284,0.08332,281,15
very_impressed,47,245,292,0.23758,3.87245,1.51755,0.16096,0.83904,0.37567,1.46802,48,246
extremely_important,6,285,291,-0.02513,4.5408,1.5119,0.02062,0.97938,0.04812,1.71356,7,286
as_exciting,220,68,288,1.34612,0.91503,1.49497,0.76389,0.23611,1.7829,0.41311,221,69
that_high,241,43,284,1.48068,0.49731,1.47239,0.84859,0.15141,1.98059,0.26491,242,44
well_worth,3,280,283,-0.04436,4.45725,1.46675,0.0106,0.9894,0.02474,1.73109,4,281
very_careful,36,247,283,0.1671,3.90587,1.46675,0.12721,0.87279,0.2969,1.52707,37,248
too_sure,279,2,281,1.72417,-0.18774,1.45546,0.99288,0.00712,2.31737,0.01245,280,3
mentally_ill,106,175,281,0.61564,2.70285,1.45546,0.37722,0.62278,0.88043,1.08963,107,176
mutually_exclusive,256,25,281,1.5768,0.19656,1.45546,0.91103,0.08897,2.12633,0.15566,257,26
too_close,16,264,280,0.03894,4.18992,1.44981,0.05714,0.94286,0.13337,1.64966,17,265
very_funny,116,163,279,0.67972,2.50235,1.44417,0.41577,0.58423,0.9704,1.02219,117,164
very_small,8,271,279,-0.01232,4.30688,1.44417,0.02867,0.97133,0.06692,1.69947,9,272
very_smart,139,139,278,0.82709,2.10134,1.43852,0.5,0.5,1.16699,0.87482,140,140
very_upset,6,271,277,-0.02513,4.30688,1.43288,0.02166,0.97834,0.05056,1.71174,7,272
as_intense,200,76,276,1.21796,1.0487,1.42723,0.72464,0.27536,1.69129,0.48178,201,77
very_aggressive,37,239,276,0.17351,3.7722,1.42723,0.13406,0.86594,0.31289,1.51508,38,240
so_young,57,218,275,0.30166,3.42132,1.42159,0.20727,0.79273,0.48377,1.38699,58,219
very_supportive,15,256,271,0.03254,4.05625,1.39901,0.05535,0.94465,0.12919,1.65279,16,257
very_competitive,27,243,270,0.10943,3.83904,1.39336,0.1,0.9,0.2334,1.57467,28,244
as_interested,209,61,270,1.27563,0.79807,1.39336,0.77407,0.22593,1.80667,0.39529,210,62
even_clear,267,2,269,1.64728,-0.18774,1.38772,0.99257,0.00743,2.31662,0.01301,268,3
that_interested,257,12,269,1.5832,-0.02065,1.38772,0.95539,0.04461,2.22986,0.07805,258,13
still_strong,1,268,269,-0.05717,4.25675,1.38772,0.00372,0.99628,0.00868,1.74313,2,269
as_interesting,202,67,269,1.23078,0.89832,1.38772,0.75093,0.24907,1.75265,0.43578,203,68
