key,index,l1,l2,f,E11,am_log_likelihood,am_log_likelihood_tt,am_odds_ratio_disc,am_Dice,am_t_score,am_p1_given2,am_p2_given1,am_p1_given2_simple,am_p2_given1_simple,am_p1_given2_margin,am_p2_given1_margin,am_expect_diff,f1,f2,N
well~intentioned,0,well,intentioned,1786,4.235648,20799.30819,20799.30819,3.704737,0.019524887,42.160866,0.9142155,0.009865605,0.91636735,0.009867567,0.9141941,0.009844165,1781.76435,180997,1949,83284343
most~wanted,1,most,wanted,3371,310.443246,15699.70047,15699.70047,2.8701622,0.0008903588,52.713406,0.8959843,0.000444786,0.9868267,0.0004453803,0.8959475,0.0004043642,3060.55675,7568812,3416,83284343
legally~binding,2,legally,binding,2438,1.245322,35625.13525,35625.13525,4.2019134,0.12264816,49.350887,0.86812854,0.06597841,0.8685429,0.06598284,0.8680993,0.065949135,2436.75468,36949,2807,83284343
very~own,3,very,own,95941,11637.795595,391490.31357,391490.31357,2.5929494,0.019166727,272.17108,0.86326504,0.009652938,0.9812828,0.0096778795,0.86225164,0.008503937,84303.20441,9913432,97771,83284343
previously~unreleased,4,previously,unreleased,4830,4.965487,63646.44144,63646.44144,3.8602138,0.12231564,69.42675,0.85571223,0.06585062,0.85653484,0.065860346,0.8556543,0.065792635,4825.03451,73337,5639,83284343
partly~cloudy,5,partly,cloudy,54413,61.312389,752182.73197,752182.73197,4.248944,0.75801015,233.0031,0.8373607,0.6920713,0.83765143,0.6921981,0.8367076,0.6914181,54351.68761,78609,64959,83284343
seemingly~never-ending,6,seemingly,never-ending,1865,4.332302,21337.51961,21337.51961,3.4306955,0.022670362,43.085327,0.8370299,0.011486121,0.83895636,0.011490429,0.8370075,0.011463737,1860.6677,162309,2223,83284343
very~first,7,very,first,150034,18777.04654,580983.63049,580983.63049,2.1647043,0.02979472,338.8656,0.83364105,0.015029265,0.9510932,0.015134416,0.832062,0.013240314,131256.95346,9913432,157749,83284343
long~overdue,8,long,overdue,20079,21.275162,266763.44847,266763.44847,3.8917098,0.41124845,141.55025,0.83296084,0.27290526,0.8336032,0.27295342,0.8327199,0.27266422,20057.72484,73562,24087,83284343
very~earliest,9,very,earliest,2091,261.749522,8067.05059,8067.05059,2.154419,0.0004217583,40.00333,0.8318776,0.000209454,0.9508868,0.0002109259,0.8318556,0.0001845224,1829.25048,9913432,2199,83284343
now~defunct,10,now,defunct,7932,50.019558,74862.26262,74862.26262,2.9858432,0.035445604,88.500145,0.8289044,0.018088516,0.8340694,0.018107563,0.82880974,0.017993376,7881.98044,438049,9510,83284343
highly~regarded,11,highly,regarded,3562,39.323811,29564.78068,29564.78068,2.7291284,0.009262473,59.02361,0.8227131,0.0046484396,0.8318543,0.0046571647,0.82267076,0.0046057506,3522.67619,764843,4282,83284343
most~populous,12,most,populous,29436,2945.303034,121988.20071,121988.20071,1.9974507,0.0077450713,154.40237,0.8177053,0.0038498521,0.90826625,0.0038891176,0.81738704,0.0034999808,26490.69697,7568812,32409,83284343
too~late,13,too,late,136383,6941.131269,724075.53932,724075.53932,2.085116,0.07332536,350.50534,0.7981177,0.038009807,0.8392748,0.0383374,0.79656047,0.03638624,129441.86873,3557440,162501,83284343
scantily~clad,14,scantily,clad,5367,0.452829,106353.46513,106353.46513,6.91641,0.8667636,73.25363,0.7684704,0.9938695,0.76847076,0.9938889,0.768406,0.99380505,5366.54717,5400,6984,83284343
very~latest,15,very,latest,6986,938.322638,24382.21621,24382.21621,1.7608259,0.0014082812,72.355965,0.76725227,0.0006924749,0.88621086,0.0007047005,0.76717967,0.0006100488,6047.67736,9913432,7883,83284343
thinly~veiled,16,thinly,veiled,1560,0.042091,33818.24376,33818.24376,6.2550335,0.8295666,39.49577,0.7587531,0.9149501,0.75875485,0.91495603,0.7587344,0.9149313,1559.95791,1705,2056,83284343
very~same,17,very,same,49174,6674.434264,169454.11034,169454.11034,1.7243409,0.009864883,191.65349,0.7584434,0.004866312,0.876964,0.004960341,0.7579328,0.0042870687,42499.56574,9913432,56073,83284343
still~unaccounted,18,still,unaccounted,1699,22.485199,13152.47548,13152.47548,2.482055,0.0040824763,40.67342,0.74315614,0.0020400304,0.75310284,0.0020467858,0.743136,0.0020196978,1676.5148,830082,2256,83284343
most~ardent,19,most,ardent,7357,801.826921,27636.97302,27636.97302,1.7010194,0.0019417668,76.424706,0.7430429,0.0009526532,0.83384335,0.0009720152,0.7429642,0.0008660769,6555.17308,7568812,8823,83284343
more~streamlined,20,more,streamlined,4660,631.775748,15419.95222,15419.95222,1.5745414,0.0009992878,59.00933,0.7136399,0.0004866291,0.8255093,0.0004999465,0.7135915,0.0004321667,4028.22425,9320997,5645,83284343
previously~undisclosed,21,previously,undisclosed,1889,2.347577,23410.85595,23410.85595,3.4518301,0.049708564,43.408615,0.70769423,0.025748465,0.7085521,0.025757803,0.7076716,0.025725793,1886.65242,73337,2666,83284343
most~prestigious,22,most,prestigious,35273,4043.214292,125687.38027,125687.38027,1.5849684,0.00926615,166.28299,0.7023259,0.0045385766,0.7928299,0.004660309,0.70195067,0.004126115,31229.78571,7568812,44490,83284343
most~beloved,23,most,beloved,18447,2118.302583,65573.15519,65573.15519,1.5802671,0.0048595117,120.223305,0.700728,0.0023730246,0.79141104,0.0024372386,0.7005319,0.002157366,16328.69742,7568812,23309,83284343
too~shabby,24,too,shabby,5903,340.134696,28311.13306,28311.13306,1.8083142,0.0033112667,72.40393,0.69865596,0.0016335011,0.7413035,0.0016593393,0.69858915,0.0015637272,5562.8653,3557440,7963,83284343
more~equitable,25,more,equitable,8114,1120.5206,26271.93006,26271.93006,1.5307724,0.0017391474,77.63826,0.69859374,0.0008448464,0.8104275,0.0008705077,0.69850975,0.0007502931,6993.4794,9320997,10012,83284343
even~crazier,26,even,crazier,2177,41.252276,15093.90826,15093.90826,2.254549,0.003876176,45.774197,0.69638944,0.0019325623,0.70981413,0.0019433943,0.6963638,0.0019065687,2135.74772,1120205,3067,83284343
pretty~darn,27,pretty,darn,1592,43.365087,9905.14877,9905.14877,2.1014268,0.0019606212,38.813026,0.69540924,0.0009738809,0.71486306,0.0009816568,0.69539064,0.0009549171,1548.63491,1621748,2227,83284343
more~holistic,28,more,holistic,6449,896.685082,20713.2667,20713.2667,1.5152737,0.0013825691,69.13976,0.69306654,0.0006707467,0.80491763,0.0006918788,0.69299984,0.0005956782,5552.31492,9320997,8012,83284343
most~recent,29,most,recent,313185,36520.7943,1106215.50774,1106215.50774,1.5659941,0.07858433,494.37045,0.69179547,0.040207185,0.77933663,0.041378357,0.6884575,0.03655319,276664.2057,7568812,401861,83284343
still~undecided,30,still,undecided,4931,70.804455,36772.44924,36772.44924,2.3554873,0.011779939,69.21277,0.6842075,0.005914023,0.694116,0.005940377,0.68414915,0.005855079,4860.19554,830082,7104,83284343
still~ongoing,31,still,ongoing,8942,128.960986,66594.72458,66594.72458,2.351445,0.021214182,93.19838,0.6812279,0.010723954,0.691089,0.010772429,0.6811221,0.010617071,8813.03901,830082,12939,83284343
not~uncommon,32,not,uncommon,45216,3272.21873,196159.90042,196159.90042,1.6940749,0.02019698,197.25204,0.6801297,0.0100304205,0.7326463,0.010239629,0.67962575,0.009498601,41943.78127,4415785,61716,83284343
as~usual,33,as,usual,16714,1035.942134,77032.07254,77032.07254,1.7406846,0.00895432,121.26963,0.6743394,0.0044230134,0.71869624,0.004505226,0.6741511,0.00422599,15678.05787,3709914,23256,83284343
very~next,34,very,next,18063,2711.767899,54868.63363,54868.63363,1.4529699,0.0036357914,114.22162,0.674016,0.0017577563,0.7928628,0.0018220732,0.67383164,0.0015485286,15351.2321,9913432,22782,83284343
previously~unpublished,35,previously,unpublished,2127,2.785217,25989.99907,25989.99907,3.3799317,0.055607844,46.059017,0.6716078,0.028990645,0.6724629,0.029003095,0.6715823,0.028965117,2124.21478,73337,3163,83284343
very~finest,36,very,finest,2076,314.361295,6238.54998,6238.54998,1.4342868,0.0004187141,38.663677,0.6670559,0.0002017122,0.7860659,0.0002094128,0.66703475,0.0001777022,1761.63871,9913432,2641,83284343
most~notorious,37,most,notorious,17387,2108.851149,58403.74313,58403.74313,1.4765488,0.0045803376,115.86664,0.6585825,0.0022203499,0.7492782,0.00229719,0.658399,0.0020185662,15278.14885,7568812,23205,83284343
mentally~retarded,38,mentally,retarded,5832,8.626179,69931.46391,69931.46391,3.3273134,0.12979469,76.25458,0.6565946,0.07196793,0.65749717,0.072004445,0.65652466,0.07189794,5823.37382,80995,8870,83284343
much~broader,39,much,broader,13869,487.066486,78409.86753,78409.86753,1.9407994,0.013819623,113.63086,0.65555954,0.006900269,0.6792536,0.0069808247,0.65539885,0.006735665,13381.93351,1986728,20418,83284343
more~fuel-efficient,40,more,fuel-efficient,1894,278.563301,5699.42034,5699.42034,1.4022517,0.0004062858,37.119316,0.6490498,0.0001951526,0.7609482,0.0002031971,0.6490304,0.0001733116,1615.4367,9320997,2489,83284343
not~alone,41,not,alone,57909,4389.044437,242366.97596,242366.97596,1.6245399,0.025745543,222.40405,0.64717567,0.012798742,0.699553,0.013114089,0.6465324,0.012120145,53519.95556,4415785,82780,83284343
most~iconic,42,most,iconic,28915,3573.732497,95314.47501,95314.47501,1.4454607,0.0076010735,149.0276,0.6447269,0.0036828073,0.7353016,0.0038202824,0.6444224,0.003348117,25341.2675,7568812,39324,83284343
pretty~darned,43,pretty,darned,1956,57.657846,11656.30701,11656.30701,1.9916562,0.0024078158,42.923,0.641138,0.0011937993,0.66058767,0.001206106,0.6411152,0.0011705532,1898.34215,1621748,2961,83284343
well~mannered,44,well,mannered,1797,6.078557,18411.72413,18411.72413,2.9207258,0.019554501,42.247643,0.6403223,0.009916308,0.64247406,0.009928341,0.6403008,0.0098947575,1790.92144,180997,2797,83284343
more~bearable,45,more,bearable,4052,606.034663,11962.34329,11962.34329,1.3728029,0.0008689301,54.134758,0.6364154,0.0004162894,0.7482918,0.0004347174,0.636374,0.0003696992,3445.96534,9320997,5415,83284343
much~nicer,46,much,nicer,7236,262.879453,40094.69864,40094.69864,1.8950238,0.0072441567,81.974335,0.63285327,0.0035956244,0.6566243,0.0036421693,0.6327696,0.0035098516,6973.12055,1986728,11020,83284343
largely~ceremonial,47,largely,ceremonial,3067,9.619161,31864.33896,31864.33896,2.947063,0.03599871,55.20681,0.6318575,0.018504135,0.6338086,0.018525453,0.6318208,0.018467352,3057.38084,165556,4839,83284343
more~just,48,more,just,1576,238.832497,4583.13349,4583.13349,1.3502951,0.0003380838,33.682762,0.6266175,0.0001615363,0.7385192,0.0001690806,0.62660146,0.0001434576,1337.1675,9320997,2134,83284343
all~set,49,all,set,4839,39.5259,40945.8083,40945.8083,2.5205088,0.022237131,68.99472,0.62336594,0.011284292,0.6284416,0.011318821,0.6233083,0.011226367,4799.4741,427518,7700,83284343
very~near,50,very,near,9606,1548.000242,26817.09998,26817.09998,1.320851,0.0019354377,82.21593,0.6197046,0.0009226621,0.738639,0.0009689883,0.6196078,0.0008128365,8057.99976,9913432,13005,83284343
most~enduring,51,most,enduring,8599,1104.363679,27243.72128,27243.72128,1.3844475,0.002268577,80.82144,0.616831,0.001089184,0.70762014,0.0011361096,0.616741,0.0009901999,7494.63632,7568812,12152,83284343
